Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:15,1343.05,1,18428.75,2.39,18428.75,9.21,19492.50,2.52,805.00,0.1
1,Exit Long,BUY_TG_HIT,2021-02-01 05:15,1375.10,1,18428.75,2.39,18428.75,9.21,19492.50,2.52,805.00,0.1
2,Entry Long,BUY,2021-02-01 06:15,1379.35,1,28778.75,3.63,47207.50,13.18,29411.25,3.71,6353.75,0.8
2,Exit Long,BUY_TG_HIT,2021-02-01 08:00,1429.40,1,28778.75,3.63,47207.50,13.18,29411.25,3.71,6353.75,0.8
3,Entry Short,SELL,2021-02-02 05:15,1522.10,1,-3306.25,-0.38,43901.25,-1.34,7043.75,0.8,10896.25,1.24
3,Exit Short,BUY,2021-02-02 09:15,1527.85,1,-3306.25,-0.38,43901.25,-1.34,7043.75,0.8,10896.25,1.24
4,Entry Long,BUY,2021-02-02 09:15,1527.85,1,460.00,0.05,44361.25,0.19,3105.00,0.35,2875.00,0.33
4,Exit Long,INTRADAY_BExit,2021-02-02 09:45,1528.65,1,460.00,0.05,44361.25,0.19,3105.00,0.35,2875.00,0.33
5,Entry Long,BUY,2021-02-03 05:00,1556.95,1,-1552.50,-0.17,42808.75,-0.64,6037.50,0.67,10177.50,1.14
5,Exit Long,SELL,2021-02-03 08:30,1554.25,1,-1552.50,-0.17,42808.75,-0.64,6037.50,0.67,10177.50,1.14
6,Entry Short,SELL,2021-02-03 08:30,1554.25,1,8078.75,0.9,50887.50,3.33,12276.25,1.37,3593.75,0.4
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,1540.20,1,8078.75,0.9,50887.50,3.33,12276.25,1.37,3593.75,0.4
7,Entry Long,BUY,2021-02-04 06:00,1548.40,1,-2127.50,-0.24,48760.00,-0.85,4686.25,0.53,3478.75,0.39
7,Exit Long,SELL,2021-02-04 09:30,1544.70,1,-2127.50,-0.24,48760.00,-0.85,4686.25,0.53,3478.75,0.39
8,Entry Short,SELL,2021-02-04 09:30,1544.70,1,5922.50,0.67,54682.50,2.38,6555.00,0.74,431.25,0.05
8,Exit Short,INTRADAY_SExit,2021-02-04 09:45,1534.40,1,5922.50,0.67,54682.50,2.38,6555.00,0.74,431.25,0.05
9,Entry Long,BUY,2021-02-05 05:45,1545.40,1,-6267.50,-0.71,48415.00,-2.46,4973.75,0.56,7388.75,0.83
9,Exit Long,SELL,2021-02-05 07:15,1534.50,1,-6267.50,-0.71,48415.00,-2.46,4973.75,0.56,7388.75,0.83
10,Entry Short,SELL,2021-02-05 07:15,1534.50,1,8107.50,0.92,56522.50,3.26,10522.50,1.19,287.50,0.03
10,Exit Short,INTRADAY_SExit,2021-02-05 09:45,1520.40,1,8107.50,0.92,56522.50,3.26,10522.50,1.19,287.50,0.03
11,Entry Long,BUY,2021-02-08 04:15,1536.90,1,20700.00,2.34,77222.50,8.07,20700.00,2.34,2645.00,0.3
