Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,503.00,1,-11187.50,-1.78,-11187.50,-5.59,937.50,0.15,12125.00,1.93
1,Exit Short,SELL_SL_HIT,2021-02-01 04:45,511.95,1,-11187.50,-1.78,-11187.50,-5.59,937.50,0.15,12125.00,1.93
2,Entry Long,BUY,2021-02-01 06:00,518.85,1,15062.50,2.32,3875.00,7.98,15062.50,2.32,7125.00,1.1
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,530.90,1,15062.50,2.32,3875.00,7.98,15062.50,2.32,7125.00,1.1
3,Entry Long,BUY,2021-02-03 04:30,558.75,1,5000.00,0.72,8875.00,2.45,5062.50,0.72,4062.50,0.58
3,Exit Long,BUY_TG_HIT,2021-02-03 06:15,562.75,1,5000.00,0.72,8875.00,2.45,5062.50,0.72,4062.50,0.58
4,Entry Short,SELL,2021-02-03 07:15,556.60,1,-5750.00,-0.83,3125.00,-2.75,3250.00,0.47,6375.00,0.92
4,Exit Short,SELL_SL_HIT,2021-02-03 08:00,561.20,1,-5750.00,-0.83,3125.00,-2.75,3250.00,0.47,6375.00,0.92
5,Entry Short,SELL,2021-02-03 09:30,560.80,1,-4437.50,-0.63,-1312.50,-2.18,250.00,0.04,4875.00,0.7
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,564.35,1,-4437.50,-0.63,-1312.50,-2.18,250.00,0.04,4875.00,0.7
6,Entry Long,BUY,2021-02-04 05:00,565.00,1,10062.50,1.42,8750.00,5.06,14750.00,2.09,1500.00,0.21
6,Exit Long,BUY_TG_HIT,2021-02-04 05:30,573.05,1,10062.50,1.42,8750.00,5.06,14750.00,2.09,1500.00,0.21
7,Entry Short,SELL,2021-02-04 08:00,569.95,1,-2062.50,-0.29,6687.50,-0.99,2937.50,0.41,3562.50,0.5
7,Exit Short,INTRADAY_SExit,2021-02-04 09:45,571.60,1,-2062.50,-0.29,6687.50,-0.99,2937.50,0.41,3562.50,0.5
8,Entry Long,BUY,2021-02-05 06:45,575.00,1,-3875.00,-0.54,2812.50,-1.87,375.00,0.05,5500.00,0.77
8,Exit Long,SELL,2021-02-05 08:00,571.90,1,-3875.00,-0.54,2812.50,-1.87,375.00,0.05,5500.00,0.77
9,Entry Short,SELL,2021-02-05 08:00,571.90,1,7562.50,1.06,10375.00,3.73,9500.00,1.33,437.50,0.06
9,Exit Short,SELL_TG_HIT,2021-02-05 09:00,565.85,1,7562.50,1.06,10375.00,3.73,9500.00,1.33,437.50,0.06
10,Entry Short,SELL,2021-02-08 08:15,582.60,1,-3000.00,-0.41,7375.00,-1.43,0,0,5500.00,0.76
10,Exit Short,INTRADAY_SExit,2021-02-08 09:45,585.00,1,-3000.00,-0.41,7375.00,-1.43,0,0,5500.00,0.76
11,Entry Long,BUY,2021-02-09 04:45,587.00,1,-2062.50,-0.28,5312.50,-0.99,6000.00,0.82,3187.50,0.43
11,Exit Long,SELL,2021-02-09 06:15,585.35,1,-2062.50,-0.28,5312.50,-0.99,6000.00,0.82,3187.50,0.43
12,Entry Short,SELL,2021-02-09 06:15,585.35,1,7000.00,0.96,12312.50,3.41,9375.00,1.28,3125.00,0.43
12,Exit Short,SELL_TG_HIT,2021-02-09 09:15,579.75,1,7000.00,0.96,12312.50,3.41,9375.00,1.28,3125.00,0.43
13,Entry Short,SELL,2021-02-10 04:30,567.00,1,9187.50,1.3,21500.00,4.33,9187.50,1.3,3312.50,0.47
13,Exit Short,SELL_TG_HIT,2021-02-10 05:00,559.65,1,9187.50,1.3,21500.00,4.33,9187.50,1.3,3312.50,0.47
14,Entry Long,BUY,2021-02-10 07:00,570.50,1,4500.00,0.63,26000.00,2.03,6500.00,0.91,1875.00,0.26
14,Exit Long,BUY_TG_HIT,2021-02-10 08:45,574.10,1,4500.00,0.63,26000.00,2.03,6500.00,0.91,1875.00,0.26
15,Entry Short,SELL,2021-02-11 07:45,583.80,1,-9000.00,-1.23,17000.00,-3.98,0,0,9812.50,1.34
15,Exit Short,BUY,2021-02-11 09:15,591.00,1,-9000.00,-1.23,17000.00,-3.98,0,0,9812.50,1.34
16,Entry Long,BUY,2021-02-11 09:15,591.00,1,5062.50,0.69,22062.50,2.33,6562.50,0.89,875.00,0.12
16,Exit Long,INTRADAY_BExit,2021-02-11 09:45,595.05,1,5062.50,0.69,22062.50,2.33,6562.50,0.89,875.00,0.12
17,Entry Short,SELL,2021-02-12 08:30,610.20,1,-10375.00,-1.36,11687.50,-4.67,3000.00,0.39,16187.50,2.12
17,Exit Short,SELL_SL_HIT,2021-02-12 09:15,618.50,1,-10375.00,-1.36,11687.50,-4.67,3000.00,0.39,16187.50,2.12
18,Entry Long,BUY,2021-02-15 06:00,628.00,1,9375.00,1.19,21062.50,4.43,11000.00,1.4,2812.50,0.36
18,Exit Long,BUY_TG_HIT,2021-02-15 07:30,635.50,1,9375.00,1.19,21062.50,4.43,11000.00,1.4,2812.50,0.36
19,Entry Short,SELL,2021-02-15 09:00,634.00,1,2625.00,0.33,23687.50,1.19,7625.00,0.96,2062.50,0.26
19,Exit Short,INTRADAY_SExit,2021-02-15 09:45,631.90,1,2625.00,0.33,23687.50,1.19,7625.00,0.96,2062.50,0.26
20,Entry Short,SELL,2021-02-16 06:30,638.90,1,-437.50,-0.05,23250.00,-0.2,7687.50,0.96,6062.50,0.76
20,Exit Short,INTRADAY_SExit,2021-02-16 09:45,639.25,1,-437.50,-0.05,23250.00,-0.2,7687.50,0.96,6062.50,0.76
21,Entry Long,BUY,2021-02-17 04:15,656.95,1,-6562.50,-0.8,16687.50,-2.94,1875.00,0.23,9437.50,1.15
21,Exit Long,BUY_SL_HIT,2021-02-17 04:30,651.70,1,-6562.50,-0.8,16687.50,-2.94,1875.00,0.23,9437.50,1.15
22,Entry Short,SELL,2021-02-17 07:45,658.90,1,1375.00,0.17,18062.50,0.63,7937.50,0.96,1937.50,0.24
22,Exit Short,INTRADAY_SExit,2021-02-17 09:45,657.80,1,1375.00,0.17,18062.50,0.63,7937.50,0.96,1937.50,0.24
23,Entry Long,BUY,2021-02-18 08:00,662.50,1,6875.00,0.83,24937.50,3.15,7250.00,0.88,2187.50,0.26
23,Exit Long,BUY_TG_HIT,2021-02-18 08:30,668.00,1,6875.00,0.83,24937.50,3.15,7250.00,0.88,2187.50,0.26
24,Entry Long,BUY,2021-02-19 06:15,673.10,1,-2500.00,-0.3,22437.50,-1.11,687.50,0.08,2562.50,0.3
24,Exit Long,SELL,2021-02-19 06:45,671.10,1,-2500.00,-0.3,22437.50,-1.11,687.50,0.08,2562.50,0.3
25,Entry Short,SELL,2021-02-19 06:45,671.10,1,8875.00,1.06,31312.50,3.99,9312.50,1.11,312.50,0.04
25,Exit Short,SELL_TG_HIT,2021-02-19 08:00,664.00,1,8875.00,1.06,31312.50,3.99,9312.50,1.11,312.50,0.04
26,Entry Long,BUY,2021-02-22 04:15,664.85,1,-7750.00,-0.93,23562.50,-3.35,1937.50,0.23,10500.00,1.26
26,Exit Long,BUY_SL_HIT,2021-02-22 04:45,658.65,1,-7750.00,-0.93,23562.50,-3.35,1937.50,0.23,10500.00,1.26
27,Entry Short,SELL,2021-02-22 08:15,662.50,1,-8812.50,-1.06,14750.00,-3.94,5312.50,0.64,8937.50,1.08
27,Exit Short,SELL_SL_HIT,2021-02-22 09:15,669.55,1,-8812.50,-1.06,14750.00,-3.94,5312.50,0.64,8937.50,1.08
28,Entry Long,BUY,2021-02-22 09:30,679.00,1,-5000.00,-0.59,9750.00,-2.33,0,0,8000.00,0.94
28,Exit Long,INTRADAY_BExit,2021-02-22 09:45,675.00,1,-5000.00,-0.59,9750.00,-2.33,0,0,8000.00,0.94
29,Entry Short,SELL,2021-02-23 06:15,666.35,1,2500.00,0.3,12250.00,1.19,5875.00,0.71,4312.50,0.52
29,Exit Short,INTRADAY_SExit,2021-02-23 09:45,664.35,1,2500.00,0.3,12250.00,1.19,5875.00,0.71,4312.50,0.52
30,Entry Long,BUY,2021-02-24 04:15,670.00,1,-8250.00,-0.99,4000.00,-3.89,0,0,8250.00,0.99
30,Exit Long,BUY_SL_HIT,2021-02-24 05:15,663.40,1,-8250.00,-0.99,4000.00,-3.89,0,0,8250.00,0.99
31,Entry Short,SELL,2021-02-24 05:30,664.00,1,-2187.50,-0.26,1812.50,-1.07,6750.00,0.81,3312.50,0.4
31,Exit Short,INTRADAY_SExit,2021-02-24 10:30,665.75,1,-2187.50,-0.26,1812.50,-1.07,6750.00,0.81,3312.50,0.4
32,Entry Long,BUY,2021-02-25 04:15,680.75,1,7437.50,0.87,9250.00,3.69,10062.50,1.18,3312.50,0.39
32,Exit Long,BUY_TG_HIT,2021-02-25 05:15,686.70,1,7437.50,0.87,9250.00,3.69,10062.50,1.18,3312.50,0.39
33,Entry Short,SELL,2021-02-25 09:30,705.30,1,-2937.50,-0.33,6312.50,-1.4,0,0,7250.00,0.82
33,Exit Short,INTRADAY_SExit,2021-02-25 09:45,707.65,1,-2937.50,-0.33,6312.50,-1.4,0,0,7250.00,0.82
34,Entry Long,BUY,2021-02-26 09:15,696.00,1,-16875.00,-1.94,-10562.50,-8.18,625.00,0.07,18750.00,2.16
34,Exit Long,INTRADAY_BExit,2021-02-26 09:45,682.50,1,-16875.00,-1.94,-10562.50,-8.18,625.00,0.07,18750.00,2.16
35,Entry Long,BUY,2021-03-01 05:30,686.70,1,7875.00,0.92,-2687.50,4.16,10375.00,1.21,2937.50,0.34
35,Exit Long,BUY_TG_HIT,2021-03-01 07:45,693.00,1,7875.00,0.92,-2687.50,4.16,10375.00,1.21,2937.50,0.34
36,Entry Long,BUY,2021-03-02 04:15,708.65,1,-6937.50,-0.78,-9625.00,-3.52,687.50,0.08,8312.50,0.94
36,Exit Long,BUY_SL_HIT,2021-03-02 05:45,703.10,1,-6937.50,-0.78,-9625.00,-3.52,687.50,0.08,8312.50,0.94
37,Entry Short,SELL,2021-03-02 06:00,701.55,1,-12937.50,-1.48,-22562.50,-6.8,3125.00,0.36,14312.50,1.63
37,Exit Short,BUY,2021-03-02 07:45,711.90,1,-12937.50,-1.48,-22562.50,-6.8,3125.00,0.36,14312.50,1.63
38,Entry Long,BUY,2021-03-02 07:45,711.90,1,8875.00,1,-13687.50,5,11125.00,1.25,3187.50,0.36
38,Exit Long,BUY_TG_HIT,2021-03-02 08:45,719.00,1,8875.00,1,-13687.50,5,11125.00,1.25,3187.50,0.36
39,Entry Short,SELL,2021-03-03 08:00,752.60,1,16375.00,1.74,2687.50,8.79,17000.00,1.81,7375.00,0.78
39,Exit Short,SELL_TG_HIT,2021-03-03 08:45,739.50,1,16375.00,1.74,2687.50,8.79,17000.00,1.81,7375.00,0.78
40,Entry Long,BUY,2021-03-04 06:00,755.90,1,13500.00,1.43,16187.50,6.66,16562.50,1.75,1125.00,0.12
40,Exit Long,BUY_TG_HIT,2021-03-04 06:45,766.70,1,13500.00,1.43,16187.50,6.66,16562.50,1.75,1125.00,0.12
41,Entry Short,SELL,2021-03-04 08:30,750.00,1,-10812.50,-1.15,5375.00,-5,1375.00,0.15,12250.00,1.31
41,Exit Short,SELL_SL_HIT,2021-03-04 09:15,758.65,1,-10812.50,-1.15,5375.00,-5,1375.00,0.15,12250.00,1.31
42,Entry Short,SELL,2021-03-05 05:00,756.45,1,23937.50,2.53,29312.50,11.66,26375.00,2.79,1437.50,0.15
42,Exit Short,SELL_TG_HIT,2021-03-05 05:30,737.30,1,23937.50,2.53,29312.50,11.66,26375.00,2.79,1437.50,0.15
43,Entry Short,SELL,2021-03-05 07:45,750.00,1,-3937.50,-0.42,25375.00,-1.72,12187.50,1.3,6375.00,0.68
43,Exit Short,INTRADAY_SExit,2021-03-05 09:45,753.15,1,-3937.50,-0.42,25375.00,-1.72,12187.50,1.3,6375.00,0.68
44,Entry Long,BUY,2021-03-08 04:15,755.95,1,-3562.50,-0.38,21812.50,-1.58,8625.00,0.91,6062.50,0.64
44,Exit Long,SELL,2021-03-08 07:00,753.10,1,-3562.50,-0.38,21812.50,-1.58,8625.00,0.91,6062.50,0.64
