Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,487.95,1,-1562.50,-0.26,-1562.50,-0.78,937.50,0.15,3187.50,0.52
1,Exit Short,BUY,2021-01-01 10:15,489.20,1,-1562.50,-0.26,-1562.50,-0.78,937.50,0.15,3187.50,0.52
2,Entry Long,BUY,2021-01-01 10:15,489.20,1,17750.00,2.9,16187.50,8.94,17750.00,2.9,1875.00,0.31
2,Exit Long,BUY_TG_HIT,2021-01-01 15:00,503.40,1,17750.00,2.9,16187.50,8.94,17750.00,2.9,1875.00,0.31
3,Entry Short,SELL,2021-01-04 11:30,499.80,1,-1375.00,-0.22,14812.50,-0.64,4000.00,0.64,3187.50,0.51
3,Exit Short,INTRADAY_SExit,2021-01-04 15:15,500.90,1,-1375.00,-0.22,14812.50,-0.64,4000.00,0.64,3187.50,0.51
4,Entry Long,BUY,2021-01-07 09:45,505.00,1,13125.00,2.08,27937.50,6.11,15937.50,2.52,0,0
4,Exit Long,BUY_TG_HIT,2021-01-07 10:15,515.50,1,13125.00,2.08,27937.50,6.11,15937.50,2.52,0,0
5,Entry Short,SELL,2021-01-11 09:45,511.95,1,2562.50,0.4,30500.00,1.12,9125.00,1.43,1375.00,0.21
5,Exit Short,INTRADAY_SExit,2021-01-11 15:15,509.90,1,2562.50,0.4,30500.00,1.12,9125.00,1.43,1375.00,0.21
6,Entry Long,BUY,2021-01-12 10:15,515.00,1,-1125.00,-0.17,29375.00,-0.49,10000.00,1.55,3312.50,0.51
6,Exit Long,INTRADAY_BExit,2021-01-12 15:15,514.10,1,-1125.00,-0.17,29375.00,-0.49,10000.00,1.55,3312.50,0.51
7,Entry Short,SELL,2021-01-15 11:15,529.55,1,-8437.50,-1.27,20937.50,-3.68,3750.00,0.57,10312.50,1.56
7,Exit Short,BUY,2021-01-15 13:00,536.30,1,-8437.50,-1.27,20937.50,-3.68,3750.00,0.57,10312.50,1.56
8,Entry Long,BUY,2021-01-15 13:00,536.30,1,-6687.50,-1,14250.00,-3.03,2125.00,0.32,13937.50,2.08
8,Exit Long,INTRADAY_BExit,2021-01-15 15:15,530.95,1,-6687.50,-1,14250.00,-3.03,2125.00,0.32,13937.50,2.08
9,Entry Short,SELL,2021-01-18 09:45,521.55,1,5250.00,0.81,19500.00,2.45,20625.00,3.16,6750.00,1.04
9,Exit Short,INTRADAY_SExit,2021-01-18 15:15,517.35,1,5250.00,0.81,19500.00,2.45,20625.00,3.16,6750.00,1.04
10,Entry Long,BUY,2021-01-19 09:45,521.90,1,16125.00,2.47,35625.00,7.35,17125.00,2.63,2375.00,0.36
10,Exit Long,INTRADAY_BExit,2021-01-19 15:15,534.80,1,16125.00,2.47,35625.00,7.35,17125.00,2.63,2375.00,0.36
11,Entry Short,SELL,2021-01-21 10:15,552.30,1,5812.50,0.84,41437.50,2.47,12312.50,1.78,4250.00,0.62
11,Exit Short,INTRADAY_SExit,2021-01-21 15:15,547.65,1,5812.50,0.84,41437.50,2.47,12312.50,1.78,4250.00,0.62
12,Entry Long,BUY,2021-01-28 09:45,519.80,1,3125.00,0.48,44562.50,1.29,12125.00,1.87,5312.50,0.82
12,Exit Long,INTRADAY_BExit,2021-01-28 15:15,522.30,1,3125.00,0.48,44562.50,1.29,12125.00,1.87,5312.50,0.82
13,Entry Short,SELL,2021-02-01 09:45,503.00,1,-19812.50,-3.15,24750.00,-8.1,937.50,0.15,20000.00,3.18
13,Exit Short,SELL_SL_HIT,2021-02-01 11:30,518.85,1,-19812.50,-3.15,24750.00,-8.1,937.50,0.15,20000.00,3.18
14,Entry Long,BUY,2021-02-01 13:00,530.90,1,13125.00,1.98,37875.00,5.84,16312.50,2.46,6937.50,1.05
14,Exit Long,BUY_TG_HIT,2021-02-01 14:45,541.40,1,13125.00,1.98,37875.00,5.84,16312.50,2.46,6937.50,1.05
15,Entry Long,BUY,2021-02-08 09:45,589.20,1,-5250.00,-0.71,32625.00,-2.21,437.50,0.06,10000.00,1.36
15,Exit Long,INTRADAY_BExit,2021-02-08 15:15,585.00,1,-5250.00,-0.71,32625.00,-2.21,437.50,0.06,10000.00,1.36
16,Entry Short,SELL,2021-02-09 15:00,584.05,1,-1437.50,-0.2,31187.50,-0.62,3312.50,0.45,1875.00,0.26
16,Exit Short,INTRADAY_SExit,2021-02-09 15:15,585.20,1,-1437.50,-0.2,31187.50,-0.62,3312.50,0.45,1875.00,0.26
17,Entry Long,BUY,2021-02-11 09:45,584.80,1,12812.50,1.75,44000.00,5.54,14312.50,1.96,5687.50,0.78
