Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,502.00,100,-1365.00,-2.72,-1365.00,-1.36,190.00,0.38,1410.00,2.81
1,Exit Short,BUY,2021-02-01 06:00,515.65,100,-1365.00,-2.72,-1365.00,-1.36,190.00,0.38,1410.00,2.81
2,Entry Long,BUY,2021-02-01 06:00,515.65,100,1080.00,2.09,-285.00,1.09,1135.00,2.2,510.00,0.99
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,526.45,100,1080.00,2.09,-285.00,1.09,1135.00,2.2,510.00,0.99
3,Entry Long,BUY,2021-02-03 04:15,550.90,100,525.00,0.95,240.00,0.53,855.00,1.55,40.00,0.07
3,Exit Long,SELL,2021-02-03 06:45,556.15,100,525.00,0.95,240.00,0.53,855.00,1.55,40.00,0.07
4,Entry Short,SELL,2021-02-03 06:45,556.15,100,-465.00,-0.84,-225.00,-0.46,515.00,0.93,615.00,1.11
4,Exit Short,BUY,2021-02-03 09:00,560.80,100,-465.00,-0.84,-225.00,-0.46,515.00,0.93,615.00,1.11
5,Entry Long,BUY,2021-02-03 09:00,560.80,100,-340.00,-0.61,-565.00,-0.34,80.00,0.14,495.00,0.88
5,Exit Long,SELL,2021-02-03 09:30,557.40,100,-340.00,-0.61,-565.00,-0.34,80.00,0.14,495.00,0.88
6,Entry Short,SELL,2021-02-03 09:30,557.40,100,-335.00,-0.6,-900.00,-0.34,60.00,0.11,360.00,0.65
6,Exit Short,INTRADAY_SExit,2021-02-03 09:45,560.75,100,-335.00,-0.6,-900.00,-0.34,60.00,0.11,360.00,0.65
7,Entry Long,BUY,2021-02-04 05:30,570.00,100,-365.00,-0.64,-1265.00,-0.37,140.00,0.25,550.00,0.96
7,Exit Long,SELL,2021-02-04 08:00,566.35,100,-365.00,-0.64,-1265.00,-0.37,140.00,0.25,550.00,0.96
8,Entry Short,SELL,2021-02-04 08:00,566.35,100,-195.00,-0.34,-1460.00,-0.2,215.00,0.38,315.00,0.56
8,Exit Short,INTRADAY_SExit,2021-02-04 09:45,568.30,100,-195.00,-0.34,-1460.00,-0.2,215.00,0.38,315.00,0.56
9,Entry Long,BUY,2021-02-05 04:15,569.55,100,-40.00,-0.07,-1500.00,-0.04,290.00,0.51,400.00,0.7
9,Exit Long,SELL,2021-02-05 08:00,569.15,100,-40.00,-0.07,-1500.00,-0.04,290.00,0.51,400.00,0.7
10,Entry Short,SELL,2021-02-05 08:00,569.15,100,200.00,0.35,-1300.00,0.2,750.00,1.32,35.00,0.06
10,Exit Short,INTRADAY_SExit,2021-02-05 09:45,567.15,100,200.00,0.35,-1300.00,0.2,750.00,1.32,35.00,0.06
11,Entry Long,BUY,2021-02-08 04:15,587.50,100,-805.00,-1.37,-2105.00,-0.82,55.00,0.09,940.00,1.6
11,Exit Long,SELL,2021-02-08 07:00,579.45,100,-805.00,-1.37,-2105.00,-0.82,55.00,0.09,940.00,1.6
12,Entry Short,SELL,2021-02-08 07:00,579.45,100,-305.00,-0.53,-2410.00,-0.31,65.00,0.11,450.00,0.78
12,Exit Short,INTRADAY_SExit,2021-02-08 09:45,582.50,100,-305.00,-0.53,-2410.00,-0.31,65.00,0.11,450.00,0.78
13,Entry Short,SELL,2021-02-09 04:15,581.05,100,-295.00,-0.51,-2705.00,-0.3,460.00,0.79,345.00,0.59
13,Exit Short,BUY,2021-02-09 04:45,584.00,100,-295.00,-0.51,-2705.00,-0.3,460.00,0.79,345.00,0.59
14,Entry Long,BUY,2021-02-09 04:45,584.00,100,-120.00,-0.21,-2825.00,-0.12,460.00,0.79,180.00,0.31
14,Exit Long,SELL,2021-02-09 06:00,582.80,100,-120.00,-0.21,-2825.00,-0.12,460.00,0.79,180.00,0.31
15,Entry Short,SELL,2021-02-09 06:00,582.80,100,55.00,0.09,-2770.00,0.06,960.00,1.65,180.00,0.31
15,Exit Short,INTRADAY_SExit,2021-02-09 09:45,582.25,100,55.00,0.09,-2770.00,0.06,960.00,1.65,180.00,0.31
16,Entry Short,SELL,2021-02-10 04:30,565.00,100,-150.00,-0.27,-2920.00,-0.15,1450.00,2.57,200.00,0.35
16,Exit Short,BUY,2021-02-10 07:00,566.50,100,-150.00,-0.27,-2920.00,-0.15,1450.00,2.57,200.00,0.35
17,Entry Long,BUY,2021-02-10 07:00,566.50,100,1235.00,2.18,-1685.00,1.27,1300.00,2.29,95.00,0.17
17,Exit Long,INTRADAY_BExit,2021-02-10 09:45,578.85,100,1235.00,2.18,-1685.00,1.27,1300.00,2.29,95.00,0.17
18,Entry Long,BUY,2021-02-11 08:30,585.35,100,735.00,1.26,-950.00,0.75,835.00,1.43,235.00,0.4
18,Exit Long,INTRADAY_BExit,2021-02-11 09:45,592.70,100,735.00,1.26,-950.00,0.75,835.00,1.43,235.00,0.4
19,Entry Long,BUY,2021-02-12 05:00,597.40,100,1260.00,2.11,310.00,1.27,1485.00,2.49,140.00,0.23
19,Exit Long,BUY_TG_HIT,2021-02-12 06:30,610.00,100,1260.00,2.11,310.00,1.27,1485.00,2.49,140.00,0.23
20,Entry Short,SELL,2021-02-12 08:30,608.90,100,-875.00,-1.44,-565.00,-0.87,340.00,0.56,1275.00,2.09
20,Exit Short,INTRADAY_SExit,2021-02-12 09:45,617.65,100,-875.00,-1.44,-565.00,-0.87,340.00,0.56,1275.00,2.09
21,Entry Long,BUY,2021-02-15 04:30,621.45,100,1510.00,2.43,945.00,1.52,1695.00,2.73,240.00,0.39
21,Exit Long,BUY_TG_HIT,2021-02-15 07:45,636.55,100,1510.00,2.43,945.00,1.52,1695.00,2.73,240.00,0.39
22,Entry Short,SELL,2021-02-15 09:00,631.55,100,195.00,0.31,1140.00,0.19,655.00,1.04,185.00,0.29
22,Exit Short,INTRADAY_SExit,2021-02-15 09:45,629.60,100,195.00,0.31,1140.00,0.19,655.00,1.04,185.00,0.29
23,Entry Long,BUY,2021-02-16 05:00,642.55,100,-555.00,-0.86,585.00,-0.55,10.00,0.02,705.00,1.1
23,Exit Long,SELL,2021-02-16 06:30,637.00,100,-555.00,-0.86,585.00,-0.55,10.00,0.02,705.00,1.1
24,Entry Short,SELL,2021-02-16 06:30,637.00,100,50.00,0.08,635.00,0.05,600.00,0.94,460.00,0.72
24,Exit Short,INTRADAY_SExit,2021-02-16 09:45,636.50,100,50.00,0.08,635.00,0.05,600.00,0.94,460.00,0.72
25,Entry Short,SELL,2021-02-17 08:00,655.35,100,-90.00,-0.14,545.00,-0.09,335.00,0.51,315.00,0.48
25,Exit Short,INTRADAY_SExit,2021-02-17 09:45,656.25,100,-90.00,-0.14,545.00,-0.09,335.00,0.51,315.00,0.48
26,Entry Long,BUY,2021-02-18 08:00,660.40,100,430.00,0.65,975.00,0.43,960.00,1.45,140.00,0.21
26,Exit Long,INTRADAY_BExit,2021-02-18 09:45,664.70,100,430.00,0.65,975.00,0.43,960.00,1.45,140.00,0.21
27,Entry Long,BUY,2021-02-19 06:15,671.70,100,-225.00,-0.33,750.00,-0.22,70.00,0.1,235.00,0.35
27,Exit Long,SELL,2021-02-19 06:45,669.45,100,-225.00,-0.33,750.00,-0.22,70.00,0.1,235.00,0.35
28,Entry Short,SELL,2021-02-19 06:45,669.45,100,1425.00,2.13,2175.00,1.41,1520.00,2.27,100.00,0.15
28,Exit Short,SELL_TG_HIT,2021-02-19 08:15,655.20,100,1425.00,2.13,2175.00,1.41,1520.00,2.27,100.00,0.15
29,Entry Long,BUY,2021-02-22 04:15,664.70,100,-340.00,-0.51,1835.00,-0.33,715.00,1.08,1040.00,1.56
29,Exit Long,SELL,2021-02-22 08:15,661.30,100,-340.00,-0.51,1835.00,-0.33,715.00,1.08,1040.00,1.56
30,Entry Short,SELL,2021-02-22 08:15,661.30,100,-1470.00,-2.22,365.00,-1.44,470.00,0.71,1720.00,2.6
30,Exit Short,BUY,2021-02-22 09:30,676.00,100,-1470.00,-2.22,365.00,-1.44,470.00,0.71,1720.00,2.6
31,Entry Long,BUY,2021-02-22 09:30,676.00,100,-340.00,-0.5,25.00,-0.34,40.00,0.06,555.00,0.82
31,Exit Long,INTRADAY_BExit,2021-02-22 09:45,672.60,100,-340.00,-0.5,25.00,-0.34,40.00,0.06,555.00,0.82
32,Entry Short,SELL,2021-02-23 05:45,667.00,100,485.00,0.73,510.00,0.48,690.00,1.03,245.00,0.37
32,Exit Short,INTRADAY_SExit,2021-02-23 09:45,662.15,100,485.00,0.73,510.00,0.48,690.00,1.03,245.00,0.37
33,Entry Long,BUY,2021-02-24 04:15,668.50,100,-895.00,-1.34,-385.00,-0.89,55.00,0.08,895.00,1.34
33,Exit Long,SELL,2021-02-24 10:15,659.55,100,-895.00,-1.34,-385.00,-0.89,55.00,0.08,895.00,1.34
34,Entry Short,SELL,2021-02-24 10:15,659.55,100,-540.00,-0.82,-925.00,-0.54,615.00,0.93,545.00,0.83
34,Exit Short,INTRADAY_SExit,2021-02-24 10:30,664.95,100,-540.00,-0.82,-925.00,-0.54,615.00,0.93,545.00,0.83
35,Entry Long,BUY,2021-02-25 04:15,676.00,100,1515.00,2.24,590.00,1.53,1590.00,2.35,230.00,0.34
35,Exit Long,BUY_TG_HIT,2021-02-25 07:00,691.15,100,1515.00,2.24,590.00,1.53,1590.00,2.35,230.00,0.34
36,Entry Short,SELL,2021-02-25 09:30,700.60,100,-235.00,-0.34,355.00,-0.23,0,0,635.00,0.91
36,Exit Short,INTRADAY_SExit,2021-02-25 09:45,702.95,100,-235.00,-0.34,355.00,-0.23,0,0,635.00,0.91
37,Entry Long,BUY,2021-02-26 09:15,691.70,100,-1350.00,-1.95,-995.00,-1.35,30.00,0.04,1550.00,2.24
37,Exit Long,INTRADAY_BExit,2021-02-26 09:45,678.20,100,-1350.00,-1.95,-995.00,-1.35,30.00,0.04,1550.00,2.24
38,Entry Long,BUY,2021-03-01 06:15,683.85,100,1465.00,2.14,470.00,1.48,1700.00,2.49,85.00,0.12
38,Exit Long,BUY_TG_HIT,2021-03-01 08:45,698.50,100,1465.00,2.14,470.00,1.48,1700.00,2.49,85.00,0.12
39,Entry Long,BUY,2021-03-02 04:15,706.00,100,-700.00,-0.99,-230.00,-0.7,40.00,0.06,830.00,1.18
39,Exit Long,SELL,2021-03-02 06:00,699.00,100,-700.00,-0.99,-230.00,-0.7,40.00,0.06,830.00,1.18
40,Entry Short,SELL,2021-03-02 06:00,699.00,100,-895.00,-1.28,-1125.00,-0.9,240.00,0.34,1000.00,1.43
40,Exit Short,BUY,2021-03-02 07:45,707.95,100,-895.00,-1.28,-1125.00,-0.9,240.00,0.34,1000.00,1.43
41,Entry Long,BUY,2021-03-02 07:45,707.95,100,1180.00,1.67,55.00,1.19,1305.00,1.84,275.00,0.39
41,Exit Long,INTRADAY_BExit,2021-03-02 09:45,719.75,100,1180.00,1.67,55.00,1.19,1305.00,1.84,275.00,0.39
42,Entry Short,SELL,2021-03-03 08:00,748.75,100,1795.00,2.4,1850.00,1.79,2535.00,3.39,620.00,0.83
42,Exit Short,SELL_TG_HIT,2021-03-03 09:15,730.80,100,1795.00,2.4,1850.00,1.79,2535.00,3.39,620.00,0.83
43,Entry Long,BUY,2021-03-04 06:00,752.60,100,-170.00,-0.23,1680.00,-0.17,1310.00,1.74,335.00,0.45
43,Exit Long,SELL,2021-03-04 08:15,750.90,100,-170.00,-0.23,1680.00,-0.17,1310.00,1.74,335.00,0.45
44,Entry Short,SELL,2021-03-04 08:15,750.90,100,-160.00,-0.21,1520.00,-0.16,600.00,0.8,695.00,0.93
44,Exit Short,INTRADAY_SExit,2021-03-04 09:45,752.50,100,-160.00,-0.21,1520.00,-0.16,600.00,0.8,695.00,0.93
45,Entry Long,BUY,2021-03-05 04:30,759.35,100,-535.00,-0.7,985.00,-0.53,25.00,0.03,685.00,0.9
45,Exit Long,SELL,2021-03-05 05:00,754.00,100,-535.00,-0.7,985.00,-0.53,25.00,0.03,685.00,0.9
46,Entry Short,SELL,2021-03-05 05:00,754.00,100,1975.00,2.62,2960.00,1.96,2150.00,2.85,40.00,0.05
46,Exit Short,SELL_TG_HIT,2021-03-05 05:30,734.25,100,1975.00,2.62,2960.00,1.96,2150.00,2.85,40.00,0.05
47,Entry Short,SELL,2021-03-05 07:45,746.90,100,-210.00,-0.28,2750.00,-0.2,1030.00,1.38,410.00,0.55
47,Exit Short,INTRADAY_SExit,2021-03-05 09:45,749.00,100,-210.00,-0.28,2750.00,-0.2,1030.00,1.38,410.00,0.55
48,Entry Long,BUY,2021-03-08 04:15,753.95,100,-210.00,-0.28,2540.00,-0.2,665.00,0.88,550.00,0.73
48,Exit Long,SELL,2021-03-08 06:30,751.85,100,-210.00,-0.28,2540.00,-0.2,665.00,0.88,550.00,0.73
49,Entry Short,SELL,2021-03-08 06:30,751.85,100,250.00,0.33,2790.00,0.24,765.00,1.02,215.00,0.29
49,Exit Short,INTRADAY_SExit,2021-03-08 09:45,749.35,100,250.00,0.33,2790.00,0.24,765.00,1.02,215.00,0.29
50,Entry Long,BUY,2021-03-09 05:00,752.10,100,-190.00,-0.25,2600.00,-0.18,730.00,0.97,195.00,0.26
50,Exit Long,SELL,2021-03-09 07:30,750.20,100,-190.00,-0.25,2600.00,-0.18,730.00,0.97,195.00,0.26
51,Entry Short,SELL,2021-03-09 07:30,750.20,100,-30.00,-0.04,2570.00,-0.03,1155.00,1.54,190.00,0.25
51,Exit Short,INTRADAY_SExit,2021-03-09 09:45,750.50,100,-30.00,-0.04,2570.00,-0.03,1155.00,1.54,190.00,0.25
52,Entry Short,SELL,2021-03-10 05:15,747.00,100,-155.00,-0.21,2415.00,-0.15,400.00,0.54,250.00,0.33
