Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:05,512.05,100,640.00,1.25,640.00,0.64,805.00,1.57,60.00,0.12
1,Exit Short,SELL_TG_HIT,2021-01-11 04:55,505.65,100,640.00,1.25,640.00,0.64,805.00,1.57,60.00,0.12
2,Entry Long,BUY,2021-01-12 04:20,517.25,100,-510.00,-0.99,130.00,-0.51,0,0,520.00,1.01
2,Exit Long,SELL,2021-01-12 05:35,512.15,100,-510.00,-0.99,130.00,-0.51,0,0,520.00,1.01
3,Entry Short,SELL,2021-01-12 05:35,512.15,100,-245.00,-0.48,-115.00,-0.24,55.00,0.11,280.00,0.55
3,Exit Short,BUY,2021-01-12 05:45,514.60,100,-245.00,-0.48,-115.00,-0.24,55.00,0.11,280.00,0.55
4,Entry Long,BUY,2021-01-12 05:45,514.60,100,525.00,1.02,410.00,0.53,605.00,1.18,60.00,0.12
4,Exit Long,BUY_TG_HIT,2021-01-12 06:25,519.85,100,525.00,1.02,410.00,0.53,605.00,1.18,60.00,0.12
5,Entry Long,BUY,2021-01-12 06:30,519.30,100,-500.00,-0.96,-90.00,-0.5,60.00,0.12,510.00,0.98
5,Exit Long,BUY_SL_HIT,2021-01-12 07:30,514.30,100,-500.00,-0.96,-90.00,-0.5,60.00,0.12,510.00,0.98
6,Entry Long,BUY,2021-01-12 08:35,516.30,100,-270.00,-0.52,-360.00,-0.27,0,0,295.00,0.57
6,Exit Long,SELL,2021-01-12 08:55,513.60,100,-270.00,-0.52,-360.00,-0.27,0,0,295.00,0.57
7,Entry Short,SELL,2021-01-12 08:55,513.60,100,285.00,0.55,-75.00,0.29,360.00,0.7,40.00,0.08
7,Exit Short,INTRADAY_SExit,2021-01-12 09:35,510.75,100,285.00,0.55,-75.00,0.29,360.00,0.7,40.00,0.08
8,Entry Long,BUY,2021-01-13 04:05,524.50,100,-205.00,-0.39,-280.00,-0.21,345.00,0.66,420.00,0.8
8,Exit Long,SELL,2021-01-13 04:45,522.45,100,-205.00,-0.39,-280.00,-0.21,345.00,0.66,420.00,0.8
9,Entry Short,SELL,2021-01-13 04:45,522.45,100,-315.00,-0.6,-595.00,-0.32,225.00,0.43,430.00,0.82
9,Exit Short,BUY,2021-01-13 05:25,525.60,100,-315.00,-0.6,-595.00,-0.32,225.00,0.43,430.00,0.82
10,Entry Long,BUY,2021-01-13 05:25,525.60,100,-160.00,-0.3,-755.00,-0.16,430.00,0.82,215.00,0.41
10,Exit Long,SELL,2021-01-13 07:45,524.00,100,-160.00,-0.3,-755.00,-0.16,430.00,0.82,215.00,0.41
11,Entry Short,SELL,2021-01-13 07:45,524.00,100,530.00,1.01,-225.00,0.53,600.00,1.15,40.00,0.08
11,Exit Short,SELL_TG_HIT,2021-01-13 08:20,518.70,100,530.00,1.01,-225.00,0.53,600.00,1.15,40.00,0.08
12,Entry Short,SELL,2021-01-13 08:25,518.25,100,-720.00,-1.39,-945.00,-0.72,365.00,0.7,815.00,1.57
12,Exit Short,SELL_SL_HIT,2021-01-13 09:05,525.45,100,-720.00,-1.39,-945.00,-0.72,365.00,0.7,815.00,1.57
13,Entry Long,BUY,2021-01-13 09:15,526.25,100,725.00,1.38,-220.00,0.73,735.00,1.4,55.00,0.1
13,Exit Long,BUY_TG_HIT,2021-01-13 09:30,533.50,100,725.00,1.38,-220.00,0.73,735.00,1.4,55.00,0.1
14,Entry Long,BUY,2021-01-14 04:25,541.20,100,-520.00,-0.96,-740.00,-0.52,125.00,0.23,565.00,1.04
14,Exit Long,SELL,2021-01-14 05:30,536.00,100,-520.00,-0.96,-740.00,-0.52,125.00,0.23,565.00,1.04
15,Entry Short,SELL,2021-01-14 05:30,536.00,100,-265.00,-0.49,-1005.00,-0.27,270.00,0.5,285.00,0.53
15,Exit Short,BUY,2021-01-14 07:45,538.65,100,-265.00,-0.49,-1005.00,-0.27,270.00,0.5,285.00,0.53
16,Entry Long,BUY,2021-01-14 07:45,538.65,100,-275.00,-0.51,-1280.00,-0.28,85.00,0.16,300.00,0.56
16,Exit Long,SELL,2021-01-14 08:05,535.90,100,-275.00,-0.51,-1280.00,-0.28,85.00,0.16,300.00,0.56
17,Entry Short,SELL,2021-01-14 08:05,535.90,100,-95.00,-0.18,-1375.00,-0.1,275.00,0.51,160.00,0.3
17,Exit Short,INTRADAY_SExit,2021-01-14 09:35,536.85,100,-95.00,-0.18,-1375.00,-0.1,275.00,0.51,160.00,0.3
18,Entry Short,SELL,2021-01-15 04:15,533.40,100,600.00,1.12,-775.00,0.61,680.00,1.27,250.00,0.47
18,Exit Short,SELL_TG_HIT,2021-01-15 05:55,527.40,100,600.00,1.12,-775.00,0.61,680.00,1.27,250.00,0.47
19,Entry Short,SELL,2021-01-15 06:00,526.20,100,-670.00,-1.27,-1445.00,-0.68,20.00,0.04,735.00,1.4
19,Exit Short,SELL_SL_HIT,2021-01-15 07:00,532.90,100,-670.00,-1.27,-1445.00,-0.68,20.00,0.04,735.00,1.4
20,Entry Long,BUY,2021-01-15 07:05,534.85,100,-565.00,-1.06,-2010.00,-0.57,170.00,0.32,585.00,1.09
20,Exit Long,SELL,2021-01-15 08:25,529.20,100,-565.00,-1.06,-2010.00,-0.57,170.00,0.32,585.00,1.09
21,Entry Short,SELL,2021-01-15 08:25,529.20,100,100.00,0.19,-1910.00,0.1,520.00,0.98,155.00,0.29
21,Exit Short,INTRADAY_SExit,2021-01-15 09:35,528.20,100,100.00,0.19,-1910.00,0.1,520.00,0.98,155.00,0.29
22,Entry Short,SELL,2021-01-18 04:05,519.05,100,465.00,0.9,-1445.00,0.47,670.00,1.29,0,0
22,Exit Short,SELL_TG_HIT,2021-01-18 04:10,514.40,100,465.00,0.9,-1445.00,0.47,670.00,1.29,0,0
23,Entry Long,BUY,2021-01-18 05:20,523.40,100,-490.00,-0.94,-1935.00,-0.5,60.00,0.11,590.00,1.13
23,Exit Long,BUY_SL_HIT,2021-01-18 06:00,518.50,100,-490.00,-0.94,-1935.00,-0.5,60.00,0.11,590.00,1.13
24,Entry Long,BUY,2021-01-18 06:25,518.90,100,-150.00,-0.29,-2085.00,-0.15,10.00,0.02,190.00,0.37
24,Exit Long,SELL,2021-01-18 06:30,517.40,100,-150.00,-0.29,-2085.00,-0.15,10.00,0.02,190.00,0.37
25,Entry Short,SELL,2021-01-18 06:30,517.40,100,-195.00,-0.38,-2280.00,-0.2,640.00,1.24,195.00,0.38
25,Exit Short,BUY,2021-01-18 08:30,519.35,100,-195.00,-0.38,-2280.00,-0.2,640.00,1.24,195.00,0.38
26,Entry Long,BUY,2021-01-18 08:30,519.35,100,-245.00,-0.47,-2525.00,-0.25,215.00,0.41,285.00,0.55
26,Exit Long,SELL,2021-01-18 09:00,516.90,100,-245.00,-0.47,-2525.00,-0.25,215.00,0.41,285.00,0.55
27,Entry Short,SELL,2021-01-18 09:00,516.90,100,-225.00,-0.44,-2750.00,-0.23,375.00,0.73,260.00,0.5
27,Exit Short,INTRADAY_SExit,2021-01-18 09:35,519.15,100,-225.00,-0.44,-2750.00,-0.23,375.00,0.73,260.00,0.5
28,Entry Short,SELL,2021-01-19 04:10,521.00,100,-605.00,-1.16,-3355.00,-0.62,105.00,0.2,685.00,1.31
28,Exit Short,BUY,2021-01-19 05:35,527.05,100,-605.00,-1.16,-3355.00,-0.62,105.00,0.2,685.00,1.31
29,Entry Long,BUY,2021-01-19 05:35,527.05,100,340.00,0.65,-3015.00,0.35,460.00,0.87,130.00,0.25
29,Exit Long,INTRADAY_BExit,2021-01-19 09:35,530.45,100,340.00,0.65,-3015.00,0.35,460.00,0.87,130.00,0.25
30,Entry Long,BUY,2021-01-20 04:20,537.70,100,465.00,0.86,-2550.00,0.48,475.00,0.88,160.00,0.3
30,Exit Long,BUY_TG_HIT,2021-01-20 05:00,542.35,100,465.00,0.86,-2550.00,0.48,475.00,0.88,160.00,0.3
31,Entry Long,BUY,2021-01-20 05:05,544.05,100,950.00,1.75,-1600.00,0.97,990.00,1.82,225.00,0.41
31,Exit Long,BUY_TG_HIT,2021-01-20 07:45,553.55,100,950.00,1.75,-1600.00,0.97,990.00,1.82,225.00,0.41
32,Entry Short,SELL,2021-01-21 04:05,551.60,100,-170.00,-0.31,-1770.00,-0.17,490.00,0.89,280.00,0.51
32,Exit Short,BUY,2021-01-21 06:00,553.30,100,-170.00,-0.31,-1770.00,-0.17,490.00,0.89,280.00,0.51
33,Entry Long,BUY,2021-01-21 06:00,553.30,100,-140.00,-0.25,-1910.00,-0.14,270.00,0.49,215.00,0.39
33,Exit Long,SELL,2021-01-21 07:15,551.90,100,-140.00,-0.25,-1910.00,-0.14,270.00,0.49,215.00,0.39
34,Entry Short,SELL,2021-01-21 07:15,551.90,100,-175.00,-0.32,-2085.00,-0.18,10.00,0.02,275.00,0.5
34,Exit Short,BUY,2021-01-21 08:05,553.65,100,-175.00,-0.32,-2085.00,-0.18,10.00,0.02,275.00,0.5
35,Entry Long,BUY,2021-01-21 08:05,553.65,100,-140.00,-0.25,-2225.00,-0.14,110.00,0.2,185.00,0.33
35,Exit Long,SELL,2021-01-21 08:25,552.25,100,-140.00,-0.25,-2225.00,-0.14,110.00,0.2,185.00,0.33
36,Entry Short,SELL,2021-01-21 08:25,552.25,100,545.00,0.99,-1680.00,0.56,605.00,1.1,145.00,0.26
36,Exit Short,SELL_TG_HIT,2021-01-21 09:10,546.80,100,545.00,0.99,-1680.00,0.56,605.00,1.1,145.00,0.26
37,Entry Short,SELL,2021-01-21 09:15,548.50,100,280.00,0.51,-1400.00,0.28,535.00,0.98,150.00,0.27
37,Exit Short,INTRADAY_SExit,2021-01-21 09:35,545.70,100,280.00,0.51,-1400.00,0.28,535.00,0.98,150.00,0.27
38,Entry Long,BUY,2021-01-22 04:15,553.55,100,-385.00,-0.7,-1785.00,-0.39,395.00,0.71,395.00,0.71
38,Exit Long,SELL,2021-01-22 05:10,549.70,100,-385.00,-0.7,-1785.00,-0.39,395.00,0.71,395.00,0.71
39,Entry Short,SELL,2021-01-22 05:10,549.70,100,550.00,1,-1235.00,0.56,640.00,1.16,100.00,0.18
39,Exit Short,SELL_TG_HIT,2021-01-22 05:50,544.20,100,550.00,1,-1235.00,0.56,640.00,1.16,100.00,0.18
40,Entry Short,SELL,2021-01-25 04:05,537.50,100,700.00,1.3,-535.00,0.71,870.00,1.62,130.00,0.24
40,Exit Short,SELL_TG_HIT,2021-01-25 04:15,530.50,100,700.00,1.3,-535.00,0.71,870.00,1.62,130.00,0.24
41,Entry Long,BUY,2021-01-25 04:50,539.80,100,-510.00,-0.94,-1045.00,-0.51,130.00,0.24,575.00,1.07
