Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:15,487.95,1,19312.50,3.17,19312.50,9.66,19312.50,3.17,937.50,0.15
1,Exit Long,BUY_TG_HIT,2021-01-01 09:30,503.40,1,19312.50,3.17,19312.50,9.66,19312.50,3.17,937.50,0.15
2,Entry Long,BUY,2021-01-04 04:15,508.20,1,-1062.50,-0.17,18250.00,-0.48,375.00,0.06,2000.00,0.31
2,Exit Long,SELL,2021-01-04 04:30,507.35,1,-1062.50,-0.17,18250.00,-0.48,375.00,0.06,2000.00,0.31
3,Entry Short,SELL,2021-01-04 04:30,507.35,1,8062.50,1.27,26312.50,3.69,13625.00,2.15,562.50,0.09
3,Exit Short,INTRADAY_SExit,2021-01-04 09:45,500.90,1,8062.50,1.27,26312.50,3.69,13625.00,2.15,562.50,0.09
4,Entry Short,SELL,2021-01-05 04:15,498.30,1,-5187.50,-0.83,21125.00,-2.29,0,0,10687.50,1.72
4,Exit Short,BUY,2021-01-05 06:15,502.45,1,-5187.50,-0.83,21125.00,-2.29,0,0,10687.50,1.72
5,Entry Long,BUY,2021-01-05 06:15,502.45,1,-1187.50,-0.19,19937.50,-0.54,2687.50,0.43,1500.00,0.24
5,Exit Long,SELL,2021-01-05 07:45,501.50,1,-1187.50,-0.19,19937.50,-0.54,2687.50,0.43,1500.00,0.24
6,Entry Short,SELL,2021-01-05 07:45,501.50,1,0,0,19937.50,0,3625.00,0.58,2125.00,0.34
6,Exit Short,INTRADAY_SExit,2021-01-05 09:45,501.50,1,0,0,19937.50,0,3625.00,0.58,2125.00,0.34
7,Entry Long,BUY,2021-01-06 05:30,503.50,1,-1625.00,-0.26,18312.50,-0.74,937.50,0.15,3375.00,0.54
7,Exit Long,SELL,2021-01-06 07:15,502.20,1,-1625.00,-0.26,18312.50,-0.74,937.50,0.15,3375.00,0.54
8,Entry Short,SELL,2021-01-06 07:15,502.20,1,12375.00,1.97,30687.50,5.67,13375.00,2.13,625.00,0.1
8,Exit Short,SELL_TG_HIT,2021-01-06 08:45,492.30,1,12375.00,1.97,30687.50,5.67,13375.00,2.13,625.00,0.1
9,Entry Short,SELL,2021-01-06 09:00,497.30,1,-3125.00,-0.5,27562.50,-1.35,2750.00,0.44,5250.00,0.84
9,Exit Short,INTRADAY_SExit,2021-01-06 09:45,499.80,1,-3125.00,-0.5,27562.50,-1.35,2750.00,0.44,5250.00,0.84
10,Entry Long,BUY,2021-01-07 04:15,505.00,1,13125.00,2.08,40687.50,5.77,15937.50,2.52,0,0
10,Exit Long,BUY_TG_HIT,2021-01-07 04:45,515.50,1,13125.00,2.08,40687.50,5.77,15937.50,2.52,0,0
11,Entry Long,BUY,2021-01-07 06:30,517.80,1,-1437.50,-0.22,39250.00,-0.6,7125.00,1.1,3500.00,0.54
11,Exit Long,INTRADAY_BExit,2021-01-07 09:45,516.65,1,-1437.50,-0.22,39250.00,-0.6,7125.00,1.1,3500.00,0.54
12,Entry Short,SELL,2021-01-08 06:00,523.30,1,5687.50,0.87,44937.50,2.38,9000.00,1.38,250.00,0.04
12,Exit Short,INTRADAY_SExit,2021-01-08 09:45,518.75,1,5687.50,0.87,44937.50,2.38,9000.00,1.38,250.00,0.04
13,Entry Short,SELL,2021-01-11 05:00,506.80,1,-3875.00,-0.61,41062.50,-1.58,1812.50,0.29,6625.00,1.05
13,Exit Short,INTRADAY_SExit,2021-01-11 09:45,509.90,1,-3875.00,-0.61,41062.50,-1.58,1812.50,0.29,6625.00,1.05
14,Entry Long,BUY,2021-01-12 04:30,516.45,1,-625.00,-0.1,40437.50,-0.26,8187.50,1.27,3062.50,0.47
