Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:15,163.55,1,-5.75,-0.7,-5.75,0,1.00,0.12,6.25,0.76
1,Exit Long,SELL,2021-02-01 07:30,162.40,1,-5.75,-0.7,-5.75,0,1.00,0.12,6.25,0.76
2,Entry Short,SELL,2021-02-01 07:30,162.40,1,-1.75,-0.22,-7.50,0,3.50,0.43,2.25,0.28
2,Exit Short,BUY,2021-02-01 11:15,162.75,1,-1.75,-0.22,-7.50,0,3.50,0.43,2.25,0.28
3,Entry Long,BUY,2021-02-01 11:15,162.75,1,-1.25,-0.15,-8.75,0,3.00,0.37,1.75,0.22
3,Exit Long,SELL,2021-02-01 14:15,162.50,1,-1.25,-0.15,-8.75,0,3.00,0.37,1.75,0.22
4,Entry Short,SELL,2021-02-01 14:15,162.50,1,4.75,0.58,-4.00,0,6.25,0.77,2.00,0.25
4,Exit Short,INTRADAY_SExit,2021-02-01 17:45,161.55,1,4.75,0.58,-4.00,0,6.25,0.77,2.00,0.25
5,Entry Long,BUY,2021-02-02 09:15,160.65,1,2.00,0.25,-2.00,0,3.75,0.47,2.25,0.28
5,Exit Long,INTRADAY_BExit,2021-02-02 17:45,161.05,1,2.00,0.25,-2.00,0,3.75,0.47,2.25,0.28
6,Entry Short,SELL,2021-02-03 04:00,160.85,1,-0.75,-0.09,-2.75,0,1.75,0.22,1.25,0.16
6,Exit Short,BUY,2021-02-03 07:15,161.00,1,-0.75,-0.09,-2.75,0,1.75,0.22,1.25,0.16
7,Entry Long,BUY,2021-02-03 07:15,161.00,1,-2.00,-0.25,-4.75,0,0.75,0.09,2.00,0.25
7,Exit Long,SELL,2021-02-03 09:30,160.60,1,-2.00,-0.25,-4.75,0,0.75,0.09,2.00,0.25
8,Entry Short,SELL,2021-02-03 09:30,160.60,1,-3.25,-0.4,-8.00,0,0,0,3.50,0.44
8,Exit Short,BUY,2021-02-03 10:45,161.25,1,-3.25,-0.4,-8.00,0,0,0,3.50,0.44
9,Entry Long,BUY,2021-02-03 10:45,161.25,1,0.75,0.09,-7.25,0,3.25,0.4,0.50,0.06
9,Exit Long,SELL,2021-02-03 15:45,161.40,1,0.75,0.09,-7.25,0,3.25,0.4,0.50,0.06
10,Entry Short,SELL,2021-02-03 15:45,161.40,1,0.75,0.09,-6.50,0,0.75,0.09,1.50,0.19
10,Exit Short,INTRADAY_SExit,2021-02-03 17:45,161.25,1,0.75,0.09,-6.50,0,0.75,0.09,1.50,0.19
11,Entry Long,BUY,2021-02-04 06:45,162.30,1,-2.00,-0.25,-8.50,0,0.75,0.09,2.75,0.34
11,Exit Long,SELL,2021-02-04 08:15,161.90,1,-2.00,-0.25,-8.50,0,0.75,0.09,2.75,0.34
12,Entry Short,SELL,2021-02-04 08:15,161.90,1,-2.00,-0.25,-10.50,0,0.75,0.09,2.25,0.28
12,Exit Short,BUY,2021-02-04 14:00,162.30,1,-2.00,-0.25,-10.50,0,0.75,0.09,2.25,0.28
13,Entry Long,BUY,2021-02-04 14:00,162.30,1,-0.75,-0.09,-11.25,0,0.75,0.09,2.25,0.28
13,Exit Long,INTRADAY_BExit,2021-02-04 17:45,162.15,1,-0.75,-0.09,-11.25,0,0.75,0.09,2.25,0.28
14,Entry Short,SELL,2021-02-05 07:45,162.40,1,-4.00,-0.49,-15.25,0,1.00,0.12,4.50,0.55
14,Exit Short,BUY,2021-02-05 09:15,163.20,1,-4.00,-0.49,-15.25,0,1.00,0.12,4.50,0.55
15,Entry Long,BUY,2021-02-05 09:15,163.20,1,-0.75,-0.09,-16.00,0,1.00,0.12,1.00,0.12
15,Exit Long,SELL,2021-02-05 14:15,163.05,1,-0.75,-0.09,-16.00,0,1.00,0.12,1.00,0.12
16,Entry Short,SELL,2021-02-05 14:15,163.05,1,-2.75,-0.34,-18.75,0,0.75,0.09,3.00,0.37
16,Exit Short,BUY,2021-02-05 17:15,163.60,1,-2.75,-0.34,-18.75,0,0.75,0.09,3.00,0.37
17,Entry Long,BUY,2021-02-05 17:15,163.60,1,0.25,0.03,-18.50,0,0.25,0.03,0.50,0.06
17,Exit Long,INTRADAY_BExit,2021-02-05 17:45,163.65,1,0.25,0.03,-18.50,0,0.25,0.03,0.50,0.06
18,Entry Long,BUY,2021-02-08 06:45,164.50,1,-1.25,-0.15,-19.75,0,0.50,0.06,1.50,0.18
18,Exit Long,SELL,2021-02-08 10:45,164.25,1,-1.25,-0.15,-19.75,0,0.50,0.06,1.50,0.18
19,Entry Short,SELL,2021-02-08 10:45,164.25,1,-2.00,-0.24,-21.75,0,0,0,3.25,0.4
19,Exit Short,BUY,2021-02-08 13:15,164.65,1,-2.00,-0.24,-21.75,0,0,0,3.25,0.4
20,Entry Long,BUY,2021-02-08 13:15,164.65,1,1.25,0.15,-20.50,0,2.50,0.3,0.25,0.03
20,Exit Long,SELL,2021-02-08 16:30,164.90,1,1.25,0.15,-20.50,0,2.50,0.3,0.25,0.03
21,Entry Short,SELL,2021-02-08 16:30,164.90,1,0.75,0.09,-19.75,0,1.50,0.18,0,0
21,Exit Short,INTRADAY_SExit,2021-02-08 17:45,164.75,1,0.75,0.09,-19.75,0,1.50,0.18,0,0
22,Entry Long,BUY,2021-02-09 04:00,165.25,1,3.75,0.45,-16.00,0,5.75,0.7,1.00,0.12
22,Exit Long,SELL,2021-02-09 13:30,166.00,1,3.75,0.45,-16.00,0,5.75,0.7,1.00,0.12
23,Entry Short,SELL,2021-02-09 13:30,166.00,1,-4.25,-0.51,-20.25,0,1.25,0.15,4.75,0.57
23,Exit Short,INTRADAY_SExit,2021-02-09 17:45,166.85,1,-4.25,-0.51,-20.25,0,1.25,0.15,4.75,0.57
24,Entry Long,BUY,2021-02-10 04:00,167.60,1,-1.75,-0.21,-22.00,0,1.00,0.12,2.00,0.24
24,Exit Long,SELL,2021-02-10 07:30,167.25,1,-1.75,-0.21,-22.00,0,1.00,0.12,2.00,0.24
25,Entry Short,SELL,2021-02-10 07:30,167.25,1,-2.50,-0.3,-24.50,0,0.25,0.03,2.75,0.33
25,Exit Short,BUY,2021-02-10 13:45,167.75,1,-2.50,-0.3,-24.50,0,0.25,0.03,2.75,0.33
26,Entry Long,BUY,2021-02-10 13:45,167.75,1,-2.50,-0.3,-27.00,0,1.75,0.21,3.50,0.42
26,Exit Long,SELL,2021-02-10 15:45,167.25,1,-2.50,-0.3,-27.00,0,1.75,0.21,3.50,0.42
27,Entry Short,SELL,2021-02-10 15:45,167.25,1,0.25,0.03,-26.75,0,0.75,0.09,3.75,0.45
27,Exit Short,INTRADAY_SExit,2021-02-10 17:45,167.20,1,0.25,0.03,-26.75,0,0.75,0.09,3.75,0.45
28,Entry Short,SELL,2021-02-11 07:30,167.30,1,-1.50,-0.18,-28.25,0,2.75,0.33,1.50,0.18
28,Exit Short,BUY,2021-02-11 09:45,167.60,1,-1.50,-0.18,-28.25,0,2.75,0.33,1.50,0.18
29,Entry Long,BUY,2021-02-11 09:45,167.60,1,-0.25,-0.03,-28.50,0,1.25,0.15,1.25,0.15
29,Exit Long,SELL,2021-02-11 14:15,167.55,1,-0.25,-0.03,-28.50,0,1.25,0.15,1.25,0.15
30,Entry Short,SELL,2021-02-11 14:15,167.55,1,0.75,0.09,-27.75,0,1.25,0.15,1.25,0.15
30,Exit Short,INTRADAY_SExit,2021-02-11 17:45,167.40,1,0.75,0.09,-27.75,0,1.25,0.15,1.25,0.15
31,Entry Long,BUY,2021-02-12 06:15,168.15,1,-1.00,-0.12,-28.75,0,0.50,0.06,1.25,0.15
31,Exit Long,SELL,2021-02-12 08:00,167.95,1,-1.00,-0.12,-28.75,0,0.50,0.06,1.25,0.15
32,Entry Short,SELL,2021-02-12 08:00,167.95,1,1.50,0.18,-27.25,0,4.00,0.48,0.75,0.09
32,Exit Short,BUY,2021-02-12 11:45,167.65,1,1.50,0.18,-27.25,0,4.00,0.48,0.75,0.09
33,Entry Long,BUY,2021-02-12 11:45,167.65,1,-0.75,-0.09,-28.00,0,0,0,1.00,0.12
33,Exit Long,SELL,2021-02-12 13:00,167.50,1,-0.75,-0.09,-28.00,0,0,0,1.00,0.12
34,Entry Short,SELL,2021-02-12 13:00,167.50,1,-0.75,-0.09,-28.75,0,1.00,0.12,1.00,0.12
34,Exit Short,BUY,2021-02-12 14:15,167.65,1,-0.75,-0.09,-28.75,0,1.00,0.12,1.00,0.12
35,Entry Long,BUY,2021-02-12 14:15,167.65,1,3.50,0.42,-25.25,0,4.25,0.51,0.50,0.06
35,Exit Long,INTRADAY_BExit,2021-02-12 17:45,168.35,1,3.50,0.42,-25.25,0,4.25,0.51,0.50,0.06
36,Entry Long,BUY,2021-02-15 04:00,168.65,1,0.50,0.06,-24.75,0,1.75,0.21,0,0
36,Exit Long,SELL,2021-02-15 07:00,168.75,1,0.50,0.06,-24.75,0,1.75,0.21,0,0
37,Entry Short,SELL,2021-02-15 07:00,168.75,1,6.50,0.77,-18.25,0,7.00,0.83,1.00,0.12
37,Exit Short,SELL_TG_HIT,2021-02-15 11:15,167.45,1,6.50,0.77,-18.25,0,7.00,0.83,1.00,0.12
38,Entry Long,BUY,2021-02-15 15:45,167.90,1,-1.50,-0.18,-19.75,0,1.00,0.12,1.75,0.21
38,Exit Long,SELL,2021-02-15 17:30,167.60,1,-1.50,-0.18,-19.75,0,1.00,0.12,1.75,0.21
39,Entry Short,SELL,2021-02-15 17:30,167.60,1,0.25,0.03,-19.50,0,0.25,0.03,0.25,0.03
39,Exit Short,INTRADAY_SExit,2021-02-15 17:45,167.55,1,0.25,0.03,-19.50,0,0.25,0.03,0.25,0.03
40,Entry Long,BUY,2021-02-16 07:30,167.70,1,0,0,-19.50,0,1.50,0.18,1.50,0.18
40,Exit Long,SELL,2021-02-16 13:45,167.70,1,0,0,-19.50,0,1.50,0.18,1.50,0.18
