Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:30,161.15,1,-2.25,-0.28,-2.25,0,1.75,0.22,2.25,0.28
1,Exit Long,SELL,2021-01-04 09:00,160.70,1,-2.25,-0.28,-2.25,0,1.75,0.22,2.25,0.28
2,Entry Short,SELL,2021-01-04 09:00,160.70,1,-4.00,-0.5,-6.25,0,0.25,0.03,5.25,0.65
2,Exit Short,INTRADAY_SExit,2021-01-04 09:15,161.50,1,-4.00,-0.5,-6.25,0,0.25,0.03,5.25,0.65
3,Entry Long,BUY,2021-01-04 09:30,161.50,1,2.75,0.34,-3.50,0,4.00,0.5,0,0
3,Exit Long,SELL,2021-01-04 13:15,162.05,1,2.75,0.34,-3.50,0,4.00,0.5,0,0
4,Entry Short,SELL,2021-01-04 13:15,162.05,1,-0.50,-0.06,-4.00,0,0,0,2.25,0.28
4,Exit Short,BUY,2021-01-04 14:00,162.15,1,-0.50,-0.06,-4.00,0,0,0,2.25,0.28
5,Entry Long,BUY,2021-01-04 14:00,162.15,1,7.00,0.86,3.00,0,8.75,1.08,0,0
5,Exit Long,SELL,2021-01-04 20:15,163.55,1,7.00,0.86,3.00,0,8.75,1.08,0,0
6,Entry Short,SELL,2021-01-04 20:15,163.55,1,-2.25,-0.28,0.75,0,3.25,0.4,3.50,0.43
6,Exit Short,BUY,2021-01-04 22:00,164.00,1,-2.25,-0.28,0.75,0,3.25,0.4,3.50,0.43
7,Entry Long,BUY,2021-01-04 22:00,164.00,1,-1.25,-0.15,-0.50,0,2.00,0.24,1.50,0.18
7,Exit Long,INTRADAY_BExit,2021-01-04 23:15,163.75,1,-1.25,-0.15,-0.50,0,2.00,0.24,1.50,0.18
8,Entry Long,BUY,2021-01-05 09:30,164.05,1,0.75,0.09,0.25,0,1.75,0.21,1.75,0.21
8,Exit Long,SELL,2021-01-05 14:00,164.20,1,0.75,0.09,0.25,0,1.75,0.21,1.75,0.21
9,Entry Short,SELL,2021-01-05 14:00,164.20,1,-0.25,-0.03,0,0,1.25,0.15,1.00,0.12
9,Exit Short,BUY,2021-01-05 15:45,164.25,1,-0.25,-0.03,0,0,1.25,0.15,1.00,0.12
10,Entry Long,BUY,2021-01-05 15:45,164.25,1,0,0,0,0,2.50,0.3,0.75,0.09
10,Exit Long,SELL,2021-01-05 20:30,164.25,1,0,0,0,0,2.50,0.3,0.75,0.09
11,Entry Short,SELL,2021-01-05 20:30,164.25,1,-2.25,-0.27,-2.25,0,1.00,0.12,3.50,0.43
11,Exit Short,BUY,2021-01-05 21:30,164.70,1,-2.25,-0.27,-2.25,0,1.00,0.12,3.50,0.43
12,Entry Long,BUY,2021-01-05 21:30,164.70,1,5.00,0.61,2.75,0,6.00,0.73,0,0
12,Exit Long,INTRADAY_BExit,2021-01-05 23:15,165.70,1,5.00,0.61,2.75,0,6.00,0.73,0,0
13,Entry Short,SELL,2021-01-06 09:30,165.45,1,-2.25,-0.27,0.50,0,1.75,0.21,2.25,0.27
13,Exit Short,BUY,2021-01-06 12:00,165.90,1,-2.25,-0.27,0.50,0,1.75,0.21,2.25,0.27
14,Entry Long,BUY,2021-01-06 12:00,165.90,1,8.00,0.96,8.50,0,8.50,1.02,0.50,0.06
14,Exit Long,BUY_TG_HIT,2021-01-06 15:30,167.50,1,8.00,0.96,8.50,0,8.50,1.02,0.50,0.06
15,Entry Short,SELL,2021-01-06 16:45,167.45,1,9.25,1.1,17.75,0,9.50,1.13,0.50,0.06
15,Exit Short,SELL_TG_HIT,2021-01-06 19:30,165.60,1,9.25,1.1,17.75,0,9.50,1.13,0.50,0.06
16,Entry Long,BUY,2021-01-06 21:45,165.45,1,0,0,17.75,0,1.00,0.12,1.00,0.12
16,Exit Long,SELL,2021-01-06 22:30,165.45,1,0,0,17.75,0,1.00,0.12,1.00,0.12
17,Entry Short,SELL,2021-01-06 22:30,165.45,1,0.50,0.06,18.25,0,0.75,0.09,0.75,0.09
17,Exit Short,INTRADAY_SExit,2021-01-06 23:15,165.35,1,0.50,0.06,18.25,0,0.75,0.09,0.75,0.09
18,Entry Long,BUY,2021-01-07 09:30,165.75,1,0,0,18.25,0,3.50,0.42,1.75,0.21
18,Exit Long,SELL,2021-01-07 14:00,165.75,1,0,0,18.25,0,3.50,0.42,1.75,0.21
19,Entry Short,SELL,2021-01-07 14:00,165.75,1,1.75,0.21,20.00,0,7.00,0.84,0.75,0.09
19,Exit Short,BUY,2021-01-07 20:00,165.40,1,1.75,0.21,20.00,0,7.00,0.84,0.75,0.09
20,Entry Long,BUY,2021-01-07 20:00,165.40,1,-0.75,-0.09,19.25,0,2.00,0.24,1.75,0.21
20,Exit Long,INTRADAY_BExit,2021-01-07 23:15,165.25,1,-0.75,-0.09,19.25,0,2.00,0.24,1.75,0.21
21,Entry Short,SELL,2021-01-08 09:30,165.00,1,1.25,0.15,20.50,0,3.00,0.36,1.00,0.12
21,Exit Short,BUY,2021-01-08 16:15,164.75,1,1.25,0.15,20.50,0,3.00,0.36,1.00,0.12
22,Entry Long,BUY,2021-01-08 16:15,164.75,1,1.50,0.18,22.00,0,5.25,0.64,0.75,0.09
22,Exit Long,SELL,2021-01-08 19:30,165.05,1,1.50,0.18,22.00,0,5.25,0.64,0.75,0.09
23,Entry Short,SELL,2021-01-08 19:30,165.05,1,2.00,0.24,24.00,0,5.25,0.64,1.00,0.12
23,Exit Short,BUY,2021-01-08 21:45,164.65,1,2.00,0.24,24.00,0,5.25,0.64,1.00,0.12
24,Entry Long,BUY,2021-01-08 21:45,164.65,1,-0.25,-0.03,23.75,0,1.00,0.12,1.00,0.12
24,Exit Long,INTRADAY_BExit,2021-01-08 23:15,164.60,1,-0.25,-0.03,23.75,0,1.00,0.12,1.00,0.12
25,Entry Short,SELL,2021-01-11 09:30,164.15,1,0,0,23.75,0,3.00,0.37,1.25,0.15
25,Exit Short,BUY,2021-01-11 13:45,164.15,1,0,0,23.75,0,3.00,0.37,1.25,0.15
26,Entry Long,BUY,2021-01-11 13:45,164.15,1,-1.50,-0.18,22.25,0,0,0,2.00,0.24
26,Exit Long,SELL,2021-01-11 14:15,163.85,1,-1.50,-0.18,22.25,0,0,0,2.00,0.24
27,Entry Short,SELL,2021-01-11 14:15,163.85,1,0.50,0.06,22.75,0,1.25,0.15,0.25,0.03
27,Exit Short,BUY,2021-01-11 17:15,163.75,1,0.50,0.06,22.75,0,1.25,0.15,0.25,0.03
28,Entry Long,BUY,2021-01-11 17:15,163.75,1,-0.25,-0.03,22.50,0,1.25,0.15,1.75,0.21
28,Exit Long,SELL,2021-01-11 19:30,163.70,1,-0.25,-0.03,22.50,0,1.25,0.15,1.75,0.21
29,Entry Short,SELL,2021-01-11 19:30,163.70,1,0.50,0.06,23.00,0,2.75,0.34,0.25,0.03
29,Exit Short,BUY,2021-01-11 21:00,163.60,1,0.50,0.06,23.00,0,2.75,0.34,0.25,0.03
30,Entry Long,BUY,2021-01-11 21:00,163.60,1,0,0,23.00,0,0.25,0.03,2.00,0.24
30,Exit Long,SELL,2021-01-11 22:00,163.60,1,0,0,23.00,0,0.25,0.03,2.00,0.24
31,Entry Short,SELL,2021-01-11 22:00,163.60,1,-0.25,-0.03,22.75,0,0.25,0.03,0.75,0.09
31,Exit Short,BUY,2021-01-11 22:30,163.65,1,-0.25,-0.03,22.75,0,0.25,0.03,0.75,0.09
32,Entry Long,BUY,2021-01-11 22:30,163.65,1,0.25,0.03,23.00,0,0.25,0.03,0.25,0.03
32,Exit Long,INTRADAY_BExit,2021-01-11 23:15,163.70,1,0.25,0.03,23.00,0,0.25,0.03,0.25,0.03
33,Entry Short,SELL,2021-01-12 09:30,163.75,1,-1.25,-0.15,21.75,0,1.00,0.12,1.75,0.21
33,Exit Short,BUY,2021-01-12 11:30,164.00,1,-1.25,-0.15,21.75,0,1.00,0.12,1.75,0.21
34,Entry Long,BUY,2021-01-12 11:30,164.00,1,4.00,0.49,25.75,0,5.50,0.67,0.75,0.09
34,Exit Long,SELL,2021-01-12 19:15,164.80,1,4.00,0.49,25.75,0,5.50,0.67,0.75,0.09
35,Entry Short,SELL,2021-01-12 19:15,164.80,1,-0.25,-0.03,25.50,0,0.25,0.03,1.25,0.15
35,Exit Short,BUY,2021-01-12 19:45,164.85,1,-0.25,-0.03,25.50,0,0.25,0.03,1.25,0.15
36,Entry Long,BUY,2021-01-12 19:45,164.85,1,-0.75,-0.09,24.75,0,0,0,1.25,0.15
36,Exit Long,SELL,2021-01-12 20:30,164.70,1,-0.75,-0.09,24.75,0,0,0,1.25,0.15
37,Entry Short,SELL,2021-01-12 20:30,164.70,1,-0.75,-0.09,24.00,0,0,0,1.50,0.18
37,Exit Short,BUY,2021-01-12 21:00,164.85,1,-0.75,-0.09,24.00,0,0,0,1.50,0.18
38,Entry Long,BUY,2021-01-12 21:00,164.85,1,-1.75,-0.21,22.25,0,0,0,4.00,0.49
38,Exit Long,SELL,2021-01-12 21:45,164.50,1,-1.75,-0.21,22.25,0,0,0,4.00,0.49
39,Entry Short,SELL,2021-01-12 21:45,164.50,1,-1.00,-0.12,21.25,0,0.50,0.06,1.50,0.18
39,Exit Short,INTRADAY_SExit,2021-01-12 23:15,164.70,1,-1.00,-0.12,21.25,0,0.50,0.06,1.50,0.18
40,Entry Short,SELL,2021-01-13 09:30,164.65,1,1.25,0.15,22.50,0,3.00,0.36,0.25,0.03
40,Exit Short,BUY,2021-01-13 13:45,164.40,1,1.25,0.15,22.50,0,3.00,0.36,0.25,0.03
41,Entry Long,BUY,2021-01-13 13:45,164.40,1,-1.75,-0.21,20.75,0,0.25,0.03,1.75,0.21
41,Exit Long,SELL,2021-01-13 14:30,164.05,1,-1.75,-0.21,20.75,0,0.25,0.03,1.75,0.21
42,Entry Short,SELL,2021-01-13 14:30,164.05,1,-0.75,-0.09,20.00,0,0,0,1.25,0.15
42,Exit Short,BUY,2021-01-13 15:00,164.20,1,-0.75,-0.09,20.00,0,0,0,1.25,0.15
43,Entry Long,BUY,2021-01-13 15:00,164.20,1,0,0,20.00,0,0.50,0.06,0.50,0.06
43,Exit Long,SELL,2021-01-13 15:30,164.20,1,0,0,20.00,0,0.50,0.06,0.50,0.06
44,Entry Short,SELL,2021-01-13 15:30,164.20,1,1.50,0.18,21.50,0,3.50,0.43,0.75,0.09
44,Exit Short,BUY,2021-01-13 17:45,163.90,1,1.50,0.18,21.50,0,3.50,0.43,0.75,0.09
45,Entry Long,BUY,2021-01-13 17:45,163.90,1,0.50,0.06,22.00,0,2.25,0.27,0.75,0.09
45,Exit Long,SELL,2021-01-13 20:30,164.00,1,0.50,0.06,22.00,0,2.25,0.27,0.75,0.09
46,Entry Short,SELL,2021-01-13 20:30,164.00,1,0.25,0.03,22.25,0,2.00,0.24,0.50,0.06
46,Exit Short,BUY,2021-01-13 22:00,163.95,1,0.25,0.03,22.25,0,2.00,0.24,0.50,0.06
47,Entry Long,BUY,2021-01-13 22:00,163.95,1,0.50,0.06,22.75,0,0.75,0.09,0.50,0.06
47,Exit Long,INTRADAY_BExit,2021-01-13 23:15,164.05,1,0.50,0.06,22.75,0,0.75,0.09,0.50,0.06
48,Entry Long,BUY,2021-01-14 09:30,164.35,1,-1.00,-0.12,21.75,0,0.75,0.09,1.25,0.15
48,Exit Long,SELL,2021-01-14 11:45,164.15,1,-1.00,-0.12,21.75,0,0.75,0.09,1.25,0.15
49,Entry Short,SELL,2021-01-14 11:45,164.15,1,1.25,0.15,23.00,0,3.00,0.37,0.25,0.03
49,Exit Short,BUY,2021-01-14 16:00,163.90,1,1.25,0.15,23.00,0,3.00,0.37,0.25,0.03
50,Entry Long,BUY,2021-01-14 16:00,163.90,1,2.00,0.24,25.00,0,3.00,0.37,0.75,0.09
50,Exit Long,SELL,2021-01-14 18:45,164.30,1,2.00,0.24,25.00,0,3.00,0.37,0.75,0.09
51,Entry Short,SELL,2021-01-14 18:45,164.30,1,3.50,0.43,28.50,0,5.00,0.61,0.25,0.03
51,Exit Short,INTRADAY_SExit,2021-01-14 23:15,163.60,1,3.50,0.43,28.50,0,5.00,0.61,0.25,0.03
52,Entry Long,BUY,2021-01-15 09:30,163.90,1,-2.50,-0.31,26.00,0,0,0,2.50,0.31
52,Exit Long,SELL,2021-01-15 11:15,163.40,1,-2.50,-0.31,26.00,0,0,0,2.50,0.31
