Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 10:15,2763.75,1,2182.50,0.53,2182.50,1.09,4837.50,1.17,232.50,0.06
1,Exit Long,INTRADAY_BExit,2021-01-04 09:15,2778.30,1,2182.50,0.53,2182.50,1.09,4837.50,1.17,232.50,0.06
2,Entry Short,SELL,2021-01-04 14:15,2768.70,1,4575.00,1.1,6757.50,2.26,4575.00,1.1,630.00,0.15
2,Exit Short,INTRADAY_SExit,2021-01-05 09:15,2738.20,1,4575.00,1.1,6757.50,2.26,4575.00,1.1,630.00,0.15
3,Entry Long,BUY,2021-01-05 12:15,2792.75,1,2482.50,0.59,9240.00,1.2,2985.00,0.71,2407.50,0.57
3,Exit Long,INTRADAY_BExit,2021-01-06 09:15,2809.30,1,2482.50,0.59,9240.00,1.2,2985.00,0.71,2407.50,0.57
4,Entry Short,SELL,2021-01-12 10:45,2801.10,1,4635.00,1.1,13875.00,2.22,9465.00,2.25,2467.50,0.59
4,Exit Short,INTRADAY_SExit,2021-01-13 09:15,2770.20,1,4635.00,1.1,13875.00,2.22,9465.00,2.25,2467.50,0.59
5,Entry Long,BUY,2021-01-19 11:15,2624.95,1,6600.00,1.68,20475.00,3.09,8505.00,2.16,0,0
5,Exit Long,INTRADAY_BExit,2021-01-20 09:15,2668.95,1,6600.00,1.68,20475.00,3.09,8505.00,2.16,0,0
6,Entry Short,SELL,2021-01-22 11:45,2673.65,1,8257.50,2.06,28732.50,3.75,9397.50,2.34,1665.00,0.42
6,Exit Short,SELL_TG_HIT,2021-01-22 13:45,2618.60,1,8257.50,2.06,28732.50,3.75,9397.50,2.34,1665.00,0.42
7,Entry Long,BUY,2021-02-01 14:15,2437.55,1,5595.00,1.53,34327.50,2.45,6060.00,1.66,345.00,0.09
7,Exit Long,INTRADAY_BExit,2021-02-02 09:15,2474.85,1,5595.00,1.53,34327.50,2.45,6060.00,1.66,345.00,0.09
8,Entry Short,SELL,2021-02-04 10:15,2431.45,1,607.50,0.17,34935.00,0.26,3045.00,0.83,1530.00,0.42
8,Exit Short,INTRADAY_SExit,2021-02-05 09:15,2427.40,1,607.50,0.17,34935.00,0.26,3045.00,0.83,1530.00,0.42
9,Entry Long,BUY,2021-02-08 12:15,2437.70,1,645.00,0.18,35580.00,0.27,645.00,0.18,2977.50,0.81
9,Exit Long,INTRADAY_BExit,2021-02-09 09:15,2442.00,1,645.00,0.18,35580.00,0.27,645.00,0.18,2977.50,0.81
10,Entry Short,SELL,2021-02-12 14:45,2477.90,1,-3112.50,-0.84,32467.50,-1.32,135.00,0.04,3112.50,0.84
10,Exit Short,INTRADAY_SExit,2021-02-15 09:15,2498.65,1,-3112.50,-0.84,32467.50,-1.32,135.00,0.04,3112.50,0.84
11,Entry Long,BUY,2021-02-18 10:15,2437.75,1,5475.00,1.5,37942.50,2.36,6157.50,1.68,150.00,0.04
11,Exit Long,INTRADAY_BExit,2021-02-19 09:15,2474.25,1,5475.00,1.5,37942.50,2.36,6157.50,1.68,150.00,0.04
12,Entry Short,SELL,2021-02-19 11:45,2425.00,1,-157.50,-0.04,37785.00,-0.07,3712.50,1.02,825.00,0.23
12,Exit Short,INTRADAY_SExit,2021-02-22 09:15,2426.05,1,-157.50,-0.04,37785.00,-0.07,3712.50,1.02,825.00,0.23
13,Entry Long,BUY,2021-03-01 11:45,2338.00,1,7582.50,2.16,45367.50,3.19,7582.50,2.16,780.00,0.22
13,Exit Long,INTRADAY_BExit,2021-03-02 09:15,2388.55,1,7582.50,2.16,45367.50,3.19,7582.50,2.16,780.00,0.22
14,Entry Short,SELL,2021-03-04 10:15,2407.70,1,-4897.50,-1.36,40470.00,-2,1522.50,0.42,5122.50,1.42
14,Exit Short,BUY,2021-03-04 11:45,2440.35,1,-4897.50,-1.36,40470.00,-2,1522.50,0.42,5122.50,1.42
15,Entry Long,BUY,2021-03-04 11:45,2440.35,1,-5887.50,-1.61,34582.50,-2.45,150.00,0.04,5887.50,1.61
15,Exit Long,INTRADAY_BExit,2021-03-05 09:15,2401.10,1,-5887.50,-1.61,34582.50,-2.45,150.00,0.04,5887.50,1.61
16,Entry Short,SELL,2021-03-08 10:15,2375.80,1,-4395.00,-1.23,30187.50,-1.87,705.00,0.2,6442.50,1.81
16,Exit Short,INTRADAY_SExit,2021-03-09 09:15,2405.10,1,-4395.00,-1.23,30187.50,-1.87,705.00,0.2,6442.50,1.81
