Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:30,657.80,1,-8700.00,-1.1,-8700.00,-4.35,0,0,14040.00,1.78
1,Exit Short,BUY,2021-02-01 05:45,665.05,1,-8700.00,-1.1,-8700.00,-4.35,0,0,14040.00,1.78
2,Entry Long,BUY,2021-02-01 05:45,665.05,1,9240.00,1.16,540.00,4.83,10260.00,1.29,1560.00,0.2
2,Exit Long,BUY_TG_HIT,2021-02-01 06:00,672.75,1,9240.00,1.16,540.00,4.83,10260.00,1.29,1560.00,0.2
3,Entry Long,BUY,2021-02-01 06:15,673.65,1,36540.00,4.52,37080.00,18.22,40740.00,5.04,4680.00,0.58
3,Exit Long,BUY_TG_HIT,2021-02-01 07:30,704.10,1,36540.00,4.52,37080.00,18.22,40740.00,5.04,4680.00,0.58
4,Entry Short,SELL,2021-02-02 05:15,725.15,1,9060.00,1.04,46140.00,3.82,10920.00,1.25,6900.00,0.79
4,Exit Short,SELL_TG_HIT,2021-02-02 06:30,717.60,1,9060.00,1.04,46140.00,3.82,10920.00,1.25,6900.00,0.79
5,Entry Long,BUY,2021-02-03 04:15,732.15,1,4620.00,0.53,50760.00,1.88,8100.00,0.92,12540.00,1.43
5,Exit Long,INTRADAY_BExit,2021-02-03 09:45,736.00,1,4620.00,0.53,50760.00,1.88,8100.00,0.92,12540.00,1.43
6,Entry Short,SELL,2021-02-04 04:15,727.70,1,-10140.00,-1.16,40620.00,-4.04,4740.00,0.54,10560.00,1.21
6,Exit Short,SELL_SL_HIT,2021-02-04 06:15,736.15,1,-10140.00,-1.16,40620.00,-4.04,4740.00,0.54,10560.00,1.21
7,Entry Long,BUY,2021-02-04 06:30,737.00,1,8400.00,0.95,49020.00,3.49,13080.00,1.48,3360.00,0.38
7,Exit Long,BUY_TG_HIT,2021-02-04 09:30,744.00,1,8400.00,0.95,49020.00,3.49,13080.00,1.48,3360.00,0.38
8,Entry Short,SELL,2021-02-05 05:30,743.25,1,10320.00,1.16,59340.00,4.14,11040.00,1.24,10860.00,1.22
8,Exit Short,SELL_TG_HIT,2021-02-05 07:45,734.65,1,10320.00,1.16,59340.00,4.14,11040.00,1.24,10860.00,1.22
9,Entry Long,BUY,2021-02-08 04:45,745.60,1,-9240.00,-1.03,50100.00,-3.56,7080.00,0.79,9660.00,1.08
9,Exit Long,SELL,2021-02-08 08:15,737.90,1,-9240.00,-1.03,50100.00,-3.56,7080.00,0.79,9660.00,1.08
10,Entry Short,SELL,2021-02-08 08:15,737.90,1,-3420.00,-0.39,46680.00,-1.37,1920.00,0.22,7020.00,0.79
10,Exit Short,INTRADAY_SExit,2021-02-08 09:45,740.75,1,-3420.00,-0.39,46680.00,-1.37,1920.00,0.22,7020.00,0.79
11,Entry Long,BUY,2021-02-09 05:30,739.00,1,9480.00,1.07,56160.00,3.84,9780.00,1.1,60.00,0.01
11,Exit Long,BUY_TG_HIT,2021-02-09 06:00,746.90,1,9480.00,1.07,56160.00,3.84,9780.00,1.1,60.00,0.01
12,Entry Short,SELL,2021-02-10 04:15,736.50,1,2640.00,0.3,58800.00,1.03,9900.00,1.12,3300.00,0.37
12,Exit Short,BUY,2021-02-10 09:15,734.30,1,2640.00,0.3,58800.00,1.03,9900.00,1.12,3300.00,0.37
13,Entry Long,BUY,2021-02-10 09:15,734.30,1,2100.00,0.24,60900.00,0.81,2340.00,0.27,8280.00,0.94
13,Exit Long,INTRADAY_BExit,2021-02-10 09:45,736.05,1,2100.00,0.24,60900.00,0.81,2340.00,0.27,8280.00,0.94
14,Entry Long,BUY,2021-02-11 06:45,739.00,1,2040.00,0.23,62940.00,0.78,6720.00,0.76,3600.00,0.41
14,Exit Long,INTRADAY_BExit,2021-02-11 09:45,740.70,1,2040.00,0.23,62940.00,0.78,6720.00,0.76,3600.00,0.41
15,Entry Long,BUY,2021-02-12 04:15,742.45,1,11160.00,1.25,74100.00,4.24,11580.00,1.3,1740.00,0.2
15,Exit Long,BUY_TG_HIT,2021-02-12 05:30,751.75,1,11160.00,1.25,74100.00,4.24,11580.00,1.3,1740.00,0.2
16,Entry Short,SELL,2021-02-12 08:30,747.25,1,-2760.00,-0.31,71340.00,-1.01,3240.00,0.36,3720.00,0.41
16,Exit Short,INTRADAY_SExit,2021-02-12 09:45,749.55,1,-2760.00,-0.31,71340.00,-1.01,3240.00,0.36,3720.00,0.41
17,Entry Long,BUY,2021-02-15 04:15,769.90,1,8700.00,0.94,80040.00,3.21,9360.00,1.01,3300.00,0.36
17,Exit Long,BUY_TG_HIT,2021-02-15 07:45,777.15,1,8700.00,0.94,80040.00,3.21,9360.00,1.01,3300.00,0.36
18,Entry Short,SELL,2021-02-16 04:30,783.20,1,10920.00,1.16,90960.00,3.9,12480.00,1.33,9180.00,0.98
18,Exit Short,SELL_TG_HIT,2021-02-16 07:45,774.10,1,10920.00,1.16,90960.00,3.9,12480.00,1.33,9180.00,0.98
19,Entry Long,BUY,2021-02-17 05:00,780.50,1,-4080.00,-0.44,86880.00,-1.4,8640.00,0.92,7200.00,0.77
19,Exit Long,SELL,2021-02-17 07:45,777.10,1,-4080.00,-0.44,86880.00,-1.4,8640.00,0.92,7200.00,0.77
20,Entry Short,SELL,2021-02-17 07:45,777.10,1,-4620.00,-0.5,82260.00,-1.61,2760.00,0.3,6420.00,0.69
20,Exit Short,INTRADAY_SExit,2021-02-17 09:45,780.95,1,-4620.00,-0.5,82260.00,-1.61,2760.00,0.3,6420.00,0.69
21,Entry Long,BUY,2021-02-18 04:30,781.85,1,-6300.00,-0.67,75960.00,-2.23,1320.00,0.14,7260.00,0.77
21,Exit Long,SELL,2021-02-18 05:30,776.60,1,-6300.00,-0.67,75960.00,-2.23,1320.00,0.14,7260.00,0.77
22,Entry Short,SELL,2021-02-18 05:30,776.60,1,9240.00,0.99,85200.00,3.35,9360.00,1,2640.00,0.28
22,Exit Short,SELL_TG_HIT,2021-02-18 07:15,768.90,1,9240.00,0.99,85200.00,3.35,9360.00,1,2640.00,0.28
23,Entry Long,BUY,2021-02-18 09:15,775.60,1,1560.00,0.17,86760.00,0.55,3660.00,0.39,2700.00,0.29
23,Exit Long,INTRADAY_BExit,2021-02-18 09:45,776.90,1,1560.00,0.17,86760.00,0.55,3660.00,0.39,2700.00,0.29
24,Entry Long,BUY,2021-02-19 05:15,775.75,1,-8160.00,-0.88,78600.00,-2.85,0,0,8640.00,0.93
24,Exit Long,SELL,2021-02-19 07:00,768.95,1,-8160.00,-0.88,78600.00,-2.85,0,0,8640.00,0.93
25,Entry Short,SELL,2021-02-19 07:00,768.95,1,9540.00,1.03,88140.00,3.42,10740.00,1.16,300.00,0.03
25,Exit Short,SELL_TG_HIT,2021-02-19 08:00,761.00,1,9540.00,1.03,88140.00,3.42,10740.00,1.16,300.00,0.03
26,Entry Short,SELL,2021-02-22 08:15,722.90,1,-4500.00,-0.52,83640.00,-1.56,1800.00,0.21,7440.00,0.86
26,Exit Short,BUY,2021-02-22 09:30,726.65,1,-4500.00,-0.52,83640.00,-1.56,1800.00,0.21,7440.00,0.86
27,Entry Long,BUY,2021-02-22 09:30,726.65,1,-6120.00,-0.7,77520.00,-2.16,720.00,0.08,6360.00,0.73
27,Exit Long,INTRADAY_BExit,2021-02-22 09:45,721.55,1,-6120.00,-0.7,77520.00,-2.16,720.00,0.08,6360.00,0.73
28,Entry Long,BUY,2021-02-23 07:45,726.65,1,-7800.00,-0.89,69720.00,-2.81,840.00,0.1,9780.00,1.12
28,Exit Long,SELL,2021-02-23 09:15,720.15,1,-7800.00,-0.89,69720.00,-2.81,840.00,0.1,9780.00,1.12
29,Entry Short,SELL,2021-02-23 09:15,720.15,1,1380.00,0.16,71100.00,0.51,6600.00,0.76,1140.00,0.13
29,Exit Short,INTRADAY_SExit,2021-02-23 09:45,719.00,1,1380.00,0.16,71100.00,0.51,6600.00,0.76,1140.00,0.13
30,Entry Long,BUY,2021-02-24 04:30,729.10,1,1500.00,0.17,72600.00,0.55,10320.00,1.18,2340.00,0.27
30,Exit Long,INTRADAY_BExit,2021-02-24 10:30,730.35,1,1500.00,0.17,72600.00,0.55,10320.00,1.18,2340.00,0.27
31,Entry Short,SELL,2021-02-25 08:30,775.90,1,120.00,0.01,72720.00,0.04,6180.00,0.66,3000.00,0.32
31,Exit Short,INTRADAY_SExit,2021-02-25 09:45,775.80,1,120.00,0.01,72720.00,0.04,6180.00,0.66,3000.00,0.32
