,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,148800.00,74.4,-9180.00,-4.59,157980.00,78.99
Gross Profit,1235460.00,617.73,594480.00,297.24,640980.00,320.49
Gross Loss,1086660.00,543.33,603660.00,301.83,483000.00,241.5
Max Drawdown,68400.00,26.13,,,,
Buy & Hold Return,0,0,,,,
Sharpe Ratio,0.442,,,,,
Sortino Ratio,1.28,,,,,
Profit Factor,1.137,,0.985,,1.327,
Max Contracts Held,1,,1,,1,
Open PL,0,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,457,,228,,229,
Total Open Trades,0,,0,,0,
Number Winning Trades,219,,103,,116,
Number Losing Trades,236,,124,,112,
Percent Profitable,47.92,,45.18,,50.66,
Avg Trade,325.60,0.16,-40.26,-0.02,689.87,0.34
Avg Winning Trade,5641.37,2.82,5771.65,2.89,5525.69,2.76
Avg Losing Trade,4604.49,2.3,4868.23,2.43,4312.50,2.16
Ratio Avg Win / Avg Loss,1.225,,1.186,,1.281,
Largest Winning Trade,14400.00,1.7,13020.00,1.7,14400.00,1.48
Largest Losing Trade,12480.00,1.35,11700.00,1.32,12480.00,1.35
Avg # Bars in Trades,20,,20,,20,
Avg # Bars in Winning Trades,22,,22,,22,
Avg # Bars in Losing Trades,19,,19,,18,
Margin Calls,0,,0,,0,
