Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:45,622.25,1,-4800.00,-0.64,-4800.00,-2.4,1920.00,0.26,5640.00,0.76
1,Exit Short,BUY,2021-01-01 07:00,626.25,1,-4800.00,-0.64,-4800.00,-2.4,1920.00,0.26,5640.00,0.76
2,Entry Long,BUY,2021-01-01 07:00,626.25,1,-300.00,-0.04,-5100.00,-0.15,1140.00,0.15,3360.00,0.45
2,Exit Long,INTRADAY_BExit,2021-01-01 09:45,626.00,1,-300.00,-0.04,-5100.00,-0.15,1140.00,0.15,3360.00,0.45
3,Entry Long,BUY,2021-01-04 04:30,635.60,1,-9600.00,-1.26,-14700.00,-4.93,0,0,14340.00,1.88
3,Exit Long,INTRADAY_BExit,2021-01-04 09:45,627.60,1,-9600.00,-1.26,-14700.00,-4.93,0,0,14340.00,1.88
4,Entry Long,BUY,2021-01-05 04:15,642.45,1,15120.00,1.96,420.00,8.16,17220.00,2.23,4260.00,0.55
4,Exit Long,BUY_TG_HIT,2021-01-05 07:15,655.05,1,15120.00,1.96,420.00,8.16,17220.00,2.23,4260.00,0.55
5,Entry Long,BUY,2021-01-05 07:30,655.30,1,12900.00,1.64,13320.00,6.44,15120.00,1.92,6660.00,0.85
5,Exit Long,INTRADAY_BExit,2021-01-05 09:45,666.05,1,12900.00,1.64,13320.00,6.44,15120.00,1.92,6660.00,0.85
6,Entry Short,SELL,2021-01-06 06:15,661.45,1,-7560.00,-0.95,5760.00,-3.54,1680.00,0.21,9600.00,1.21
6,Exit Short,BUY,2021-01-06 07:00,667.75,1,-7560.00,-0.95,5760.00,-3.54,1680.00,0.21,9600.00,1.21
7,Entry Long,BUY,2021-01-06 07:00,667.75,1,-4980.00,-0.62,780.00,-2.42,720.00,0.09,6240.00,0.78
7,Exit Long,SELL,2021-01-06 08:15,663.60,1,-4980.00,-0.62,780.00,-2.42,720.00,0.09,6240.00,0.78
8,Entry Short,SELL,2021-01-06 08:15,663.60,1,6780.00,0.85,7560.00,3.38,14160.00,1.78,0,0
8,Exit Short,INTRADAY_SExit,2021-01-06 09:45,657.95,1,6780.00,0.85,7560.00,3.38,14160.00,1.78,0,0
9,Entry Short,SELL,2021-01-07 05:15,664.25,1,-7080.00,-0.89,480.00,-3.41,180.00,0.02,7800.00,0.98
9,Exit Short,BUY,2021-01-07 06:00,670.15,1,-7080.00,-0.89,480.00,-3.41,180.00,0.02,7800.00,0.98
10,Entry Long,BUY,2021-01-07 06:00,670.15,1,3000.00,0.37,3480.00,1.5,10080.00,1.25,2940.00,0.37
10,Exit Long,INTRADAY_BExit,2021-01-07 09:45,672.65,1,3000.00,0.37,3480.00,1.5,10080.00,1.25,2940.00,0.37
11,Entry Long,BUY,2021-01-08 04:15,675.90,1,-1080.00,-0.13,2400.00,-0.53,4440.00,0.55,2160.00,0.27
11,Exit Long,SELL,2021-01-08 05:45,675.00,1,-1080.00,-0.13,2400.00,-0.53,4440.00,0.55,2160.00,0.27
12,Entry Short,SELL,2021-01-08 05:45,675.00,1,1500.00,0.19,3900.00,0.74,6300.00,0.78,2640.00,0.33
12,Exit Short,INTRADAY_SExit,2021-01-08 09:45,673.75,1,1500.00,0.19,3900.00,0.74,6300.00,0.78,2640.00,0.33
13,Entry Short,SELL,2021-01-11 04:15,666.65,1,-2520.00,-0.32,1380.00,-1.24,6180.00,0.77,3240.00,0.41
13,Exit Short,BUY,2021-01-11 07:15,668.75,1,-2520.00,-0.32,1380.00,-1.24,6180.00,0.77,3240.00,0.41
14,Entry Long,BUY,2021-01-11 07:15,668.75,1,-4740.00,-0.59,-3360.00,-2.35,780.00,0.1,5460.00,0.68
14,Exit Long,SELL,2021-01-11 08:45,664.80,1,-4740.00,-0.59,-3360.00,-2.35,780.00,0.1,5460.00,0.68
15,Entry Short,SELL,2021-01-11 08:45,664.80,1,-4620.00,-0.58,-7980.00,-2.35,1800.00,0.23,5340.00,0.67
15,Exit Short,INTRADAY_SExit,2021-01-11 09:45,668.65,1,-4620.00,-0.58,-7980.00,-2.35,1800.00,0.23,5340.00,0.67
16,Entry Long,BUY,2021-01-12 04:15,671.10,1,17220.00,2.14,9240.00,8.97,17880.00,2.22,4740.00,0.59
16,Exit Long,BUY_TG_HIT,2021-01-12 07:30,685.45,1,17220.00,2.14,9240.00,8.97,17880.00,2.22,4740.00,0.59
17,Entry Long,BUY,2021-01-12 07:45,686.85,1,-8700.00,-1.06,540.00,-4.16,1200.00,0.15,11040.00,1.34
17,Exit Long,INTRADAY_BExit,2021-01-12 09:45,679.60,1,-8700.00,-1.06,540.00,-4.16,1200.00,0.15,11040.00,1.34
