Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:00,670.90,100,3145.00,4.69,3145.00,3.15,3400.00,5.07,350.00,0.52
1,Exit Long,BUY_TG_HIT,2021-02-01 07:30,702.35,100,3145.00,4.69,3145.00,3.15,3400.00,5.07,350.00,0.52
2,Entry Short,SELL,2021-02-02 05:15,721.75,100,920.00,1.27,4065.00,0.89,1755.00,2.43,575.00,0.8
2,Exit Short,INTRADAY_SExit,2021-02-02 09:45,712.55,100,920.00,1.27,4065.00,0.89,1755.00,2.43,575.00,0.8
3,Entry Long,BUY,2021-02-03 04:15,729.55,100,505.00,0.69,4570.00,0.49,725.00,0.99,1075.00,1.47
3,Exit Long,INTRADAY_BExit,2021-02-03 09:45,734.60,100,505.00,0.69,4570.00,0.49,725.00,0.99,1075.00,1.47
4,Entry Short,SELL,2021-02-04 04:15,724.25,100,-920.00,-1.27,3650.00,-0.88,365.00,0.5,1065.00,1.47
4,Exit Short,BUY,2021-02-04 06:30,733.45,100,-920.00,-1.27,3650.00,-0.88,365.00,0.5,1065.00,1.47
5,Entry Long,BUY,2021-02-04 06:30,733.45,100,1040.00,1.42,4690.00,1,1200.00,1.64,285.00,0.39
5,Exit Long,INTRADAY_BExit,2021-02-04 09:45,743.85,100,1040.00,1.42,4690.00,1,1200.00,1.64,285.00,0.39
6,Entry Short,SELL,2021-02-05 05:15,749.35,100,1660.00,2.22,6350.00,1.59,1705.00,2.28,115.00,0.15
6,Exit Short,SELL_TG_HIT,2021-02-05 07:45,732.75,100,1660.00,2.22,6350.00,1.59,1705.00,2.28,115.00,0.15
7,Entry Long,BUY,2021-02-08 05:45,742.85,100,-850.00,-1.14,5500.00,-0.8,495.00,0.67,965.00,1.3
7,Exit Long,SELL,2021-02-08 09:30,734.35,100,-850.00,-1.14,5500.00,-0.8,495.00,0.67,965.00,1.3
8,Entry Short,SELL,2021-02-08 09:30,734.35,100,-285.00,-0.39,5215.00,-0.27,35.00,0.05,365.00,0.5
8,Exit Short,INTRADAY_SExit,2021-02-08 09:45,737.20,100,-285.00,-0.39,5215.00,-0.27,35.00,0.05,365.00,0.5
9,Entry Long,BUY,2021-02-09 05:45,739.75,100,350.00,0.47,5565.00,0.33,1025.00,1.39,40.00,0.05
9,Exit Long,INTRADAY_BExit,2021-02-09 09:45,743.25,100,350.00,0.47,5565.00,0.33,1025.00,1.39,40.00,0.05
10,Entry Short,SELL,2021-02-10 04:15,733.80,100,305.00,0.42,5870.00,0.29,725.00,0.99,265.00,0.36
10,Exit Short,BUY,2021-02-10 09:00,730.75,100,305.00,0.42,5870.00,0.29,725.00,0.99,265.00,0.36
11,Entry Long,BUY,2021-02-10 09:00,730.75,100,370.00,0.51,6240.00,0.35,370.00,0.51,465.00,0.64
11,Exit Long,INTRADAY_BExit,2021-02-10 09:45,734.45,100,370.00,0.51,6240.00,0.35,370.00,0.51,465.00,0.64
12,Entry Long,BUY,2021-02-11 06:45,738.15,100,165.00,0.22,6405.00,0.16,585.00,0.79,335.00,0.45
