Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,3472.10,1,6687.50,0.77,6687.50,3.34,8025.00,0.92,3775.00,0.43
1,Exit Long,BUY_TG_HIT,2021-01-01 15:00,3498.85,1,6687.50,0.77,6687.50,3.34,8025.00,0.92,3775.00,0.43
2,Entry Short,SELL,2021-01-05 09:45,3490.00,1,-4275.00,-0.49,2412.50,-2.07,3000.00,0.34,6125.00,0.7
2,Exit Short,INTRADAY_SExit,2021-01-05 15:15,3507.10,1,-4275.00,-0.49,2412.50,-2.07,3000.00,0.34,6125.00,0.7
3,Entry Long,BUY,2021-01-06 09:45,3528.95,1,-6662.50,-0.76,-4250.00,-3.29,2475.00,0.28,6662.50,0.76
3,Exit Long,BUY_SL_HIT,2021-01-06 12:00,3502.30,1,-6662.50,-0.76,-4250.00,-3.29,2475.00,0.28,6662.50,0.76
4,Entry Short,SELL,2021-01-06 12:15,3507.00,1,4312.50,0.49,62.50,2.2,7012.50,0.8,1562.50,0.18
4,Exit Short,SELL_TG_HIT,2021-01-06 13:45,3489.75,1,4312.50,0.49,62.50,2.2,7012.50,0.8,1562.50,0.18
5,Entry Long,BUY,2021-01-07 09:45,3511.95,1,-7962.50,-0.91,-7900.00,-3.98,137.50,0.02,7962.50,0.91
5,Exit Long,BUY_SL_HIT,2021-01-07 10:30,3480.10,1,-7962.50,-0.91,-7900.00,-3.98,137.50,0.02,7962.50,0.91
6,Entry Short,SELL,2021-01-07 12:00,3471.00,1,3612.50,0.42,-4287.50,1.88,6087.50,0.7,2500.00,0.29
6,Exit Short,INTRADAY_SExit,2021-01-07 15:15,3456.55,1,3612.50,0.42,-4287.50,1.88,6087.50,0.7,2500.00,0.29
7,Entry Long,BUY,2021-01-08 09:45,3499.85,1,6525.00,0.75,2237.50,3.33,6525.00,0.75,3687.50,0.42
