Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 04:15,3472.10,1,-2775.00,-0.32,-2775.00,-1.39,600.00,0.07,3350.00,0.39
1,Exit Long,SELL,2021-01-01 04:45,3461.00,1,-2775.00,-0.32,-2775.00,-1.39,600.00,0.07,3350.00,0.39
2,Entry Short,SELL,2021-01-01 04:45,3461.00,1,-3725.00,-0.43,-6500.00,-1.89,1000.00,0.12,3725.00,0.43
2,Exit Short,BUY,2021-01-01 06:15,3475.90,1,-3725.00,-0.43,-6500.00,-1.89,1000.00,0.12,3725.00,0.43
3,Entry Long,BUY,2021-01-01 06:15,3475.90,1,5737.50,0.66,-762.50,2.97,7075.00,0.81,3837.50,0.44
3,Exit Long,BUY_TG_HIT,2021-01-01 09:30,3498.85,1,5737.50,0.66,-762.50,2.97,7075.00,0.81,3837.50,0.44
4,Entry Long,BUY,2021-01-04 05:00,3499.65,1,5112.50,0.58,4350.00,2.57,5587.50,0.64,4450.00,0.51
4,Exit Long,BUY_TG_HIT,2021-01-04 07:45,3520.10,1,5112.50,0.58,4350.00,2.57,5587.50,0.64,4450.00,0.51
5,Entry Long,BUY,2021-01-04 08:00,3518.00,1,2750.00,0.31,7100.00,1.35,4250.00,0.48,1487.50,0.17
5,Exit Long,INTRADAY_BExit,2021-01-04 09:45,3529.00,1,2750.00,0.31,7100.00,1.35,4250.00,0.48,1487.50,0.17
6,Entry Short,SELL,2021-01-05 04:15,3490.00,1,-4275.00,-0.49,2825.00,-2.06,3000.00,0.34,6125.00,0.7
6,Exit Short,INTRADAY_SExit,2021-01-05 09:45,3507.10,1,-4275.00,-0.49,2825.00,-2.06,3000.00,0.34,6125.00,0.7
7,Entry Long,BUY,2021-01-06 04:15,3528.95,1,-2662.50,-0.3,162.50,-1.31,2475.00,0.28,3800.00,0.43
7,Exit Long,SELL,2021-01-06 05:45,3518.30,1,-2662.50,-0.3,162.50,-1.31,2475.00,0.28,3800.00,0.43
8,Entry Short,SELL,2021-01-06 05:45,3518.30,1,6137.50,0.7,6300.00,3.07,7075.00,0.8,962.50,0.11
8,Exit Short,SELL_TG_HIT,2021-01-06 07:30,3493.75,1,6137.50,0.7,6300.00,3.07,7075.00,0.8,962.50,0.11
9,Entry Short,SELL,2021-01-06 07:45,3488.10,1,7537.50,0.86,13837.50,3.65,9537.50,1.09,1875.00,0.22
9,Exit Short,SELL_TG_HIT,2021-01-06 08:45,3457.95,1,7537.50,0.86,13837.50,3.65,9537.50,1.09,1875.00,0.22
10,Entry Short,SELL,2021-01-07 05:00,3480.10,1,5875.00,0.68,19712.50,2.75,6525.00,0.75,2387.50,0.27
10,Exit Short,SELL_TG_HIT,2021-01-07 07:30,3456.60,1,5875.00,0.68,19712.50,2.75,6525.00,0.75,2387.50,0.27
11,Entry Short,SELL,2021-01-07 07:45,3465.45,1,2225.00,0.26,21937.50,1.01,4700.00,0.54,2262.50,0.26
11,Exit Short,INTRADAY_SExit,2021-01-07 09:45,3456.55,1,2225.00,0.26,21937.50,1.01,4700.00,0.54,2262.50,0.26
12,Entry Long,BUY,2021-01-08 04:15,3499.85,1,6525.00,0.75,28462.50,2.94,6525.00,0.75,3687.50,0.42
12,Exit Long,BUY_TG_HIT,2021-01-08 07:30,3525.95,1,6525.00,0.75,28462.50,2.94,6525.00,0.75,3687.50,0.42
13,Entry Long,BUY,2021-01-08 07:45,3522.00,1,6512.50,0.74,34975.00,2.85,6937.50,0.79,725.00,0.08
13,Exit Long,INTRADAY_BExit,2021-01-08 09:45,3548.05,1,6512.50,0.74,34975.00,2.85,6937.50,0.79,725.00,0.08
14,Entry Long,BUY,2021-01-11 07:00,3573.70,1,8825.00,0.99,43800.00,3.76,10262.50,1.15,1487.50,0.17
14,Exit Long,BUY_TG_HIT,2021-01-11 08:00,3609.00,1,8825.00,0.99,43800.00,3.76,10262.50,1.15,1487.50,0.17
15,Entry Long,BUY,2021-01-11 08:15,3611.30,1,3450.00,0.38,47250.00,1.42,4275.00,0.47,3825.00,0.42
15,Exit Long,INTRADAY_BExit,2021-01-11 09:45,3625.10,1,3450.00,0.38,47250.00,1.42,4275.00,0.47,3825.00,0.42
16,Entry Short,SELL,2021-01-12 04:45,3585.50,1,-13725.00,-1.53,33525.00,-5.55,3037.50,0.34,14787.50,1.65
16,Exit Short,BUY,2021-01-12 05:15,3640.40,1,-13725.00,-1.53,33525.00,-5.55,3037.50,0.34,14787.50,1.65
17,Entry Long,BUY,2021-01-12 05:15,3640.40,1,-2600.00,-0.29,30925.00,-1.11,3400.00,0.37,7600.00,0.84
17,Exit Long,INTRADAY_BExit,2021-01-12 09:45,3630.00,1,-2600.00,-0.29,30925.00,-1.11,3400.00,0.37,7600.00,0.84
18,Entry Short,SELL,2021-01-13 05:00,3604.80,1,-3800.00,-0.42,27125.00,-1.65,3462.50,0.38,5162.50,0.57
18,Exit Short,INTRADAY_SExit,2021-01-13 09:45,3620.00,1,-3800.00,-0.42,27125.00,-1.65,3462.50,0.38,5162.50,0.57
19,Entry Long,BUY,2021-01-14 05:30,3629.25,1,-2812.50,-0.31,24312.50,-1.24,3700.00,0.41,3537.50,0.39
19,Exit Long,SELL,2021-01-14 06:45,3618.00,1,-2812.50,-0.31,24312.50,-1.24,3700.00,0.41,3537.50,0.39
20,Entry Short,SELL,2021-01-14 06:45,3618.00,1,5262.50,0.58,29575.00,2.35,6137.50,0.68,0,0
20,Exit Short,SELL_TG_HIT,2021-01-14 07:15,3596.95,1,5262.50,0.58,29575.00,2.35,6137.50,0.68,0,0
21,Entry Long,BUY,2021-01-15 04:45,3581.40,1,9925.00,1.11,39500.00,4.32,9925.00,1.11,1800.00,0.2
21,Exit Long,BUY_TG_HIT,2021-01-15 06:15,3621.10,1,9925.00,1.11,39500.00,4.32,9925.00,1.11,1800.00,0.2
22,Entry Long,BUY,2021-01-15 06:30,3628.35,1,-8337.50,-0.92,31162.50,-3.48,0,0,9850.00,1.09
22,Exit Long,BUY_SL_HIT,2021-01-15 08:30,3595.00,1,-8337.50,-0.92,31162.50,-3.48,0,0,9850.00,1.09
23,Entry Short,SELL,2021-01-18 04:15,3540.00,1,5637.50,0.64,36800.00,2.44,5637.50,0.64,725.00,0.08
23,Exit Short,SELL_TG_HIT,2021-01-18 04:30,3517.45,1,5637.50,0.64,36800.00,2.44,5637.50,0.64,725.00,0.08
24,Entry Short,SELL,2021-01-18 05:00,3526.30,1,-8475.00,-0.96,28325.00,-3.58,1075.00,0.12,9112.50,1.03
24,Exit Short,SELL_SL_HIT,2021-01-18 05:45,3560.20,1,-8475.00,-0.96,28325.00,-3.58,1075.00,0.12,9112.50,1.03
25,Entry Long,BUY,2021-01-18 06:30,3566.00,1,6750.00,0.76,35075.00,2.96,7250.00,0.81,1025.00,0.11
25,Exit Long,BUY_TG_HIT,2021-01-18 08:15,3593.00,1,6750.00,0.76,35075.00,2.96,7250.00,0.81,1025.00,0.11
26,Entry Long,BUY,2021-01-19 04:15,3595.35,1,7412.50,0.82,42487.50,3.15,8412.50,0.94,3300.00,0.37
26,Exit Long,BUY_TG_HIT,2021-01-19 05:30,3625.00,1,7412.50,0.82,42487.50,3.15,8412.50,0.94,3300.00,0.37
27,Entry Long,BUY,2021-01-19 05:45,3624.00,1,5787.50,0.64,48275.00,2.39,6712.50,0.74,575.00,0.06
27,Exit Long,BUY_TG_HIT,2021-01-19 07:00,3647.15,1,5787.50,0.64,48275.00,2.39,6712.50,0.74,575.00,0.06
28,Entry Short,SELL,2021-01-20 06:00,3660.20,1,-4200.00,-0.46,44075.00,-1.69,212.50,0.02,4200.00,0.46
28,Exit Short,BUY,2021-01-20 06:30,3677.00,1,-4200.00,-0.46,44075.00,-1.69,212.50,0.02,4200.00,0.46
29,Entry Long,BUY,2021-01-20 06:30,3677.00,1,-7250.00,-0.79,36825.00,-2.97,2537.50,0.28,7437.50,0.81
29,Exit Long,INTRADAY_BExit,2021-01-20 09:45,3648.00,1,-7250.00,-0.79,36825.00,-2.97,2537.50,0.28,7437.50,0.81
30,Entry Long,BUY,2021-01-21 04:30,3704.85,1,5537.50,0.6,42362.50,2.34,5750.00,0.62,2462.50,0.27
30,Exit Long,BUY_TG_HIT,2021-01-21 05:00,3727.00,1,5537.50,0.6,42362.50,2.34,5750.00,0.62,2462.50,0.27
31,Entry Short,SELL,2021-01-21 09:30,3718.95,1,512.50,0.06,42875.00,0.21,7237.50,0.78,725.00,0.08
31,Exit Short,INTRADAY_SExit,2021-01-21 09:45,3716.90,1,512.50,0.06,42875.00,0.21,7237.50,0.78,725.00,0.08
32,Entry Long,BUY,2021-01-22 04:30,3937.50,1,21225.00,2.16,64100.00,8.74,24012.50,2.44,1625.00,0.17
32,Exit Long,BUY_TG_HIT,2021-01-22 04:45,4022.40,1,21225.00,2.16,64100.00,8.74,24012.50,2.44,1625.00,0.17
33,Entry Short,SELL,2021-01-25 04:15,4086.25,1,-11337.50,-1.11,52762.50,-4.29,5312.50,0.52,13187.50,1.29
33,Exit Short,SELL_SL_HIT,2021-01-25 04:45,4131.60,1,-11337.50,-1.11,52762.50,-4.29,5312.50,0.52,13187.50,1.29
34,Entry Long,BUY,2021-01-25 05:00,4146.10,1,-7837.50,-0.76,44925.00,-3.1,3625.00,0.35,10025.00,0.97
34,Exit Long,BUY_SL_HIT,2021-01-25 05:15,4114.75,1,-7837.50,-0.76,44925.00,-3.1,3625.00,0.35,10025.00,0.97
35,Entry Long,BUY,2021-01-25 06:45,4134.00,1,12012.50,1.16,56937.50,4.9,13112.50,1.27,3237.50,0.31
35,Exit Long,BUY_TG_HIT,2021-01-25 09:15,4182.05,1,12012.50,1.16,56937.50,4.9,13112.50,1.27,3237.50,0.31
36,Entry Long,BUY,2021-01-25 09:30,4174.15,1,-2475.00,-0.24,54462.50,-0.96,1712.50,0.16,4112.50,0.39
36,Exit Long,INTRADAY_BExit,2021-01-25 09:45,4164.25,1,-2475.00,-0.24,54462.50,-0.96,1712.50,0.16,4112.50,0.39
37,Entry Long,BUY,2021-01-27 04:45,4183.90,1,7775.00,0.74,62237.50,3.06,10237.50,0.98,5637.50,0.54
37,Exit Long,BUY_TG_HIT,2021-01-27 05:30,4215.00,1,7775.00,0.74,62237.50,3.06,10237.50,0.98,5637.50,0.54
38,Entry Long,BUY,2021-01-27 05:45,4209.60,1,-5612.50,-0.53,56625.00,-2.14,1687.50,0.16,8387.50,0.8
38,Exit Long,BUY_SL_HIT,2021-01-27 06:30,4187.15,1,-5612.50,-0.53,56625.00,-2.14,1687.50,0.16,8387.50,0.8
39,Entry Short,SELL,2021-01-27 08:15,4170.50,1,5425.00,0.52,62050.00,2.11,5625.00,0.54,1537.50,0.15
39,Exit Short,INTRADAY_SExit,2021-01-27 09:45,4148.80,1,5425.00,0.52,62050.00,2.11,5625.00,0.54,1537.50,0.15
40,Entry Short,SELL,2021-01-28 04:15,4153.90,1,-7875.00,-0.76,54175.00,-3.01,2400.00,0.23,8712.50,0.84
