Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,3462.50,100,2450.00,0.71,2450.00,2.45,3150.00,0.91,1250.00,0.36
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,3487.00,100,2450.00,0.71,2450.00,2.45,3150.00,0.91,1250.00,0.36
2,Entry Short,SELL,2021-01-04 09:45,3476.00,100,-1450.00,-0.42,1000.00,-1.42,1100.00,0.32,2200.00,0.63
2,Exit Short,BUY,2021-01-04 11:00,3490.50,100,-1450.00,-0.42,1000.00,-1.42,1100.00,0.32,2200.00,0.63
3,Entry Long,BUY,2021-01-04 11:00,3490.50,100,3380.00,0.97,4380.00,3.35,3750.00,1.07,1245.00,0.36
3,Exit Long,INTRADAY_BExit,2021-01-04 15:15,3524.30,100,3380.00,0.97,4380.00,3.35,3750.00,1.07,1245.00,0.36
4,Entry Short,SELL,2021-01-05 09:45,3480.45,100,-1345.00,-0.39,3035.00,-1.29,245.00,0.07,2395.00,0.69
4,Exit Short,BUY,2021-01-05 11:30,3493.90,100,-1345.00,-0.39,3035.00,-1.29,245.00,0.07,2395.00,0.69
5,Entry Long,BUY,2021-01-05 11:30,3493.90,100,-955.00,-0.27,2080.00,-0.93,910.00,0.26,1075.00,0.31
5,Exit Long,SELL,2021-01-05 12:30,3484.35,100,-955.00,-0.27,2080.00,-0.93,910.00,0.26,1075.00,0.31
6,Entry Short,SELL,2021-01-05 12:30,3484.35,100,-1615.00,-0.46,465.00,-1.58,935.00,0.27,1855.00,0.53
6,Exit Short,INTRADAY_SExit,2021-01-05 15:15,3500.50,100,-1615.00,-0.46,465.00,-1.58,935.00,0.27,1855.00,0.53
7,Entry Long,BUY,2021-01-06 09:45,3515.40,100,-1340.00,-0.38,-875.00,-1.33,1160.00,0.33,2040.00,0.58
7,Exit Long,SELL,2021-01-06 11:30,3502.00,100,-1340.00,-0.38,-875.00,-1.33,1160.00,0.33,2040.00,0.58
8,Entry Short,SELL,2021-01-06 11:30,3502.00,100,3700.00,1.06,2825.00,3.73,6610.00,1.89,680.00,0.19
8,Exit Short,BUY,2021-01-06 14:30,3465.00,100,3700.00,1.06,2825.00,3.73,6610.00,1.89,680.00,0.19
9,Entry Long,BUY,2021-01-06 14:30,3465.00,100,-205.00,-0.06,2620.00,-0.2,2825.00,0.82,1300.00,0.38
9,Exit Long,INTRADAY_BExit,2021-01-06 15:15,3462.95,100,-205.00,-0.06,2620.00,-0.2,2825.00,0.82,1300.00,0.38
10,Entry Long,BUY,2021-01-07 09:45,3492.30,100,-2830.00,-0.81,-210.00,-2.76,270.00,0.08,2830.00,0.81
10,Exit Long,SELL,2021-01-07 10:30,3464.00,100,-2830.00,-0.81,-210.00,-2.76,270.00,0.08,2830.00,0.81
11,Entry Short,SELL,2021-01-07 10:30,3464.00,100,905.00,0.26,695.00,0.91,3395.00,0.98,755.00,0.22
11,Exit Short,BUY,2021-01-07 14:00,3454.95,100,905.00,0.26,695.00,0.91,3395.00,0.98,755.00,0.22
12,Entry Long,BUY,2021-01-07 14:00,3454.95,100,-1395.00,-0.4,-700.00,-1.39,40.00,0.01,1445.00,0.42
12,Exit Long,SELL,2021-01-07 14:15,3441.00,100,-1395.00,-0.4,-700.00,-1.39,40.00,0.01,1445.00,0.42
13,Entry Short,SELL,2021-01-07 14:15,3441.00,100,425.00,0.12,-275.00,0.43,1050.00,0.31,900.00,0.26
13,Exit Short,INTRADAY_SExit,2021-01-07 15:15,3436.75,100,425.00,0.12,-275.00,0.43,1050.00,0.31,900.00,0.26
14,Entry Long,BUY,2021-01-08 09:45,3486.50,100,-1850.00,-0.53,-2125.00,-1.86,1335.00,0.38,1955.00,0.56
14,Exit Long,SELL,2021-01-08 11:30,3468.00,100,-1850.00,-0.53,-2125.00,-1.86,1335.00,0.38,1955.00,0.56
15,Entry Short,SELL,2021-01-08 11:30,3468.00,100,-1865.00,-0.54,-3990.00,-1.91,290.00,0.08,2250.00,0.65
15,Exit Short,BUY,2021-01-08 12:00,3486.65,100,-1865.00,-0.54,-3990.00,-1.91,290.00,0.08,2250.00,0.65
16,Entry Long,BUY,2021-01-08 12:00,3486.65,100,4450.00,1.28,460.00,4.63,4735.00,1.36,115.00,0.03
16,Exit Long,INTRADAY_BExit,2021-01-08 15:15,3531.15,100,4450.00,1.28,460.00,4.63,4735.00,1.36,115.00,0.03
17,Entry Short,SELL,2021-01-11 10:30,3531.00,100,-2300.00,-0.65,-1840.00,-2.29,1000.00,0.28,2400.00,0.68
17,Exit Short,BUY,2021-01-11 11:15,3554.00,100,-2300.00,-0.65,-1840.00,-2.29,1000.00,0.28,2400.00,0.68
18,Entry Long,BUY,2021-01-11 11:15,3554.00,100,6290.00,1.77,4450.00,6.41,6320.00,1.78,2245.00,0.63
18,Exit Long,INTRADAY_BExit,2021-01-11 15:15,3616.90,100,6290.00,1.77,4450.00,6.41,6320.00,1.78,2245.00,0.63
19,Entry Short,SELL,2021-01-12 09:45,3587.90,100,-220.00,-0.06,4230.00,-0.21,2980.00,0.83,535.00,0.15
19,Exit Short,BUY,2021-01-12 10:30,3590.10,100,-220.00,-0.06,4230.00,-0.21,2980.00,0.83,535.00,0.15
20,Entry Long,BUY,2021-01-12 10:30,3590.10,100,3205.00,0.89,7435.00,3.07,5270.00,1.47,10.00,0
20,Exit Long,INTRADAY_BExit,2021-01-12 15:15,3622.15,100,3205.00,0.89,7435.00,3.07,5270.00,1.47,10.00,0
21,Entry Long,BUY,2021-01-13 09:45,3622.50,100,-1300.00,-0.36,6135.00,-1.21,350.00,0.1,1860.00,0.51
21,Exit Long,SELL,2021-01-13 10:15,3609.50,100,-1300.00,-0.36,6135.00,-1.21,350.00,0.1,1860.00,0.51
22,Entry Short,SELL,2021-01-13 10:15,3609.50,100,-710.00,-0.2,5425.00,-0.67,2450.00,0.68,710.00,0.2
22,Exit Short,BUY,2021-01-13 10:45,3616.60,100,-710.00,-0.2,5425.00,-0.67,2450.00,0.68,710.00,0.2
23,Entry Long,BUY,2021-01-13 10:45,3616.60,100,-2200.00,-0.61,3225.00,-2.09,415.00,0.11,2610.00,0.72
23,Exit Long,SELL,2021-01-13 11:30,3594.60,100,-2200.00,-0.61,3225.00,-2.09,415.00,0.11,2610.00,0.72
24,Entry Short,SELL,2021-01-13 11:30,3594.60,100,-990.00,-0.28,2235.00,-0.96,1760.00,0.49,1335.00,0.37
