Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,4001.00,1,-7250.00,-0.72,-7250.00,-3.62,2250.00,0.22,11000.00,1.1
1,Exit Short,BUY,2021-02-01 05:00,4030.00,1,-7250.00,-0.72,-7250.00,-3.62,2250.00,0.22,11000.00,1.1
2,Entry Long,BUY,2021-02-01 05:00,4030.00,1,16000.00,1.59,8750.00,8.3,18000.00,1.79,2000.00,0.2
2,Exit Long,BUY_TG_HIT,2021-02-01 06:30,4094.00,1,16000.00,1.59,8750.00,8.3,18000.00,1.79,2000.00,0.2
3,Entry Long,BUY,2021-02-02 04:15,4226.00,1,13212.50,1.25,21962.50,6.33,14500.00,1.37,8062.50,0.76
3,Exit Long,BUY_TG_HIT,2021-02-02 04:45,4278.85,1,13212.50,1.25,21962.50,6.33,14500.00,1.37,8062.50,0.76
4,Entry Short,SELL,2021-02-02 05:30,4185.00,1,10487.50,1,32450.00,4.72,12250.00,1.17,3675.00,0.35
4,Exit Short,SELL_TG_HIT,2021-02-02 06:30,4143.05,1,10487.50,1,32450.00,4.72,12250.00,1.17,3675.00,0.35
5,Entry Long,BUY,2021-02-02 09:00,4212.00,1,-1750.00,-0.17,30700.00,-0.75,4500.00,0.43,3625.00,0.34
5,Exit Long,INTRADAY_BExit,2021-02-02 09:45,4205.00,1,-1750.00,-0.17,30700.00,-0.75,4500.00,0.43,3625.00,0.34
6,Entry Long,BUY,2021-02-03 04:30,4237.35,1,575.00,0.05,31275.00,0.25,4212.50,0.4,4412.50,0.42
6,Exit Long,SELL,2021-02-03 08:30,4239.65,1,575.00,0.05,31275.00,0.25,4212.50,0.4,4412.50,0.42
7,Entry Short,SELL,2021-02-03 08:30,4239.65,1,-2587.50,-0.24,28687.50,-1.12,725.00,0.07,8300.00,0.78
7,Exit Short,INTRADAY_SExit,2021-02-03 09:45,4250.00,1,-2587.50,-0.24,28687.50,-1.12,725.00,0.07,8300.00,0.78
8,Entry Short,SELL,2021-02-04 05:30,4261.30,1,8937.50,0.84,37625.00,3.91,9762.50,0.92,2350.00,0.22
8,Exit Short,SELL_TG_HIT,2021-02-04 06:45,4225.55,1,8937.50,0.84,37625.00,3.91,9762.50,0.92,2350.00,0.22
9,Entry Short,SELL,2021-02-04 08:15,4239.95,1,3550.00,0.33,41175.00,1.49,6662.50,0.63,4512.50,0.43
9,Exit Short,INTRADAY_SExit,2021-02-04 09:45,4225.75,1,3550.00,0.33,41175.00,1.49,6662.50,0.63,4512.50,0.43
10,Entry Short,SELL,2021-02-05 04:15,4201.70,1,-2675.00,-0.25,38500.00,-1.11,8325.00,0.79,4650.00,0.44
10,Exit Short,BUY,2021-02-05 06:30,4212.40,1,-2675.00,-0.25,38500.00,-1.11,8325.00,0.79,4650.00,0.44
11,Entry Long,BUY,2021-02-05 06:30,4212.40,1,11150.00,1.06,49650.00,4.68,12850.00,1.22,1575.00,0.15
11,Exit Long,BUY_TG_HIT,2021-02-05 06:45,4257.00,1,11150.00,1.06,49650.00,4.68,12850.00,1.22,1575.00,0.15
12,Entry Long,BUY,2021-02-05 09:15,4247.20,1,-1850.00,-0.17,47800.00,-0.74,2287.50,0.22,3300.00,0.31
12,Exit Long,INTRADAY_BExit,2021-02-05 09:45,4239.80,1,-1850.00,-0.17,47800.00,-0.74,2287.50,0.22,3300.00,0.31
13,Entry Short,SELL,2021-02-08 04:30,4227.50,1,-8825.00,-0.84,38975.00,-3.56,5362.50,0.51,11712.50,1.11
13,Exit Short,BUY,2021-02-08 08:45,4262.80,1,-8825.00,-0.84,38975.00,-3.56,5362.50,0.51,11712.50,1.11
14,Entry Long,BUY,2021-02-08 08:45,4262.80,1,-1700.00,-0.16,37275.00,-0.71,3775.00,0.35,1700.00,0.16
14,Exit Long,INTRADAY_BExit,2021-02-08 09:45,4256.00,1,-1700.00,-0.16,37275.00,-0.71,3775.00,0.35,1700.00,0.16
15,Entry Short,SELL,2021-02-09 04:15,4209.00,1,700.00,0.07,37975.00,0.3,6375.00,0.61,3800.00,0.36
15,Exit Short,BUY,2021-02-09 08:00,4206.20,1,700.00,0.07,37975.00,0.3,6375.00,0.61,3800.00,0.36
16,Entry Long,BUY,2021-02-09 08:00,4206.20,1,-7800.00,-0.74,30175.00,-3.28,3237.50,0.31,10300.00,0.98
16,Exit Long,INTRADAY_BExit,2021-02-09 09:45,4175.00,1,-7800.00,-0.74,30175.00,-3.28,3237.50,0.31,10300.00,0.98
17,Entry Short,SELL,2021-02-10 04:30,4141.35,1,-2412.50,-0.23,27762.50,-1.05,5462.50,0.53,4412.50,0.43
17,Exit Short,BUY,2021-02-10 06:45,4151.00,1,-2412.50,-0.23,27762.50,-1.05,5462.50,0.53,4412.50,0.43
18,Entry Long,BUY,2021-02-10 06:45,4151.00,1,5850.00,0.56,33612.50,2.57,5987.50,0.58,4075.00,0.39
18,Exit Long,INTRADAY_BExit,2021-02-10 09:45,4174.40,1,5850.00,0.56,33612.50,2.57,5987.50,0.58,4075.00,0.39
19,Entry Short,SELL,2021-02-11 07:45,4200.00,1,2337.50,0.22,35950.00,1,2837.50,0.27,862.50,0.08
19,Exit Short,INTRADAY_SExit,2021-02-11 09:45,4190.65,1,2337.50,0.22,35950.00,1,2837.50,0.27,862.50,0.08
20,Entry Long,BUY,2021-02-15 04:15,4172.00,1,-3300.00,-0.32,32650.00,-1.4,2500.00,0.24,5037.50,0.48
20,Exit Long,SELL,2021-02-15 08:00,4158.80,1,-3300.00,-0.32,32650.00,-1.4,2500.00,0.24,5037.50,0.48
21,Entry Short,SELL,2021-02-15 08:00,4158.80,1,5025.00,0.48,37675.00,2.16,6325.00,0.61,887.50,0.09
21,Exit Short,INTRADAY_SExit,2021-02-15 09:45,4138.70,1,5025.00,0.48,37675.00,2.16,6325.00,0.61,887.50,0.09
22,Entry Long,BUY,2021-02-16 04:30,4169.05,1,-4312.50,-0.41,33362.50,-1.81,5500.00,0.53,5762.50,0.55
22,Exit Long,SELL,2021-02-16 06:15,4151.80,1,-4312.50,-0.41,33362.50,-1.81,5500.00,0.53,5762.50,0.55
23,Entry Short,SELL,2021-02-16 06:15,4151.80,1,1225.00,0.12,34587.50,0.52,5162.50,0.5,1550.00,0.15
23,Exit Short,INTRADAY_SExit,2021-02-16 09:45,4146.90,1,1225.00,0.12,34587.50,0.52,5162.50,0.5,1550.00,0.15
24,Entry Long,BUY,2021-02-17 04:15,4183.75,1,-7262.50,-0.69,27325.00,-3.1,1012.50,0.1,7937.50,0.76
24,Exit Long,SELL,2021-02-17 07:15,4154.70,1,-7262.50,-0.69,27325.00,-3.1,1012.50,0.1,7937.50,0.76
25,Entry Short,SELL,2021-02-17 07:15,4154.70,1,-1550.00,-0.15,25775.00,-0.68,9425.00,0.91,1550.00,0.15
25,Exit Short,BUY,2021-02-17 09:00,4160.90,1,-1550.00,-0.15,25775.00,-0.68,9425.00,0.91,1550.00,0.15
26,Entry Long,BUY,2021-02-17 09:00,4160.90,1,1762.50,0.17,27537.50,0.78,4262.50,0.41,937.50,0.09
26,Exit Long,INTRADAY_BExit,2021-02-17 09:45,4167.95,1,1762.50,0.17,27537.50,0.78,4262.50,0.41,937.50,0.09
27,Entry Short,SELL,2021-02-18 06:15,4135.40,1,4962.50,0.48,32500.00,2.18,4962.50,0.48,4637.50,0.45
27,Exit Short,INTRADAY_SExit,2021-02-18 09:45,4115.55,1,4962.50,0.48,32500.00,2.18,4962.50,0.48,4637.50,0.45
28,Entry Short,SELL,2021-02-19 08:00,4011.05,1,-2575.00,-0.26,29925.00,-1.11,5875.00,0.59,2575.00,0.26
28,Exit Short,INTRADAY_SExit,2021-02-19 09:45,4021.35,1,-2575.00,-0.26,29925.00,-1.11,5875.00,0.59,2575.00,0.26
29,Entry Long,BUY,2021-02-22 04:15,4020.25,1,-12937.50,-1.29,16987.50,-5.63,4387.50,0.44,15562.50,1.55
29,Exit Long,BUY_SL_HIT,2021-02-22 04:30,3968.50,1,-12937.50,-1.29,16987.50,-5.63,4387.50,0.44,15562.50,1.55
30,Entry Short,SELL,2021-02-22 08:30,3976.80,1,-600.00,-0.06,16387.50,-0.28,2487.50,0.25,5737.50,0.58
30,Exit Short,INTRADAY_SExit,2021-02-22 09:45,3979.20,1,-600.00,-0.06,16387.50,-0.28,2487.50,0.25,5737.50,0.58
31,Entry Short,SELL,2021-02-23 04:15,3915.00,1,-8312.50,-0.85,8075.00,-3.84,3750.00,0.38,9275.00,0.95
31,Exit Short,SELL_SL_HIT,2021-02-23 05:00,3948.25,1,-8312.50,-0.85,8075.00,-3.84,3750.00,0.38,9275.00,0.95
