Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:25,3553.05,100,-2205.00,-0.62,-2205.00,-2.2,650.00,0.18,2410.00,0.68
1,Exit Long,SELL,2021-01-11 05:00,3531.00,100,-2205.00,-0.62,-2205.00,-2.2,650.00,0.18,2410.00,0.68
2,Entry Short,SELL,2021-01-11 05:00,3531.00,100,-2005.00,-0.57,-4210.00,-2.05,1000.00,0.28,2195.00,0.62
2,Exit Short,SELL_SL_HIT,2021-01-11 05:40,3551.05,100,-2005.00,-0.57,-4210.00,-2.05,1000.00,0.28,2195.00,0.62
3,Entry Long,BUY,2021-01-11 05:45,3554.00,100,-990.00,-0.28,-5200.00,-1.03,300.00,0.08,1165.00,0.33
3,Exit Long,SELL,2021-01-11 06:00,3544.10,100,-990.00,-0.28,-5200.00,-1.03,300.00,0.08,1165.00,0.33
4,Entry Short,SELL,2021-01-11 06:00,3544.10,100,-875.00,-0.25,-6075.00,-0.92,1255.00,0.35,890.00,0.25
4,Exit Short,BUY,2021-01-11 06:50,3552.85,100,-875.00,-0.25,-6075.00,-0.92,1255.00,0.35,890.00,0.25
5,Entry Long,BUY,2021-01-11 06:50,3552.85,100,1805.00,0.51,-4270.00,1.92,1885.00,0.53,185.00,0.05
5,Exit Long,BUY_TG_HIT,2021-01-11 07:40,3570.90,100,1805.00,0.51,-4270.00,1.92,1885.00,0.53,185.00,0.05
6,Entry Short,SELL,2021-01-12 04:05,3578.20,100,1955.00,0.55,-2315.00,2.04,2010.00,0.56,1475.00,0.41
6,Exit Short,SELL_TG_HIT,2021-01-12 04:55,3558.65,100,1955.00,0.55,-2315.00,2.04,2010.00,0.56,1475.00,0.41
7,Entry Long,BUY,2021-01-12 05:05,3599.00,100,2090.00,0.58,-225.00,2.14,2300.00,0.64,125.00,0.03
