Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,8686.70,1,-5665.00,-1.3,-5665.00,-2.83,55.00,0.01,5665.00,1.3
1,Exit Short,SELL_SL_HIT,2021-02-01 04:45,8800.00,1,-5665.00,-1.3,-5665.00,-2.83,55.00,0.01,5665.00,1.3
2,Entry Long,BUY,2021-02-01 05:30,8821.50,1,12425.00,2.82,6760.00,6.39,18925.00,4.29,3485.00,0.79
2,Exit Long,BUY_TG_HIT,2021-02-01 06:30,9070.00,1,12425.00,2.82,6760.00,6.39,18925.00,4.29,3485.00,0.79
3,Entry Short,SELL,2021-02-02 05:00,9741.20,1,6560.00,1.35,13320.00,3.17,6560.00,1.35,2125.00,0.44
3,Exit Short,SELL_TG_HIT,2021-02-02 05:15,9610.00,1,6560.00,1.35,13320.00,3.17,6560.00,1.35,2125.00,0.44
4,Entry Long,BUY,2021-02-03 05:00,9599.80,1,-3057.50,-0.64,10262.50,-1.43,260.00,0.05,4515.00,0.94
4,Exit Long,SELL,2021-02-03 06:30,9538.65,1,-3057.50,-0.64,10262.50,-1.43,260.00,0.05,4515.00,0.94
5,Entry Short,SELL,2021-02-03 06:30,9538.65,1,-1567.50,-0.33,8695.00,-0.75,3332.50,0.7,1567.50,0.33
5,Exit Short,BUY,2021-02-03 09:00,9570.00,1,-1567.50,-0.33,8695.00,-0.75,3332.50,0.7,1567.50,0.33
6,Entry Long,BUY,2021-02-03 09:00,9570.00,1,337.50,0.07,9032.50,0.16,1315.00,0.27,2647.50,0.55
6,Exit Long,INTRADAY_BExit,2021-02-03 09:45,9576.75,1,337.50,0.07,9032.50,0.16,1315.00,0.27,2647.50,0.55
7,Entry Long,BUY,2021-02-04 08:30,9706.75,1,4460.00,0.92,13492.50,2.13,5162.50,1.06,0,0
7,Exit Long,BUY_TG_HIT,2021-02-04 08:45,9795.95,1,4460.00,0.92,13492.50,2.13,5162.50,1.06,0,0
8,Entry Short,SELL,2021-02-04 09:30,9731.35,1,-935.00,-0.19,12557.50,-0.44,462.50,0.1,2282.50,0.47
8,Exit Short,INTRADAY_SExit,2021-02-04 09:45,9750.05,1,-935.00,-0.19,12557.50,-0.44,462.50,0.1,2282.50,0.47
