Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-16 09:35,10475.00,1,-2757.50,-0.53,-2757.50,-1.38,2690.00,0.51,2877.50,0.55
1,Exit Short,SELL_SL_HIT,2021-02-16 10:10,10530.15,1,-2757.50,-0.53,-2757.50,-1.38,2690.00,0.51,2877.50,0.55
2,Entry Long,BUY,2021-02-16 15:00,10481.90,1,902.50,0.17,-1855.00,0.46,1502.50,0.29,0,0
2,Exit Long,INTRADAY_BExit,2021-02-16 15:05,10499.95,1,902.50,0.17,-1855.00,0.46,1502.50,0.29,0,0
3,Entry Short,SELL,2021-02-17 10:05,10368.95,1,2622.50,0.51,767.50,1.32,3227.50,0.62,472.50,0.09
3,Exit Short,SELL_TG_HIT,2021-02-17 10:20,10316.50,1,2622.50,0.51,767.50,1.32,3227.50,0.62,472.50,0.09
4,Entry Long,BUY,2021-02-17 14:15,10256.25,1,-117.50,-0.02,650.00,-0.06,1687.50,0.33,1655.00,0.32
4,Exit Long,INTRADAY_BExit,2021-02-17 15:05,10253.90,1,-117.50,-0.02,650.00,-0.06,1687.50,0.33,1655.00,0.32
5,Entry Short,SELL,2021-02-18 13:55,10199.00,1,-757.50,-0.15,-107.50,-0.38,1450.00,0.28,1767.50,0.35
5,Exit Short,INTRADAY_SExit,2021-02-18 15:05,10214.15,1,-757.50,-0.15,-107.50,-0.38,1450.00,0.28,1767.50,0.35
6,Entry Long,BUY,2021-02-19 09:50,10233.95,1,5302.50,1.04,5195.00,2.65,6975.00,1.36,1010.00,0.2
6,Exit Long,BUY_TG_HIT,2021-02-19 10:25,10340.00,1,5302.50,1.04,5195.00,2.65,6975.00,1.36,1010.00,0.2
7,Entry Short,SELL,2021-02-19 12:20,10223.45,1,-2277.50,-0.45,2917.50,-1.11,0,0,3457.50,0.68
7,Exit Short,SELL_SL_HIT,2021-02-19 12:50,10269.00,1,-2277.50,-0.45,2917.50,-1.11,0,0,3457.50,0.68
8,Entry Long,BUY,2021-02-22 09:35,10194.85,1,-507.50,-0.1,2410.00,-0.25,257.50,0.05,1320.00,0.26
8,Exit Long,SELL,2021-02-22 09:55,10184.70,1,-507.50,-0.1,2410.00,-0.25,257.50,0.05,1320.00,0.26
9,Entry Short,SELL,2021-02-22 09:55,10184.70,1,2835.00,0.56,5245.00,1.4,3170.00,0.62,1595.00,0.31
9,Exit Short,SELL_TG_HIT,2021-02-22 12:10,10128.00,1,2835.00,0.56,5245.00,1.4,3170.00,0.62,1595.00,0.31
10,Entry Long,BUY,2021-02-22 14:55,10051.95,1,-2037.50,-0.41,3207.50,-0.99,652.50,0.13,2197.50,0.44
10,Exit Long,INTRADAY_BExit,2021-02-22 15:05,10011.20,1,-2037.50,-0.41,3207.50,-0.99,652.50,0.13,2197.50,0.44
11,Entry Short,SELL,2021-02-23 11:45,10063.00,1,4157.50,0.83,7365.00,2.05,4157.50,0.83,1270.00,0.25
11,Exit Short,SELL_TG_HIT,2021-02-23 12:40,9979.85,1,4157.50,0.83,7365.00,2.05,4157.50,0.83,1270.00,0.25
12,Entry Long,BUY,2021-02-23 14:20,10029.45,1,-297.50,-0.06,7067.50,-0.14,1675.00,0.33,967.50,0.19
12,Exit Long,INTRADAY_BExit,2021-02-23 15:05,10023.50,1,-297.50,-0.06,7067.50,-0.14,1675.00,0.33,967.50,0.19
13,Entry Short,SELL,2021-02-24 11:30,10079.30,1,1210.00,0.24,8277.50,0.58,2065.00,0.41,0,0
