Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:15,10434.40,1,7127.50,1.37,7127.50,3.56,9230.00,1.77,2740.00,0.53
1,Exit Long,INTRADAY_BExit,2021-02-15 09:35,10576.95,1,7127.50,1.37,7127.50,3.56,9230.00,1.77,2740.00,0.53
2,Entry Short,SELL,2021-02-16 04:05,10475.00,1,-2757.50,-0.53,4370.00,-1.33,2690.00,0.51,2877.50,0.55
2,Exit Short,BUY,2021-02-16 04:40,10530.15,1,-2757.50,-0.53,4370.00,-1.33,2690.00,0.51,2877.50,0.55
3,Entry Long,BUY,2021-02-16 04:40,10530.15,1,-1907.50,-0.36,2462.50,-0.93,1810.00,0.34,2747.50,0.52
3,Exit Long,SELL,2021-02-16 04:55,10492.00,1,-1907.50,-0.36,2462.50,-0.93,1810.00,0.34,2747.50,0.52
4,Entry Short,SELL,2021-02-16 04:55,10492.00,1,-1207.50,-0.23,1255.00,-0.6,1330.00,0.25,1590.00,0.3
4,Exit Short,BUY,2021-02-16 05:20,10516.15,1,-1207.50,-0.23,1255.00,-0.6,1330.00,0.25,1590.00,0.3
5,Entry Long,BUY,2021-02-16 05:20,10516.15,1,-2257.50,-0.43,-1002.50,-1.12,0,0,2257.50,0.43
5,Exit Long,SELL,2021-02-16 05:45,10471.00,1,-2257.50,-0.43,-1002.50,-1.12,0,0,2257.50,0.43
6,Entry Short,SELL,2021-02-16 05:45,10471.00,1,-1447.50,-0.28,-2450.00,-0.73,4575.00,0.87,2047.50,0.39
6,Exit Short,INTRADAY_SExit,2021-02-16 09:35,10499.95,1,-1447.50,-0.28,-2450.00,-0.73,4575.00,0.87,2047.50,0.39
7,Entry Short,SELL,2021-02-17 04:15,10436.20,1,11190.00,2.14,8740.00,5.66,11190.00,2.14,1477.50,0.28
7,Exit Short,SELL_TG_HIT,2021-02-17 07:30,10212.40,1,11190.00,2.14,8740.00,5.66,11190.00,2.14,1477.50,0.28
8,Entry Short,SELL,2021-02-18 04:20,10190.80,1,-1167.50,-0.23,7572.50,-0.56,2107.50,0.41,3110.00,0.61
8,Exit Short,INTRADAY_SExit,2021-02-18 09:35,10214.15,1,-1167.50,-0.23,7572.50,-0.56,2107.50,0.41,3110.00,0.61
9,Entry Long,BUY,2021-02-19 04:15,10250.40,1,-1347.50,-0.26,6225.00,-0.65,9532.50,1.86,1832.50,0.36
9,Exit Long,SELL,2021-02-19 06:50,10223.45,1,-1347.50,-0.26,6225.00,-0.65,9532.50,1.86,1832.50,0.36
10,Entry Short,SELL,2021-02-19 06:50,10223.45,1,-2277.50,-0.45,3947.50,-1.1,0,0,3457.50,0.68
10,Exit Short,BUY,2021-02-19 07:20,10269.00,1,-2277.50,-0.45,3947.50,-1.1,0,0,3457.50,0.68
11,Entry Long,BUY,2021-02-19 07:20,10269.00,1,-3450.00,-0.67,497.50,-1.69,0,0,5697.50,1.11
11,Exit Long,INTRADAY_BExit,2021-02-19 09:35,10200.00,1,-3450.00,-0.67,497.50,-1.69,0,0,5697.50,1.11
12,Entry Short,SELL,2021-02-22 04:50,10181.25,1,8502.50,1.67,9000.00,4.24,11242.50,2.21,1767.50,0.35
12,Exit Short,INTRADAY_SExit,2021-02-22 09:35,10011.20,1,8502.50,1.67,9000.00,4.24,11242.50,2.21,1767.50,0.35
13,Entry Short,SELL,2021-02-23 04:10,10175.85,1,-100.00,-0.02,8900.00,-0.05,5970.00,1.17,100.00,0.02
13,Exit Short,BUY,2021-02-23 04:55,10177.85,1,-100.00,-0.02,8900.00,-0.05,5970.00,1.17,100.00,0.02
14,Entry Long,BUY,2021-02-23 04:55,10177.85,1,-3805.00,-0.75,5095.00,-1.82,112.50,0.02,3805.00,0.75
14,Exit Long,SELL,2021-02-23 06:05,10101.75,1,-3805.00,-0.75,5095.00,-1.82,112.50,0.02,3805.00,0.75
15,Entry Short,SELL,2021-02-23 06:05,10101.75,1,3912.50,0.77,9007.50,1.91,7740.00,1.53,300.00,0.06
15,Exit Short,INTRADAY_SExit,2021-02-23 09:35,10023.50,1,3912.50,0.77,9007.50,1.91,7740.00,1.53,300.00,0.06
16,Entry Long,BUY,2021-02-24 04:40,10207.10,1,-6545.00,-1.28,2462.50,-3.13,2015.00,0.39,7152.50,1.4
16,Exit Long,SELL,2021-02-24 06:05,10076.20,1,-6545.00,-1.28,2462.50,-3.13,2015.00,0.39,7152.50,1.4
17,Entry Short,SELL,2021-02-24 06:05,10076.20,1,-2040.00,-0.4,422.50,-1.01,1910.00,0.38,2040.00,0.4
17,Exit Short,INTRADAY_SExit,2021-02-24 10:20,10117.00,1,-2040.00,-0.4,422.50,-1.01,1910.00,0.38,2040.00,0.4
18,Entry Short,SELL,2021-02-25 04:25,10269.20,1,-2640.00,-0.51,-2217.50,-1.32,4365.00,0.85,2640.00,0.51
18,Exit Short,BUY,2021-02-25 05:25,10322.00,1,-2640.00,-0.51,-2217.50,-1.32,4365.00,0.85,2640.00,0.51
19,Entry Long,BUY,2021-02-25 05:25,10322.00,1,860.00,0.17,-1357.50,0.43,6397.50,1.24,1045.00,0.2
19,Exit Long,INTRADAY_BExit,2021-02-25 09:35,10339.20,1,860.00,0.17,-1357.50,0.43,6397.50,1.24,1045.00,0.2
20,Entry Short,SELL,2021-02-26 04:05,10135.00,1,-937.50,-0.19,-2295.00,-0.47,382.50,0.08,1400.00,0.28
20,Exit Short,BUY,2021-02-26 04:10,10153.75,1,-937.50,-0.19,-2295.00,-0.47,382.50,0.08,1400.00,0.28
21,Entry Long,BUY,2021-02-26 04:10,10153.75,1,-4510.00,-0.89,-6805.00,-2.28,865.00,0.17,4567.50,0.9
21,Exit Long,SELL,2021-02-26 04:35,10063.55,1,-4510.00,-0.89,-6805.00,-2.28,865.00,0.17,4567.50,0.9
22,Entry Short,SELL,2021-02-26 04:35,10063.55,1,10627.50,2.11,3822.50,5.5,11627.50,2.31,1220.00,0.24
22,Exit Short,SELL_TG_HIT,2021-02-26 05:30,9851.00,1,10627.50,2.11,3822.50,5.5,11627.50,2.31,1220.00,0.24
23,Entry Short,SELL,2021-03-01 04:05,9758.10,1,-3570.00,-0.73,252.50,-1.75,0,0,3570.00,0.73
23,Exit Short,BUY,2021-03-01 04:25,9829.50,1,-3570.00,-0.73,252.50,-1.75,0,0,3570.00,0.73
24,Entry Long,BUY,2021-03-01 04:25,9829.50,1,-2855.00,-0.58,-2602.50,-1.43,175.00,0.04,3847.50,0.78
24,Exit Long,SELL,2021-03-01 04:45,9772.40,1,-2855.00,-0.58,-2602.50,-1.43,175.00,0.04,3847.50,0.78
25,Entry Short,SELL,2021-03-01 04:45,9772.40,1,-1130.00,-0.23,-3732.50,-0.57,1140.00,0.23,1785.00,0.37
25,Exit Short,BUY,2021-03-01 05:05,9795.00,1,-1130.00,-0.23,-3732.50,-0.57,1140.00,0.23,1785.00,0.37
26,Entry Long,BUY,2021-03-01 05:05,9795.00,1,-1750.00,-0.36,-5482.50,-0.89,4757.50,0.97,1750.00,0.36
26,Exit Long,SELL,2021-03-01 06:15,9760.00,1,-1750.00,-0.36,-5482.50,-0.89,4757.50,0.97,1750.00,0.36
27,Entry Short,SELL,2021-03-01 06:15,9760.00,1,-2410.00,-0.49,-7892.50,-1.24,5727.50,1.17,2815.00,0.58
27,Exit Short,BUY,2021-03-01 08:40,9808.20,1,-2410.00,-0.49,-7892.50,-1.24,5727.50,1.17,2815.00,0.58
28,Entry Long,BUY,2021-03-01 08:40,9808.20,1,510.00,0.1,-7382.50,0.27,2640.00,0.54,1270.00,0.26
28,Exit Long,INTRADAY_BExit,2021-03-01 09:35,9818.40,1,510.00,0.1,-7382.50,0.27,2640.00,0.54,1270.00,0.26
29,Entry Long,BUY,2021-03-02 04:05,9948.85,1,-1737.50,-0.35,-9120.00,-0.9,3650.00,0.73,2692.50,0.54
29,Exit Long,SELL,2021-03-02 05:10,9914.10,1,-1737.50,-0.35,-9120.00,-0.9,3650.00,0.73,2692.50,0.54
30,Entry Short,SELL,2021-03-02 05:10,9914.10,1,1710.00,0.34,-7410.00,0.9,5442.50,1.1,327.50,0.07
30,Exit Short,INTRADAY_SExit,2021-03-02 09:35,9879.90,1,1710.00,0.34,-7410.00,0.9,5442.50,1.1,327.50,0.07
31,Entry Long,BUY,2021-03-03 04:05,9974.00,1,10800.00,2.17,3390.00,5.61,10802.50,2.17,1137.50,0.23
31,Exit Long,BUY_TG_HIT,2021-03-03 06:05,10190.00,1,10800.00,2.17,3390.00,5.61,10802.50,2.17,1137.50,0.23
32,Entry Long,BUY,2021-03-03 06:10,10202.40,1,10845.00,2.13,14235.00,5.33,11277.50,2.21,622.50,0.12
32,Exit Long,INTRADAY_BExit,2021-03-03 09:35,10419.30,1,10845.00,2.13,14235.00,5.33,11277.50,2.21,622.50,0.12
33,Entry Short,SELL,2021-03-04 04:05,10116.00,1,-4392.50,-0.87,9842.50,-2.05,35.00,0.01,4952.50,0.98
33,Exit Short,BUY,2021-03-04 04:45,10203.85,1,-4392.50,-0.87,9842.50,-2.05,35.00,0.01,4952.50,0.98
34,Entry Long,BUY,2021-03-04 04:45,10203.85,1,-2595.00,-0.51,7247.50,-1.24,6427.50,1.26,2692.50,0.53
34,Exit Long,INTRADAY_BExit,2021-03-04 09:35,10151.95,1,-2595.00,-0.51,7247.50,-1.24,6427.50,1.26,2692.50,0.53
35,Entry Short,SELL,2021-03-05 04:05,10053.15,1,-3942.50,-0.78,3305.00,-1.9,957.50,0.19,4717.50,0.94
35,Exit Short,BUY,2021-03-05 04:20,10132.00,1,-3942.50,-0.78,3305.00,-1.9,957.50,0.19,4717.50,0.94
36,Entry Long,BUY,2021-03-05 04:20,10132.00,1,-3005.00,-0.59,300.00,-1.48,2882.50,0.57,3325.00,0.66
36,Exit Long,SELL,2021-03-05 05:00,10071.90,1,-3005.00,-0.59,300.00,-1.48,2882.50,0.57,3325.00,0.66
37,Entry Short,SELL,2021-03-05 05:00,10071.90,1,6122.50,1.22,6422.50,3.06,8282.50,1.64,1900.00,0.38
37,Exit Short,INTRADAY_SExit,2021-03-05 09:35,9949.45,1,6122.50,1.22,6422.50,3.06,8282.50,1.64,1900.00,0.38
38,Entry Short,SELL,2021-03-08 04:15,9982.20,1,2010.00,0.4,8432.50,0.97,7860.00,1.57,2087.50,0.42
38,Exit Short,BUY,2021-03-08 09:15,9942.00,1,2010.00,0.4,8432.50,0.97,7860.00,1.57,2087.50,0.42
39,Entry Long,BUY,2021-03-08 09:15,9942.00,1,-90.00,-0.02,8342.50,-0.04,345.00,0.07,500.00,0.1
39,Exit Long,SELL,2021-03-08 09:20,9940.20,1,-90.00,-0.02,8342.50,-0.04,345.00,0.07,500.00,0.1
40,Entry Short,SELL,2021-03-08 09:20,9940.20,1,3460.00,0.7,11802.50,1.66,3460.00,0.7,125.00,0.03
40,Exit Short,INTRADAY_SExit,2021-03-08 09:35,9871.00,1,3460.00,0.7,11802.50,1.66,3460.00,0.7,125.00,0.03
41,Entry Short,SELL,2021-03-09 04:15,9952.90,1,-3700.00,-0.74,8102.50,-1.75,1335.00,0.27,4055.00,0.81
41,Exit Short,BUY,2021-03-09 04:35,10026.90,1,-3700.00,-0.74,8102.50,-1.75,1335.00,0.27,4055.00,0.81
42,Entry Long,BUY,2021-03-09 04:35,10026.90,1,-1855.00,-0.37,6247.50,-0.89,7312.50,1.46,1935.00,0.39
42,Exit Long,SELL,2021-03-09 07:05,9989.80,1,-1855.00,-0.37,6247.50,-0.89,7312.50,1.46,1935.00,0.39
43,Entry Short,SELL,2021-03-09 07:05,9989.80,1,327.50,0.07,6575.00,0.16,5855.00,1.17,515.00,0.1
43,Exit Short,INTRADAY_SExit,2021-03-09 09:35,9983.25,1,327.50,0.07,6575.00,0.16,5855.00,1.17,515.00,0.1
44,Entry Short,SELL,2021-03-10 04:30,10048.75,1,-1315.00,-0.26,5260.00,-0.64,0,0,1787.50,0.36
44,Exit Short,BUY,2021-03-10 04:45,10075.05,1,-1315.00,-0.26,5260.00,-0.64,0,0,1787.50,0.36
45,Entry Long,BUY,2021-03-10 04:45,10075.05,1,-1965.00,-0.39,3295.00,-0.96,0,0,1965.00,0.39
45,Exit Long,SELL,2021-03-10 04:55,10035.75,1,-1965.00,-0.39,3295.00,-0.96,0,0,1965.00,0.39
46,Entry Short,SELL,2021-03-10 04:55,10035.75,1,-1217.50,-0.24,2077.50,-0.6,3597.50,0.72,2557.50,0.51
46,Exit Short,BUY,2021-03-10 09:10,10060.10,1,-1217.50,-0.24,2077.50,-0.6,3597.50,0.72,2557.50,0.51
47,Entry Long,BUY,2021-03-10 09:10,10060.10,1,-660.00,-0.13,1417.50,-0.33,1245.00,0.25,997.50,0.2
47,Exit Long,INTRADAY_BExit,2021-03-10 09:35,10046.90,1,-660.00,-0.13,1417.50,-0.33,1245.00,0.25,997.50,0.2
48,Entry Long,BUY,2021-03-12 04:05,10113.85,1,-1110.00,-0.22,307.50,-0.55,552.50,0.11,2440.00,0.48
48,Exit Long,SELL,2021-03-12 04:20,10091.65,1,-1110.00,-0.22,307.50,-0.55,552.50,0.11,2440.00,0.48
49,Entry Short,SELL,2021-03-12 04:20,10091.65,1,-2480.00,-0.49,-2172.50,-1.24,712.50,0.14,3162.50,0.63
49,Exit Short,BUY,2021-03-12 04:50,10141.25,1,-2480.00,-0.49,-2172.50,-1.24,712.50,0.14,3162.50,0.63
50,Entry Long,BUY,2021-03-12 04:50,10141.25,1,912.50,0.18,-1260.00,0.46,6387.50,1.26,1557.50,0.31
