Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:05,5800.00,1,-1850.00,-0.26,-1850.00,-0.92,125.00,0.02,2500.00,0.34
1,Exit Long,SELL,2021-02-15 07:20,5785.20,1,-1850.00,-0.26,-1850.00,-0.92,125.00,0.02,2500.00,0.34
2,Entry Short,SELL,2021-02-15 07:20,5785.20,1,-3137.50,-0.43,-4987.50,-1.58,900.00,0.12,4512.50,0.62
2,Exit Short,BUY,2021-02-15 08:40,5810.30,1,-3137.50,-0.43,-4987.50,-1.58,900.00,0.12,4512.50,0.62
3,Entry Long,BUY,2021-02-15 08:40,5810.30,1,-2868.75,-0.39,-7856.25,-1.47,937.50,0.13,2868.75,0.39
3,Exit Long,SELL,2021-02-15 09:30,5787.35,1,-2868.75,-0.39,-7856.25,-1.47,937.50,0.13,2868.75,0.39
4,Entry Short,SELL,2021-02-15 09:30,5787.35,1,-1187.50,-0.16,-9043.75,-0.62,856.25,0.12,1187.50,0.16
4,Exit Short,INTRADAY_SExit,2021-02-15 09:35,5796.85,1,-1187.50,-0.16,-9043.75,-0.62,856.25,0.12,1187.50,0.16
5,Entry Short,SELL,2021-02-16 04:05,5737.20,1,-5643.75,-0.79,-14687.50,-2.96,2150.00,0.3,5968.75,0.83
5,Exit Short,BUY,2021-02-16 04:40,5782.35,1,-5643.75,-0.79,-14687.50,-2.96,2150.00,0.3,5968.75,0.83
6,Entry Long,BUY,2021-02-16 04:40,5782.35,1,-1462.50,-0.2,-16150.00,-0.79,2575.00,0.36,2231.25,0.31
6,Exit Long,SELL,2021-02-16 05:40,5770.65,1,-1462.50,-0.2,-16150.00,-0.79,2575.00,0.36,2231.25,0.31
7,Entry Short,SELL,2021-02-16 05:40,5770.65,1,825.00,0.11,-15325.00,0.45,6050.00,0.84,187.50,0.03
7,Exit Short,BUY,2021-02-16 06:50,5764.05,1,825.00,0.11,-15325.00,0.45,6050.00,0.84,187.50,0.03
8,Entry Long,BUY,2021-02-16 06:50,5764.05,1,-1881.25,-0.26,-17206.25,-1.02,1118.75,0.16,2331.25,0.32
8,Exit Long,SELL,2021-02-16 07:15,5749.00,1,-1881.25,-0.26,-17206.25,-1.02,1118.75,0.16,2331.25,0.32
9,Entry Short,SELL,2021-02-16 07:15,5749.00,1,531.25,0.07,-16675.00,0.29,5287.50,0.74,2306.25,0.32
9,Exit Short,BUY,2021-02-16 08:45,5744.75,1,531.25,0.07,-16675.00,0.29,5287.50,0.74,2306.25,0.32
10,Entry Long,BUY,2021-02-16 08:45,5744.75,1,2406.25,0.34,-14268.75,1.31,3843.75,0.54,800.00,0.11
