Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-16 09:35,5737.20,1,-4300.00,-0.6,-4300.00,-2.15,2150.00,0.3,4725.00,0.66
1,Exit Short,SELL_SL_HIT,2021-02-16 09:50,5771.60,1,-4300.00,-0.6,-4300.00,-2.15,2150.00,0.3,4725.00,0.66
2,Entry Long,BUY,2021-02-16 10:50,5795.95,1,-4493.75,-0.62,-8793.75,-2.3,0,0,5106.25,0.7
2,Exit Long,BUY_SL_HIT,2021-02-16 11:20,5760.00,1,-4493.75,-0.62,-8793.75,-2.3,0,0,5106.25,0.7
3,Entry Short,SELL,2021-02-16 12:00,5745.05,1,4143.75,0.58,-4650.00,2.17,4793.75,0.67,3493.75,0.49
3,Exit Short,SELL_TG_HIT,2021-02-16 14:00,5711.90,1,4143.75,0.58,-4650.00,2.17,4793.75,0.67,3493.75,0.49
4,Entry Long,BUY,2021-02-16 14:40,5764.70,1,-87.50,-0.01,-4737.50,-0.04,1162.50,0.16,743.75,0.1
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,5764.00,1,-87.50,-0.01,-4737.50,-0.04,1162.50,0.16,743.75,0.1
5,Entry Short,SELL,2021-02-17 10:05,5731.95,1,-3881.25,-0.54,-8618.75,-1.99,1906.25,0.27,3881.25,0.54
5,Exit Short,SELL_SL_HIT,2021-02-17 11:25,5763.00,1,-3881.25,-0.54,-8618.75,-1.99,1906.25,0.27,3881.25,0.54
6,Entry Long,BUY,2021-02-18 15:00,5588.15,1,387.50,0.06,-8231.25,0.2,1831.25,0.26,643.75,0.09
6,Exit Long,INTRADAY_BExit,2021-02-18 15:05,5591.25,1,387.50,0.06,-8231.25,0.2,1831.25,0.26,643.75,0.09
7,Entry Short,SELL,2021-02-19 09:35,5508.10,1,-5618.75,-0.82,-13850.00,-2.93,0,0,6256.25,0.91
7,Exit Short,SELL_SL_HIT,2021-02-19 09:45,5553.05,1,-5618.75,-0.82,-13850.00,-2.93,0,0,6256.25,0.91
8,Entry Long,BUY,2021-02-19 10:20,5594.95,1,4881.25,0.7,-8968.75,2.62,4981.25,0.71,243.75,0.03
8,Exit Long,BUY_TG_HIT,2021-02-19 10:40,5634.00,1,4881.25,0.7,-8968.75,2.62,4981.25,0.71,243.75,0.03
9,Entry Short,SELL,2021-02-19 12:10,5581.05,1,3256.25,0.47,-5712.50,1.7,3300.00,0.47,0,0
9,Exit Short,SELL_TG_HIT,2021-02-19 12:20,5555.00,1,3256.25,0.47,-5712.50,1.7,3300.00,0.47,0,0
10,Entry Short,SELL,2021-02-22 09:45,5466.45,1,4556.25,0.67,-1156.25,2.35,5256.25,0.77,131.25,0.02
10,Exit Short,SELL_TG_HIT,2021-02-22 10:15,5430.00,1,4556.25,0.67,-1156.25,2.35,5256.25,0.77,131.25,0.02
11,Entry Long,BUY,2021-02-22 14:50,5412.00,1,-2725.00,-0.4,-3881.25,-1.37,1250.00,0.18,3206.25,0.47
11,Exit Long,INTRADAY_BExit,2021-02-22 15:05,5390.20,1,-2725.00,-0.4,-3881.25,-1.37,1250.00,0.18,3206.25,0.47
12,Entry Short,SELL,2021-02-23 11:40,5396.30,1,-4806.25,-0.71,-8687.50,-2.45,1775.00,0.26,4887.50,0.72
12,Exit Short,SELL_SL_HIT,2021-02-23 13:10,5434.75,1,-4806.25,-0.71,-8687.50,-2.45,1775.00,0.26,4887.50,0.72
13,Entry Long,BUY,2021-02-24 09:35,5489.65,1,4668.75,0.68,-4018.75,2.44,5262.50,0.77,1118.75,0.16
13,Exit Long,BUY_TG_HIT,2021-02-24 09:55,5527.00,1,4668.75,0.68,-4018.75,2.44,5262.50,0.77,1118.75,0.16
14,Entry Long,BUY,2021-02-25 09:35,5608.50,1,-3562.50,-0.51,-7581.25,-1.82,3687.50,0.53,4543.75,0.65
14,Exit Long,BUY_SL_HIT,2021-02-25 10:00,5580.00,1,-3562.50,-0.51,-7581.25,-1.82,3687.50,0.53,4543.75,0.65
15,Entry Short,SELL,2021-02-25 12:05,5544.55,1,-3831.25,-0.55,-11412.50,-1.99,625.00,0.09,5681.25,0.82
15,Exit Short,SELL_SL_HIT,2021-02-25 13:20,5575.20,1,-3831.25,-0.55,-11412.50,-1.99,625.00,0.09,5681.25,0.82
16,Entry Long,BUY,2021-02-25 14:35,5590.75,1,-3450.00,-0.49,-14862.50,-1.83,637.50,0.09,4143.75,0.59
16,Exit Long,INTRADAY_BExit,2021-02-25 15:05,5563.15,1,-3450.00,-0.49,-14862.50,-1.83,637.50,0.09,4143.75,0.59
17,Entry Short,SELL,2021-02-26 09:35,5463.10,1,3406.25,0.5,-11456.25,1.84,4743.75,0.69,1468.75,0.22
17,Exit Short,SELL_TG_HIT,2021-02-26 10:10,5435.85,1,3406.25,0.5,-11456.25,1.84,4743.75,0.69,1468.75,0.22
18,Entry Long,BUY,2021-02-26 14:35,5302.00,1,5275.00,0.8,-6181.25,2.8,5343.75,0.81,0,0
18,Exit Long,BUY_TG_HIT,2021-02-26 14:50,5344.20,1,5275.00,0.8,-6181.25,2.8,5343.75,0.81,0,0
19,Entry Long,BUY,2021-03-01 09:35,5327.30,1,5950.00,0.89,-231.25,3.07,5950.00,0.89,350.00,0.05
19,Exit Long,BUY_TG_HIT,2021-03-01 09:55,5374.90,1,5950.00,0.89,-231.25,3.07,5950.00,0.89,350.00,0.05
20,Entry Short,SELL,2021-03-01 11:45,5276.20,1,3275.00,0.5,3043.75,1.64,4250.00,0.64,931.25,0.14
20,Exit Short,SELL_TG_HIT,2021-03-01 12:00,5250.00,1,3275.00,0.5,3043.75,1.64,4250.00,0.64,931.25,0.14
21,Entry Long,BUY,2021-03-01 14:00,5277.00,1,3312.50,0.5,6356.25,1.63,5181.25,0.79,31.25,0
21,Exit Long,BUY_TG_HIT,2021-03-01 14:20,5303.50,1,3312.50,0.5,6356.25,1.63,5181.25,0.79,31.25,0
22,Entry Short,SELL,2021-03-01 15:00,5288.50,1,325.00,0.05,6681.25,0.16,1062.50,0.16,1187.50,0.18
22,Exit Short,INTRADAY_SExit,2021-03-01 15:05,5285.90,1,325.00,0.05,6681.25,0.16,1062.50,0.16,1187.50,0.18
23,Entry Long,BUY,2021-03-02 09:35,5413.65,1,-3768.75,-0.56,2912.50,-1.82,793.75,0.12,4081.25,0.6
23,Exit Long,BUY_SL_HIT,2021-03-02 09:45,5383.50,1,-3768.75,-0.56,2912.50,-1.82,793.75,0.12,4081.25,0.6
24,Entry Short,SELL,2021-03-02 10:45,5354.00,1,3531.25,0.53,6443.75,1.74,4743.75,0.71,0,0
24,Exit Short,SELL_TG_HIT,2021-03-02 11:05,5325.75,1,3531.25,0.53,6443.75,1.74,4743.75,0.71,0,0
25,Entry Long,BUY,2021-03-03 09:35,5376.80,1,3250.00,0.48,9693.75,1.57,3425.00,0.51,587.50,0.09
25,Exit Long,BUY_TG_HIT,2021-03-03 09:50,5402.80,1,3250.00,0.48,9693.75,1.57,3425.00,0.51,587.50,0.09
26,Entry Short,SELL,2021-03-04 09:35,5428.70,1,-3050.00,-0.45,6643.75,-1.45,1543.75,0.23,3056.25,0.45
