Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 04:45,5697.00,1,3850.00,0.54,3850.00,1.93,4125.00,0.58,562.50,0.08
1,Exit Long,BUY_TG_HIT,2021-02-15 04:55,5727.80,1,3850.00,0.54,3850.00,1.93,4125.00,0.58,562.50,0.08
2,Entry Short,SELL,2021-02-16 04:10,5730.35,1,-5156.25,-0.72,-1306.25,-2.53,1293.75,0.18,5581.25,0.78
2,Exit Short,SELL_SL_HIT,2021-02-16 04:20,5771.60,1,-5156.25,-0.72,-1306.25,-2.53,1293.75,0.18,5581.25,0.78
3,Entry Long,BUY,2021-02-16 04:40,5782.35,1,-3712.50,-0.51,-5018.75,-1.87,2575.00,0.36,4181.25,0.58
3,Exit Long,SELL,2021-02-16 06:05,5752.65,1,-3712.50,-0.51,-5018.75,-1.87,2575.00,0.36,4181.25,0.58
4,Entry Short,SELL,2021-02-16 06:05,5752.65,1,-1868.75,-0.26,-6887.50,-0.96,3800.00,0.53,1912.50,0.27
4,Exit Short,BUY,2021-02-16 06:55,5767.60,1,-1868.75,-0.26,-6887.50,-0.96,3800.00,0.53,1912.50,0.27
5,Entry Long,BUY,2021-02-16 06:55,5767.60,1,-2325.00,-0.32,-9212.50,-1.2,675.00,0.09,2775.00,0.38
5,Exit Long,SELL,2021-02-16 07:15,5749.00,1,-2325.00,-0.32,-9212.50,-1.2,675.00,0.09,2775.00,0.38
6,Entry Short,SELL,2021-02-16 07:15,5749.00,1,-2875.00,-0.4,-12087.50,-1.51,5287.50,0.74,2931.25,0.41
6,Exit Short,BUY,2021-02-16 09:05,5772.00,1,-2875.00,-0.4,-12087.50,-1.51,5287.50,0.74,2931.25,0.41
7,Entry Long,BUY,2021-02-16 09:05,5772.00,1,-1000.00,-0.14,-13087.50,-0.53,437.50,0.06,1656.25,0.23
7,Exit Long,INTRADAY_BExit,2021-02-16 09:35,5764.00,1,-1000.00,-0.14,-13087.50,-0.53,437.50,0.06,1656.25,0.23
8,Entry Short,SELL,2021-02-17 04:25,5775.00,1,5381.25,0.75,-7706.25,2.88,7131.25,0.99,125.00,0.02
8,Exit Short,SELL_TG_HIT,2021-02-17 04:35,5731.95,1,5381.25,0.75,-7706.25,2.88,7131.25,0.99,125.00,0.02
