Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,4673.20,100,-4680.00,-1,-4680.00,-4.68,540.00,0.12,6755.00,1.45
1,Exit Short,SELL_SL_HIT,2021-02-01 04:30,4720.00,100,-4680.00,-1,-4680.00,-4.68,540.00,0.12,6755.00,1.45
2,Entry Long,BUY,2021-02-01 06:30,4798.70,100,14415.00,3,9735.00,15.12,16015.00,3.34,3295.00,0.69
2,Exit Long,BUY_TG_HIT,2021-02-01 07:30,4942.85,100,14415.00,3,9735.00,15.12,16015.00,3.34,3295.00,0.69
3,Entry Short,SELL,2021-02-02 06:15,5218.45,100,4235.00,0.81,13970.00,3.86,5230.00,1,270.00,0.05
3,Exit Short,SELL_TG_HIT,2021-02-02 06:30,5176.10,100,4235.00,0.81,13970.00,3.86,5230.00,1,270.00,0.05
4,Entry Long,BUY,2021-02-03 05:00,5247.00,100,-2300.00,-0.44,11670.00,-2.02,2300.00,0.44,3200.00,0.61
4,Exit Long,SELL,2021-02-03 08:45,5224.00,100,-2300.00,-0.44,11670.00,-2.02,2300.00,0.44,3200.00,0.61
5,Entry Short,SELL,2021-02-03 08:45,5224.00,100,-1895.00,-0.36,9775.00,-1.7,200.00,0.04,3600.00,0.69
5,Exit Short,INTRADAY_SExit,2021-02-03 09:45,5242.95,100,-1895.00,-0.36,9775.00,-1.7,200.00,0.04,3600.00,0.69
6,Entry Long,BUY,2021-02-04 05:00,5342.75,100,5595.00,1.05,15370.00,5.1,5725.00,1.07,2615.00,0.49
6,Exit Long,BUY_TG_HIT,2021-02-04 06:15,5398.70,100,5595.00,1.05,15370.00,5.1,5725.00,1.07,2615.00,0.49
7,Entry Long,BUY,2021-02-04 08:45,5455.60,100,4450.00,0.82,19820.00,3.86,4940.00,0.91,1955.00,0.36
7,Exit Long,INTRADAY_BExit,2021-02-04 09:45,5500.10,100,4450.00,0.82,19820.00,3.86,4940.00,0.91,1955.00,0.36
8,Entry Long,BUY,2021-02-05 06:15,5553.60,100,4940.00,0.89,24760.00,4.12,7340.00,1.32,350.00,0.06
8,Exit Long,BUY_TG_HIT,2021-02-05 06:30,5603.00,100,4940.00,0.89,24760.00,4.12,7340.00,1.32,350.00,0.06
9,Entry Short,SELL,2021-02-05 07:15,5535.00,100,-1985.00,-0.36,22775.00,-1.59,2105.00,0.38,5000.00,0.9
9,Exit Short,INTRADAY_SExit,2021-02-05 09:45,5554.85,100,-1985.00,-0.36,22775.00,-1.59,2105.00,0.38,5000.00,0.9
10,Entry Short,SELL,2021-02-08 05:00,5610.20,100,-3375.00,-0.6,19400.00,-2.75,1020.00,0.18,3380.00,0.6
10,Exit Short,BUY,2021-02-08 06:15,5643.95,100,-3375.00,-0.6,19400.00,-2.75,1020.00,0.18,3380.00,0.6
11,Entry Long,BUY,2021-02-08 06:15,5643.95,100,-5060.00,-0.9,14340.00,-4.24,105.00,0.02,5395.00,0.96
11,Exit Long,SELL,2021-02-08 08:15,5593.35,100,-5060.00,-0.9,14340.00,-4.24,105.00,0.02,5395.00,0.96
12,Entry Short,SELL,2021-02-08 08:15,5593.35,100,4690.00,0.84,19030.00,4.1,6110.00,1.09,1665.00,0.3
12,Exit Short,SELL_TG_HIT,2021-02-08 09:30,5546.45,100,4690.00,0.84,19030.00,4.1,6110.00,1.09,1665.00,0.3
13,Entry Short,SELL,2021-02-09 09:30,5394.95,100,100.00,0.02,19130.00,0.08,995.00,0.18,1320.00,0.24
13,Exit Short,INTRADAY_SExit,2021-02-09 09:45,5393.95,100,100.00,0.02,19130.00,0.08,995.00,0.18,1320.00,0.24
14,Entry Long,BUY,2021-02-10 04:15,5450.00,100,-3440.00,-0.63,15690.00,-2.89,2040.00,0.37,4775.00,0.88
