Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:20,5031.10,100,4110.00,0.82,4110.00,4.11,7285.00,1.45,905.00,0.18
1,Exit Short,INTRADAY_SExit,2021-01-11 09:35,4990.00,100,4110.00,0.82,4110.00,4.11,7285.00,1.45,905.00,0.18
2,Entry Long,BUY,2021-01-12 04:20,5015.55,100,-3255.00,-0.65,855.00,-3.13,1170.00,0.23,4255.00,0.85
2,Exit Long,SELL,2021-01-12 04:45,4983.00,100,-3255.00,-0.65,855.00,-3.13,1170.00,0.23,4255.00,0.85
3,Entry Short,SELL,2021-01-12 04:45,4983.00,100,-1825.00,-0.37,-970.00,-1.81,820.00,0.16,1985.00,0.4
3,Exit Short,BUY,2021-01-12 05:05,5001.25,100,-1825.00,-0.37,-970.00,-1.81,820.00,0.16,1985.00,0.4
4,Entry Long,BUY,2021-01-12 05:05,5001.25,100,5800.00,1.16,4830.00,5.86,9775.00,1.95,1310.00,0.26
4,Exit Long,INTRADAY_BExit,2021-01-12 09:35,5059.25,100,5800.00,1.16,4830.00,5.86,9775.00,1.95,1310.00,0.26
5,Entry Long,BUY,2021-01-13 04:05,5032.95,100,-410.00,-0.08,4420.00,-0.39,1205.00,0.24,1200.00,0.24
5,Exit Long,SELL,2021-01-13 04:15,5028.85,100,-410.00,-0.08,4420.00,-0.39,1205.00,0.24,1200.00,0.24
6,Entry Short,SELL,2021-01-13 04:15,5028.85,100,11220.00,2.23,15640.00,10.75,11755.00,2.34,295.00,0.06
6,Exit Short,SELL_TG_HIT,2021-01-13 07:40,4916.65,100,11220.00,2.23,15640.00,10.75,11755.00,2.34,295.00,0.06
7,Entry Long,BUY,2021-01-14 04:30,4895.00,100,-795.00,-0.16,14845.00,-0.69,7180.00,1.47,1845.00,0.38
7,Exit Long,SELL,2021-01-14 07:25,4887.05,100,-795.00,-0.16,14845.00,-0.69,7180.00,1.47,1845.00,0.38
8,Entry Short,SELL,2021-01-14 07:25,4887.05,100,-160.00,-0.03,14685.00,-0.14,2705.00,0.55,1430.00,0.29
8,Exit Short,INTRADAY_SExit,2021-01-14 09:35,4888.65,100,-160.00,-0.03,14685.00,-0.14,2705.00,0.55,1430.00,0.29
9,Entry Long,BUY,2021-01-15 04:30,4902.70,100,-2905.00,-0.59,11780.00,-2.53,2430.00,0.5,3170.00,0.65
