Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 07:05,36959.00,1,7248.75,0.78,7248.75,7.25,8252.50,0.89,850.00,0.09
1,Exit Long,INTRADAY_BExit,2021-02-15 09:35,37248.95,1,7248.75,0.78,7248.75,7.25,8252.50,0.89,850.00,0.09
2,Entry Long,BUY,2021-02-16 04:05,37698.85,1,-9247.50,-0.98,-1998.75,-8.62,661.25,0.07,10195.00,1.08
2,Exit Long,SELL,2021-02-16 04:25,37328.95,1,-9247.50,-0.98,-1998.75,-8.62,661.25,0.07,10195.00,1.08
3,Entry Short,SELL,2021-02-16 04:25,37328.95,1,758.75,0.08,-1240.00,0.77,4691.25,0.5,5343.75,0.57
3,Exit Short,BUY,2021-02-16 07:05,37298.60,1,758.75,0.08,-1240.00,0.77,4691.25,0.5,5343.75,0.57
4,Entry Long,BUY,2021-02-16 07:05,37298.60,1,-6997.50,-0.75,-8237.50,-7.09,0,0,7215.00,0.77
4,Exit Long,SELL,2021-02-16 07:35,37018.70,1,-6997.50,-0.75,-8237.50,-7.09,0,0,7215.00,0.77
5,Entry Short,SELL,2021-02-16 07:35,37018.70,1,553.75,0.06,-7683.75,0.6,4652.50,0.5,2906.25,0.31
5,Exit Short,BUY,2021-02-16 08:50,36996.55,1,553.75,0.06,-7683.75,0.6,4652.50,0.5,2906.25,0.31
6,Entry Long,BUY,2021-02-16 08:50,36996.55,1,4970.00,0.54,-2713.75,5.38,6507.50,0.7,2133.75,0.23
6,Exit Long,INTRADAY_BExit,2021-02-16 09:35,37195.35,1,4970.00,0.54,-2713.75,5.38,6507.50,0.7,2133.75,0.23
7,Entry Short,SELL,2021-02-17 04:35,36865.55,1,-8185.00,-0.89,-10898.75,-8.41,763.75,0.08,8471.25,0.92
7,Exit Short,BUY,2021-02-17 05:15,37192.95,1,-8185.00,-0.89,-10898.75,-8.41,763.75,0.08,8471.25,0.92
8,Entry Long,BUY,2021-02-17 05:15,37192.95,1,1551.25,0.17,-9347.50,1.74,5051.25,0.54,1428.75,0.15
8,Exit Long,SELL,2021-02-17 06:40,37255.00,1,1551.25,0.17,-9347.50,1.74,5051.25,0.54,1428.75,0.15
9,Entry Short,SELL,2021-02-17 06:40,37255.00,1,-2825.00,-0.3,-12172.50,-3.12,1226.25,0.13,3638.75,0.39
9,Exit Short,BUY,2021-02-17 07:05,37368.00,1,-2825.00,-0.3,-12172.50,-3.12,1226.25,0.13,3638.75,0.39
10,Entry Long,BUY,2021-02-17 07:05,37368.00,1,-2996.25,-0.32,-15168.75,-3.41,713.75,0.08,3237.50,0.35
10,Exit Long,SELL,2021-02-17 07:20,37248.15,1,-2996.25,-0.32,-15168.75,-3.41,713.75,0.08,3237.50,0.35
11,Entry Short,SELL,2021-02-17 07:20,37248.15,1,4478.75,0.48,-10690.00,5.28,9943.75,1.07,472.50,0.05
11,Exit Short,INTRADAY_SExit,2021-02-17 09:35,37069.00,1,4478.75,0.48,-10690.00,5.28,9943.75,1.07,472.50,0.05
12,Entry Short,SELL,2021-02-18 04:05,36868.50,1,-1116.25,-0.12,-11806.25,-1.25,1405.00,0.15,2666.25,0.29
12,Exit Short,BUY,2021-02-18 04:55,36913.15,1,-1116.25,-0.12,-11806.25,-1.25,1405.00,0.15,2666.25,0.29
13,Entry Long,BUY,2021-02-18 04:55,36913.15,1,-1432.50,-0.16,-13238.75,-1.62,2568.75,0.28,1530.00,0.17
13,Exit Long,SELL,2021-02-18 05:50,36855.85,1,-1432.50,-0.16,-13238.75,-1.62,2568.75,0.28,1530.00,0.17
14,Entry Short,SELL,2021-02-18 05:50,36855.85,1,9831.25,1.07,-3407.50,11.33,9971.25,1.08,850.00,0.09
14,Exit Short,SELL_TG_HIT,2021-02-18 07:15,36462.60,1,9831.25,1.07,-3407.50,11.33,9971.25,1.08,850.00,0.09
15,Entry Long,BUY,2021-02-18 08:45,36620.00,1,-230.00,-0.03,-3637.50,-0.24,1801.25,0.2,2250.00,0.25
15,Exit Long,INTRADAY_BExit,2021-02-18 09:35,36610.80,1,-230.00,-0.03,-3637.50,-0.24,1801.25,0.2,2250.00,0.25
16,Entry Short,SELL,2021-02-19 04:05,36214.55,1,-7911.25,-0.87,-11548.75,-8.21,1112.50,0.12,9561.25,1.06
16,Exit Short,BUY,2021-02-19 04:45,36531.00,1,-7911.25,-0.87,-11548.75,-8.21,1112.50,0.12,9561.25,1.06
17,Entry Long,BUY,2021-02-19 04:45,36531.00,1,-4296.25,-0.47,-15845.00,-4.86,3725.00,0.41,5065.00,0.55
