Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-22 11:21,35172.50,1,-987.50,-0.11,-987.50,-0.99,1662.50,0.19,1736.25,0.2
1,Exit Short,BUY,2021-06-22 11:54,35212.00,1,-987.50,-0.11,-987.50,-0.99,1662.50,0.19,1736.25,0.2
2,Entry Long,BUY,2021-06-22 11:54,35212.00,1,-3636.25,-0.41,-4623.75,-3.67,416.25,0.05,4600.00,0.52
2,Exit Long,SELL,2021-06-22 12:24,35066.55,1,-3636.25,-0.41,-4623.75,-3.67,416.25,0.05,4600.00,0.52
3,Entry Short,SELL,2021-06-22 12:24,35066.55,1,657.50,0.08,-3966.25,0.69,6113.75,0.7,1275.00,0.15
3,Exit Short,BUY,2021-06-22 14:33,35040.25,1,657.50,0.08,-3966.25,0.69,6113.75,0.7,1275.00,0.15
4,Entry Long,BUY,2021-06-22 14:33,35040.25,1,-3881.25,-0.44,-7847.50,-4.04,222.50,0.03,5756.25,0.66
4,Exit Long,SELL,2021-06-22 14:57,34885.00,1,-3881.25,-0.44,-7847.50,-4.04,222.50,0.03,5756.25,0.66
5,Entry Short,SELL,2021-06-22 14:57,34885.00,1,648.75,0.07,-7198.75,0.7,1105.00,0.13,375.00,0.04
5,Exit Short,INTRADAY_SExit,2021-06-22 15:03,34859.05,1,648.75,0.07,-7198.75,0.7,1105.00,0.13,375.00,0.04
6,Entry Long,BUY,2021-06-23 11:30,34834.35,1,-1958.75,-0.22,-9157.50,-2.11,1366.25,0.16,2988.75,0.34
6,Exit Long,SELL,2021-06-23 12:03,34756.00,1,-1958.75,-0.22,-9157.50,-2.11,1366.25,0.16,2988.75,0.34
7,Entry Short,SELL,2021-06-23 12:03,34756.00,1,-2195.00,-0.25,-11352.50,-2.42,1950.00,0.22,2950.00,0.34
7,Exit Short,BUY,2021-06-23 13:54,34843.80,1,-2195.00,-0.25,-11352.50,-2.42,1950.00,0.22,2950.00,0.34
8,Entry Long,BUY,2021-06-23 13:54,34843.80,1,-5470.00,-0.63,-16822.50,-6.17,1983.75,0.23,6648.75,0.76
8,Exit Long,SELL,2021-06-23 14:42,34625.00,1,-5470.00,-0.63,-16822.50,-6.17,1983.75,0.23,6648.75,0.76
9,Entry Short,SELL,2021-06-23 14:42,34625.00,1,623.75,0.07,-16198.75,0.75,1548.75,0.18,763.75,0.09
9,Exit Short,INTRADAY_SExit,2021-06-23 15:03,34600.05,1,623.75,0.07,-16198.75,0.75,1548.75,0.18,763.75,0.09
10,Entry Long,BUY,2021-06-24 09:33,34744.25,1,-1045.00,-0.12,-17243.75,-1.25,1768.75,0.2,1661.25,0.19
10,Exit Long,SELL,2021-06-24 11:36,34702.45,1,-1045.00,-0.12,-17243.75,-1.25,1768.75,0.2,1661.25,0.19
11,Entry Short,SELL,2021-06-24 11:36,34702.45,1,-1301.25,-0.15,-18545.00,-1.57,1422.50,0.16,2437.50,0.28
11,Exit Short,BUY,2021-06-24 12:18,34754.50,1,-1301.25,-0.15,-18545.00,-1.57,1422.50,0.16,2437.50,0.28
12,Entry Long,BUY,2021-06-24 12:18,34754.50,1,1500.00,0.17,-17045.00,1.84,5387.50,0.62,1131.25,0.13
12,Exit Long,SELL,2021-06-24 14:30,34814.50,1,1500.00,0.17,-17045.00,1.84,5387.50,0.62,1131.25,0.13
13,Entry Short,SELL,2021-06-24 14:30,34814.50,1,-712.50,-0.08,-17757.50,-0.86,735.00,0.08,2930.00,0.34
13,Exit Short,INTRADAY_SExit,2021-06-24 15:03,34843.00,1,-712.50,-0.08,-17757.50,-0.86,735.00,0.08,2930.00,0.34
14,Entry Long,BUY,2021-06-25 09:33,35175.15,1,8920.00,1.01,-8837.50,10.85,9183.75,1.04,808.75,0.09
14,Exit Long,BUY_TG_HIT,2021-06-25 13:45,35531.95,1,8920.00,1.01,-8837.50,10.85,9183.75,1.04,808.75,0.09
15,Entry Long,BUY,2021-06-28 09:33,35638.25,1,-5232.50,-0.59,-14070.00,-5.74,363.75,0.04,7206.25,0.81
15,Exit Long,SELL,2021-06-28 10:48,35428.95,1,-5232.50,-0.59,-14070.00,-5.74,363.75,0.04,7206.25,0.81
16,Entry Short,SELL,2021-06-28 10:48,35428.95,1,-3452.50,-0.39,-17522.50,-4.02,1473.75,0.17,3893.75,0.44
16,Exit Short,BUY,2021-06-28 13:18,35567.05,1,-3452.50,-0.39,-17522.50,-4.02,1473.75,0.17,3893.75,0.44
17,Entry Long,BUY,2021-06-28 13:18,35567.05,1,-2126.25,-0.24,-19648.75,-2.58,813.75,0.09,3112.50,0.35
17,Exit Long,INTRADAY_BExit,2021-06-28 15:03,35482.00,1,-2126.25,-0.24,-19648.75,-2.58,813.75,0.09,3112.50,0.35
18,Entry Short,SELL,2021-06-29 09:33,35397.00,1,2225.00,0.25,-17423.75,2.77,4675.00,0.53,900.00,0.1
18,Exit Short,BUY,2021-06-29 12:57,35308.00,1,2225.00,0.25,-17423.75,2.77,4675.00,0.53,900.00,0.1
19,Entry Long,BUY,2021-06-29 12:57,35308.00,1,-3342.50,-0.38,-20766.25,-4.05,1875.00,0.21,5200.00,0.59
19,Exit Long,SELL,2021-06-29 14:06,35174.30,1,-3342.50,-0.38,-20766.25,-4.05,1875.00,0.21,5200.00,0.59
20,Entry Short,SELL,2021-06-29 14:06,35174.30,1,397.50,0.05,-20368.75,0.5,2106.25,0.24,1030.00,0.12
20,Exit Short,INTRADAY_SExit,2021-06-29 15:03,35158.40,1,397.50,0.05,-20368.75,0.5,2106.25,0.24,1030.00,0.12
21,Entry Short,SELL,2021-06-30 09:36,35129.80,1,-3330.00,-0.38,-23698.75,-4.18,1545.00,0.18,3846.25,0.44
21,Exit Short,BUY,2021-06-30 10:45,35263.00,1,-3330.00,-0.38,-23698.75,-4.18,1545.00,0.18,3846.25,0.44
22,Entry Long,BUY,2021-06-30 10:45,35263.00,1,1000.00,0.11,-22698.75,1.31,3232.50,0.37,32.50,0
22,Exit Long,SELL,2021-06-30 12:09,35303.00,1,1000.00,0.11,-22698.75,1.31,3232.50,0.37,32.50,0
23,Entry Short,SELL,2021-06-30 12:09,35303.00,1,8450.00,0.96,-14248.75,10.93,9507.50,1.08,176.25,0.02
23,Exit Short,INTRADAY_SExit,2021-06-30 15:03,34965.00,1,8450.00,0.96,-14248.75,10.93,9507.50,1.08,176.25,0.02
24,Entry Long,BUY,2021-07-01 11:15,34917.10,1,948.75,0.11,-13300.00,1.11,4231.25,0.48,1872.50,0.21
24,Exit Long,SELL,2021-07-01 13:54,34955.05,1,948.75,0.11,-13300.00,1.11,4231.25,0.48,1872.50,0.21
25,Entry Short,SELL,2021-07-01 13:54,34955.05,1,3035.00,0.35,-10265.00,3.5,3187.50,0.36,1111.25,0.13
25,Exit Short,INTRADAY_SExit,2021-07-01 15:03,34833.65,1,3035.00,0.35,-10265.00,3.5,3187.50,0.36,1111.25,0.13
26,Entry Long,BUY,2021-07-02 10:15,34907.00,1,-1925.00,-0.22,-12190.00,-2.15,745.00,0.09,2563.75,0.29
26,Exit Long,SELL,2021-07-02 10:54,34830.00,1,-1925.00,-0.22,-12190.00,-2.15,745.00,0.09,2563.75,0.29
27,Entry Short,SELL,2021-07-02 10:54,34830.00,1,-2540.00,-0.29,-14730.00,-2.89,320.00,0.04,3161.25,0.36
27,Exit Short,BUY,2021-07-02 12:21,34931.60,1,-2540.00,-0.29,-14730.00,-2.89,320.00,0.04,3161.25,0.36
28,Entry Long,BUY,2021-07-02 12:21,34931.60,1,-217.50,-0.02,-14947.50,-0.26,2640.00,0.3,1488.75,0.17
28,Exit Long,SELL,2021-07-02 13:45,34922.90,1,-217.50,-0.02,-14947.50,-0.26,2640.00,0.3,1488.75,0.17
29,Entry Short,SELL,2021-07-02 13:45,34922.90,1,-826.25,-0.09,-15773.75,-0.97,3198.75,0.37,1200.00,0.14
29,Exit Short,BUY,2021-07-02 14:30,34955.95,1,-826.25,-0.09,-15773.75,-0.97,3198.75,0.37,1200.00,0.14
30,Entry Long,BUY,2021-07-02 14:30,34955.95,1,-1072.50,-0.12,-16846.25,-1.27,251.25,0.03,2271.25,0.26
30,Exit Long,INTRADAY_BExit,2021-07-02 15:03,34913.05,1,-1072.50,-0.12,-16846.25,-1.27,251.25,0.03,2271.25,0.26
31,Entry Short,SELL,2021-07-05 12:21,35174.80,1,-1480.00,-0.17,-18326.25,-1.78,445.00,0.05,1893.75,0.22
31,Exit Short,BUY,2021-07-05 13:18,35234.00,1,-1480.00,-0.17,-18326.25,-1.78,445.00,0.05,1893.75,0.22
32,Entry Long,BUY,2021-07-05 13:18,35234.00,1,2375.00,0.27,-15951.25,2.91,2775.00,0.32,447.50,0.05
32,Exit Long,INTRADAY_BExit,2021-07-05 15:03,35329.00,1,2375.00,0.27,-15951.25,2.91,2775.00,0.32,447.50,0.05
33,Entry Short,SELL,2021-07-06 14:24,35811.00,1,23.75,0,-15927.50,0.03,2660.00,0.3,1123.75,0.13
33,Exit Short,INTRADAY_SExit,2021-07-06 15:03,35810.05,1,23.75,0,-15927.50,0.03,2660.00,0.3,1123.75,0.13
34,Entry Long,BUY,2021-07-07 09:33,35788.15,1,837.50,0.09,-15090.00,1,1755.00,0.2,4286.25,0.48
34,Exit Long,INTRADAY_BExit,2021-07-07 15:03,35821.65,1,837.50,0.09,-15090.00,1,1755.00,0.2,4286.25,0.48
35,Entry Short,SELL,2021-07-08 09:33,35888.15,1,9098.75,1.01,-5991.25,10.72,9850.00,1.1,657.50,0.07
