Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:30,31033.65,1,341.70,1.1,341.70,0.68,352.65,1.14,24.75,0.08
1,Exit Long,BUY_TG_HIT,2021-02-01 05:55,31375.35,1,341.70,1.1,341.70,0.68,352.65,1.14,24.75,0.08
2,Entry Short,SELL,2021-02-01 06:45,31334.40,1,-570.60,-1.82,-228.90,-1.13,102.50,0.33,614.55,1.96
2,Exit Short,BUY,2021-02-01 07:25,31905.00,1,-570.60,-1.82,-228.90,-1.13,102.50,0.33,614.55,1.96
3,Entry Long,BUY,2021-02-01 07:25,31905.00,1,522.35,1.64,293.45,1.05,564.50,1.77,0,0
3,Exit Long,BUY_TG_HIT,2021-02-01 07:30,32427.35,1,522.35,1.64,293.45,1.05,564.50,1.77,0,0
4,Entry Short,SELL,2021-02-01 08:40,32491.50,1,-337.35,-1.04,-43.90,-0.67,133.10,0.41,351.15,1.08
4,Exit Short,SELL_SL_HIT,2021-02-01 09:10,32828.85,1,-337.35,-1.04,-43.90,-0.67,133.10,0.41,351.15,1.08
5,Entry Long,BUY,2021-02-01 09:30,33011.90,1,53.85,0.16,9.95,0.11,89.55,0.27,33.70,0.1
5,Exit Long,INTRADAY_BExit,2021-02-01 09:35,33065.75,1,53.85,0.16,9.95,0.11,89.55,0.27,33.70,0.1
6,Entry Short,SELL,2021-02-02 04:40,34410.85,1,372.90,1.08,382.85,0.75,530.70,1.54,10.60,0.03
6,Exit Short,SELL_TG_HIT,2021-02-02 05:00,34037.95,1,372.90,1.08,382.85,0.75,530.70,1.54,10.60,0.03
7,Entry Long,BUY,2021-02-02 06:45,34065.50,1,-174.60,-0.51,208.25,-0.35,2.65,0.01,181.90,0.53
7,Exit Long,SELL,2021-02-02 07:15,33890.90,1,-174.60,-0.51,208.25,-0.35,2.65,0.01,181.90,0.53
8,Entry Short,SELL,2021-02-02 07:15,33890.90,1,-285.00,-0.84,-76.75,-0.57,51.85,0.15,291.05,0.86
8,Exit Short,BUY,2021-02-02 07:40,34175.90,1,-285.00,-0.84,-76.75,-0.57,51.85,0.15,291.05,0.86
9,Entry Long,BUY,2021-02-02 07:40,34175.90,1,110.90,0.32,34.15,0.22,253.20,0.74,223.05,0.65
9,Exit Long,INTRADAY_BExit,2021-02-02 09:35,34286.80,1,110.90,0.32,34.15,0.22,253.20,0.74,223.05,0.65
10,Entry Long,BUY,2021-02-03 04:15,34374.25,1,364.00,1.06,398.15,0.73,402.20,1.17,115.90,0.34
10,Exit Long,BUY_TG_HIT,2021-02-03 06:05,34738.25,1,364.00,1.06,398.15,0.73,402.20,1.17,115.90,0.34
11,Entry Short,SELL,2021-02-03 06:20,34641.20,1,-143.15,-0.41,255.00,-0.28,115.35,0.33,177.45,0.51
11,Exit Short,BUY,2021-02-03 07:40,34784.35,1,-143.15,-0.41,255.00,-0.28,115.35,0.33,177.45,0.51
12,Entry Long,BUY,2021-02-03 07:40,34784.35,1,-64.70,-0.19,190.30,-0.13,72.45,0.21,100.45,0.29
12,Exit Long,SELL,2021-02-03 08:10,34719.65,1,-64.70,-0.19,190.30,-0.13,72.45,0.21,100.45,0.29
13,Entry Short,SELL,2021-02-03 08:10,34719.65,1,-117.35,-0.34,72.95,-0.23,136.45,0.39,159.35,0.46
13,Exit Short,BUY,2021-02-03 09:00,34837.00,1,-117.35,-0.34,72.95,-0.23,136.45,0.39,159.35,0.46
14,Entry Long,BUY,2021-02-03 09:00,34837.00,1,-58.85,-0.17,14.10,-0.12,71.05,0.2,181.65,0.52
14,Exit Long,SELL,2021-02-03 09:25,34778.15,1,-58.85,-0.17,14.10,-0.12,71.05,0.2,181.65,0.52
15,Entry Short,SELL,2021-02-03 09:25,34778.15,1,-9.50,-0.03,4.60,-0.02,21.65,0.06,69.65,0.2
15,Exit Short,INTRADAY_SExit,2021-02-03 09:35,34787.65,1,-9.50,-0.03,4.60,-0.02,21.65,0.06,69.65,0.2
16,Entry Short,SELL,2021-02-04 04:05,34321.55,1,0.30,0,4.90,0,82.65,0.24,89.10,0.26
16,Exit Short,BUY,2021-02-04 05:30,34321.25,1,0.30,0,4.90,0,82.65,0.24,89.10,0.26
17,Entry Long,BUY,2021-02-04 05:30,34321.25,1,448.20,1.31,453.10,0.9,448.20,1.31,10.45,0.03
