Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-06-22 11:15,35156.55,25,-763.75,-0.09,-763.75,-0.76,2068.75,0.24,1175.00,0.13
1,Exit Short,BUY,2021-06-22 11:54,35187.10,25,-763.75,-0.09,-763.75,-0.76,2068.75,0.24,1175.00,0.13
2,Entry Long,BUY,2021-06-22 11:54,35187.10,25,-4093.75,-0.47,-4857.50,-4.13,262.50,0.03,4538.75,0.52
2,Exit Long,SELL,2021-06-22 12:21,35023.35,25,-4093.75,-0.47,-4857.50,-4.13,262.50,0.03,4538.75,0.52
3,Entry Short,SELL,2021-06-22 12:21,35023.35,25,1017.50,0.12,-3840.00,1.07,5782.50,0.66,1427.50,0.16
3,Exit Short,BUY,2021-06-22 14:33,34982.65,25,1017.50,0.12,-3840.00,1.07,5782.50,0.66,1427.50,0.16
4,Entry Long,BUY,2021-06-22 14:33,34982.65,25,-4505.00,-0.52,-8345.00,-4.68,193.75,0.02,5017.50,0.57
4,Exit Long,SELL,2021-06-22 14:54,34802.45,25,-4505.00,-0.52,-8345.00,-4.68,193.75,0.02,5017.50,0.57
5,Entry Short,SELL,2021-06-22 14:54,34802.45,25,-760.00,-0.09,-9105.00,-0.83,83.75,0.01,1892.50,0.22
5,Exit Short,INTRADAY_SExit,2021-06-22 15:03,34832.85,25,-760.00,-0.09,-9105.00,-0.83,83.75,0.01,1892.50,0.22
6,Entry Long,BUY,2021-06-23 09:33,34790.35,25,-2248.75,-0.26,-11353.75,-2.47,1281.25,0.15,4405.00,0.51
6,Exit Long,SELL,2021-06-23 12:03,34700.40,25,-2248.75,-0.26,-11353.75,-2.47,1281.25,0.15,4405.00,0.51
7,Entry Short,SELL,2021-06-23 12:03,34700.40,25,-1931.25,-0.22,-13285.00,-2.18,0,0,2270.00,0.26
7,Exit Short,BUY,2021-06-23 12:24,34777.65,25,-1931.25,-0.22,-13285.00,-2.18,0,0,2270.00,0.26
8,Entry Long,BUY,2021-06-23 12:24,34777.65,25,-3171.25,-0.36,-16456.25,-3.66,300.00,0.03,3445.00,0.4
8,Exit Long,SELL,2021-06-23 13:18,34650.80,25,-3171.25,-0.36,-16456.25,-3.66,300.00,0.03,3445.00,0.4
9,Entry Short,SELL,2021-06-23 13:18,34650.80,25,-2931.25,-0.34,-19387.50,-3.51,187.50,0.02,3746.25,0.43
9,Exit Short,BUY,2021-06-23 13:36,34768.05,25,-2931.25,-0.34,-19387.50,-3.51,187.50,0.02,3746.25,0.43
10,Entry Long,BUY,2021-06-23 13:36,34768.05,25,-1150.00,-0.13,-20537.50,-1.43,2532.50,0.29,1331.25,0.15
10,Exit Long,SELL,2021-06-23 14:30,34722.05,25,-1150.00,-0.13,-20537.50,-1.43,2532.50,0.29,1331.25,0.15
11,Entry Short,SELL,2021-06-23 14:30,34722.05,25,3850.00,0.44,-16687.50,4.85,4676.25,0.54,847.50,0.1
11,Exit Short,INTRADAY_SExit,2021-06-23 15:03,34568.05,25,3850.00,0.44,-16687.50,4.85,4676.25,0.54,847.50,0.1
12,Entry Long,BUY,2021-06-24 09:33,34736.05,25,-801.25,-0.09,-17488.75,-0.96,2161.25,0.25,1427.50,0.16
12,Exit Long,SELL,2021-06-24 11:36,34704.00,25,-801.25,-0.09,-17488.75,-0.96,2161.25,0.25,1427.50,0.16
13,Entry Short,SELL,2021-06-24 11:36,34704.00,25,-742.50,-0.09,-18231.25,-0.9,1410.00,0.16,1868.75,0.22
13,Exit Short,BUY,2021-06-24 12:18,34733.70,25,-742.50,-0.09,-18231.25,-0.9,1410.00,0.16,1868.75,0.22
14,Entry Long,BUY,2021-06-24 12:18,34733.70,25,1005.00,0.12,-17226.25,1.23,5040.00,0.58,972.50,0.11
14,Exit Long,SELL,2021-06-24 14:27,34773.90,25,1005.00,0.12,-17226.25,1.23,5040.00,0.58,972.50,0.11
15,Entry Short,SELL,2021-06-24 14:27,34773.90,25,-1396.25,-0.16,-18622.50,-1.69,62.50,0.01,3278.75,0.38
15,Exit Short,INTRADAY_SExit,2021-06-24 15:03,34829.75,25,-1396.25,-0.16,-18622.50,-1.69,62.50,0.01,3278.75,0.38
16,Entry Long,BUY,2021-06-25 09:33,35024.25,25,8578.75,0.98,-10043.75,10.54,8865.00,1.01,1338.75,0.15
16,Exit Long,BUY_TG_HIT,2021-06-25 13:45,35367.40,25,8578.75,0.98,-10043.75,10.54,8865.00,1.01,1338.75,0.15
17,Entry Long,BUY,2021-06-28 09:33,35504.90,25,-3420.00,-0.39,-13463.75,-3.8,276.25,0.03,5705.00,0.64
17,Exit Long,SELL,2021-06-28 09:51,35368.10,25,-3420.00,-0.39,-13463.75,-3.8,276.25,0.03,5705.00,0.64
18,Entry Short,SELL,2021-06-28 09:51,35368.10,25,241.25,0.03,-13222.50,0.28,3291.25,0.37,990.00,0.11
18,Exit Short,BUY,2021-06-28 11:57,35358.45,25,241.25,0.03,-13222.50,0.28,3291.25,0.37,990.00,0.11
19,Entry Long,BUY,2021-06-28 11:57,35358.45,25,-1000.00,-0.11,-14222.50,-1.15,151.25,0.02,2008.75,0.23
19,Exit Long,SELL,2021-06-28 12:33,35318.45,25,-1000.00,-0.11,-14222.50,-1.15,151.25,0.02,2008.75,0.23
20,Entry Short,SELL,2021-06-28 12:33,35318.45,25,-2585.00,-0.29,-16807.50,-3.01,695.00,0.08,2936.25,0.33
20,Exit Short,BUY,2021-06-28 13:18,35421.85,25,-2585.00,-0.29,-16807.50,-3.01,695.00,0.08,2936.25,0.33
21,Entry Long,BUY,2021-06-28 13:18,35421.85,25,-1758.75,-0.2,-18566.25,-2.11,168.75,0.02,2603.75,0.29
21,Exit Long,SELL,2021-06-28 13:39,35351.50,25,-1758.75,-0.2,-18566.25,-2.11,168.75,0.02,2603.75,0.29
22,Entry Short,SELL,2021-06-28 13:39,35351.50,25,618.75,0.07,-17947.50,0.76,1270.00,0.14,2055.00,0.23
22,Exit Short,INTRADAY_SExit,2021-06-28 15:03,35326.75,25,618.75,0.07,-17947.50,0.76,1270.00,0.14,2055.00,0.23
23,Entry Short,SELL,2021-06-29 09:33,35224.75,25,2378.75,0.27,-15568.75,2.9,4428.75,0.5,633.75,0.07
23,Exit Short,BUY,2021-06-29 12:57,35129.60,25,2378.75,0.27,-15568.75,2.9,4428.75,0.5,633.75,0.07
24,Entry Long,BUY,2021-06-29 12:57,35129.60,25,-3295.00,-0.38,-18863.75,-3.9,1103.75,0.13,5397.50,0.61
24,Exit Long,SELL,2021-06-29 14:06,34997.80,25,-3295.00,-0.38,-18863.75,-3.9,1103.75,0.13,5397.50,0.61
25,Entry Short,SELL,2021-06-29 14:06,34997.80,25,106.25,0.01,-18757.50,0.13,1851.25,0.21,1262.50,0.14
25,Exit Short,INTRADAY_SExit,2021-06-29 15:03,34993.55,25,106.25,0.01,-18757.50,0.13,1851.25,0.21,1262.50,0.14
26,Entry Short,SELL,2021-06-30 09:36,34954.90,25,-3351.25,-0.38,-22108.75,-4.12,1491.25,0.17,3901.25,0.45
26,Exit Short,BUY,2021-06-30 10:45,35088.95,25,-3351.25,-0.38,-22108.75,-4.12,1491.25,0.17,3901.25,0.45
27,Entry Long,BUY,2021-06-30 10:45,35088.95,25,515.00,0.06,-21593.75,0.66,3148.75,0.36,0,0
27,Exit Long,SELL,2021-06-30 11:48,35109.55,25,515.00,0.06,-21593.75,0.66,3148.75,0.36,0,0
28,Entry Short,SELL,2021-06-30 11:48,35109.55,25,7588.75,0.86,-14005.00,9.68,8257.50,0.94,1275.00,0.15
28,Exit Short,INTRADAY_SExit,2021-06-30 15:03,34806.00,25,7588.75,0.86,-14005.00,9.68,8257.50,0.94,1275.00,0.15
29,Entry Long,BUY,2021-07-01 11:06,34771.15,25,415.00,0.05,-13590.00,0.48,3662.50,0.42,1805.00,0.21
29,Exit Long,SELL,2021-07-01 13:54,34787.75,25,415.00,0.05,-13590.00,0.48,3662.50,0.42,1805.00,0.21
30,Entry Short,SELL,2021-07-01 13:54,34787.75,25,2941.25,0.34,-10648.75,3.4,2941.25,0.34,1318.75,0.15
30,Exit Short,INTRADAY_SExit,2021-07-01 15:03,34670.10,25,2941.25,0.34,-10648.75,3.4,2941.25,0.34,1318.75,0.15
31,Entry Long,BUY,2021-07-02 10:15,34782.45,25,-1880.00,-0.22,-12528.75,-2.1,495.00,0.06,2692.50,0.31
31,Exit Long,SELL,2021-07-02 10:54,34707.25,25,-1880.00,-0.22,-12528.75,-2.1,495.00,0.06,2692.50,0.31
32,Entry Short,SELL,2021-07-02 10:54,34707.25,25,-2147.50,-0.25,-14676.25,-2.46,465.00,0.05,2656.25,0.31
32,Exit Short,BUY,2021-07-02 12:06,34793.15,25,-2147.50,-0.25,-14676.25,-2.46,465.00,0.05,2656.25,0.31
33,Entry Long,BUY,2021-07-02 12:06,34793.15,25,250.00,0.03,-14426.25,0.29,2532.50,0.29,606.25,0.07
33,Exit Long,SELL,2021-07-02 13:45,34803.15,25,250.00,0.03,-14426.25,0.29,2532.50,0.29,606.25,0.07
34,Entry Short,SELL,2021-07-02 13:45,34803.15,25,-436.25,-0.05,-14862.50,-0.51,2590.00,0.3,932.50,0.11
34,Exit Short,BUY,2021-07-02 14:30,34820.60,25,-436.25,-0.05,-14862.50,-0.51,2590.00,0.3,932.50,0.11
35,Entry Long,BUY,2021-07-02 14:30,34820.60,25,-1063.75,-0.12,-15926.25,-1.25,247.50,0.03,1632.50,0.19
35,Exit Long,INTRADAY_BExit,2021-07-02 15:03,34778.05,25,-1063.75,-0.12,-15926.25,-1.25,247.50,0.03,1632.50,0.19
36,Entry Short,SELL,2021-07-05 12:21,35039.40,25,-1637.50,-0.19,-17563.75,-1.95,537.50,0.06,1917.50,0.22
36,Exit Short,BUY,2021-07-05 13:18,35104.90,25,-1637.50,-0.19,-17563.75,-1.95,537.50,0.06,1917.50,0.22
37,Entry Long,BUY,2021-07-05 13:18,35104.90,25,753.75,0.09,-16810.00,0.91,2427.50,0.28,333.75,0.04
37,Exit Long,SELL,2021-07-05 14:33,35135.05,25,753.75,0.09,-16810.00,0.91,2427.50,0.28,333.75,0.04
38,Entry Short,SELL,2021-07-05 14:33,35135.05,25,-977.50,-0.11,-17787.50,-1.18,0,0,1646.25,0.19
