Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 08:15,31300.00,1,-275.00,-0.04,-275.00,-0.55,417.50,0.05,1875.00,0.24
1,Exit Short,INTRADAY_SExit,2021-01-01 09:45,31311.00,1,-275.00,-0.04,-275.00,-0.55,417.50,0.05,1875.00,0.24
2,Entry Short,SELL,2021-01-04 05:15,31492.90,1,8210.00,1.04,7935.00,16.51,14052.50,1.78,317.50,0.04
2,Exit Short,SELL_TG_HIT,2021-01-04 05:45,31164.50,1,8210.00,1.04,7935.00,16.51,14052.50,1.78,317.50,0.04
3,Entry Long,BUY,2021-01-05 05:30,31264.35,1,7981.25,1.02,15916.25,13.78,8107.50,1.04,0,0
3,Exit Long,BUY_TG_HIT,2021-01-05 08:30,31583.60,1,7981.25,1.02,15916.25,13.78,8107.50,1.04,0,0
4,Entry Long,BUY,2021-01-06 06:45,31951.90,1,-2771.25,-0.35,13145.00,-4.2,3445.00,0.43,6297.50,0.79
4,Exit Long,SELL,2021-01-06 08:30,31841.05,1,-2771.25,-0.35,13145.00,-4.2,3445.00,0.43,6297.50,0.79
5,Entry Short,SELL,2021-01-06 08:30,31841.05,1,-2955.00,-0.37,10190.00,-4.68,4463.75,0.56,3687.50,0.46
5,Exit Short,BUY,2021-01-06 09:30,31959.25,1,-2955.00,-0.37,10190.00,-4.68,4463.75,0.56,3687.50,0.46
6,Entry Long,BUY,2021-01-06 09:30,31959.25,1,-731.25,-0.09,9458.75,-1.21,775.00,0.1,1447.50,0.18
6,Exit Long,INTRADAY_BExit,2021-01-06 09:45,31930.00,1,-731.25,-0.09,9458.75,-1.21,775.00,0.1,1447.50,0.18
7,Entry Long,BUY,2021-01-07 04:15,32145.90,1,-1620.00,-0.2,7838.75,-2.72,602.50,0.07,2643.75,0.33
7,Exit Long,SELL,2021-01-07 05:00,32081.10,1,-1620.00,-0.2,7838.75,-2.72,602.50,0.07,2643.75,0.33
8,Entry Short,SELL,2021-01-07 05:00,32081.10,1,-4691.25,-0.58,3147.50,-8.11,702.50,0.09,4810.00,0.6
8,Exit Short,BUY,2021-01-07 07:15,32268.75,1,-4691.25,-0.58,3147.50,-8.11,702.50,0.09,4810.00,0.6
9,Entry Long,BUY,2021-01-07 07:15,32268.75,1,-4935.00,-0.61,-1787.50,-9.29,655.00,0.08,5867.50,0.73
9,Exit Long,INTRADAY_BExit,2021-01-07 09:45,32071.35,1,-4935.00,-0.61,-1787.50,-9.29,655.00,0.08,5867.50,0.73
10,Entry Long,BUY,2021-01-08 04:45,32256.90,1,-826.25,-0.1,-2613.75,-1.71,1147.50,0.14,2170.00,0.27
10,Exit Long,SELL,2021-01-08 06:45,32223.85,1,-826.25,-0.1,-2613.75,-1.71,1147.50,0.14,2170.00,0.27
11,Entry Short,SELL,2021-01-08 06:45,32223.85,1,1471.25,0.18,-1142.50,3.1,3591.25,0.45,1540.00,0.19
11,Exit Short,INTRADAY_SExit,2021-01-08 09:45,32165.00,1,1471.25,0.18,-1142.50,3.1,3591.25,0.45,1540.00,0.19
12,Entry Short,SELL,2021-01-11 04:45,32135.00,1,-75.00,-0.01,-1217.50,-0.15,6175.00,0.77,650.00,0.08
12,Exit Short,BUY,2021-01-11 08:15,32138.00,1,-75.00,-0.01,-1217.50,-0.15,6175.00,0.77,650.00,0.08
13,Entry Long,BUY,2021-01-11 08:15,32138.00,1,-1250.00,-0.16,-2467.50,-2.56,1050.00,0.13,3893.75,0.48
13,Exit Long,INTRADAY_BExit,2021-01-11 09:45,32088.00,1,-1250.00,-0.16,-2467.50,-2.56,1050.00,0.13,3893.75,0.48
14,Entry Short,SELL,2021-01-12 04:30,31951.00,1,-1675.00,-0.21,-4142.50,-3.52,1201.25,0.15,2377.50,0.3
14,Exit Short,BUY,2021-01-12 06:15,32018.00,1,-1675.00,-0.21,-4142.50,-3.52,1201.25,0.15,2377.50,0.3
15,Entry Long,BUY,2021-01-12 06:15,32018.00,1,9662.50,1.21,5520.00,21.07,10178.75,1.27,573.75,0.07
15,Exit Long,BUY_TG_HIT,2021-01-12 07:15,32404.50,1,9662.50,1.21,5520.00,21.07,10178.75,1.27,573.75,0.07
16,Entry Short,SELL,2021-01-13 06:15,32495.00,1,-2725.00,-0.34,2795.00,-4.91,6078.75,0.75,3737.50,0.46
16,Exit Short,BUY,2021-01-13 09:15,32604.00,1,-2725.00,-0.34,2795.00,-4.91,6078.75,0.75,3737.50,0.46
17,Entry Long,BUY,2021-01-13 09:15,32604.00,1,3026.25,0.37,5821.25,5.73,3490.00,0.43,545.00,0.07
17,Exit Long,INTRADAY_BExit,2021-01-13 09:45,32725.05,1,3026.25,0.37,5821.25,5.73,3490.00,0.43,545.00,0.07
18,Entry Long,BUY,2021-01-14 04:15,32668.55,1,-2561.25,-0.31,3260.00,-4.59,2703.75,0.33,2561.25,0.31
18,Exit Long,SELL,2021-01-14 09:15,32566.10,1,-2561.25,-0.31,3260.00,-4.59,2703.75,0.33,2561.25,0.31
19,Entry Short,SELL,2021-01-14 09:15,32566.10,1,-1547.50,-0.19,1712.50,-2.91,100.00,0.01,2047.50,0.25
19,Exit Short,INTRADAY_SExit,2021-01-14 09:45,32628.00,1,-1547.50,-0.19,1712.50,-2.91,100.00,0.01,2047.50,0.25
20,Entry Short,SELL,2021-01-15 06:00,32182.60,1,-5547.50,-0.69,-3835.00,-10.73,405.00,0.05,6183.75,0.77
20,Exit Short,BUY,2021-01-15 07:00,32404.50,1,-5547.50,-0.69,-3835.00,-10.73,405.00,0.05,6183.75,0.77
21,Entry Long,BUY,2021-01-15 07:00,32404.50,1,-4650.00,-0.57,-8485.00,-10.07,2137.50,0.26,5712.50,0.71
21,Exit Long,SELL,2021-01-15 08:45,32218.50,1,-4650.00,-0.57,-8485.00,-10.07,2137.50,0.26,5712.50,0.71
22,Entry Short,SELL,2021-01-15 08:45,32218.50,1,-2387.50,-0.3,-10872.50,-5.75,2837.50,0.35,2762.50,0.34
22,Exit Short,INTRADAY_SExit,2021-01-15 09:45,32314.00,1,-2387.50,-0.3,-10872.50,-5.75,2837.50,0.35,2762.50,0.34
23,Entry Short,SELL,2021-01-18 05:00,32220.55,1,8765.00,1.09,-2107.50,22.4,9763.75,1.21,2436.25,0.3
23,Exit Short,INTRADAY_SExit,2021-01-18 09:45,31869.95,1,8765.00,1.09,-2107.50,22.4,9763.75,1.21,2436.25,0.3
24,Entry Short,SELL,2021-01-19 04:15,31979.20,1,-4705.00,-0.59,-6812.50,-9.82,1505.00,0.19,4892.50,0.61
24,Exit Short,BUY,2021-01-19 05:00,32167.40,1,-4705.00,-0.59,-6812.50,-9.82,1505.00,0.19,4892.50,0.61
25,Entry Long,BUY,2021-01-19 05:00,32167.40,1,8536.25,1.06,1723.75,19.77,8563.75,1.06,2286.25,0.28
25,Exit Long,BUY_TG_HIT,2021-01-19 09:15,32508.85,1,8536.25,1.06,1723.75,19.77,8563.75,1.06,2286.25,0.28
