Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-15 06:55,598.65,1,-902.50,-0.16,-902.50,-0.45,1235.00,0.22,1045.00,0.18
1,Exit Long,SELL,2021-02-15 07:45,597.70,1,-902.50,-0.16,-902.50,-0.45,1235.00,0.22,1045.00,0.18
2,Entry Short,SELL,2021-02-15 07:45,597.70,1,-1805.00,-0.32,-2707.50,-0.91,380.00,0.07,1947.50,0.34
2,Exit Short,BUY,2021-02-15 08:05,599.60,1,-1805.00,-0.32,-2707.50,-0.91,380.00,0.07,1947.50,0.34
3,Entry Long,BUY,2021-02-15 08:05,599.60,1,-1140.00,-0.2,-3847.50,-0.58,237.50,0.04,1282.50,0.23
3,Exit Long,SELL,2021-02-15 08:35,598.40,1,-1140.00,-0.2,-3847.50,-0.58,237.50,0.04,1282.50,0.23
4,Entry Short,SELL,2021-02-15 08:35,598.40,1,4132.50,0.73,285.00,2.11,5272.50,0.93,522.50,0.09
4,Exit Short,INTRADAY_SExit,2021-02-15 09:35,594.05,1,4132.50,0.73,285.00,2.11,5272.50,0.93,522.50,0.09
5,Entry Long,BUY,2021-02-16 04:05,598.55,1,-380.00,-0.07,-95.00,-0.19,2470.00,0.43,2992.50,0.53
5,Exit Long,SELL,2021-02-16 06:00,598.15,1,-380.00,-0.07,-95.00,-0.19,2470.00,0.43,2992.50,0.53
6,Entry Short,SELL,2021-02-16 06:00,598.15,1,-3087.50,-0.54,-3182.50,-1.54,997.50,0.18,3800.00,0.67
6,Exit Short,BUY,2021-02-16 06:40,601.40,1,-3087.50,-0.54,-3182.50,-1.54,997.50,0.18,3800.00,0.67
7,Entry Long,BUY,2021-02-16 06:40,601.40,1,-2470.00,-0.43,-5652.50,-1.25,950.00,0.17,2945.00,0.52
7,Exit Long,SELL,2021-02-16 07:10,598.80,1,-2470.00,-0.43,-5652.50,-1.25,950.00,0.17,2945.00,0.52
8,Entry Short,SELL,2021-02-16 07:10,598.80,1,-617.50,-0.11,-6270.00,-0.32,4085.00,0.72,855.00,0.15
8,Exit Short,BUY,2021-02-16 08:05,599.45,1,-617.50,-0.11,-6270.00,-0.32,4085.00,0.72,855.00,0.15
9,Entry Long,BUY,2021-02-16 08:05,599.45,1,-1140.00,-0.2,-7410.00,-0.59,1662.50,0.29,2232.50,0.39
9,Exit Long,SELL,2021-02-16 09:15,598.25,1,-1140.00,-0.2,-7410.00,-0.59,1662.50,0.29,2232.50,0.39
10,Entry Short,SELL,2021-02-16 09:15,598.25,1,2802.50,0.49,-4607.50,1.46,3087.50,0.54,332.50,0.06
10,Exit Short,INTRADAY_SExit,2021-02-16 09:35,595.30,1,2802.50,0.49,-4607.50,1.46,3087.50,0.54,332.50,0.06
11,Entry Short,SELL,2021-02-17 04:30,594.00,1,380.00,0.07,-4227.50,0.19,2280.00,0.4,570.00,0.1
11,Exit Short,BUY,2021-02-17 05:10,593.60,1,380.00,0.07,-4227.50,0.19,2280.00,0.4,570.00,0.1
12,Entry Long,BUY,2021-02-17 05:10,593.60,1,1140.00,0.2,-3087.50,0.58,2992.50,0.53,712.50,0.13
12,Exit Long,SELL,2021-02-17 06:55,594.80,1,1140.00,0.2,-3087.50,0.58,2992.50,0.53,712.50,0.13
13,Entry Short,SELL,2021-02-17 06:55,594.80,1,475.00,0.08,-2612.50,0.24,3182.50,0.56,712.50,0.13
13,Exit Short,BUY,2021-02-17 09:05,594.30,1,475.00,0.08,-2612.50,0.24,3182.50,0.56,712.50,0.13
14,Entry Long,BUY,2021-02-17 09:05,594.30,1,-1852.50,-0.33,-4465.00,-0.94,0,0,2327.50,0.41
14,Exit Long,SELL,2021-02-17 09:15,592.35,1,-1852.50,-0.33,-4465.00,-0.94,0,0,2327.50,0.41
15,Entry Short,SELL,2021-02-17 09:15,592.35,1,-712.50,-0.13,-5177.50,-0.36,1995.00,0.35,712.50,0.13
15,Exit Short,BUY,2021-02-17 09:30,593.10,1,-712.50,-0.13,-5177.50,-0.36,1995.00,0.35,712.50,0.13
16,Entry Long,BUY,2021-02-17 09:30,593.10,1,-522.50,-0.09,-5700.00,-0.27,522.50,0.09,1662.50,0.3
16,Exit Long,INTRADAY_BExit,2021-02-17 09:35,592.55,1,-522.50,-0.09,-5700.00,-0.27,522.50,0.09,1662.50,0.3
17,Entry Long,BUY,2021-02-18 04:15,594.40,1,-2375.00,-0.42,-8075.00,-1.22,1140.00,0.2,2375.00,0.42
17,Exit Long,SELL,2021-02-18 04:45,591.90,1,-2375.00,-0.42,-8075.00,-1.22,1140.00,0.2,2375.00,0.42
18,Entry Short,SELL,2021-02-18 04:45,591.90,1,-95.00,-0.02,-8170.00,-0.05,2992.50,0.53,1947.50,0.35
18,Exit Short,BUY,2021-02-18 06:25,592.00,1,-95.00,-0.02,-8170.00,-0.05,2992.50,0.53,1947.50,0.35
19,Entry Long,BUY,2021-02-18 06:25,592.00,1,-3087.50,-0.55,-11257.50,-1.61,1235.00,0.22,3087.50,0.55
19,Exit Long,SELL,2021-02-18 07:00,588.75,1,-3087.50,-0.55,-11257.50,-1.61,1235.00,0.22,3087.50,0.55
20,Entry Short,SELL,2021-02-18 07:00,588.75,1,-1330.00,-0.24,-12587.50,-0.7,3230.00,0.58,1330.00,0.24
20,Exit Short,BUY,2021-02-18 07:30,590.15,1,-1330.00,-0.24,-12587.50,-0.7,3230.00,0.58,1330.00,0.24
21,Entry Long,BUY,2021-02-18 07:30,590.15,1,-142.50,-0.03,-12730.00,-0.08,1377.50,0.25,1140.00,0.2
21,Exit Long,SELL,2021-02-18 09:25,590.00,1,-142.50,-0.03,-12730.00,-0.08,1377.50,0.25,1140.00,0.2
22,Entry Short,SELL,2021-02-18 09:25,590.00,1,-142.50,-0.03,-12872.50,-0.08,807.50,0.14,427.50,0.08
22,Exit Short,INTRADAY_SExit,2021-02-18 09:35,590.15,1,-142.50,-0.03,-12872.50,-0.08,807.50,0.14,427.50,0.08
23,Entry Long,BUY,2021-02-19 04:05,592.10,1,285.00,0.05,-12587.50,0.15,4180.00,0.74,617.50,0.11
23,Exit Long,SELL,2021-02-19 05:25,592.40,1,285.00,0.05,-12587.50,0.15,4180.00,0.74,617.50,0.11
24,Entry Short,SELL,2021-02-19 05:25,592.40,1,5605.00,1,-6982.50,2.99,6840.00,1.22,807.50,0.14
24,Exit Short,SELL_TG_HIT,2021-02-19 07:25,586.50,1,5605.00,1,-6982.50,2.99,6840.00,1.22,807.50,0.14
25,Entry Short,SELL,2021-02-19 07:55,584.40,1,6270.00,1.13,-712.50,3.25,6317.50,1.14,95.00,0.02
25,Exit Short,SELL_TG_HIT,2021-02-19 08:40,577.80,1,6270.00,1.13,-712.50,3.25,6317.50,1.14,95.00,0.02
26,Entry Long,BUY,2021-02-19 09:00,580.80,1,-997.50,-0.18,-1710.00,-0.5,665.00,0.12,2897.50,0.53
26,Exit Long,INTRADAY_BExit,2021-02-19 09:35,579.75,1,-997.50,-0.18,-1710.00,-0.5,665.00,0.12,2897.50,0.53
27,Entry Long,BUY,2021-02-22 04:55,580.65,1,-1710.00,-0.31,-3420.00,-0.86,3752.50,0.68,1710.00,0.31
27,Exit Long,SELL,2021-02-22 05:55,578.85,1,-1710.00,-0.31,-3420.00,-0.86,3752.50,0.68,1710.00,0.31
28,Entry Short,SELL,2021-02-22 05:55,578.85,1,6317.50,1.15,2897.50,3.21,6602.50,1.2,3277.50,0.6
28,Exit Short,SELL_TG_HIT,2021-02-22 08:50,572.20,1,6317.50,1.15,2897.50,3.21,6602.50,1.2,3277.50,0.6
29,Entry Long,BUY,2021-02-22 09:15,573.50,1,-1520.00,-0.28,1377.50,-0.75,665.00,0.12,2232.50,0.41
29,Exit Long,INTRADAY_BExit,2021-02-22 09:35,571.90,1,-1520.00,-0.28,1377.50,-0.75,665.00,0.12,2232.50,0.41
30,Entry Short,SELL,2021-02-23 04:05,571.50,1,-950.00,-0.17,427.50,-0.47,3800.00,0.7,2992.50,0.55
30,Exit Short,BUY,2021-02-23 05:50,572.50,1,-950.00,-0.17,427.50,-0.47,3800.00,0.7,2992.50,0.55
31,Entry Long,BUY,2021-02-23 05:50,572.50,1,-1140.00,-0.21,-712.50,-0.57,3040.00,0.56,1757.50,0.32
31,Exit Long,SELL,2021-02-23 07:10,571.30,1,-1140.00,-0.21,-712.50,-0.57,3040.00,0.56,1757.50,0.32
32,Entry Short,SELL,2021-02-23 07:10,571.30,1,-1425.00,-0.26,-2137.50,-0.72,1900.00,0.35,1995.00,0.37
32,Exit Short,BUY,2021-02-23 07:45,572.80,1,-1425.00,-0.26,-2137.50,-0.72,1900.00,0.35,1995.00,0.37
33,Entry Long,BUY,2021-02-23 07:45,572.80,1,-1805.00,-0.33,-3942.50,-0.91,617.50,0.11,2565.00,0.47
33,Exit Long,SELL,2021-02-23 07:55,570.90,1,-1805.00,-0.33,-3942.50,-0.91,617.50,0.11,2565.00,0.47
34,Entry Short,SELL,2021-02-23 07:55,570.90,1,5035.00,0.93,1092.50,2.57,6032.50,1.11,1187.50,0.22
34,Exit Short,INTRADAY_SExit,2021-02-23 09:35,565.60,1,5035.00,0.93,1092.50,2.57,6032.50,1.11,1187.50,0.22
35,Entry Long,BUY,2021-02-24 04:05,571.05,1,570.00,0.11,1662.50,0.28,3087.50,0.57,3040.00,0.56
35,Exit Long,SELL,2021-02-24 05:15,571.65,1,570.00,0.11,1662.50,0.28,3087.50,0.57,3040.00,0.56
36,Entry Short,SELL,2021-02-24 05:15,571.65,1,-1282.50,-0.24,380.00,-0.64,997.50,0.18,1282.50,0.24
36,Exit Short,BUY,2021-02-24 05:35,573.00,1,-1282.50,-0.24,380.00,-0.64,997.50,0.18,1282.50,0.24
37,Entry Long,BUY,2021-02-24 05:35,573.00,1,-1900.00,-0.35,-1520.00,-0.95,1662.50,0.31,1900.00,0.35
37,Exit Long,SELL,2021-02-24 06:00,571.00,1,-1900.00,-0.35,-1520.00,-0.95,1662.50,0.31,1900.00,0.35
38,Entry Short,SELL,2021-02-24 06:00,571.00,1,1092.50,0.2,-427.50,0.55,10450.00,1.93,950.00,0.18
38,Exit Short,INTRADAY_SExit,2021-02-24 10:20,569.85,1,1092.50,0.2,-427.50,0.55,10450.00,1.93,950.00,0.18
39,Entry Long,BUY,2021-02-25 04:05,580.30,1,4370.00,0.79,3942.50,2.19,5415.00,0.98,0,0
39,Exit Long,BUY_TG_HIT,2021-02-25 05:00,584.90,1,4370.00,0.79,3942.50,2.19,5415.00,0.98,0,0
40,Entry Short,SELL,2021-02-25 05:30,584.00,1,522.50,0.09,4465.00,0.26,3515.00,0.63,285.00,0.05
40,Exit Short,BUY,2021-02-25 07:05,583.45,1,522.50,0.09,4465.00,0.26,3515.00,0.63,285.00,0.05
41,Entry Long,BUY,2021-02-25 07:05,583.45,1,-855.00,-0.15,3610.00,-0.42,1567.50,0.28,855.00,0.15
41,Exit Long,SELL,2021-02-25 07:35,582.55,1,-855.00,-0.15,3610.00,-0.42,1567.50,0.28,855.00,0.15
42,Entry Short,SELL,2021-02-25 07:35,582.55,1,522.50,0.09,4132.50,0.26,3372.50,0.61,617.50,0.11
42,Exit Short,BUY,2021-02-25 09:00,582.00,1,522.50,0.09,4132.50,0.26,3372.50,0.61,617.50,0.11
43,Entry Long,BUY,2021-02-25 09:00,582.00,1,-1187.50,-0.21,2945.00,-0.58,95.00,0.02,2375.00,0.43
43,Exit Long,SELL,2021-02-25 09:15,580.75,1,-1187.50,-0.21,2945.00,-0.58,95.00,0.02,2375.00,0.43
44,Entry Short,SELL,2021-02-25 09:15,580.75,1,617.50,0.11,3562.50,0.3,1472.50,0.27,0,0
44,Exit Short,INTRADAY_SExit,2021-02-25 09:35,580.10,1,617.50,0.11,3562.50,0.3,1472.50,0.27,0,0
45,Entry Long,BUY,2021-02-26 04:10,584.30,1,-3705.00,-0.67,-142.50,-1.82,665.00,0.12,4465.00,0.8
45,Exit Long,SELL,2021-02-26 04:50,580.40,1,-3705.00,-0.67,-142.50,-1.82,665.00,0.12,4465.00,0.8
46,Entry Short,SELL,2021-02-26 04:50,580.40,1,4607.50,0.84,4465.00,2.31,5415.00,0.98,380.00,0.07
46,Exit Short,SELL_TG_HIT,2021-02-26 05:15,575.55,1,4607.50,0.84,4465.00,2.31,5415.00,0.98,380.00,0.07
47,Entry Long,BUY,2021-02-26 07:00,568.50,1,-4370.00,-0.81,95.00,-2.14,427.50,0.08,4512.50,0.84
47,Exit Long,SELL,2021-02-26 07:15,563.90,1,-4370.00,-0.81,95.00,-2.14,427.50,0.08,4512.50,0.84
48,Entry Short,SELL,2021-02-26 07:15,563.90,1,-4845.00,-0.9,-4750.00,-2.42,142.50,0.03,4845.00,0.9
48,Exit Short,SELL_SL_HIT,2021-02-26 07:30,569.00,1,-4845.00,-0.9,-4750.00,-2.42,142.50,0.03,4845.00,0.9
49,Entry Short,SELL,2021-02-26 09:10,565.40,1,3230.00,0.6,-1520.00,1.65,10687.50,1.99,2280.00,0.42
49,Exit Short,INTRADAY_SExit,2021-02-26 09:35,562.00,1,3230.00,0.6,-1520.00,1.65,10687.50,1.99,2280.00,0.42
50,Entry Short,SELL,2021-03-01 05:35,537.60,1,5225.00,1.02,3705.00,2.63,5747.50,1.13,1235.00,0.24
50,Exit Short,SELL_TG_HIT,2021-03-01 06:55,532.10,1,5225.00,1.02,3705.00,2.63,5747.50,1.13,1235.00,0.24
51,Entry Long,BUY,2021-03-01 07:25,528.40,1,4797.50,0.96,8502.50,2.36,5367.50,1.07,1235.00,0.25
51,Exit Long,BUY_TG_HIT,2021-03-01 08:05,533.45,1,4797.50,0.96,8502.50,2.36,5367.50,1.07,1235.00,0.25
52,Entry Long,BUY,2021-03-02 04:35,539.15,1,-1187.50,-0.23,7315.00,-0.57,2517.50,0.49,1425.00,0.28
52,Exit Long,SELL,2021-03-02 05:20,537.90,1,-1187.50,-0.23,7315.00,-0.57,2517.50,0.49,1425.00,0.28
53,Entry Short,SELL,2021-03-02 05:20,537.90,1,5320.00,1.04,12635.00,2.57,5510.00,1.08,0,0
53,Exit Short,SELL_TG_HIT,2021-03-02 05:50,532.30,1,5320.00,1.04,12635.00,2.57,5510.00,1.08,0,0
54,Entry Short,SELL,2021-03-02 06:40,532.95,1,-2090.00,-0.41,10545.00,-0.98,237.50,0.05,2660.00,0.53
54,Exit Short,BUY,2021-03-02 07:15,535.15,1,-2090.00,-0.41,10545.00,-0.98,237.50,0.05,2660.00,0.53
55,Entry Long,BUY,2021-03-02 07:15,535.15,1,4275.00,0.84,14820.00,2.03,5082.50,1,1520.00,0.3
55,Exit Long,BUY_TG_HIT,2021-03-02 08:30,539.65,1,4275.00,0.84,14820.00,2.03,5082.50,1,1520.00,0.3
56,Entry Long,BUY,2021-03-02 09:10,544.25,1,-3087.50,-0.6,11732.50,-1.44,0,0,3182.50,0.62
56,Exit Long,SELL,2021-03-02 09:20,541.00,1,-3087.50,-0.6,11732.50,-1.44,0,0,3182.50,0.62
