Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 14:25,595.40,1,1282.50,0.23,1282.50,0.64,2422.50,0.43,1472.50,0.26
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,594.05,1,1282.50,0.23,1282.50,0.64,2422.50,0.43,1472.50,0.26
2,Entry Long,BUY,2021-02-16 09:35,598.55,1,-3752.50,-0.66,-2470.00,-1.86,3657.50,0.64,3752.50,0.66
2,Exit Long,SELL,2021-02-16 13:05,594.60,1,-3752.50,-0.66,-2470.00,-1.86,3657.50,0.64,3752.50,0.66
3,Entry Short,SELL,2021-02-16 13:05,594.60,1,-4607.50,-0.82,-7077.50,-2.33,95.00,0.02,4845.00,0.86
3,Exit Short,SELL_SL_HIT,2021-02-16 13:35,599.45,1,-4607.50,-0.82,-7077.50,-2.33,95.00,0.02,4845.00,0.86
4,Entry Long,BUY,2021-02-16 13:55,599.05,1,-3562.50,-0.63,-10640.00,-1.85,522.50,0.09,3847.50,0.68
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,595.30,1,-3562.50,-0.63,-10640.00,-1.85,522.50,0.09,3847.50,0.68
5,Entry Short,SELL,2021-02-17 09:35,593.70,1,-2137.50,-0.38,-12777.50,-1.13,1995.00,0.35,2565.00,0.45
5,Exit Short,BUY,2021-02-17 11:05,595.95,1,-2137.50,-0.38,-12777.50,-1.13,1995.00,0.35,2565.00,0.45
6,Entry Long,BUY,2021-02-17 11:05,595.95,1,-1092.50,-0.19,-13870.00,-0.58,760.00,0.13,1900.00,0.34
6,Exit Long,SELL,2021-02-17 12:35,594.80,1,-1092.50,-0.19,-13870.00,-0.58,760.00,0.13,1900.00,0.34
7,Entry Short,SELL,2021-02-17 12:35,594.80,1,2137.50,0.38,-11732.50,1.15,4322.50,0.76,712.50,0.13
7,Exit Short,INTRADAY_SExit,2021-02-17 15:05,592.55,1,2137.50,0.38,-11732.50,1.15,4322.50,0.76,712.50,0.13
8,Entry Short,SELL,2021-02-18 09:35,591.95,1,285.00,0.05,-11447.50,0.15,3040.00,0.54,3467.50,0.62
8,Exit Short,BUY,2021-02-18 12:20,591.65,1,285.00,0.05,-11447.50,0.15,3040.00,0.54,3467.50,0.62
9,Entry Long,BUY,2021-02-18 12:20,591.65,1,-2042.50,-0.36,-13490.00,-1.08,570.00,0.1,3230.00,0.57
9,Exit Long,SELL,2021-02-18 12:35,589.50,1,-2042.50,-0.36,-13490.00,-1.08,570.00,0.1,3230.00,0.57
10,Entry Short,SELL,2021-02-18 12:35,589.50,1,-1140.00,-0.2,-14630.00,-0.61,3942.50,0.7,1995.00,0.36
10,Exit Short,BUY,2021-02-18 13:15,590.70,1,-1140.00,-0.2,-14630.00,-0.61,3942.50,0.7,1995.00,0.36
11,Entry Long,BUY,2021-02-18 13:15,590.70,1,-522.50,-0.09,-15152.50,-0.28,665.00,0.12,1472.50,0.26
11,Exit Long,INTRADAY_BExit,2021-02-18 15:05,590.15,1,-522.50,-0.09,-15152.50,-0.28,665.00,0.12,1472.50,0.26
12,Entry Long,BUY,2021-02-19 09:35,592.10,1,-570.00,-0.1,-15722.50,-0.31,4180.00,0.74,1187.50,0.21
12,Exit Long,SELL,2021-02-19 11:25,591.50,1,-570.00,-0.1,-15722.50,-0.31,4180.00,0.74,1187.50,0.21
13,Entry Short,SELL,2021-02-19 11:25,591.50,1,5795.00,1.03,-9927.50,3.14,5985.00,1.07,1662.50,0.3
13,Exit Short,SELL_TG_HIT,2021-02-19 13:20,585.40,1,5795.00,1.03,-9927.50,3.14,5985.00,1.07,1662.50,0.3
14,Entry Long,BUY,2021-02-22 11:05,582.70,1,-3277.50,-0.59,-13205.00,-1.72,997.50,0.18,3657.50,0.66
14,Exit Long,SELL,2021-02-22 11:30,579.25,1,-3277.50,-0.59,-13205.00,-1.72,997.50,0.18,3657.50,0.66
15,Entry Short,SELL,2021-02-22 11:30,579.25,1,4512.50,0.82,-8692.50,2.42,5795.00,1.05,2897.50,0.53
15,Exit Short,SELL_TG_HIT,2021-02-22 14:15,574.50,1,4512.50,0.82,-8692.50,2.42,5795.00,1.05,2897.50,0.53
16,Entry Long,BUY,2021-02-23 09:35,571.50,1,760.00,0.14,-7932.50,0.4,2992.50,0.55,3800.00,0.7
16,Exit Long,SELL,2021-02-23 11:15,572.30,1,760.00,0.14,-7932.50,0.4,2992.50,0.55,3800.00,0.7
17,Entry Short,SELL,2021-02-23 11:15,572.30,1,-1187.50,-0.22,-9120.00,-0.62,47.50,0.01,1995.00,0.37
17,Exit Short,BUY,2021-02-23 11:30,573.55,1,-1187.50,-0.22,-9120.00,-0.62,47.50,0.01,1995.00,0.37
18,Entry Long,BUY,2021-02-23 11:30,573.55,1,-1757.50,-0.32,-10877.50,-0.92,2042.50,0.37,4037.50,0.74
18,Exit Long,SELL,2021-02-23 13:05,571.70,1,-1757.50,-0.32,-10877.50,-0.92,2042.50,0.37,4037.50,0.74
19,Entry Short,SELL,2021-02-23 13:05,571.70,1,5795.00,1.07,-5082.50,3.06,6792.50,1.25,1662.50,0.31
19,Exit Short,INTRADAY_SExit,2021-02-23 15:05,565.60,1,5795.00,1.07,-5082.50,3.06,6792.50,1.25,1662.50,0.31
20,Entry Long,BUY,2021-02-24 09:40,571.55,1,-1615.00,-0.3,-6697.50,-0.83,3040.00,0.56,10972.50,2.02
20,Exit Long,INTRADAY_BExit,2021-02-24 15:50,569.85,1,-1615.00,-0.3,-6697.50,-0.83,3040.00,0.56,10972.50,2.02
21,Entry Short,SELL,2021-02-25 14:15,580.60,1,475.00,0.09,-6222.50,0.25,1520.00,0.28,1852.50,0.34
