Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:15,511.55,1,-1852.50,-0.38,-1852.50,-0.93,1710.00,0.35,2517.50,0.52
1,Exit Short,BUY,2021-01-01 06:00,513.50,1,-1852.50,-0.38,-1852.50,-0.93,1710.00,0.35,2517.50,0.52
2,Entry Long,BUY,2021-01-01 06:00,513.50,1,3942.50,0.81,2090.00,1.99,4940.00,1.01,1900.00,0.39
2,Exit Long,INTRADAY_BExit,2021-01-01 09:45,517.65,1,3942.50,0.81,2090.00,1.99,4940.00,1.01,1900.00,0.39
3,Entry Short,SELL,2021-01-04 04:45,517.00,1,-2137.50,-0.44,-47.50,-1.06,4085.00,0.83,2185.00,0.44
3,Exit Short,BUY,2021-01-04 08:45,519.25,1,-2137.50,-0.44,-47.50,-1.06,4085.00,0.83,2185.00,0.44
4,Entry Long,BUY,2021-01-04 08:45,519.25,1,-285.00,-0.06,-332.50,-0.14,475.00,0.1,1615.00,0.33
4,Exit Long,INTRADAY_BExit,2021-01-04 09:45,518.95,1,-285.00,-0.06,-332.50,-0.14,475.00,0.1,1615.00,0.33
5,Entry Long,BUY,2021-01-05 06:00,517.55,1,-1472.50,-0.3,-1805.00,-0.74,902.50,0.18,2280.00,0.46
5,Exit Long,SELL,2021-01-05 08:00,516.00,1,-1472.50,-0.3,-1805.00,-0.74,902.50,0.18,2280.00,0.46
6,Entry Short,SELL,2021-01-05 08:00,516.00,1,-570.00,-0.12,-2375.00,-0.29,855.00,0.17,1187.50,0.24
6,Exit Short,INTRADAY_SExit,2021-01-05 09:45,516.60,1,-570.00,-0.12,-2375.00,-0.29,855.00,0.17,1187.50,0.24
7,Entry Long,BUY,2021-01-06 04:15,524.45,1,2565.00,0.51,190.00,1.3,9690.00,1.94,1615.00,0.32
7,Exit Long,INTRADAY_BExit,2021-01-06 09:45,527.15,1,2565.00,0.51,190.00,1.3,9690.00,1.94,1615.00,0.32
8,Entry Long,BUY,2021-01-07 04:15,532.00,1,19712.50,3.9,19902.50,9.85,19902.50,3.94,285.00,0.06
8,Exit Long,BUY_TG_HIT,2021-01-07 06:15,552.75,1,19712.50,3.9,19902.50,9.85,19902.50,3.94,285.00,0.06
9,Entry Long,BUY,2021-01-07 06:30,553.05,1,-5082.50,-0.97,14820.00,-2.31,3562.50,0.68,7790.00,1.48
9,Exit Long,INTRADAY_BExit,2021-01-07 09:45,547.70,1,-5082.50,-0.97,14820.00,-2.31,3562.50,0.68,7790.00,1.48
10,Entry Short,SELL,2021-01-08 04:15,547.00,1,5082.50,0.98,19902.50,2.37,8550.00,1.65,1995.00,0.38
10,Exit Short,INTRADAY_SExit,2021-01-08 09:45,541.65,1,5082.50,0.98,19902.50,2.37,8550.00,1.65,1995.00,0.38
11,Entry Long,BUY,2021-01-11 04:30,554.80,1,-5842.50,-1.11,14060.00,-2.66,0,0,9025.00,1.71
11,Exit Long,SELL,2021-01-11 09:15,548.65,1,-5842.50,-1.11,14060.00,-2.66,0,0,9025.00,1.71
12,Entry Short,SELL,2021-01-11 09:15,548.65,1,1140.00,0.22,15200.00,0.53,1995.00,0.38,807.50,0.15
12,Exit Short,INTRADAY_SExit,2021-01-11 09:45,547.45,1,1140.00,0.22,15200.00,0.53,1995.00,0.38,807.50,0.15
13,Entry Long,BUY,2021-01-12 04:15,552.60,1,10355.00,1.97,25555.00,4.81,12017.50,2.29,1900.00,0.36
13,Exit Long,BUY_TG_HIT,2021-01-12 05:30,563.50,1,10355.00,1.97,25555.00,4.81,12017.50,2.29,1900.00,0.36
14,Entry Long,BUY,2021-01-12 05:45,564.10,1,4702.50,0.88,30257.50,2.08,6697.50,1.25,2945.00,0.55
14,Exit Long,INTRADAY_BExit,2021-01-12 09:45,569.05,1,4702.50,0.88,30257.50,2.08,6697.50,1.25,2945.00,0.55
15,Entry Long,BUY,2021-01-13 04:30,598.00,1,-8217.50,-1.45,22040.00,-3.57,2612.50,0.46,8882.50,1.56
15,Exit Long,SELL,2021-01-13 05:00,589.35,1,-8217.50,-1.45,22040.00,-3.57,2612.50,0.46,8882.50,1.56
16,Entry Short,SELL,2021-01-13 05:00,589.35,1,13395.00,2.39,35435.00,6.03,13395.00,2.39,1757.50,0.31
16,Exit Short,SELL_TG_HIT,2021-01-13 08:00,575.25,1,13395.00,2.39,35435.00,6.03,13395.00,2.39,1757.50,0.31
17,Entry Short,SELL,2021-01-13 08:15,576.00,1,-3705.00,-0.68,31730.00,-1.57,7885.00,1.44,6365.00,1.16
17,Exit Short,INTRADAY_SExit,2021-01-13 09:45,579.90,1,-3705.00,-0.68,31730.00,-1.57,7885.00,1.44,6365.00,1.16
18,Entry Long,BUY,2021-01-14 08:15,582.40,1,-2280.00,-0.41,29450.00,-0.98,3135.00,0.57,2422.50,0.44
