Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:30,557.90,100,1630.00,2.92,1630.00,1.63,1685.00,3.02,300.00,0.54
1,Exit Long,BUY_TG_HIT,2021-02-01 08:00,574.20,100,1630.00,2.92,1630.00,1.63,1685.00,3.02,300.00,0.54
2,Entry Long,BUY,2021-02-02 07:15,595.25,100,280.00,0.47,1910.00,0.28,1040.00,1.75,150.00,0.25
2,Exit Long,INTRADAY_BExit,2021-02-02 09:45,598.05,100,280.00,0.47,1910.00,0.28,1040.00,1.75,150.00,0.25
3,Entry Long,BUY,2021-02-03 04:30,615.65,100,-105.00,-0.17,1805.00,-0.1,685.00,1.11,470.00,0.76
3,Exit Long,SELL,2021-02-03 07:45,614.60,100,-105.00,-0.17,1805.00,-0.1,685.00,1.11,470.00,0.76
4,Entry Short,SELL,2021-02-03 07:45,614.60,100,560.00,0.91,2365.00,0.55,1080.00,1.76,540.00,0.88
4,Exit Short,INTRADAY_SExit,2021-02-03 09:45,609.00,100,560.00,0.91,2365.00,0.55,1080.00,1.76,540.00,0.88
5,Entry Short,SELL,2021-02-05 04:15,592.30,100,1260.00,2.13,3625.00,1.23,1360.00,2.3,90.00,0.15
5,Exit Short,SELL_TG_HIT,2021-02-05 08:30,579.70,100,1260.00,2.13,3625.00,1.23,1360.00,2.3,90.00,0.15
6,Entry Short,SELL,2021-02-05 09:30,577.85,100,-295.00,-0.51,3330.00,-0.28,65.00,0.11,295.00,0.51
6,Exit Short,INTRADAY_SExit,2021-02-05 09:45,580.80,100,-295.00,-0.51,3330.00,-0.28,65.00,0.11,295.00,0.51
7,Entry Long,BUY,2021-02-08 04:15,591.65,100,535.00,0.9,3865.00,0.52,1200.00,2.03,315.00,0.53
7,Exit Long,INTRADAY_BExit,2021-02-08 09:45,597.00,100,535.00,0.9,3865.00,0.52,1200.00,2.03,315.00,0.53
8,Entry Long,BUY,2021-02-09 05:00,601.25,100,20.00,0.03,3885.00,0.02,650.00,1.08,220.00,0.37
8,Exit Long,SELL,2021-02-09 09:00,601.45,100,20.00,0.03,3885.00,0.02,650.00,1.08,220.00,0.37
9,Entry Short,SELL,2021-02-09 09:00,601.45,100,65.00,0.11,3950.00,0.06,545.00,0.91,45.00,0.07
9,Exit Short,INTRADAY_SExit,2021-02-09 09:45,600.80,100,65.00,0.11,3950.00,0.06,545.00,0.91,45.00,0.07
10,Entry Long,BUY,2021-02-10 09:00,589.80,100,100.00,0.17,4050.00,0.1,195.00,0.33,380.00,0.64
10,Exit Long,INTRADAY_BExit,2021-02-10 09:45,590.80,100,100.00,0.17,4050.00,0.1,195.00,0.33,380.00,0.64
11,Entry Short,SELL,2021-02-12 04:15,592.00,100,610.00,1.03,4660.00,0.59,740.00,1.25,445.00,0.75
11,Exit Short,INTRADAY_SExit,2021-02-12 09:45,585.90,100,610.00,1.03,4660.00,0.59,740.00,1.25,445.00,0.75
12,Entry Long,BUY,2021-02-15 04:30,602.40,100,-625.00,-1.04,4035.00,-0.6,10.00,0.02,745.00,1.24
12,Exit Long,SELL,2021-02-15 09:00,596.15,100,-625.00,-1.04,4035.00,-0.6,10.00,0.02,745.00,1.24
13,Entry Short,SELL,2021-02-15 09:00,596.15,100,185.00,0.31,4220.00,0.18,385.00,0.65,35.00,0.06
13,Exit Short,INTRADAY_SExit,2021-02-15 09:45,594.30,100,185.00,0.31,4220.00,0.18,385.00,0.65,35.00,0.06
14,Entry Long,BUY,2021-02-16 05:30,600.25,100,-345.00,-0.57,3875.00,-0.33,135.00,0.22,465.00,0.77
14,Exit Long,SELL,2021-02-16 07:30,596.80,100,-345.00,-0.57,3875.00,-0.33,135.00,0.22,465.00,0.77
15,Entry Short,SELL,2021-02-16 07:30,596.80,100,320.00,0.54,4195.00,0.31,365.00,0.61,365.00,0.61
15,Exit Short,INTRADAY_SExit,2021-02-16 09:45,593.60,100,320.00,0.54,4195.00,0.31,365.00,0.61,365.00,0.61
16,Entry Long,BUY,2021-02-17 05:30,595.55,100,-265.00,-0.44,3930.00,-0.25,85.00,0.14,450.00,0.76
16,Exit Long,SELL,2021-02-17 08:15,592.90,100,-265.00,-0.44,3930.00,-0.25,85.00,0.14,450.00,0.76
17,Entry Short,SELL,2021-02-17 08:15,592.90,100,-5.00,-0.01,3925.00,0,285.00,0.48,150.00,0.25
17,Exit Short,INTRADAY_SExit,2021-02-17 09:45,592.95,100,-5.00,-0.01,3925.00,0,285.00,0.48,150.00,0.25
18,Entry Long,BUY,2021-02-18 04:30,594.75,100,-450.00,-0.76,3475.00,-0.43,50.00,0.08,515.00,0.87
18,Exit Long,SELL,2021-02-18 06:00,590.25,100,-450.00,-0.76,3475.00,-0.43,50.00,0.08,515.00,0.87
19,Entry Short,SELL,2021-02-18 06:00,590.25,100,-270.00,-0.46,3205.00,-0.26,165.00,0.28,300.00,0.51
19,Exit Short,BUY,2021-02-18 06:45,592.95,100,-270.00,-0.46,3205.00,-0.26,165.00,0.28,300.00,0.51
20,Entry Long,BUY,2021-02-18 06:45,592.95,100,-625.00,-1.05,2580.00,-0.61,5.00,0.01,625.00,1.05
20,Exit Long,SELL,2021-02-18 07:15,586.70,100,-625.00,-1.05,2580.00,-0.61,5.00,0.01,625.00,1.05
21,Entry Short,SELL,2021-02-18 07:15,586.70,100,-385.00,-0.66,2195.00,-0.38,150.00,0.26,475.00,0.81
21,Exit Short,BUY,2021-02-18 07:45,590.55,100,-385.00,-0.66,2195.00,-0.38,150.00,0.26,475.00,0.81
22,Entry Long,BUY,2021-02-18 07:45,590.55,100,-110.00,-0.19,2085.00,-0.11,65.00,0.11,165.00,0.28
22,Exit Long,INTRADAY_BExit,2021-02-18 09:45,589.45,100,-110.00,-0.19,2085.00,-0.11,65.00,0.11,165.00,0.28
23,Entry Long,BUY,2021-02-19 04:15,595.15,100,-430.00,-0.72,1655.00,-0.42,85.00,0.14,465.00,0.78
23,Exit Long,SELL,2021-02-19 06:00,590.85,100,-430.00,-0.72,1655.00,-0.42,85.00,0.14,465.00,0.78
