Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,383.45,1,3150.00,0.46,3150.00,1.58,4050.00,0.59,2430.00,0.35
1,Exit Long,BUY_TG_HIT,2021-01-01 14:15,385.20,1,3150.00,0.46,3150.00,1.58,4050.00,0.59,2430.00,0.35
2,Entry Short,SELL,2021-01-05 10:00,391.65,1,-4140.00,-0.59,-990.00,-2.04,2610.00,0.37,4770.00,0.68
2,Exit Short,SELL_SL_HIT,2021-01-05 11:30,393.95,1,-4140.00,-0.59,-990.00,-2.04,2610.00,0.37,4770.00,0.68
3,Entry Long,BUY,2021-01-06 09:45,395.50,1,-5310.00,-0.75,-6300.00,-2.67,180.00,0.03,6300.00,0.88
3,Exit Long,BUY_SL_HIT,2021-01-06 10:15,392.55,1,-5310.00,-0.75,-6300.00,-2.67,180.00,0.03,6300.00,0.88
4,Entry Short,SELL,2021-01-06 10:45,393.10,1,4680.00,0.66,-1620.00,2.42,5400.00,0.76,810.00,0.11
4,Exit Short,SELL_TG_HIT,2021-01-06 12:00,390.50,1,4680.00,0.66,-1620.00,2.42,5400.00,0.76,810.00,0.11
5,Entry Long,BUY,2021-01-07 09:45,393.75,1,-4050.00,-0.57,-5670.00,-2.04,720.00,0.1,4500.00,0.63
5,Exit Long,BUY_SL_HIT,2021-01-07 10:15,391.50,1,-4050.00,-0.57,-5670.00,-2.04,720.00,0.1,4500.00,0.63
6,Entry Short,SELL,2021-01-08 15:00,399.55,1,-4860.00,-0.68,-10530.00,-2.5,1080.00,0.15,5040.00,0.7
6,Exit Short,INTRADAY_SExit,2021-01-08 15:15,402.25,1,-4860.00,-0.68,-10530.00,-2.5,1080.00,0.15,5040.00,0.7
7,Entry Long,BUY,2021-01-12 10:30,406.85,1,3420.00,0.47,-7110.00,1.81,4140.00,0.57,2610.00,0.36
7,Exit Long,BUY_TG_HIT,2021-01-12 11:30,408.75,1,3420.00,0.47,-7110.00,1.81,4140.00,0.57,2610.00,0.36
8,Entry Short,SELL,2021-01-13 14:15,413.05,1,-2610.00,-0.35,-9720.00,-1.35,3420.00,0.46,5760.00,0.77
8,Exit Short,INTRADAY_SExit,2021-01-13 15:15,414.50,1,-2610.00,-0.35,-9720.00,-1.35,3420.00,0.46,5760.00,0.77
9,Entry Long,BUY,2021-01-14 14:15,422.05,1,3960.00,0.52,-5760.00,2.08,8280.00,1.09,810.00,0.11
9,Exit Long,BUY_TG_HIT,2021-01-14 15:00,424.25,1,3960.00,0.52,-5760.00,2.08,8280.00,1.09,810.00,0.11
10,Entry Short,SELL,2021-01-15 11:15,418.60,1,4140.00,0.55,-1620.00,2.13,8280.00,1.1,5040.00,0.67
10,Exit Short,SELL_TG_HIT,2021-01-15 14:00,416.30,1,4140.00,0.55,-1620.00,2.13,8280.00,1.1,5040.00,0.67
11,Entry Long,BUY,2021-01-18 14:30,409.70,1,5940.00,0.81,4320.00,2.99,8640.00,1.17,180.00,0.02
11,Exit Long,BUY_TG_HIT,2021-01-18 15:00,413.00,1,5940.00,0.81,4320.00,2.99,8640.00,1.17,180.00,0.02
12,Entry Short,SELL,2021-01-21 14:30,416.10,1,6120.00,0.82,10440.00,3,8640.00,1.15,540.00,0.07
12,Exit Short,SELL_TG_HIT,2021-01-21 15:00,412.70,1,6120.00,0.82,10440.00,3,8640.00,1.15,540.00,0.07
13,Entry Long,BUY,2021-01-28 11:15,387.50,1,-7290.00,-1.05,3150.00,-3.46,3330.00,0.48,7560.00,1.08
13,Exit Long,BUY_SL_HIT,2021-01-28 13:15,383.45,1,-7290.00,-1.05,3150.00,-3.46,3330.00,0.48,7560.00,1.08
14,Entry Short,SELL,2021-02-01 13:30,389.55,1,3330.00,0.47,6480.00,1.64,6390.00,0.91,2970.00,0.42
14,Exit Short,SELL_TG_HIT,2021-02-01 14:00,387.70,1,3330.00,0.47,6480.00,1.64,6390.00,0.91,2970.00,0.42
15,Entry Long,BUY,2021-02-02 10:00,400.80,1,-4230.00,-0.59,2250.00,-2.05,0,0,6390.00,0.89
15,Exit Long,BUY_SL_HIT,2021-02-02 10:30,398.45,1,-4230.00,-0.59,2250.00,-2.05,0,0,6390.00,0.89
16,Entry Long,BUY,2021-02-08 11:45,412.25,1,7110.00,0.96,9360.00,3.52,7290.00,0.98,270.00,0.04
16,Exit Long,BUY_TG_HIT,2021-02-08 12:45,416.20,1,7110.00,0.96,9360.00,3.52,7290.00,0.98,270.00,0.04
17,Entry Short,SELL,2021-02-09 11:00,411.60,1,-3780.00,-0.51,5580.00,-1.81,0,0,5310.00,0.72
17,Exit Short,SELL_SL_HIT,2021-02-09 11:30,413.70,1,-3780.00,-0.51,5580.00,-1.81,0,0,5310.00,0.72
18,Entry Long,BUY,2021-02-11 09:45,404.00,1,-4770.00,-0.66,810.00,-2.32,4050.00,0.56,4860.00,0.67
18,Exit Long,BUY_SL_HIT,2021-02-11 11:15,401.35,1,-4770.00,-0.66,810.00,-2.32,4050.00,0.56,4860.00,0.67
19,Entry Short,SELL,2021-02-12 14:30,401.95,1,-3870.00,-0.53,-3060.00,-1.93,630.00,0.09,4050.00,0.56
