Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:10,3609.00,100,-1005.00,-0.28,-1005.00,-1,1600.00,0.44,2100.00,0.58
1,Exit Long,SELL,2021-01-11 06:25,3598.95,100,-1005.00,-0.28,-1005.00,-1,1600.00,0.44,2100.00,0.58
2,Entry Short,SELL,2021-01-11 06:25,3598.95,100,-805.00,-0.22,-1810.00,-0.81,190.00,0.05,955.00,0.27
2,Exit Short,BUY,2021-01-11 07:15,3607.00,100,-805.00,-0.22,-1810.00,-0.81,190.00,0.05,955.00,0.27
3,Entry Long,BUY,2021-01-11 07:15,3607.00,100,515.00,0.14,-1295.00,0.52,1000.00,0.28,695.00,0.19
3,Exit Long,INTRADAY_BExit,2021-01-11 09:35,3612.15,100,515.00,0.14,-1295.00,0.52,1000.00,0.28,695.00,0.19
4,Entry Short,SELL,2021-01-12 04:10,3600.00,100,-450.00,-0.12,-1745.00,-0.46,1370.00,0.38,1700.00,0.47
4,Exit Short,BUY,2021-01-12 05:05,3604.50,100,-450.00,-0.12,-1745.00,-0.46,1370.00,0.38,1700.00,0.47
5,Entry Long,BUY,2021-01-12 05:05,3604.50,100,2550.00,0.71,805.00,2.6,2735.00,0.76,450.00,0.12
5,Exit Long,BUY_TG_HIT,2021-01-12 06:30,3630.00,100,2550.00,0.71,805.00,2.6,2735.00,0.76,450.00,0.12
6,Entry Long,BUY,2021-01-12 06:35,3632.00,100,90.00,0.02,895.00,0.09,1680.00,0.46,1200.00,0.33
6,Exit Long,INTRADAY_BExit,2021-01-12 09:35,3632.90,100,90.00,0.02,895.00,0.09,1680.00,0.46,1200.00,0.33
7,Entry Long,BUY,2021-01-13 04:40,3617.80,100,2410.00,0.67,3305.00,2.39,2770.00,0.77,725.00,0.2
7,Exit Long,BUY_TG_HIT,2021-01-13 06:55,3641.90,100,2410.00,0.67,3305.00,2.39,2770.00,0.77,725.00,0.2
8,Entry Long,BUY,2021-01-13 07:00,3636.10,100,-1895.00,-0.52,1410.00,-1.83,1190.00,0.33,2470.00,0.68
8,Exit Long,SELL,2021-01-13 08:25,3617.15,100,-1895.00,-0.52,1410.00,-1.83,1190.00,0.33,2470.00,0.68
9,Entry Short,SELL,2021-01-13 08:25,3617.15,100,-990.00,-0.27,420.00,-0.98,1715.00,0.47,1215.00,0.34
9,Exit Short,BUY,2021-01-13 08:50,3627.05,100,-990.00,-0.27,420.00,-0.98,1715.00,0.47,1215.00,0.34
10,Entry Long,BUY,2021-01-13 08:50,3627.05,100,1050.00,0.29,1470.00,1.05,1095.00,0.3,205.00,0.06
10,Exit Long,INTRADAY_BExit,2021-01-13 09:35,3637.55,100,1050.00,0.29,1470.00,1.05,1095.00,0.3,205.00,0.06
11,Entry Long,BUY,2021-01-14 04:05,3664.95,100,2985.00,0.81,4455.00,2.94,2995.00,0.82,1220.00,0.33
11,Exit Long,BUY_TG_HIT,2021-01-14 05:00,3694.80,100,2985.00,0.81,4455.00,2.94,2995.00,0.82,1220.00,0.33
12,Entry Long,BUY,2021-01-14 05:05,3702.00,100,-2915.00,-0.79,1540.00,-2.79,100.00,0.03,3000.00,0.81
12,Exit Long,BUY_SL_HIT,2021-01-14 08:35,3672.85,100,-2915.00,-0.79,1540.00,-2.79,100.00,0.03,3000.00,0.81
13,Entry Short,SELL,2021-01-14 08:45,3667.00,100,90.00,0.02,1630.00,0.09,1260.00,0.34,905.00,0.25
13,Exit Short,INTRADAY_SExit,2021-01-14 09:35,3666.10,100,90.00,0.02,1630.00,0.09,1260.00,0.34,905.00,0.25
14,Entry Short,SELL,2021-01-15 04:05,3641.05,100,2105.00,0.58,3735.00,2.07,2755.00,0.76,220.00,0.06
14,Exit Short,SELL_TG_HIT,2021-01-15 04:15,3620.00,100,2105.00,0.58,3735.00,2.07,2755.00,0.76,220.00,0.06
15,Entry Short,SELL,2021-01-18 04:05,3606.65,100,2665.00,0.74,6400.00,2.57,3165.00,0.88,1935.00,0.54
15,Exit Short,SELL_TG_HIT,2021-01-18 05:10,3580.00,100,2665.00,0.74,6400.00,2.57,3165.00,0.88,1935.00,0.54
16,Entry Short,SELL,2021-01-18 05:15,3596.85,100,-2380.00,-0.66,4020.00,-2.24,390.00,0.11,2515.00,0.7
16,Exit Short,BUY,2021-01-18 05:40,3620.65,100,-2380.00,-0.66,4020.00,-2.24,390.00,0.11,2515.00,0.7
17,Entry Long,BUY,2021-01-18 05:40,3620.65,100,3135.00,0.87,7155.00,3.01,3135.00,0.87,760.00,0.21
17,Exit Long,BUY_TG_HIT,2021-01-18 06:25,3652.00,100,3135.00,0.87,7155.00,3.01,3135.00,0.87,760.00,0.21
