Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:45,823.50,1,6890.00,1.29,6890.00,3.45,8027.50,1.5,5460.00,1.02
1,Exit Short,SELL_TG_HIT,2021-02-01 09:15,812.90,1,6890.00,1.29,6890.00,3.45,8027.50,1.5,5460.00,1.02
2,Entry Short,SELL,2021-02-02 07:15,808.00,1,-6012.50,-1.14,877.50,-2.91,2210.00,0.42,6175.00,1.18
2,Exit Short,BUY,2021-02-02 07:45,817.25,1,-6012.50,-1.14,877.50,-2.91,2210.00,0.42,6175.00,1.18
3,Entry Long,BUY,2021-02-02 07:45,817.25,1,7020.00,1.32,7897.50,3.49,7410.00,1.39,1462.50,0.28
3,Exit Long,INTRADAY_BExit,2021-02-03 03:45,828.05,1,7020.00,1.32,7897.50,3.49,7410.00,1.39,1462.50,0.28
4,Entry Short,SELL,2021-02-03 09:45,851.55,1,2372.50,0.43,10270.00,1.14,2762.50,0.5,1592.50,0.29
4,Exit Short,INTRADAY_SExit,2021-02-04 03:45,847.90,1,2372.50,0.43,10270.00,1.14,2762.50,0.5,1592.50,0.29
5,Entry Long,BUY,2021-02-05 06:45,853.40,1,-1105.00,-0.2,9165.00,-0.53,3477.50,0.63,6565.00,1.18
5,Exit Long,INTRADAY_BExit,2021-02-08 03:45,851.70,1,-1105.00,-0.2,9165.00,-0.53,3477.50,0.63,6565.00,1.18
6,Entry Long,BUY,2021-02-08 05:45,854.80,1,-1787.50,-0.32,7377.50,-0.85,5817.50,1.05,3477.50,0.63
6,Exit Long,INTRADAY_BExit,2021-02-09 03:45,852.05,1,-1787.50,-0.32,7377.50,-0.85,5817.50,1.05,3477.50,0.63
7,Entry Short,SELL,2021-02-09 04:45,849.70,1,-5297.50,-0.96,2080.00,-2.55,747.50,0.14,6662.50,1.21
7,Exit Short,BUY,2021-02-09 05:45,857.85,1,-5297.50,-0.96,2080.00,-2.55,747.50,0.14,6662.50,1.21
8,Entry Long,BUY,2021-02-09 05:45,857.85,1,-5005.00,-0.9,-2925.00,-2.48,422.50,0.08,5102.50,0.92
8,Exit Long,SELL,2021-02-09 06:45,850.15,1,-5005.00,-0.9,-2925.00,-2.48,422.50,0.08,5102.50,0.92
9,Entry Short,SELL,2021-02-09 06:45,850.15,1,1397.50,0.25,-1527.50,0.71,4972.50,0.9,3055.00,0.55
9,Exit Short,INTRADAY_SExit,2021-02-10 03:45,848.00,1,1397.50,0.25,-1527.50,0.71,4972.50,0.9,3055.00,0.55
10,Entry Long,BUY,2021-02-10 06:15,855.15,1,7345.00,1.32,5817.50,3.7,7345.00,1.32,2502.50,0.45
