Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,825.45,1,-2307.50,-0.43,-2307.50,-1.15,1267.50,0.24,3835.00,0.71
1,Exit Short,BUY,2021-01-01 10:45,829.00,1,-2307.50,-0.43,-2307.50,-1.15,1267.50,0.24,3835.00,0.71
2,Entry Long,BUY,2021-01-01 10:45,829.00,1,-1300.00,-0.24,-3607.50,-0.66,1917.50,0.36,1300.00,0.24
2,Exit Long,INTRADAY_BExit,2021-01-01 15:15,827.00,1,-1300.00,-0.24,-3607.50,-0.66,1917.50,0.36,1300.00,0.24
3,Entry Short,SELL,2021-01-05 13:30,832.00,1,975.00,0.18,-2632.50,0.5,3087.50,0.57,1430.00,0.26
3,Exit Short,INTRADAY_SExit,2021-01-05 15:15,830.50,1,975.00,0.18,-2632.50,0.5,3087.50,0.57,1430.00,0.26
4,Entry Long,BUY,2021-01-08 09:45,843.40,1,-2697.50,-0.49,-5330.00,-1.37,4160.00,0.76,6240.00,1.14
4,Exit Long,INTRADAY_BExit,2021-01-08 15:15,839.25,1,-2697.50,-0.49,-5330.00,-1.37,4160.00,0.76,6240.00,1.14
5,Entry Short,SELL,2021-01-12 13:15,851.50,1,4387.50,0.79,-942.50,2.25,5915.00,1.07,1072.50,0.19
5,Exit Short,INTRADAY_SExit,2021-01-12 15:15,844.75,1,4387.50,0.79,-942.50,2.25,5915.00,1.07,1072.50,0.19
6,Entry Long,BUY,2021-01-13 10:30,850.00,1,-5590.00,-1.01,-6532.50,-2.81,520.00,0.09,9620.00,1.74
6,Exit Long,SELL,2021-01-13 14:15,841.40,1,-5590.00,-1.01,-6532.50,-2.81,520.00,0.09,9620.00,1.74
7,Entry Short,SELL,2021-01-13 14:15,841.40,1,-3477.50,-0.64,-10010.00,-1.8,1332.50,0.24,3965.00,0.72
7,Exit Short,INTRADAY_SExit,2021-01-13 15:15,846.75,1,-3477.50,-0.64,-10010.00,-1.8,1332.50,0.24,3965.00,0.72
8,Entry Long,BUY,2021-01-14 14:45,846.55,1,-1592.50,-0.29,-11602.50,-0.84,1365.00,0.25,1722.50,0.31
8,Exit Long,INTRADAY_BExit,2021-01-14 15:15,844.10,1,-1592.50,-0.29,-11602.50,-0.84,1365.00,0.25,1722.50,0.31
9,Entry Short,SELL,2021-01-15 10:00,836.90,1,6630.00,1.22,-4972.50,3.52,8840.00,1.63,1690.00,0.31
9,Exit Short,INTRADAY_SExit,2021-01-15 15:15,826.70,1,6630.00,1.22,-4972.50,3.52,8840.00,1.63,1690.00,0.31
10,Entry Long,BUY,2021-01-19 10:00,816.15,1,6142.50,1.16,1170.00,3.15,7377.50,1.39,2990.00,0.56
10,Exit Long,INTRADAY_BExit,2021-01-19 15:15,825.60,1,6142.50,1.16,1170.00,3.15,7377.50,1.39,2990.00,0.56
11,Entry Short,SELL,2021-01-21 14:45,817.90,1,3087.50,0.58,4257.50,1.53,5200.00,0.98,162.50,0.03
11,Exit Short,INTRADAY_SExit,2021-01-21 15:15,813.15,1,3087.50,0.58,4257.50,1.53,5200.00,0.98,162.50,0.03
12,Entry Long,BUY,2021-01-25 09:45,812.60,1,11992.50,2.27,16250.00,5.87,12610.00,2.39,2632.50,0.5
12,Exit Long,BUY_TG_HIT,2021-01-25 11:15,831.05,1,11992.50,2.27,16250.00,5.87,12610.00,2.39,2632.50,0.5
13,Entry Short,SELL,2021-01-27 09:45,841.65,1,-6337.50,-1.16,9912.50,-2.93,5265.00,0.96,9912.50,1.81
13,Exit Short,BUY,2021-01-27 13:45,851.40,1,-6337.50,-1.16,9912.50,-2.93,5265.00,0.96,9912.50,1.81
14,Entry Long,BUY,2021-01-27 13:45,851.40,1,-4777.50,-0.86,5135.00,-2.28,1625.00,0.29,7572.50,1.37
14,Exit Long,INTRADAY_BExit,2021-01-27 15:15,844.05,1,-4777.50,-0.86,5135.00,-2.28,1625.00,0.29,7572.50,1.37
15,Entry Short,SELL,2021-02-01 09:45,805.85,1,-11472.50,-2.19,-6337.50,-5.59,2112.50,0.4,13260.00,2.53
