Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,126.85,1,-4200.00,-0.79,-4200.00,-2.1,1470.00,0.28,4830.00,0.91
1,Exit Short,BUY,2021-02-01 05:45,127.85,1,-4200.00,-0.79,-4200.00,-2.1,1470.00,0.28,4830.00,0.91
2,Entry Long,BUY,2021-02-01 05:45,127.85,1,7770.00,1.45,3570.00,3.97,8400.00,1.56,4200.00,0.78
2,Exit Long,BUY_TG_HIT,2021-02-01 09:15,129.70,1,7770.00,1.45,3570.00,3.97,8400.00,1.56,4200.00,0.78
3,Entry Short,SELL,2021-02-02 07:30,131.20,1,1680.00,0.3,5250.00,0.83,6300.00,1.14,840.00,0.15
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,130.80,1,1680.00,0.3,5250.00,0.83,6300.00,1.14,840.00,0.15
4,Entry Long,BUY,2021-02-03 04:15,132.30,1,8400.00,1.51,13650.00,4.09,9870.00,1.78,2520.00,0.45
4,Exit Long,BUY_TG_HIT,2021-02-03 06:00,134.30,1,8400.00,1.51,13650.00,4.09,9870.00,1.78,2520.00,0.45
5,Entry Long,BUY,2021-02-04 04:45,138.30,1,11340.00,1.95,24990.00,5.31,15330.00,2.64,1470.00,0.25
5,Exit Long,BUY_TG_HIT,2021-02-04 05:15,141.00,1,11340.00,1.95,24990.00,5.31,15330.00,2.64,1470.00,0.25
6,Entry Short,SELL,2021-02-05 04:15,141.20,1,-6090.00,-1.03,18900.00,-2.71,8400.00,1.42,7560.00,1.27
6,Exit Short,SELL_SL_HIT,2021-02-05 06:00,142.65,1,-6090.00,-1.03,18900.00,-2.71,8400.00,1.42,7560.00,1.27
7,Entry Short,SELL,2021-02-05 07:30,142.15,1,7560.00,1.27,26460.00,3.45,8190.00,1.37,2310.00,0.39
7,Exit Short,INTRADAY_SExit,2021-02-05 09:45,140.35,1,7560.00,1.27,26460.00,3.45,8190.00,1.37,2310.00,0.39
8,Entry Long,BUY,2021-02-08 05:30,141.55,1,0,0,26460.00,0,5250.00,0.88,840.00,0.14
8,Exit Long,SELL,2021-02-08 09:30,141.55,1,0,0,26460.00,0,5250.00,0.88,840.00,0.14
9,Entry Short,SELL,2021-02-08 09:30,141.55,1,-1890.00,-0.32,24570.00,-0.83,630.00,0.11,2310.00,0.39
9,Exit Short,INTRADAY_SExit,2021-02-08 09:45,142.00,1,-1890.00,-0.32,24570.00,-0.83,630.00,0.11,2310.00,0.39
10,Entry Short,SELL,2021-02-09 05:30,141.75,1,7980.00,1.34,32550.00,3.55,8190.00,1.38,2520.00,0.42
10,Exit Short,SELL_TG_HIT,2021-02-09 09:30,139.85,1,7980.00,1.34,32550.00,3.55,8190.00,1.38,2520.00,0.42
11,Entry Long,BUY,2021-02-10 07:00,138.55,1,1260.00,0.22,33810.00,0.54,1470.00,0.25,4410.00,0.76
11,Exit Long,INTRADAY_BExit,2021-02-10 09:45,138.85,1,1260.00,0.22,33810.00,0.54,1470.00,0.25,4410.00,0.76
12,Entry Short,SELL,2021-02-11 08:15,138.60,1,3780.00,0.65,37590.00,1.62,10500.00,1.8,5670.00,0.97
12,Exit Short,INTRADAY_SExit,2021-02-11 09:45,137.70,1,3780.00,0.65,37590.00,1.62,10500.00,1.8,5670.00,0.97
13,Entry Short,SELL,2021-02-12 08:15,133.60,1,-1260.00,-0.22,36330.00,-0.53,3570.00,0.64,2730.00,0.49
13,Exit Short,BUY,2021-02-12 09:30,133.90,1,-1260.00,-0.22,36330.00,-0.53,3570.00,0.64,2730.00,0.49
14,Entry Long,BUY,2021-02-12 09:30,133.90,1,1470.00,0.26,37800.00,0.62,1890.00,0.34,420.00,0.07
14,Exit Long,INTRADAY_BExit,2021-02-12 09:45,134.25,1,1470.00,0.26,37800.00,0.62,1890.00,0.34,420.00,0.07
15,Entry Long,BUY,2021-02-15 05:00,133.60,1,-5250.00,-0.94,32550.00,-2.21,210.00,0.04,5250.00,0.94
15,Exit Long,SELL,2021-02-15 06:45,132.35,1,-5250.00,-0.94,32550.00,-2.21,210.00,0.04,5250.00,0.94
16,Entry Short,SELL,2021-02-15 06:45,132.35,1,-1050.00,-0.19,31500.00,-0.45,210.00,0.04,1890.00,0.34
16,Exit Short,BUY,2021-02-15 08:00,132.60,1,-1050.00,-0.19,31500.00,-0.45,210.00,0.04,1890.00,0.34
17,Entry Long,BUY,2021-02-15 08:00,132.60,1,-1680.00,-0.3,29820.00,-0.73,630.00,0.11,2520.00,0.45
17,Exit Long,INTRADAY_BExit,2021-02-15 09:45,132.20,1,-1680.00,-0.3,29820.00,-0.73,630.00,0.11,2520.00,0.45
18,Entry Long,BUY,2021-02-16 04:15,134.70,1,-3990.00,-0.71,25830.00,-1.74,2940.00,0.52,6090.00,1.08
18,Exit Long,SELL,2021-02-16 07:45,133.75,1,-3990.00,-0.71,25830.00,-1.74,2940.00,0.52,6090.00,1.08
19,Entry Short,SELL,2021-02-16 07:45,133.75,1,-2310.00,-0.41,23520.00,-1.02,1050.00,0.19,4200.00,0.75
