Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-16 09:35,133.75,1,6090.00,1.08,6090.00,3.05,6930.00,1.23,420.00,0.07
1,Exit Long,BUY_TG_HIT,2021-02-16 10:35,135.20,1,6090.00,1.08,6090.00,3.05,6930.00,1.23,420.00,0.07
2,Entry Short,SELL,2021-02-16 11:30,133.60,1,-4200.00,-0.75,1890.00,-2.04,1470.00,0.26,4830.00,0.86
2,Exit Short,BUY,2021-02-16 13:50,134.60,1,-4200.00,-0.75,1890.00,-2.04,1470.00,0.26,4830.00,0.86
3,Entry Long,BUY,2021-02-16 13:50,134.60,1,-1680.00,-0.3,210.00,-0.83,0,0,4620.00,0.82
3,Exit Long,INTRADAY_BExit,2021-02-16 15:05,134.20,1,-1680.00,-0.3,210.00,-0.83,0,0,4620.00,0.82
4,Entry Long,BUY,2021-02-17 09:55,134.95,1,-210.00,-0.04,0,-0.1,2310.00,0.41,2100.00,0.37
4,Exit Long,SELL,2021-02-17 13:45,134.90,1,-210.00,-0.04,0,-0.1,2310.00,0.41,2100.00,0.37
5,Entry Short,SELL,2021-02-17 13:45,134.90,1,-2730.00,-0.48,-2730.00,-1.36,840.00,0.15,4200.00,0.74
5,Exit Short,BUY,2021-02-17 14:20,135.55,1,-2730.00,-0.48,-2730.00,-1.36,840.00,0.15,4200.00,0.74
6,Entry Long,BUY,2021-02-17 14:20,135.55,1,630.00,0.11,-2100.00,0.32,2940.00,0.52,420.00,0.07
6,Exit Long,INTRADAY_BExit,2021-02-17 15:05,135.70,1,630.00,0.11,-2100.00,0.32,2940.00,0.52,420.00,0.07
7,Entry Short,SELL,2021-02-18 09:35,135.55,1,-2730.00,-0.48,-4830.00,-1.38,630.00,0.11,3780.00,0.66
7,Exit Short,BUY,2021-02-18 09:50,136.20,1,-2730.00,-0.48,-4830.00,-1.38,630.00,0.11,3780.00,0.66
8,Entry Long,BUY,2021-02-18 09:50,136.20,1,6300.00,1.1,1470.00,3.23,6300.00,1.1,1050.00,0.18
8,Exit Long,BUY_TG_HIT,2021-02-18 10:30,137.70,1,6300.00,1.1,1470.00,3.23,6300.00,1.1,1050.00,0.18
9,Entry Short,SELL,2021-02-19 09:35,139.80,1,-2940.00,-0.5,-1470.00,-1.46,3990.00,0.68,2940.00,0.5
9,Exit Short,BUY,2021-02-19 11:55,140.50,1,-2940.00,-0.5,-1470.00,-1.46,3990.00,0.68,2940.00,0.5
10,Entry Long,BUY,2021-02-19 11:55,140.50,1,7350.00,1.25,5880.00,3.7,7350.00,1.25,1470.00,0.25
10,Exit Long,BUY_TG_HIT,2021-02-19 12:30,142.25,1,7350.00,1.25,5880.00,3.7,7350.00,1.25,1470.00,0.25
11,Entry Short,SELL,2021-02-19 13:35,141.30,1,9870.00,1.66,15750.00,4.79,11550.00,1.95,2100.00,0.35
11,Exit Short,SELL_TG_HIT,2021-02-19 14:10,138.95,1,9870.00,1.66,15750.00,4.79,11550.00,1.95,2100.00,0.35
12,Entry Long,BUY,2021-02-22 12:35,137.15,1,-210.00,-0.04,15540.00,-0.1,3150.00,0.55,2310.00,0.4
12,Exit Long,INTRADAY_BExit,2021-02-22 15:05,137.10,1,-210.00,-0.04,15540.00,-0.1,3150.00,0.55,2310.00,0.4
13,Entry Long,BUY,2021-02-23 09:35,138.05,1,-5880.00,-1.01,9660.00,-2.73,3570.00,0.62,6300.00,1.09
13,Exit Long,BUY_SL_HIT,2021-02-23 12:30,136.65,1,-5880.00,-1.01,9660.00,-2.73,3570.00,0.62,6300.00,1.09
14,Entry Short,SELL,2021-02-23 12:35,137.25,1,1470.00,0.26,11130.00,0.7,2100.00,0.36,2520.00,0.44
14,Exit Short,INTRADAY_SExit,2021-02-23 15:05,136.90,1,1470.00,0.26,11130.00,0.7,2100.00,0.36,2520.00,0.44
15,Entry Long,BUY,2021-02-24 09:35,141.90,1,7770.00,1.3,18900.00,3.68,9660.00,1.62,630.00,0.11
15,Exit Long,BUY_TG_HIT,2021-02-24 09:50,143.75,1,7770.00,1.3,18900.00,3.68,9660.00,1.62,630.00,0.11
16,Entry Long,BUY,2021-02-25 11:05,145.70,1,8190.00,1.34,27090.00,3.74,8820.00,1.44,210.00,0.03
16,Exit Long,BUY_TG_HIT,2021-02-25 11:20,147.65,1,8190.00,1.34,27090.00,3.74,8820.00,1.44,210.00,0.03
17,Entry Long,BUY,2021-02-26 09:35,155.75,1,-7770.00,-1.19,19320.00,-3.42,1050.00,0.16,10080.00,1.54
17,Exit Long,BUY_SL_HIT,2021-02-26 09:45,153.90,1,-7770.00,-1.19,19320.00,-3.42,1050.00,0.16,10080.00,1.54
