Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,126.55,100,-85.00,-0.67,-85.00,-0.08,35.00,0.28,115.00,0.91
1,Exit Short,BUY,2021-02-01 05:45,127.40,100,-85.00,-0.67,-85.00,-0.08,35.00,0.28,115.00,0.91
2,Entry Long,BUY,2021-02-01 05:45,127.40,100,135.00,1.06,50.00,0.14,235.00,1.84,70.00,0.55
2,Exit Long,INTRADAY_BExit,2021-02-01 09:45,128.75,100,135.00,1.06,50.00,0.14,235.00,1.84,70.00,0.55
3,Entry Short,SELL,2021-02-02 08:15,130.60,100,-50.00,-0.38,0,-0.05,95.00,0.73,75.00,0.57
3,Exit Short,INTRADAY_SExit,2021-02-02 09:45,131.10,100,-50.00,-0.38,0,-0.05,95.00,0.73,75.00,0.57
4,Entry Long,BUY,2021-02-03 04:15,132.40,100,345.00,2.61,345.00,0.35,380.00,2.87,60.00,0.45
4,Exit Long,BUY_TG_HIT,2021-02-03 07:15,135.85,100,345.00,2.61,345.00,0.35,380.00,2.87,60.00,0.45
5,Entry Long,BUY,2021-02-04 05:00,138.95,100,280.00,2.02,625.00,0.28,305.00,2.2,10.00,0.07
5,Exit Long,BUY_TG_HIT,2021-02-04 06:00,141.75,100,280.00,2.02,625.00,0.28,305.00,2.2,10.00,0.07
6,Entry Short,SELL,2021-02-05 04:15,141.20,100,55.00,0.39,680.00,0.05,185.00,1.31,190.00,1.35
6,Exit Short,INTRADAY_SExit,2021-02-05 09:45,140.65,100,55.00,0.39,680.00,0.05,185.00,1.31,190.00,1.35
7,Entry Long,BUY,2021-02-08 05:45,142.20,100,-75.00,-0.53,605.00,-0.07,20.00,0.14,100.00,0.7
7,Exit Long,SELL,2021-02-08 09:30,141.45,100,-75.00,-0.53,605.00,-0.07,20.00,0.14,100.00,0.7
8,Entry Short,SELL,2021-02-08 09:30,141.45,100,-30.00,-0.21,575.00,-0.03,15.00,0.11,40.00,0.28
8,Exit Short,INTRADAY_SExit,2021-02-08 09:45,141.75,100,-30.00,-0.21,575.00,-0.03,15.00,0.11,40.00,0.28
9,Entry Short,SELL,2021-02-09 05:30,141.75,100,235.00,1.66,810.00,0.23,305.00,2.15,50.00,0.35
9,Exit Short,INTRADAY_SExit,2021-02-09 09:45,139.40,100,235.00,1.66,810.00,0.23,305.00,2.15,50.00,0.35
10,Entry Long,BUY,2021-02-10 07:00,138.05,100,20.00,0.14,830.00,0.02,40.00,0.29,95.00,0.69
10,Exit Long,INTRADAY_BExit,2021-02-10 09:45,138.25,100,20.00,0.14,830.00,0.02,40.00,0.29,95.00,0.69
11,Entry Short,SELL,2021-02-11 08:15,138.40,100,100.00,0.72,930.00,0.1,240.00,1.73,95.00,0.69
