Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:00,599.70,1,-4875.00,-0.33,-4875.00,-1.62,1125.00,0.08,5250.00,0.35
1,Exit Short,BUY,2021-02-01 06:15,601.65,1,-4875.00,-0.33,-4875.00,-1.62,1125.00,0.08,5250.00,0.35
2,Entry Long,BUY,2021-02-01 06:15,601.65,1,-18875.00,-1.25,-23750.00,-6.4,125.00,0.01,24125.00,1.6
2,Exit Long,BUY_SL_HIT,2021-02-01 07:30,594.10,1,-18875.00,-1.25,-23750.00,-6.4,125.00,0.01,24125.00,1.6
3,Entry Short,SELL,2021-02-01 08:00,587.15,1,-15250.00,-1.04,-39000.00,-5.52,625.00,0.04,16125.00,1.1
3,Exit Short,SELL_SL_HIT,2021-02-01 08:15,593.25,1,-15250.00,-1.04,-39000.00,-5.52,625.00,0.04,16125.00,1.1
4,Entry Long,BUY,2021-02-01 12:30,595.90,1,-4750.00,-0.32,-43750.00,-1.82,2375.00,0.16,7250.00,0.49
4,Exit Long,INTRADAY_BExit,2021-02-01 17:45,594.00,1,-4750.00,-0.32,-43750.00,-1.82,2375.00,0.16,7250.00,0.49
5,Entry Long,BUY,2021-02-02 04:00,594.60,1,-2500.00,-0.17,-46250.00,-0.98,0,0,2875.00,0.19
5,Exit Long,SELL,2021-02-02 04:15,593.60,1,-2500.00,-0.17,-46250.00,-0.98,0,0,2875.00,0.19
6,Entry Short,SELL,2021-02-02 04:15,593.60,1,6500.00,0.44,-39750.00,2.56,7500.00,0.51,1875.00,0.13
6,Exit Short,SELL_TG_HIT,2021-02-02 06:30,591.00,1,6500.00,0.44,-39750.00,2.56,7500.00,0.51,1875.00,0.13
7,Entry Long,BUY,2021-02-02 09:15,591.10,1,-6500.00,-0.44,-46250.00,-2.5,1375.00,0.09,6500.00,0.44
7,Exit Long,SELL,2021-02-02 12:00,588.50,1,-6500.00,-0.44,-46250.00,-2.5,1375.00,0.09,6500.00,0.44
8,Entry Short,SELL,2021-02-02 12:00,588.50,1,-5500.00,-0.37,-51750.00,-2.17,375.00,0.03,8125.00,0.55
8,Exit Short,BUY,2021-02-02 12:45,590.70,1,-5500.00,-0.37,-51750.00,-2.17,375.00,0.03,8125.00,0.55
9,Entry Long,BUY,2021-02-02 12:45,590.70,1,6375.00,0.43,-45375.00,2.57,7875.00,0.53,750.00,0.05
9,Exit Long,BUY_TG_HIT,2021-02-02 13:15,593.25,1,6375.00,0.43,-45375.00,2.57,7875.00,0.53,750.00,0.05
10,Entry Long,BUY,2021-02-02 16:45,592.80,1,-1500.00,-0.1,-46875.00,-0.59,0,0,3125.00,0.21
10,Exit Long,INTRADAY_BExit,2021-02-02 17:45,592.20,1,-1500.00,-0.1,-46875.00,-0.59,0,0,3125.00,0.21
11,Entry Short,SELL,2021-02-03 04:00,589.60,1,-1750.00,-0.12,-48625.00,-0.69,4625.00,0.31,2875.00,0.2
11,Exit Short,BUY,2021-02-03 07:15,590.30,1,-1750.00,-0.12,-48625.00,-0.69,4625.00,0.31,2875.00,0.2
