Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 05:30,596.10,1,-1250.00,-0.08,-1250.00,-0.42,750.00,0.05,1250.00,0.08
1,Exit Long,SELL,2021-01-01 09:30,595.60,1,-1250.00,-0.08,-1250.00,-0.42,750.00,0.05,1250.00,0.08
2,Entry Short,SELL,2021-01-01 09:30,595.60,1,-13750.00,-0.92,-15000.00,-4.6,2250.00,0.15,16000.00,1.07
2,Exit Short,INTRADAY_SExit,2021-01-04 03:45,601.10,1,-13750.00,-0.92,-15000.00,-4.6,2250.00,0.15,16000.00,1.07
3,Entry Long,BUY,2021-01-04 04:15,601.75,1,4000.00,0.27,-11000.00,1.4,16625.00,1.11,2125.00,0.14
3,Exit Long,SELL,2021-01-04 15:30,603.35,1,4000.00,0.27,-11000.00,1.4,16625.00,1.11,2125.00,0.14
4,Entry Short,SELL,2021-01-04 15:30,603.35,1,6625.00,0.44,-4375.00,2.29,9250.00,0.61,0,0
4,Exit Short,INTRADAY_SExit,2021-01-04 17:45,600.70,1,6625.00,0.44,-4375.00,2.29,9250.00,0.61,0,0
5,Entry Long,BUY,2021-01-05 05:45,607.00,1,22000.00,1.45,17625.00,7.44,22375.00,1.47,1750.00,0.12
5,Exit Long,INTRADAY_BExit,2021-01-05 17:45,615.80,1,22000.00,1.45,17625.00,7.44,22375.00,1.47,1750.00,0.12
6,Entry Long,BUY,2021-01-06 04:00,617.05,1,-3750.00,-0.24,13875.00,-1.18,2250.00,0.15,4250.00,0.28
6,Exit Long,SELL,2021-01-06 06:00,615.55,1,-3750.00,-0.24,13875.00,-1.18,2250.00,0.15,4250.00,0.28
7,Entry Short,SELL,2021-01-06 06:00,615.55,1,-4500.00,-0.29,9375.00,-1.43,0,0,5250.00,0.34
7,Exit Short,BUY,2021-01-06 07:00,617.35,1,-4500.00,-0.29,9375.00,-1.43,0,0,5250.00,0.34
8,Entry Long,BUY,2021-01-06 07:00,617.35,1,-875.00,-0.06,8500.00,-0.28,20000.00,1.3,1625.00,0.11
8,Exit Long,SELL,2021-01-06 14:30,617.00,1,-875.00,-0.06,8500.00,-0.28,20000.00,1.3,1625.00,0.11
9,Entry Short,SELL,2021-01-06 14:30,617.00,1,125.00,0.01,8625.00,0.04,8750.00,0.57,5000.00,0.32
9,Exit Short,INTRADAY_SExit,2021-01-06 17:45,616.95,1,125.00,0.01,8625.00,0.04,8750.00,0.57,5000.00,0.32
10,Entry Short,SELL,2021-01-07 05:45,618.40,1,-4750.00,-0.31,3875.00,-1.54,0,0,5250.00,0.34
10,Exit Short,BUY,2021-01-07 06:00,620.30,1,-4750.00,-0.31,3875.00,-1.54,0,0,5250.00,0.34
11,Entry Long,BUY,2021-01-07 06:00,620.30,1,-1750.00,-0.11,2125.00,-0.58,4750.00,0.31,2500.00,0.16
11,Exit Long,SELL,2021-01-07 09:00,619.60,1,-1750.00,-0.11,2125.00,-0.58,4750.00,0.31,2500.00,0.16
12,Entry Short,SELL,2021-01-07 09:00,619.60,1,-9500.00,-0.61,-7375.00,-3.14,4875.00,0.31,12000.00,0.77
12,Exit Short,BUY,2021-01-07 14:15,623.40,1,-9500.00,-0.61,-7375.00,-3.14,4875.00,0.31,12000.00,0.77
13,Entry Long,BUY,2021-01-07 14:15,623.40,1,8375.00,0.54,1000.00,2.86,15125.00,0.97,0,0
13,Exit Long,INTRADAY_BExit,2021-01-07 17:45,626.75,1,8375.00,0.54,1000.00,2.86,15125.00,0.97,0,0
14,Entry Short,SELL,2021-01-08 04:45,629.10,1,18250.00,1.16,19250.00,6.06,35000.00,2.23,3375.00,0.21
14,Exit Short,INTRADAY_SExit,2021-01-08 17:45,621.80,1,18250.00,1.16,19250.00,6.06,35000.00,2.23,3375.00,0.21
15,Entry Short,SELL,2021-01-11 04:00,615.45,1,3125.00,0.2,22375.00,0.98,9625.00,0.63,250.00,0.02
15,Exit Short,BUY,2021-01-11 07:45,614.20,1,3125.00,0.2,22375.00,0.98,9625.00,0.63,250.00,0.02
16,Entry Long,BUY,2021-01-11 07:45,614.20,1,-3375.00,-0.22,19000.00,-1.05,4375.00,0.28,4000.00,0.26
16,Exit Long,SELL,2021-01-11 09:45,612.85,1,-3375.00,-0.22,19000.00,-1.05,4375.00,0.28,4000.00,0.26
17,Entry Short,SELL,2021-01-11 09:45,612.85,1,-3875.00,-0.25,15125.00,-1.21,250.00,0.02,4625.00,0.3
17,Exit Short,BUY,2021-01-11 10:30,614.40,1,-3875.00,-0.25,15125.00,-1.21,250.00,0.02,4625.00,0.3
18,Entry Long,BUY,2021-01-11 10:30,614.40,1,-2750.00,-0.18,12375.00,-0.87,0,0,3500.00,0.23
18,Exit Long,SELL,2021-01-11 12:15,613.30,1,-2750.00,-0.18,12375.00,-0.87,0,0,3500.00,0.23
19,Entry Short,SELL,2021-01-11 12:15,613.30,1,20000.00,1.3,32375.00,6.4,24750.00,1.61,1375.00,0.09
19,Exit Short,INTRADAY_SExit,2021-01-11 17:45,605.30,1,20000.00,1.3,32375.00,6.4,24750.00,1.61,1375.00,0.09
20,Entry Short,SELL,2021-01-12 04:00,607.65,1,-2625.00,-0.17,29750.00,-0.79,1000.00,0.07,2750.00,0.18
20,Exit Short,BUY,2021-01-12 05:30,608.70,1,-2625.00,-0.17,29750.00,-0.79,1000.00,0.07,2750.00,0.18
21,Entry Long,BUY,2021-01-12 05:30,608.70,1,7000.00,0.46,36750.00,2.12,19250.00,1.26,375.00,0.02
21,Exit Long,SELL,2021-01-12 13:30,611.50,1,7000.00,0.46,36750.00,2.12,19250.00,1.26,375.00,0.02
22,Entry Short,SELL,2021-01-12 13:30,611.50,1,875.00,0.06,37625.00,0.26,2500.00,0.16,1750.00,0.11
22,Exit Short,BUY,2021-01-12 13:45,611.15,1,875.00,0.06,37625.00,0.26,2500.00,0.16,1750.00,0.11
23,Entry Long,BUY,2021-01-12 13:45,611.15,1,-250.00,-0.02,37375.00,-0.07,9625.00,0.63,2250.00,0.15
23,Exit Long,SELL,2021-01-12 16:45,611.05,1,-250.00,-0.02,37375.00,-0.07,9625.00,0.63,2250.00,0.15
24,Entry Short,SELL,2021-01-12 16:45,611.05,1,-375.00,-0.02,37000.00,-0.11,4375.00,0.29,2625.00,0.17
24,Exit Short,INTRADAY_SExit,2021-01-12 17:45,611.20,1,-375.00,-0.02,37000.00,-0.11,4375.00,0.29,2625.00,0.17
25,Entry Long,BUY,2021-01-13 04:00,615.25,1,-1125.00,-0.07,35875.00,-0.33,375.00,0.02,1500.00,0.1
25,Exit Long,SELL,2021-01-13 04:45,614.80,1,-1125.00,-0.07,35875.00,-0.33,375.00,0.02,1500.00,0.1
26,Entry Short,SELL,2021-01-13 04:45,614.80,1,4000.00,0.26,39875.00,1.19,12625.00,0.82,750.00,0.05
26,Exit Short,BUY,2021-01-13 13:45,613.20,1,4000.00,0.26,39875.00,1.19,12625.00,0.82,750.00,0.05
27,Entry Long,BUY,2021-01-13 13:45,613.20,1,-1375.00,-0.09,38500.00,-0.4,500.00,0.03,2750.00,0.18
27,Exit Long,SELL,2021-01-13 14:00,612.65,1,-1375.00,-0.09,38500.00,-0.4,500.00,0.03,2750.00,0.18
28,Entry Short,SELL,2021-01-13 14:00,612.65,1,-2125.00,-0.14,36375.00,-0.63,625.00,0.04,3125.00,0.2
28,Exit Short,BUY,2021-01-13 14:15,613.50,1,-2125.00,-0.14,36375.00,-0.63,625.00,0.04,3125.00,0.2
29,Entry Long,BUY,2021-01-13 14:15,613.50,1,-10000.00,-0.65,26375.00,-2.97,250.00,0.02,10000.00,0.65
29,Exit Long,SELL,2021-01-13 14:45,609.50,1,-10000.00,-0.65,26375.00,-2.97,250.00,0.02,10000.00,0.65
30,Entry Short,SELL,2021-01-13 14:45,609.50,1,-3000.00,-0.2,23375.00,-0.92,750.00,0.05,8500.00,0.56
30,Exit Short,INTRADAY_SExit,2021-01-13 17:45,610.70,1,-3000.00,-0.2,23375.00,-0.92,750.00,0.05,8500.00,0.56
31,Entry Short,SELL,2021-01-14 04:00,610.15,1,1625.00,0.11,25000.00,0.5,7000.00,0.46,500.00,0.03
31,Exit Short,BUY,2021-01-14 11:30,609.50,1,1625.00,0.11,25000.00,0.5,7000.00,0.46,500.00,0.03
32,Entry Long,BUY,2021-01-14 11:30,609.50,1,14500.00,0.95,39500.00,4.46,15375.00,1.01,500.00,0.03
32,Exit Long,INTRADAY_BExit,2021-01-14 17:45,615.30,1,14500.00,0.95,39500.00,4.46,15375.00,1.01,500.00,0.03
33,Entry Short,SELL,2021-01-15 04:00,613.65,1,19750.00,1.29,59250.00,5.82,27375.00,1.78,250.00,0.02
33,Exit Short,INTRADAY_SExit,2021-01-15 17:45,605.75,1,19750.00,1.29,59250.00,5.82,27375.00,1.78,250.00,0.02
34,Entry Long,BUY,2021-01-18 05:45,609.45,1,-2375.00,-0.16,56875.00,-0.66,7500.00,0.49,4250.00,0.28
34,Exit Long,SELL,2021-01-18 13:15,608.50,1,-2375.00,-0.16,56875.00,-0.66,7500.00,0.49,4250.00,0.28
35,Entry Short,SELL,2021-01-18 13:15,608.50,1,2875.00,0.19,59750.00,0.81,5000.00,0.33,500.00,0.03
35,Exit Short,INTRADAY_SExit,2021-01-18 17:45,607.35,1,2875.00,0.19,59750.00,0.81,5000.00,0.33,500.00,0.03
36,Entry Long,BUY,2021-01-19 04:45,609.30,1,-8375.00,-0.55,51375.00,-2.33,625.00,0.04,8750.00,0.57
36,Exit Long,SELL,2021-01-19 05:45,605.95,1,-8375.00,-0.55,51375.00,-2.33,625.00,0.04,8750.00,0.57
37,Entry Short,SELL,2021-01-19 05:45,605.95,1,-8500.00,-0.56,42875.00,-2.42,1625.00,0.11,10000.00,0.66
37,Exit Short,BUY,2021-01-19 08:15,609.35,1,-8500.00,-0.56,42875.00,-2.42,1625.00,0.11,10000.00,0.66
38,Entry Long,BUY,2021-01-19 08:15,609.35,1,-2875.00,-0.19,40000.00,-0.84,11000.00,0.72,5750.00,0.38
38,Exit Long,SELL,2021-01-19 17:00,608.20,1,-2875.00,-0.19,40000.00,-0.84,11000.00,0.72,5750.00,0.38
39,Entry Short,SELL,2021-01-19 17:00,608.20,1,-125.00,-0.01,39875.00,-0.04,5375.00,0.35,125.00,0.01
39,Exit Short,INTRADAY_SExit,2021-01-19 17:45,608.25,1,-125.00,-0.01,39875.00,-0.04,5375.00,0.35,125.00,0.01
40,Entry Short,SELL,2021-01-20 04:15,609.75,1,-5625.00,-0.37,34250.00,-1.66,2250.00,0.15,6000.00,0.39
40,Exit Short,BUY,2021-01-20 06:00,612.00,1,-5625.00,-0.37,34250.00,-1.66,2250.00,0.15,6000.00,0.39
41,Entry Long,BUY,2021-01-20 06:00,612.00,1,-3750.00,-0.25,30500.00,-1.12,6500.00,0.42,4500.00,0.29
41,Exit Long,SELL,2021-01-20 12:15,610.50,1,-3750.00,-0.25,30500.00,-1.12,6500.00,0.42,4500.00,0.29
42,Entry Short,SELL,2021-01-20 12:15,610.50,1,-875.00,-0.06,29625.00,-0.26,6750.00,0.44,5750.00,0.38
42,Exit Short,INTRADAY_SExit,2021-01-20 17:45,610.85,1,-875.00,-0.06,29625.00,-0.26,6750.00,0.44,5750.00,0.38
