Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:00,3829,1,-1100.00,-0.29,-1100.00,-0.37,400.00,0.1,1400.00,0.37
1,Exit Short,BUY,2021-02-01 06:15,3840,1,-1100.00,-0.29,-1100.00,-0.37,400.00,0.1,1400.00,0.37
2,Entry Long,BUY,2021-02-01 06:15,3840,1,400.00,0.1,-700.00,0.13,1800.00,0.47,800.00,0.21
2,Exit Long,SELL,2021-02-01 09:45,3844,1,400.00,0.1,-700.00,0.13,1800.00,0.47,800.00,0.21
3,Entry Short,SELL,2021-02-01 09:45,3844,1,-2200.00,-0.57,-2900.00,-0.74,900.00,0.23,2400.00,0.62
3,Exit Short,BUY,2021-02-01 12:15,3866,1,-2200.00,-0.57,-2900.00,-0.74,900.00,0.23,2400.00,0.62
4,Entry Long,BUY,2021-02-01 12:15,3866,1,-1700.00,-0.44,-4600.00,-0.57,300.00,0.08,2800.00,0.72
4,Exit Long,SELL,2021-02-01 14:00,3849,1,-1700.00,-0.44,-4600.00,-0.57,300.00,0.08,2800.00,0.72
5,Entry Short,SELL,2021-02-01 14:00,3849,1,-3900.00,-1.01,-8500.00,-1.32,0,0,4500.00,1.17
5,Exit Short,BUY,2021-02-01 14:30,3888,1,-3900.00,-1.01,-8500.00,-1.32,0,0,4500.00,1.17
6,Entry Long,BUY,2021-02-01 14:30,3888,1,-3900.00,-1,-12400.00,-1.34,400.00,0.1,4700.00,1.21
6,Exit Long,BUY_SL_HIT,2021-02-01 15:00,3849,1,-3900.00,-1,-12400.00,-1.34,400.00,0.1,4700.00,1.21
7,Entry Long,BUY,2021-02-01 16:45,3896,1,-500.00,-0.13,-12900.00,-0.17,400.00,0.1,1500.00,0.39
7,Exit Long,INTRADAY_BExit,2021-02-01 17:45,3891,1,-500.00,-0.13,-12900.00,-0.17,400.00,0.1,1500.00,0.39
8,Entry Short,SELL,2021-02-02 07:30,3957,1,-4000.00,-1.01,-16900.00,-1.39,1300.00,0.33,4600.00,1.16
8,Exit Short,SELL_SL_HIT,2021-02-02 10:15,3997,1,-4000.00,-1.01,-16900.00,-1.39,1300.00,0.33,4600.00,1.16
9,Entry Long,BUY,2021-02-02 10:45,4011,1,2500.00,0.62,-14400.00,0.88,3100.00,0.77,1000.00,0.25
9,Exit Long,BUY_TG_HIT,2021-02-02 14:30,4036,1,2500.00,0.62,-14400.00,0.88,3100.00,0.77,1000.00,0.25
10,Entry Short,SELL,2021-02-02 15:00,4015,1,2100.00,0.52,-12300.00,0.74,2300.00,0.57,1800.00,0.45
10,Exit Short,INTRADAY_SExit,2021-02-02 17:45,3994,1,2100.00,0.52,-12300.00,0.74,2300.00,0.57,1800.00,0.45
11,Entry Long,BUY,2021-02-03 04:15,4023,1,-1000.00,-0.25,-13300.00,-0.35,100.00,0.02,1000.00,0.25
11,Exit Long,SELL,2021-02-03 05:45,4013,1,-1000.00,-0.25,-13300.00,-0.35,100.00,0.02,1000.00,0.25
12,Entry Short,SELL,2021-02-03 05:45,4013,1,-900.00,-0.22,-14200.00,-0.31,300.00,0.07,900.00,0.22
