Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:30,3541,1,-400.00,-0.11,-400.00,-0.13,500.00,0.14,1300.00,0.37
1,Exit Long,SELL,2021-01-01 15:45,3537,1,-400.00,-0.11,-400.00,-0.13,500.00,0.14,1300.00,0.37
2,Entry Short,SELL,2021-01-01 15:45,3537,1,-4200.00,-1.19,-4600.00,-1.4,2600.00,0.74,6000.00,1.7
2,Exit Short,INTRADAY_SExit,2021-01-04 09:15,3579,1,-4200.00,-1.19,-4600.00,-1.4,2600.00,0.74,6000.00,1.7
3,Entry Long,BUY,2021-01-04 09:30,3576,1,-300.00,-0.08,-4900.00,-0.1,6700.00,1.87,500.00,0.14
3,Exit Long,SELL,2021-01-04 15:15,3573,1,-300.00,-0.08,-4900.00,-0.1,6700.00,1.87,500.00,0.14
4,Entry Short,SELL,2021-01-04 15:15,3573,1,-500.00,-0.14,-5400.00,-0.17,5000.00,1.4,1600.00,0.45
4,Exit Short,BUY,2021-01-04 19:30,3578,1,-500.00,-0.14,-5400.00,-0.17,5000.00,1.4,1600.00,0.45
5,Entry Long,BUY,2021-01-04 19:30,3578,1,-2800.00,-0.78,-8200.00,-0.95,1100.00,0.31,5800.00,1.62
5,Exit Long,SELL,2021-01-04 20:15,3550,1,-2800.00,-0.78,-8200.00,-0.95,1100.00,0.31,5800.00,1.62
6,Entry Short,SELL,2021-01-04 20:15,3550,1,-500.00,-0.14,-8700.00,-0.17,500.00,0.14,1800.00,0.51
6,Exit Short,BUY,2021-01-04 20:45,3555,1,-500.00,-0.14,-8700.00,-0.17,500.00,0.14,1800.00,0.51
7,Entry Long,BUY,2021-01-04 20:45,3555,1,-6900.00,-1.94,-15600.00,-2.37,300.00,0.08,9300.00,2.62
7,Exit Long,SELL,2021-01-04 21:30,3486,1,-6900.00,-1.94,-15600.00,-2.37,300.00,0.08,9300.00,2.62
8,Entry Short,SELL,2021-01-04 21:30,3486,1,800.00,0.23,-14800.00,0.28,2900.00,0.83,1600.00,0.46
8,Exit Short,INTRADAY_SExit,2021-01-04 23:15,3478,1,800.00,0.23,-14800.00,0.28,2900.00,0.83,1600.00,0.46
9,Entry Long,BUY,2021-01-05 09:30,3485,1,-400.00,-0.11,-15200.00,-0.14,600.00,0.17,600.00,0.17
