Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 05:00,3542,1,-500.00,-0.14,-500.00,-0.17,300.00,0.08,1400.00,0.4
1,Exit Long,SELL,2021-01-01 10:15,3537,1,-500.00,-0.14,-500.00,-0.17,300.00,0.08,1400.00,0.4
2,Entry Short,SELL,2021-01-01 10:15,3537,1,-4200.00,-1.19,-4700.00,-1.4,2600.00,0.74,6000.00,1.7
2,Exit Short,INTRADAY_SExit,2021-01-04 04:15,3579,1,-4200.00,-1.19,-4700.00,-1.4,2600.00,0.74,6000.00,1.7
3,Entry Long,BUY,2021-01-04 05:00,3583,1,1000.00,0.28,-3700.00,0.34,1100.00,0.31,100.00,0.03
3,Exit Long,BUY_TG_HIT,2021-01-04 05:45,3593,1,1000.00,0.28,-3700.00,0.34,1100.00,0.31,100.00,0.03
4,Entry Long,BUY,2021-01-04 06:30,3613,1,900.00,0.25,-2800.00,0.3,1500.00,0.42,400.00,0.11
4,Exit Long,BUY_TG_HIT,2021-01-04 07:15,3622,1,900.00,0.25,-2800.00,0.3,1500.00,0.42,400.00,0.11
5,Entry Short,SELL,2021-01-04 10:15,3586,1,5200.00,1.45,2400.00,1.75,6300.00,1.76,300.00,0.08
5,Exit Short,SELL_TG_HIT,2021-01-04 12:30,3534,1,5200.00,1.45,2400.00,1.75,6300.00,1.76,300.00,0.08
6,Entry Short,SELL,2021-01-04 13:15,3533,1,-4500.00,-1.27,-2100.00,-1.49,300.00,0.08,4800.00,1.36
6,Exit Short,SELL_SL_HIT,2021-01-04 14:00,3578,1,-4500.00,-1.27,-2100.00,-1.49,300.00,0.08,4800.00,1.36
7,Entry Short,SELL,2021-01-04 16:15,3472,1,-2100.00,-0.6,-4200.00,-0.7,600.00,0.17,2600.00,0.75
7,Exit Short,SELL_SL_HIT,2021-01-04 17:00,3493,1,-2100.00,-0.6,-4200.00,-0.7,600.00,0.17,2600.00,0.75
8,Entry Short,SELL,2021-01-05 05:45,3481,1,-1000.00,-0.29,-5200.00,-0.34,1500.00,0.43,1800.00,0.52
8,Exit Short,SELL_SL_HIT,2021-01-05 08:45,3491,1,-1000.00,-0.29,-5200.00,-0.34,1500.00,0.43,1800.00,0.52
9,Entry Long,BUY,2021-01-05 09:30,3502,1,1400.00,0.4,-3800.00,0.47,2300.00,0.66,0,0
9,Exit Long,BUY_TG_HIT,2021-01-05 10:15,3516,1,1400.00,0.4,-3800.00,0.47,2300.00,0.66,0,0
10,Entry Long,BUY,2021-01-05 11:00,3531,1,2700.00,0.76,-1100.00,0.91,2900.00,0.82,300.00,0.08
10,Exit Long,BUY_TG_HIT,2021-01-05 11:45,3558,1,2700.00,0.76,-1100.00,0.91,2900.00,0.82,300.00,0.08
11,Entry Long,BUY,2021-01-05 17:45,3651,1,2200.00,0.6,1100.00,0.74,2400.00,0.66,700.00,0.19
