Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 13:30,3724.90,1,690.00,0.19,690.00,0.35,1785.00,0.48,0,0
1,Exit Short,INTRADAY_SExit,2021-02-15 15:05,3718.00,1,690.00,0.19,690.00,0.35,1785.00,0.48,0,0
2,Entry Long,BUY,2021-02-16 12:45,3695.15,1,-570.00,-0.15,120.00,-0.28,635.00,0.17,1640.00,0.44
2,Exit Long,SELL,2021-02-16 13:20,3689.45,1,-570.00,-0.15,120.00,-0.28,635.00,0.17,1640.00,0.44
3,Entry Short,SELL,2021-02-16 13:20,3689.45,1,-395.00,-0.11,-275.00,-0.2,1495.00,0.41,605.00,0.16
3,Exit Short,BUY,2021-02-16 15:00,3693.40,1,-395.00,-0.11,-275.00,-0.2,1495.00,0.41,605.00,0.16
4,Entry Long,BUY,2021-02-16 15:00,3693.40,1,370.00,0.1,95.00,0.19,370.00,0.1,290.00,0.08
4,Exit Long,INTRADAY_BExit,2021-02-16 15:05,3697.10,1,370.00,0.1,95.00,0.19,370.00,0.1,290.00,0.08
5,Entry Short,SELL,2021-02-17 09:35,3662.35,1,1985.00,0.54,2080.00,0.99,2885.00,0.79,1255.00,0.34
5,Exit Short,SELL_TG_HIT,2021-02-17 10:30,3642.50,1,1985.00,0.54,2080.00,0.99,2885.00,0.79,1255.00,0.34
6,Entry Long,BUY,2021-02-17 12:00,3651.70,1,-2440.00,-0.67,-360.00,-1.21,955.00,0.26,2440.00,0.67
6,Exit Long,SELL,2021-02-17 13:00,3627.30,1,-2440.00,-0.67,-360.00,-1.21,955.00,0.26,2440.00,0.67
7,Entry Short,SELL,2021-02-17 13:00,3627.30,1,-70.00,-0.02,-430.00,-0.04,365.00,0.1,1770.00,0.49
7,Exit Short,INTRADAY_SExit,2021-02-17 15:05,3628.00,1,-70.00,-0.02,-430.00,-0.04,365.00,0.1,1770.00,0.49
8,Entry Long,BUY,2021-02-18 09:35,3620.00,1,1825.00,0.5,1395.00,0.91,2175.00,0.6,960.00,0.27
8,Exit Long,BUY_TG_HIT,2021-02-18 10:05,3638.25,1,1825.00,0.5,1395.00,0.91,2175.00,0.6,960.00,0.27
9,Entry Short,SELL,2021-02-18 11:20,3610.85,1,2185.00,0.61,3580.00,1.08,2185.00,0.61,0,0
9,Exit Short,SELL_TG_HIT,2021-02-18 11:40,3589.00,1,2185.00,0.61,3580.00,1.08,2185.00,0.61,0,0
10,Entry Long,BUY,2021-02-18 13:00,3589.30,1,2170.00,0.6,5750.00,1.07,2170.00,0.6,0,0
10,Exit Long,BUY_TG_HIT,2021-02-18 14:35,3611.00,1,2170.00,0.6,5750.00,1.07,2170.00,0.6,0,0
11,Entry Short,SELL,2021-02-19 09:35,3580.95,1,1735.00,0.48,7485.00,0.84,2225.00,0.62,2405.00,0.67
11,Exit Short,SELL_TG_HIT,2021-02-19 10:40,3563.60,1,1735.00,0.48,7485.00,0.84,2225.00,0.62,2405.00,0.67
12,Entry Short,SELL,2021-02-22 09:35,3503.90,1,-2075.00,-0.59,5410.00,-1,1840.00,0.53,2310.00,0.66
12,Exit Short,SELL_SL_HIT,2021-02-22 10:15,3524.65,1,-2075.00,-0.59,5410.00,-1,1840.00,0.53,2310.00,0.66
13,Entry Long,BUY,2021-02-22 10:35,3547.00,1,-1805.00,-0.51,3605.00,-0.88,1700.00,0.48,2190.00,0.62
13,Exit Long,BUY_SL_HIT,2021-02-22 12:10,3528.95,1,-1805.00,-0.51,3605.00,-0.88,1700.00,0.48,2190.00,0.62
14,Entry Short,SELL,2021-02-22 12:30,3531.70,1,2265.00,0.64,5870.00,1.11,2400.00,0.68,0,0
14,Exit Short,SELL_TG_HIT,2021-02-22 13:35,3509.05,1,2265.00,0.64,5870.00,1.11,2400.00,0.68,0,0
15,Entry Long,BUY,2021-02-23 09:35,3490.15,1,-3035.00,-0.87,2835.00,-1.47,0,0,3195.00,0.92
15,Exit Long,SELL,2021-02-23 09:45,3459.80,1,-3035.00,-0.87,2835.00,-1.47,0,0,3195.00,0.92
16,Entry Short,SELL,2021-02-23 09:45,3459.80,1,-1780.00,-0.51,1055.00,-0.88,1125.00,0.33,1820.00,0.53
16,Exit Short,SELL_SL_HIT,2021-02-23 10:00,3477.60,1,-1780.00,-0.51,1055.00,-0.88,1125.00,0.33,1820.00,0.53
17,Entry Long,BUY,2021-02-23 14:40,3469.00,1,-1250.00,-0.36,-195.00,-0.62,275.00,0.08,1300.00,0.37
17,Exit Long,INTRADAY_BExit,2021-02-23 15:05,3456.50,1,-1250.00,-0.36,-195.00,-0.62,275.00,0.08,1300.00,0.37
18,Entry Long,BUY,2021-02-24 09:35,3488.65,1,-2295.00,-0.66,-2490.00,-1.15,535.00,0.15,2550.00,0.73
18,Exit Long,BUY_SL_HIT,2021-02-24 10:00,3465.70,1,-2295.00,-0.66,-2490.00,-1.15,535.00,0.15,2550.00,0.73
19,Entry Short,SELL,2021-02-24 10:30,3450.70,1,70.00,0.02,-2420.00,0.04,4070.00,1.18,3925.00,1.14
19,Exit Short,INTRADAY_SExit,2021-02-24 15:50,3450.00,1,70.00,0.02,-2420.00,0.04,4070.00,1.18,3925.00,1.14
20,Entry Long,BUY,2021-02-25 09:35,3499.95,1,3305.00,0.94,885.00,1.67,3565.00,1.02,235.00,0.07
20,Exit Long,BUY_TG_HIT,2021-02-25 09:55,3533.00,1,3305.00,0.94,885.00,1.67,3565.00,1.02,235.00,0.07
21,Entry Short,SELL,2021-02-25 11:25,3503.30,1,1680.00,0.48,2565.00,0.84,1830.00,0.52,425.00,0.12
21,Exit Short,SELL_TG_HIT,2021-02-25 12:00,3486.50,1,1680.00,0.48,2565.00,0.84,1830.00,0.52,425.00,0.12
22,Entry Long,BUY,2021-02-25 13:00,3491.65,1,-465.00,-0.13,2100.00,-0.23,370.00,0.11,1310.00,0.38
22,Exit Long,SELL,2021-02-25 14:25,3487.00,1,-465.00,-0.13,2100.00,-0.23,370.00,0.11,1310.00,0.38
23,Entry Short,SELL,2021-02-25 14:25,3487.00,1,2025.00,0.58,4125.00,1,2500.00,0.72,190.00,0.05
23,Exit Short,INTRADAY_SExit,2021-02-25 15:05,3466.75,1,2025.00,0.58,4125.00,1,2500.00,0.72,190.00,0.05
24,Entry Long,BUY,2021-02-26 09:55,3461.55,1,3485.00,1.01,7610.00,1.71,3710.00,1.07,155.00,0.04
24,Exit Long,BUY_TG_HIT,2021-02-26 10:05,3496.40,1,3485.00,1.01,7610.00,1.71,3710.00,1.07,155.00,0.04
25,Entry Short,SELL,2021-02-26 12:20,3444.00,1,2000.00,0.58,9610.00,0.96,2200.00,0.64,405.00,0.12
25,Exit Short,SELL_TG_HIT,2021-02-26 13:15,3424.00,1,2000.00,0.58,9610.00,0.96,2200.00,0.64,405.00,0.12
26,Entry Long,BUY,2021-03-01 09:35,3447.80,1,-1735.00,-0.5,7875.00,-0.83,2020.00,0.59,2080.00,0.6
26,Exit Long,BUY_SL_HIT,2021-03-01 11:45,3430.45,1,-1735.00,-0.5,7875.00,-0.83,2020.00,0.59,2080.00,0.6
27,Entry Short,SELL,2021-03-01 12:10,3428.80,1,-1120.00,-0.33,6755.00,-0.54,1725.00,0.5,1120.00,0.33
27,Exit Short,BUY,2021-03-01 14:35,3440.00,1,-1120.00,-0.33,6755.00,-0.54,1725.00,0.5,1120.00,0.33
28,Entry Long,BUY,2021-03-01 14:35,3440.00,1,2460.00,0.72,9215.00,1.19,2500.00,0.73,235.00,0.07
28,Exit Long,INTRADAY_BExit,2021-03-01 15:05,3464.60,1,2460.00,0.72,9215.00,1.19,2500.00,0.73,235.00,0.07
29,Entry Short,SELL,2021-03-03 10:40,3529.70,1,-1795.00,-0.51,7420.00,-0.86,470.00,0.13,2350.00,0.67
29,Exit Short,BUY,2021-03-03 11:30,3547.65,1,-1795.00,-0.51,7420.00,-0.86,470.00,0.13,2350.00,0.67
30,Entry Long,BUY,2021-03-03 11:30,3547.65,1,2010.00,0.57,9430.00,0.97,2285.00,0.64,815.00,0.23
30,Exit Long,BUY_TG_HIT,2021-03-03 12:55,3567.75,1,2010.00,0.57,9430.00,0.97,2285.00,0.64,815.00,0.23
31,Entry Short,SELL,2021-03-03 14:20,3551.05,1,-2595.00,-0.73,6835.00,-1.24,240.00,0.07,2595.00,0.73
31,Exit Short,SELL_SL_HIT,2021-03-03 14:35,3577.00,1,-2595.00,-0.73,6835.00,-1.24,240.00,0.07,2595.00,0.73
32,Entry Long,BUY,2021-03-03 14:40,3581.05,1,-105.00,-0.03,6730.00,-0.05,70.00,0.02,1650.00,0.46
32,Exit Long,INTRADAY_BExit,2021-03-03 15:05,3580.00,1,-105.00,-0.03,6730.00,-0.05,70.00,0.02,1650.00,0.46
33,Entry Short,SELL,2021-03-04 09:35,3525.10,1,-2390.00,-0.68,4340.00,-1.16,2175.00,0.62,2390.00,0.68
33,Exit Short,SELL_SL_HIT,2021-03-04 11:15,3549.00,1,-2390.00,-0.68,4340.00,-1.16,2175.00,0.62,2390.00,0.68
34,Entry Long,BUY,2021-03-04 11:20,3545.00,1,2385.00,0.67,6725.00,1.17,2480.00,0.7,1315.00,0.37
34,Exit Long,BUY_TG_HIT,2021-03-04 12:50,3568.85,1,2385.00,0.67,6725.00,1.17,2480.00,0.7,1315.00,0.37
35,Entry Short,SELL,2021-03-05 09:35,3528.25,1,-2160.00,-0.61,4565.00,-1.04,0,0,2160.00,0.61
35,Exit Short,SELL_SL_HIT,2021-03-05 09:50,3549.85,1,-2160.00,-0.61,4565.00,-1.04,0,0,2160.00,0.61
36,Entry Long,BUY,2021-03-05 11:50,3553.00,1,-2295.00,-0.65,2270.00,-1.12,200.00,0.06,2300.00,0.65
36,Exit Long,BUY_SL_HIT,2021-03-05 13:15,3530.05,1,-2295.00,-0.65,2270.00,-1.12,200.00,0.06,2300.00,0.65
37,Entry Short,SELL,2021-03-05 13:20,3533.00,1,2600.00,0.74,4870.00,1.29,2600.00,0.74,0,0
37,Exit Short,SELL_TG_HIT,2021-03-05 13:55,3507.00,1,2600.00,0.74,4870.00,1.29,2600.00,0.74,0,0
38,Entry Long,BUY,2021-03-08 09:35,3524.60,1,2290.00,0.65,7160.00,1.12,2290.00,0.65,840.00,0.24
38,Exit Long,BUY_TG_HIT,2021-03-08 10:20,3547.50,1,2290.00,0.65,7160.00,1.12,2290.00,0.65,840.00,0.24
39,Entry Short,SELL,2021-03-08 12:55,3536.05,1,1375.00,0.39,8535.00,0.66,1605.00,0.45,1485.00,0.42
39,Exit Short,INTRADAY_SExit,2021-03-08 15:05,3522.30,1,1375.00,0.39,8535.00,0.66,1605.00,0.45,1485.00,0.42
40,Entry Short,SELL,2021-03-09 11:25,3521.30,1,1930.00,0.55,10465.00,0.93,2270.00,0.64,490.00,0.14
40,Exit Short,SELL_TG_HIT,2021-03-09 12:10,3502.00,1,1930.00,0.55,10465.00,0.93,2270.00,0.64,490.00,0.14
41,Entry Long,BUY,2021-03-09 14:20,3501.50,1,650.00,0.19,11115.00,0.31,845.00,0.24,310.00,0.09
41,Exit Long,INTRADAY_BExit,2021-03-09 15:05,3508.00,1,650.00,0.19,11115.00,0.31,845.00,0.24,310.00,0.09
42,Entry Short,SELL,2021-03-10 15:00,3544.65,1,-95.00,-0.03,11020.00,-0.04,20.00,0.01,755.00,0.21
42,Exit Short,INTRADAY_SExit,2021-03-10 15:05,3545.60,1,-95.00,-0.03,11020.00,-0.04,20.00,0.01,755.00,0.21
43,Entry Long,BUY,2021-03-12 09:50,3550.00,1,-1235.00,-0.35,9785.00,-0.59,350.00,0.1,1500.00,0.42
43,Exit Long,SELL,2021-03-12 10:30,3537.65,1,-1235.00,-0.35,9785.00,-0.59,350.00,0.1,1500.00,0.42
44,Entry Short,SELL,2021-03-12 10:30,3537.65,1,-2085.00,-0.59,7700.00,-0.99,440.00,0.12,2085.00,0.59
44,Exit Short,SELL_SL_HIT,2021-03-12 11:05,3558.50,1,-2085.00,-0.59,7700.00,-0.99,440.00,0.12,2085.00,0.59
45,Entry Long,BUY,2021-03-12 11:10,3560.00,1,-400.00,-0.11,7300.00,-0.19,1900.00,0.53,900.00,0.25
45,Exit Long,SELL,2021-03-12 12:35,3556.00,1,-400.00,-0.11,7300.00,-0.19,1900.00,0.53,900.00,0.25
46,Entry Short,SELL,2021-03-12 12:35,3556.00,1,-410.00,-0.12,6890.00,-0.2,985.00,0.28,1580.00,0.44
46,Exit Short,BUY,2021-03-12 13:10,3560.10,1,-410.00,-0.12,6890.00,-0.2,985.00,0.28,1580.00,0.44
47,Entry Long,BUY,2021-03-12 13:10,3560.10,1,-1630.00,-0.46,5260.00,-0.79,190.00,0.05,2010.00,0.56
47,Exit Long,SELL,2021-03-12 13:55,3543.80,1,-1630.00,-0.46,5260.00,-0.79,190.00,0.05,2010.00,0.56
48,Entry Short,SELL,2021-03-12 13:55,3543.80,1,1570.00,0.44,6830.00,0.76,1700.00,0.48,460.00,0.13
48,Exit Short,SELL_TG_HIT,2021-03-12 14:15,3528.10,1,1570.00,0.44,6830.00,0.76,1700.00,0.48,460.00,0.13
49,Entry Long,BUY,2021-03-15 14:40,3413.30,1,1170.00,0.34,8000.00,0.57,1305.00,0.38,975.00,0.29
49,Exit Long,INTRADAY_BExit,2021-03-15 15:05,3425.00,1,1170.00,0.34,8000.00,0.57,1305.00,0.38,975.00,0.29
50,Entry Short,SELL,2021-03-16 09:40,3413.10,1,2120.00,0.62,10120.00,1.02,2120.00,0.62,2105.00,0.62
50,Exit Short,SELL_TG_HIT,2021-03-16 10:10,3391.90,1,2120.00,0.62,10120.00,1.02,2120.00,0.62,2105.00,0.62
51,Entry Short,SELL,2021-03-17 09:35,3372.00,1,-2100.00,-0.62,8020.00,-1,895.00,0.27,2435.00,0.72
51,Exit Short,SELL_SL_HIT,2021-03-17 11:05,3393.00,1,-2100.00,-0.62,8020.00,-1,895.00,0.27,2435.00,0.72
52,Entry Long,BUY,2021-03-17 11:10,3397.10,1,-1510.00,-0.44,6510.00,-0.73,290.00,0.09,1970.00,0.58
