Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,3339.35,100,5.00,0,5.00,0.01,2795.00,0.84,1465.00,0.44
1,Exit Short,BUY,2021-02-01 05:15,3339.30,100,5.00,0,5.00,0.01,2795.00,0.84,1465.00,0.44
2,Entry Long,BUY,2021-02-01 05:15,3339.30,100,2975.00,0.89,2980.00,2.97,4485.00,1.34,0,0
2,Exit Long,BUY_TG_HIT,2021-02-01 06:00,3369.05,100,2975.00,0.89,2980.00,2.97,4485.00,1.34,0,0
3,Entry Long,BUY,2021-02-01 07:05,3381.50,100,725.00,0.21,3705.00,0.7,2815.00,0.83,745.00,0.22
3,Exit Long,SELL,2021-02-01 08:25,3388.75,100,725.00,0.21,3705.00,0.7,2815.00,0.83,745.00,0.22
4,Entry Short,SELL,2021-02-01 08:25,3388.75,100,4180.00,1.23,7885.00,4.03,4515.00,1.33,0,0
4,Exit Short,SELL_TG_HIT,2021-02-01 09:00,3346.95,100,4180.00,1.23,7885.00,4.03,4515.00,1.33,0,0
5,Entry Long,BUY,2021-02-01 09:25,3391.65,100,2730.00,0.8,10615.00,2.53,2835.00,0.84,165.00,0.05
5,Exit Long,INTRADAY_BExit,2021-02-01 09:35,3418.95,100,2730.00,0.8,10615.00,2.53,2835.00,0.84,165.00,0.05
6,Entry Long,BUY,2021-02-02 04:35,3522.00,100,-240.00,-0.07,10375.00,-0.22,2055.00,0.58,840.00,0.24
6,Exit Long,SELL,2021-02-02 05:00,3519.60,100,-240.00,-0.07,10375.00,-0.22,2055.00,0.58,840.00,0.24
7,Entry Short,SELL,2021-02-02 05:00,3519.60,100,4040.00,1.15,14415.00,3.66,4595.00,1.31,235.00,0.07
7,Exit Short,SELL_TG_HIT,2021-02-02 05:50,3479.20,100,4040.00,1.15,14415.00,3.66,4595.00,1.31,235.00,0.07
