Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 10:00,3827.10,100,-3590.00,-0.94,-3590.00,-3.59,5.00,0,4080.00,1.07
1,Exit Short,SELL_SL_HIT,2021-01-01 10:30,3863.00,100,-3590.00,-0.94,-3590.00,-3.59,5.00,0,4080.00,1.07
2,Entry Long,BUY,2021-01-01 10:45,3854.50,100,-85.00,-0.02,-3675.00,-0.09,840.00,0.22,950.00,0.25
2,Exit Long,INTRADAY_BExit,2021-01-01 15:15,3853.65,100,-85.00,-0.02,-3675.00,-0.09,840.00,0.22,950.00,0.25
3,Entry Short,SELL,2021-01-04 11:30,3867.55,100,695.00,0.18,-2980.00,0.72,1855.00,0.48,845.00,0.22
3,Exit Short,INTRADAY_SExit,2021-01-04 15:15,3860.60,100,695.00,0.18,-2980.00,0.72,1855.00,0.48,845.00,0.22
4,Entry Long,BUY,2021-01-06 09:45,3852.90,100,-2730.00,-0.71,-5710.00,-2.81,3640.00,0.94,3735.00,0.97
4,Exit Long,SELL,2021-01-06 14:15,3825.60,100,-2730.00,-0.71,-5710.00,-2.81,3640.00,0.94,3735.00,0.97
5,Entry Short,SELL,2021-01-06 14:15,3825.60,100,-4295.00,-1.12,-10005.00,-4.56,0,0,4435.00,1.16
5,Exit Short,SELL_SL_HIT,2021-01-06 14:45,3868.55,100,-4295.00,-1.12,-10005.00,-4.56,0,0,4435.00,1.16
6,Entry Long,BUY,2021-01-06 15:00,3869.60,100,1020.00,0.26,-8985.00,1.13,1530.00,0.4,0,0
6,Exit Long,INTRADAY_BExit,2021-01-06 15:15,3879.80,100,1020.00,0.26,-8985.00,1.13,1530.00,0.4,0,0
7,Entry Short,SELL,2021-01-07 10:45,3836.30,100,3225.00,0.84,-5760.00,3.54,3630.00,0.95,970.00,0.25
7,Exit Short,INTRADAY_SExit,2021-01-07 15:15,3804.05,100,3225.00,0.84,-5760.00,3.54,3630.00,0.95,970.00,0.25
8,Entry Long,BUY,2021-01-08 09:45,3834.95,100,-725.00,-0.19,-6485.00,-0.77,3005.00,0.78,1075.00,0.28
8,Exit Long,SELL,2021-01-08 14:15,3827.70,100,-725.00,-0.19,-6485.00,-0.77,3005.00,0.78,1075.00,0.28
9,Entry Short,SELL,2021-01-08 14:15,3827.70,100,-3580.00,-0.94,-10065.00,-3.83,770.00,0.2,3670.00,0.96
