Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 04:15,3851.25,100,2870.00,0.75,2870.00,2.87,2870.00,0.75,525.00,0.14
1,Exit Short,SELL_TG_HIT,2021-01-11 05:00,3822.55,100,2870.00,0.75,2870.00,2.87,2870.00,0.75,525.00,0.14
2,Entry Short,SELL,2021-01-11 05:05,3815.55,100,-650.00,-0.17,2220.00,-0.63,1005.00,0.26,1135.00,0.3
2,Exit Short,INTRADAY_SExit,2021-01-11 09:35,3822.05,100,-650.00,-0.17,2220.00,-0.63,1005.00,0.26,1135.00,0.3
3,Entry Short,SELL,2021-01-12 04:40,3789.35,100,2325.00,0.61,4545.00,2.27,2445.00,0.65,0,0
3,Exit Short,SELL_TG_HIT,2021-01-12 05:15,3766.10,100,2325.00,0.61,4545.00,2.27,2445.00,0.65,0,0
4,Entry Long,BUY,2021-01-12 08:35,3769.45,100,-330.00,-0.09,4215.00,-0.32,450.00,0.12,1065.00,0.28
4,Exit Long,SELL,2021-01-12 08:55,3766.15,100,-330.00,-0.09,4215.00,-0.32,450.00,0.12,1065.00,0.28
5,Entry Short,SELL,2021-01-12 08:55,3766.15,100,-1190.00,-0.32,3025.00,-1.14,55.00,0.01,1205.00,0.32
5,Exit Short,BUY,2021-01-12 09:00,3778.05,100,-1190.00,-0.32,3025.00,-1.14,55.00,0.01,1205.00,0.32
6,Entry Long,BUY,2021-01-12 09:00,3778.05,100,-950.00,-0.25,2075.00,-0.92,130.00,0.03,1895.00,0.5
6,Exit Long,INTRADAY_BExit,2021-01-12 09:35,3768.55,100,-950.00,-0.25,2075.00,-0.92,130.00,0.03,1895.00,0.5
7,Entry Short,SELL,2021-01-13 04:10,3752.80,100,2830.00,0.75,4905.00,2.77,3040.00,0.81,1165.00,0.31
7,Exit Short,SELL_TG_HIT,2021-01-13 05:35,3724.50,100,2830.00,0.75,4905.00,2.77,3040.00,0.81,1165.00,0.31
8,Entry Short,SELL,2021-01-14 04:05,3700.00,100,-2100.00,-0.57,2805.00,-2,1600.00,0.43,2305.00,0.62
8,Exit Short,BUY,2021-01-14 09:05,3721.00,100,-2100.00,-0.57,2805.00,-2,1600.00,0.43,2305.00,0.62
9,Entry Long,BUY,2021-01-14 09:05,3721.00,100,175.00,0.05,2980.00,0.17,1175.00,0.32,2035.00,0.55
9,Exit Long,INTRADAY_BExit,2021-01-14 09:35,3722.75,100,175.00,0.05,2980.00,0.17,1175.00,0.32,2035.00,0.55
10,Entry Long,BUY,2021-01-15 04:05,3738.75,100,-1915.00,-0.51,1065.00,-1.86,25.00,0.01,2105.00,0.56
10,Exit Long,SELL,2021-01-15 04:15,3719.60,100,-1915.00,-0.51,1065.00,-1.86,25.00,0.01,2105.00,0.56
11,Entry Short,SELL,2021-01-15 04:15,3719.60,100,2300.00,0.62,3365.00,2.28,2660.00,0.72,1840.00,0.49
11,Exit Short,SELL_TG_HIT,2021-01-15 05:25,3696.60,100,2300.00,0.62,3365.00,2.28,2660.00,0.72,1840.00,0.49
12,Entry Short,SELL,2021-01-15 05:30,3693.65,100,2370.00,0.64,5735.00,2.29,2635.00,0.71,525.00,0.14
12,Exit Short,SELL_TG_HIT,2021-01-15 06:50,3669.95,100,2370.00,0.64,5735.00,2.29,2635.00,0.71,525.00,0.14
13,Entry Short,SELL,2021-01-18 04:05,3612.45,100,-2155.00,-0.6,3580.00,-2.04,920.00,0.25,2845.00,0.79
13,Exit Short,SELL_SL_HIT,2021-01-18 04:15,3634.00,100,-2155.00,-0.6,3580.00,-2.04,920.00,0.25,2845.00,0.79
14,Entry Short,SELL,2021-01-18 04:30,3622.05,100,2755.00,0.76,6335.00,2.66,3705.00,1.02,1195.00,0.33
14,Exit Short,SELL_TG_HIT,2021-01-18 05:05,3594.50,100,2755.00,0.76,6335.00,2.66,3705.00,1.02,1195.00,0.33
15,Entry Short,SELL,2021-01-18 05:10,3581.00,100,-2400.00,-0.67,3935.00,-2.26,600.00,0.17,2480.00,0.69
15,Exit Short,SELL_SL_HIT,2021-01-18 06:40,3605.00,100,-2400.00,-0.67,3935.00,-2.26,600.00,0.17,2480.00,0.69
