Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 07:00,4724.15,1,-2106.25,-0.36,-2106.25,-1.05,268.75,0.05,2287.50,0.39
1,Exit Short,BUY,2021-02-15 07:35,4741.00,1,-2106.25,-0.36,-2106.25,-1.05,268.75,0.05,2287.50,0.39
2,Entry Long,BUY,2021-02-15 07:35,4741.00,1,-1787.50,-0.3,-3893.75,-0.9,718.75,0.12,2181.25,0.37
2,Exit Long,SELL,2021-02-15 08:45,4726.70,1,-1787.50,-0.3,-3893.75,-0.9,718.75,0.12,2181.25,0.37
3,Entry Short,SELL,2021-02-15 08:45,4726.70,1,-775.00,-0.13,-4668.75,-0.4,193.75,0.03,2062.50,0.35
3,Exit Short,BUY,2021-02-15 08:55,4732.90,1,-775.00,-0.13,-4668.75,-0.4,193.75,0.03,2062.50,0.35
4,Entry Long,BUY,2021-02-15 08:55,4732.90,1,-62.50,-0.01,-4731.25,-0.03,1631.25,0.28,362.50,0.06
4,Exit Long,INTRADAY_BExit,2021-02-15 09:35,4732.40,1,-62.50,-0.01,-4731.25,-0.03,1631.25,0.28,362.50,0.06
5,Entry Long,BUY,2021-02-16 04:05,4751.55,1,-2725.00,-0.46,-7456.25,-1.4,1750.00,0.29,3112.50,0.52
5,Exit Long,SELL,2021-02-16 04:20,4729.75,1,-2725.00,-0.46,-7456.25,-1.4,1750.00,0.29,3112.50,0.52
6,Entry Short,SELL,2021-02-16 04:20,4729.75,1,4206.25,0.71,-3250.00,2.18,6206.25,1.05,1700.00,0.29
6,Exit Short,BUY,2021-02-16 08:15,4696.10,1,4206.25,0.71,-3250.00,2.18,6206.25,1.05,1700.00,0.29
7,Entry Long,BUY,2021-02-16 08:15,4696.10,1,2462.50,0.42,-787.50,1.25,3193.75,0.54,843.75,0.14
7,Exit Long,INTRADAY_BExit,2021-02-16 09:35,4715.80,1,2462.50,0.42,-787.50,1.25,3193.75,0.54,843.75,0.14
8,Entry Short,SELL,2021-02-17 04:10,4694.90,1,3237.50,0.55,2450.00,1.63,5225.00,0.89,493.75,0.08
8,Exit Short,BUY,2021-02-17 05:30,4669.00,1,3237.50,0.55,2450.00,1.63,5225.00,0.89,493.75,0.08
9,Entry Long,BUY,2021-02-17 05:30,4669.00,1,-1156.25,-0.2,1293.75,-0.57,287.50,0.05,1681.25,0.29
9,Exit Long,SELL,2021-02-17 05:50,4659.75,1,-1156.25,-0.2,1293.75,-0.57,287.50,0.05,1681.25,0.29
10,Entry Short,SELL,2021-02-17 05:50,4659.75,1,6800.00,1.17,8093.75,3.38,9062.50,1.56,218.75,0.04
10,Exit Short,BUY,2021-02-17 07:55,4605.35,1,6800.00,1.17,8093.75,3.38,9062.50,1.56,218.75,0.04
11,Entry Long,BUY,2021-02-17 07:55,4605.35,1,2456.25,0.43,10550.00,1.18,4081.25,0.71,1856.25,0.32
11,Exit Long,INTRADAY_BExit,2021-02-17 09:35,4625.00,1,2456.25,0.43,10550.00,1.18,4081.25,0.71,1856.25,0.32
12,Entry Short,SELL,2021-02-18 04:15,4606.20,1,-1618.75,-0.28,8931.25,-0.77,0,0,1737.50,0.3
12,Exit Short,BUY,2021-02-18 04:20,4619.15,1,-1618.75,-0.28,8931.25,-0.77,0,0,1737.50,0.3
13,Entry Long,BUY,2021-02-18 04:20,4619.15,1,2743.75,0.48,11675.00,1.31,7275.00,1.26,0,0
13,Exit Long,SELL,2021-02-18 05:30,4641.10,1,2743.75,0.48,11675.00,1.31,7275.00,1.26,0,0
14,Entry Short,SELL,2021-02-18 05:30,4641.10,1,1706.25,0.29,13381.25,0.81,5637.50,0.97,0,0
14,Exit Short,BUY,2021-02-18 07:00,4627.45,1,1706.25,0.29,13381.25,0.81,5637.50,0.97,0,0
15,Entry Long,BUY,2021-02-18 07:00,4627.45,1,2918.75,0.5,16300.00,1.37,5068.75,0.88,1250.00,0.22
15,Exit Long,SELL,2021-02-18 09:30,4650.80,1,2918.75,0.5,16300.00,1.37,5068.75,0.88,1250.00,0.22
16,Entry Short,SELL,2021-02-18 09:30,4650.80,1,368.75,0.06,16668.75,0.17,1462.50,0.25,12.50,0
16,Exit Short,INTRADAY_SExit,2021-02-18 09:35,4647.85,1,368.75,0.06,16668.75,0.17,1462.50,0.25,12.50,0
17,Entry Short,SELL,2021-02-19 05:00,4622.00,1,4756.25,0.82,21425.00,2.2,7481.25,1.29,0,0
17,Exit Short,BUY,2021-02-19 06:20,4583.95,1,4756.25,0.82,21425.00,2.2,7481.25,1.29,0,0
18,Entry Long,BUY,2021-02-19 06:20,4583.95,1,1387.50,0.24,22812.50,0.63,5381.25,0.94,743.75,0.13
18,Exit Long,SELL,2021-02-19 07:35,4595.05,1,1387.50,0.24,22812.50,0.63,5381.25,0.94,743.75,0.13
19,Entry Short,SELL,2021-02-19 07:35,4595.05,1,-1962.50,-0.34,20850.00,-0.88,118.75,0.02,2493.75,0.43
19,Exit Short,BUY,2021-02-19 07:50,4610.75,1,-1962.50,-0.34,20850.00,-0.88,118.75,0.02,2493.75,0.43
20,Entry Long,BUY,2021-02-19 07:50,4610.75,1,-2093.75,-0.36,18756.25,-0.95,956.25,0.17,2193.75,0.38
20,Exit Long,SELL,2021-02-19 08:05,4594.00,1,-2093.75,-0.36,18756.25,-0.95,956.25,0.17,2193.75,0.38
21,Entry Short,SELL,2021-02-19 08:05,4594.00,1,-750.00,-0.13,18006.25,-0.34,6793.75,1.18,843.75,0.15
21,Exit Short,BUY,2021-02-19 09:00,4600.00,1,-750.00,-0.13,18006.25,-0.34,6793.75,1.18,843.75,0.15
22,Entry Long,BUY,2021-02-19 09:00,4600.00,1,9750.00,1.7,27756.25,4.47,12250.00,2.13,1681.25,0.29
