Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,5225.00,1,6875.00,1.05,6875.00,3.44,7100.00,1.09,456.25,0.07
1,Exit Long,BUY_TG_HIT,2021-01-01 14:30,5280.00,1,6875.00,1.05,6875.00,3.44,7100.00,1.09,456.25,0.07
2,Entry Short,SELL,2021-01-05 10:45,5303.95,1,-7293.75,-1.1,-418.75,-3.53,2150.00,0.32,7318.75,1.1
2,Exit Short,SELL_SL_HIT,2021-01-05 12:00,5362.30,1,-7293.75,-1.1,-418.75,-3.53,2150.00,0.32,7318.75,1.1
3,Entry Long,BUY,2021-01-05 12:15,5344.20,1,-4031.25,-0.6,-4450.00,-2.02,468.75,0.07,6643.75,0.99
3,Exit Long,INTRADAY_BExit,2021-01-05 15:15,5311.95,1,-4031.25,-0.6,-4450.00,-2.02,468.75,0.07,6643.75,0.99
4,Entry Short,SELL,2021-01-06 14:30,5282.35,1,-3893.75,-0.59,-8343.75,-1.99,1393.75,0.21,4643.75,0.7
4,Exit Short,INTRADAY_SExit,2021-01-06 15:15,5313.50,1,-3893.75,-0.59,-8343.75,-1.99,1393.75,0.21,4643.75,0.7
5,Entry Long,BUY,2021-01-07 09:45,5323.00,1,-3000.00,-0.45,-11343.75,-1.57,1631.25,0.25,6000.00,0.9
5,Exit Long,INTRADAY_BExit,2021-01-07 15:15,5299.00,1,-3000.00,-0.45,-11343.75,-1.57,1631.25,0.25,6000.00,0.9
6,Entry Short,SELL,2021-01-12 11:15,5390.75,1,2337.50,0.35,-9006.25,1.24,4437.50,0.66,593.75,0.09
6,Exit Short,INTRADAY_SExit,2021-01-12 15:15,5372.05,1,2337.50,0.35,-9006.25,1.24,4437.50,0.66,593.75,0.09
7,Entry Long,BUY,2021-01-14 14:45,5340.00,1,-500.00,-0.07,-9506.25,-0.26,1243.75,0.19,1656.25,0.25
7,Exit Long,INTRADAY_BExit,2021-01-14 15:15,5336.00,1,-500.00,-0.07,-9506.25,-0.26,1243.75,0.19,1656.25,0.25
8,Entry Short,SELL,2021-01-15 09:45,5253.50,1,2168.75,0.33,-7337.50,1.14,5068.75,0.77,4043.75,0.62
8,Exit Short,INTRADAY_SExit,2021-01-15 15:15,5236.15,1,2168.75,0.33,-7337.50,1.14,5068.75,0.77,4043.75,0.62
9,Entry Long,BUY,2021-01-20 09:45,5125.50,1,-3437.50,-0.54,-10775.00,-1.78,5812.50,0.91,3931.25,0.61
9,Exit Long,SELL,2021-01-20 13:00,5098.00,1,-3437.50,-0.54,-10775.00,-1.78,5812.50,0.91,3931.25,0.61
10,Entry Short,SELL,2021-01-20 13:00,5098.00,1,-412.50,-0.06,-11187.50,-0.22,1600.00,0.25,1818.75,0.29
