Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 04:15,4775.20,1,3775.00,0.63,3775.00,1.89,4650.00,0.78,1425.00,0.24
1,Exit Short,SELL_TG_HIT,2021-02-15 05:25,4745.00,1,3775.00,0.63,3775.00,1.89,4650.00,0.78,1425.00,0.24
2,Entry Short,SELL,2021-02-15 05:30,4746.30,1,1737.50,0.29,5512.50,0.85,3037.50,0.51,2675.00,0.45
2,Exit Short,INTRADAY_SExit,2021-02-15 09:35,4732.40,1,1737.50,0.29,5512.50,0.85,3037.50,0.51,2675.00,0.45
3,Entry Long,BUY,2021-02-16 04:05,4751.55,1,-2725.00,-0.46,2787.50,-1.33,1750.00,0.29,3112.50,0.52
3,Exit Long,SELL,2021-02-16 04:20,4729.75,1,-2725.00,-0.46,2787.50,-1.33,1750.00,0.29,3112.50,0.52
4,Entry Short,SELL,2021-02-16 04:20,4729.75,1,3406.25,0.58,6193.75,1.68,4181.25,0.71,1700.00,0.29
4,Exit Short,SELL_TG_HIT,2021-02-16 07:25,4702.50,1,3406.25,0.58,6193.75,1.68,4181.25,0.71,1700.00,0.29
5,Entry Short,SELL,2021-02-16 07:30,4701.40,1,-1800.00,-0.31,4393.75,-0.87,2662.50,0.45,2531.25,0.43
5,Exit Short,INTRADAY_SExit,2021-02-16 09:35,4715.80,1,-1800.00,-0.31,4393.75,-0.87,2662.50,0.45,2531.25,0.43
6,Entry Short,SELL,2021-02-17 04:15,4685.35,1,2993.75,0.51,7387.50,1.46,3168.75,0.54,1650.00,0.28
6,Exit Short,SELL_TG_HIT,2021-02-17 04:50,4661.40,1,2993.75,0.51,7387.50,1.46,3168.75,0.54,1650.00,0.28
7,Entry Long,BUY,2021-02-18 04:05,4622.10,1,2731.25,0.47,10118.75,1.32,3850.00,0.67,2056.25,0.36
7,Exit Long,BUY_TG_HIT,2021-02-18 04:25,4643.95,1,2731.25,0.47,10118.75,1.32,3850.00,0.67,2056.25,0.36
8,Entry Long,BUY,2021-02-18 04:30,4655.80,1,-3037.50,-0.52,7081.25,-1.45,2693.75,0.46,3043.75,0.52
8,Exit Long,BUY_SL_HIT,2021-02-18 05:45,4631.50,1,-3037.50,-0.52,7081.25,-1.45,2693.75,0.46,3043.75,0.52
9,Entry Short,SELL,2021-02-18 06:15,4608.00,1,-3106.25,-0.54,3975.00,-1.5,1500.00,0.26,3375.00,0.59
9,Exit Short,SELL_SL_HIT,2021-02-18 07:20,4632.85,1,-3106.25,-0.54,3975.00,-1.5,1500.00,0.26,3375.00,0.59
10,Entry Long,BUY,2021-02-18 07:25,4638.05,1,3331.25,0.57,7306.25,1.63,3743.75,0.65,806.25,0.14
10,Exit Long,BUY_TG_HIT,2021-02-18 09:15,4664.70,1,3331.25,0.57,7306.25,1.63,3743.75,0.65,806.25,0.14
11,Entry Long,BUY,2021-02-18 09:20,4662.00,1,-1768.75,-0.3,5537.50,-0.85,0,0,2862.50,0.49
11,Exit Long,INTRADAY_BExit,2021-02-18 09:35,4647.85,1,-1768.75,-0.3,5537.50,-0.85,0,0,2862.50,0.49
12,Entry Long,BUY,2021-02-19 04:15,4643.00,1,-2625.00,-0.45,2912.50,-1.28,0,0,4368.75,0.75
12,Exit Long,BUY_SL_HIT,2021-02-19 05:00,4622.00,1,-2625.00,-0.45,2912.50,-1.28,0,0,4368.75,0.75
13,Entry Short,SELL,2021-02-19 05:05,4601.00,1,3206.25,0.56,6118.75,1.58,3206.25,0.56,881.25,0.15
13,Exit Short,SELL_TG_HIT,2021-02-19 05:25,4575.35,1,3206.25,0.56,6118.75,1.58,3206.25,0.56,881.25,0.15
14,Entry Short,SELL,2021-02-19 05:30,4578.00,1,-3300.00,-0.58,2818.75,-1.6,1981.25,0.35,3737.50,0.65
14,Exit Short,SELL_SL_HIT,2021-02-19 06:55,4604.40,1,-3300.00,-0.58,2818.75,-1.6,1981.25,0.35,3737.50,0.65
15,Entry Long,BUY,2021-02-19 07:10,4611.00,1,-1993.75,-0.35,825.00,-0.98,2000.00,0.35,2243.75,0.39
15,Exit Long,SELL,2021-02-19 07:35,4595.05,1,-1993.75,-0.35,825.00,-0.98,2000.00,0.35,2243.75,0.39
16,Entry Short,SELL,2021-02-19 07:35,4595.05,1,-1962.50,-0.34,-1137.50,-0.98,118.75,0.02,2493.75,0.43
16,Exit Short,BUY,2021-02-19 07:50,4610.75,1,-1962.50,-0.34,-1137.50,-0.98,118.75,0.02,2493.75,0.43
17,Entry Long,BUY,2021-02-19 07:50,4610.75,1,-2718.75,-0.47,-3856.25,-1.37,956.25,0.17,2718.75,0.47
17,Exit Long,SELL,2021-02-19 08:10,4589.00,1,-2718.75,-0.47,-3856.25,-1.37,956.25,0.17,2718.75,0.47
18,Entry Short,SELL,2021-02-19 08:10,4589.00,1,3750.00,0.65,-106.25,1.91,3750.00,0.65,631.25,0.11
