Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 09:45,5210.00,100,3375.00,0.65,3375.00,3.38,4485.00,0.86,390.00,0.07
1,Exit Long,INTRADAY_BExit,2021-01-01 15:15,5243.75,100,3375.00,0.65,3375.00,3.38,4485.00,0.86,390.00,0.07
2,Entry Short,SELL,2021-01-05 09:45,5268.00,100,-4460.00,-0.85,-1085.00,-4.31,1800.00,0.34,4690.00,0.89
2,Exit Short,BUY,2021-01-05 11:45,5312.60,100,-4460.00,-0.85,-1085.00,-4.31,1800.00,0.34,4690.00,0.89
3,Entry Long,BUY,2021-01-05 11:45,5312.60,100,-2660.00,-0.5,-3745.00,-2.69,2440.00,0.46,3940.00,0.74
3,Exit Long,SELL,2021-01-05 14:45,5286.00,100,-2660.00,-0.5,-3745.00,-2.69,2440.00,0.46,3940.00,0.74
4,Entry Short,SELL,2021-01-05 14:45,5286.00,100,-585.00,-0.11,-4330.00,-0.61,200.00,0.04,770.00,0.15
4,Exit Short,INTRADAY_SExit,2021-01-05 15:15,5291.85,100,-585.00,-0.11,-4330.00,-0.61,200.00,0.04,770.00,0.15
5,Entry Long,BUY,2021-01-06 15:00,5275.00,100,1710.00,0.32,-2620.00,1.79,2400.00,0.45,380.00,0.07
5,Exit Long,INTRADAY_BExit,2021-01-06 15:15,5292.10,100,1710.00,0.32,-2620.00,1.79,2400.00,0.45,380.00,0.07
6,Entry Short,SELL,2021-01-07 13:00,5256.00,100,-4300.00,-0.82,-6920.00,-4.42,100.00,0.02,4400.00,0.84
6,Exit Short,BUY,2021-01-07 14:30,5299.00,100,-4300.00,-0.82,-6920.00,-4.42,100.00,0.02,4400.00,0.84
7,Entry Long,BUY,2021-01-07 14:30,5299.00,100,-2645.00,-0.5,-9565.00,-2.84,600.00,0.11,4175.00,0.79
7,Exit Long,INTRADAY_BExit,2021-01-07 15:15,5272.55,100,-2645.00,-0.5,-9565.00,-2.84,600.00,0.11,4175.00,0.79
8,Entry Long,BUY,2021-01-08 09:45,5346.00,100,-1215.00,-0.23,-10780.00,-1.34,1400.00,0.26,3515.00,0.66
8,Exit Long,INTRADAY_BExit,2021-01-08 15:15,5333.85,100,-1215.00,-0.23,-10780.00,-1.34,1400.00,0.26,3515.00,0.66
9,Entry Short,SELL,2021-01-12 10:00,5384.00,100,1595.00,0.3,-9185.00,1.79,4180.00,0.78,570.00,0.11
9,Exit Short,BUY,2021-01-12 14:45,5368.05,100,1595.00,0.3,-9185.00,1.79,4180.00,0.78,570.00,0.11
10,Entry Long,BUY,2021-01-12 14:45,5368.05,100,-905.00,-0.17,-10090.00,-1,195.00,0.04,1300.00,0.24
10,Exit Long,INTRADAY_BExit,2021-01-12 15:15,5359.00,100,-905.00,-0.17,-10090.00,-1,195.00,0.04,1300.00,0.24
11,Entry Short,SELL,2021-01-13 09:45,5321.90,100,6315.00,1.19,-3775.00,7.02,6420.00,1.21,1010.00,0.19
11,Exit Short,SELL_TG_HIT,2021-01-13 14:00,5258.75,100,6315.00,1.19,-3775.00,7.02,6420.00,1.21,1010.00,0.19
12,Entry Long,BUY,2021-01-14 09:45,5285.00,100,2350.00,0.44,-1425.00,2.44,4300.00,0.81,2000.00,0.38
12,Exit Long,INTRADAY_BExit,2021-01-14 15:15,5308.50,100,2350.00,0.44,-1425.00,2.44,4300.00,0.81,2000.00,0.38
13,Entry Short,SELL,2021-01-15 09:45,5231.25,100,1815.00,0.35,390.00,1.84,3565.00,0.68,3375.00,0.65
13,Exit Short,INTRADAY_SExit,2021-01-15 15:15,5213.10,100,1815.00,0.35,390.00,1.84,3565.00,0.68,3375.00,0.65
14,Entry Long,BUY,2021-01-18 12:15,5108.05,100,-3415.00,-0.67,-3025.00,-3.4,2185.00,0.43,4205.00,0.82
14,Exit Long,SELL,2021-01-18 15:00,5073.90,100,-3415.00,-0.67,-3025.00,-3.4,2185.00,0.43,4205.00,0.82
15,Entry Short,SELL,2021-01-18 15:00,5073.90,100,2690.00,0.53,-335.00,2.77,2690.00,0.53,510.00,0.1
15,Exit Short,INTRADAY_SExit,2021-01-18 15:15,5047.00,100,2690.00,0.53,-335.00,2.77,2690.00,0.53,510.00,0.1
16,Entry Long,BUY,2021-01-20 09:45,5115.00,100,-3550.00,-0.69,-3885.00,-3.56,4475.00,0.87,3845.00,0.75
