Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-11 04:15,5384.00,100,2900.00,0.54,2900.00,2.9,3980.00,0.74,2200.00,0.41
1,Exit Long,INTRADAY_BExit,2021-01-11 09:35,5413.00,100,2900.00,0.54,2900.00,2.9,3980.00,0.74,2200.00,0.41
2,Entry Long,BUY,2021-01-12 04:05,5402.40,100,-1200.00,-0.22,1700.00,-1.17,70.00,0.01,1740.00,0.32
2,Exit Long,SELL,2021-01-12 04:10,5390.40,100,-1200.00,-0.22,1700.00,-1.17,70.00,0.01,1740.00,0.32
3,Entry Short,SELL,2021-01-12 04:10,5390.40,100,2350.00,0.44,4050.00,2.31,4820.00,0.89,460.00,0.09
3,Exit Short,INTRADAY_SExit,2021-01-12 09:35,5366.90,100,2350.00,0.44,4050.00,2.31,4820.00,0.89,460.00,0.09
4,Entry Short,SELL,2021-01-13 04:30,5314.30,100,5555.00,1.05,9605.00,5.34,5660.00,1.07,1770.00,0.33
4,Exit Short,SELL_TG_HIT,2021-01-13 08:30,5258.75,100,5555.00,1.05,9605.00,5.34,5660.00,1.07,1770.00,0.33
5,Entry Short,SELL,2021-01-13 08:35,5242.85,100,-5065.00,-0.97,4540.00,-4.62,0,0,5215.00,0.99
5,Exit Short,INTRADAY_SExit,2021-01-13 09:35,5293.50,100,-5065.00,-0.97,4540.00,-4.62,0,0,5215.00,0.99
6,Entry Short,SELL,2021-01-14 04:10,5285.60,100,-520.00,-0.1,4020.00,-0.5,2060.00,0.39,1885.00,0.36
6,Exit Short,BUY,2021-01-14 06:50,5290.80,100,-520.00,-0.1,4020.00,-0.5,2060.00,0.39,1885.00,0.36
7,Entry Long,BUY,2021-01-14 06:50,5290.80,100,-410.00,-0.08,3610.00,-0.39,230.00,0.04,530.00,0.1
7,Exit Long,SELL,2021-01-14 06:55,5286.70,100,-410.00,-0.08,3610.00,-0.39,230.00,0.04,530.00,0.1
8,Entry Short,SELL,2021-01-14 06:55,5286.70,100,-1360.00,-0.26,2250.00,-1.31,470.00,0.09,1530.00,0.29
8,Exit Short,BUY,2021-01-14 07:20,5300.30,100,-1360.00,-0.26,2250.00,-1.31,470.00,0.09,1530.00,0.29
9,Entry Long,BUY,2021-01-14 07:20,5300.30,100,-1365.00,-0.26,885.00,-1.33,355.00,0.07,2130.00,0.4
