Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-15 11:50,2777.55,1,4777.50,0.49,4777.50,2.39,5792.50,0.6,3797.50,0.39
1,Exit Short,SELL_TG_HIT,2021-02-15 13:40,2763.90,1,4777.50,0.49,4777.50,2.39,5792.50,0.6,3797.50,0.39
2,Entry Long,BUY,2021-02-15 14:05,2770.25,1,2712.50,0.28,7490.00,1.32,4585.00,0.47,3587.50,0.37
2,Exit Long,INTRADAY_BExit,2021-02-15 15:05,2778.00,1,2712.50,0.28,7490.00,1.32,4585.00,0.47,3587.50,0.37
3,Entry Short,SELL,2021-02-16 09:35,2763.00,1,8750.00,0.9,16240.00,4.22,8750.00,0.9,2730.00,0.28
3,Exit Short,SELL_TG_HIT,2021-02-16 11:55,2738.00,1,8750.00,0.9,16240.00,4.22,8750.00,0.9,2730.00,0.28
4,Entry Long,BUY,2021-02-16 14:10,2717.60,1,8207.50,0.86,24447.50,3.8,8207.50,0.86,1260.00,0.13
4,Exit Long,BUY_TG_HIT,2021-02-16 14:20,2741.05,1,8207.50,0.86,24447.50,3.8,8207.50,0.86,1260.00,0.13
5,Entry Short,SELL,2021-02-17 09:35,2745.00,1,7315.00,0.76,31762.50,3.26,9485.00,0.99,3500.00,0.36
5,Exit Short,SELL_TG_HIT,2021-02-17 09:45,2724.10,1,7315.00,0.76,31762.50,3.26,9485.00,0.99,3500.00,0.36
6,Entry Long,BUY,2021-02-17 14:05,2711.95,1,5792.50,0.61,37555.00,2.5,5967.50,0.63,0,0
6,Exit Long,BUY_TG_HIT,2021-02-17 14:25,2728.50,1,5792.50,0.61,37555.00,2.5,5967.50,0.63,0,0
7,Entry Short,SELL,2021-02-17 15:00,2710.75,1,175.00,0.02,37730.00,0.07,175.00,0.02,1837.50,0.19
7,Exit Short,INTRADAY_SExit,2021-02-17 15:05,2710.25,1,175.00,0.02,37730.00,0.07,175.00,0.02,1837.50,0.19
8,Entry Long,BUY,2021-02-18 13:00,2655.00,1,12215.00,1.31,49945.00,5.14,13615.00,1.47,245.00,0.03
8,Exit Long,BUY_TG_HIT,2021-02-18 13:15,2689.90,1,12215.00,1.31,49945.00,5.14,13615.00,1.47,245.00,0.03
9,Entry Short,SELL,2021-02-18 14:00,2668.70,1,-5897.50,-0.63,44047.50,-2.36,595.00,0.06,6405.00,0.69
9,Exit Short,SELL_SL_HIT,2021-02-18 14:30,2685.55,1,-5897.50,-0.63,44047.50,-2.36,595.00,0.06,6405.00,0.69
10,Entry Long,BUY,2021-02-18 14:35,2690.30,1,-6405.00,-0.68,37642.50,-2.62,0,0,7367.50,0.78
10,Exit Long,INTRADAY_BExit,2021-02-18 15:05,2672.00,1,-6405.00,-0.68,37642.50,-2.62,0,0,7367.50,0.78
11,Entry Short,SELL,2021-02-19 09:35,2620.45,1,2992.50,0.33,40635.00,1.26,6632.50,0.72,1225.00,0.13
11,Exit Short,BUY,2021-02-19 11:35,2611.90,1,2992.50,0.33,40635.00,1.26,6632.50,0.72,1225.00,0.13
12,Entry Long,BUY,2021-02-19 11:35,2611.90,1,-3062.50,-0.34,37572.50,-1.27,0,0,3727.50,0.41
12,Exit Long,SELL,2021-02-19 11:55,2603.15,1,-3062.50,-0.34,37572.50,-1.27,0,0,3727.50,0.41
13,Entry Short,SELL,2021-02-19 11:55,2603.15,1,1435.00,0.16,39007.50,0.6,5915.00,0.65,2205.00,0.24
13,Exit Short,BUY,2021-02-19 14:00,2599.05,1,1435.00,0.16,39007.50,0.6,5915.00,0.65,2205.00,0.24
14,Entry Long,BUY,2021-02-19 14:00,2599.05,1,-6300.00,-0.69,32707.50,-2.64,420.00,0.05,6650.00,0.73
14,Exit Long,SELL,2021-02-19 14:15,2581.05,1,-6300.00,-0.69,32707.50,-2.64,420.00,0.05,6650.00,0.73
15,Entry Short,SELL,2021-02-19 14:15,2581.05,1,-4165.00,-0.46,28542.50,-1.79,2800.00,0.31,4165.00,0.46
15,Exit Short,INTRADAY_SExit,2021-02-19 15:05,2592.95,1,-4165.00,-0.46,28542.50,-1.79,2800.00,0.31,4165.00,0.46
16,Entry Short,SELL,2021-02-22 09:35,2557.40,1,4882.50,0.55,33425.00,2.14,5757.50,0.64,2992.50,0.33
16,Exit Short,SELL_TG_HIT,2021-02-22 11:10,2543.45,1,4882.50,0.55,33425.00,2.14,5757.50,0.64,2992.50,0.33
17,Entry Long,BUY,2021-02-22 12:40,2522.00,1,-2485.00,-0.28,30940.00,-1.06,2800.00,0.32,4182.50,0.47
17,Exit Long,SELL,2021-02-22 13:55,2514.90,1,-2485.00,-0.28,30940.00,-1.06,2800.00,0.32,4182.50,0.47
18,Entry Short,SELL,2021-02-22 13:55,2514.90,1,2537.50,0.29,33477.50,1.1,4672.50,0.53,4060.00,0.46
18,Exit Short,INTRADAY_SExit,2021-02-22 15:05,2507.65,1,2537.50,0.29,33477.50,1.1,4672.50,0.53,4060.00,0.46
19,Entry Long,BUY,2021-02-23 09:35,2494.35,1,6527.50,0.75,40005.00,2.8,6860.00,0.79,5022.50,0.58
19,Exit Long,BUY_TG_HIT,2021-02-23 11:05,2513.00,1,6527.50,0.75,40005.00,2.8,6860.00,0.79,5022.50,0.58
20,Entry Short,SELL,2021-02-23 11:35,2502.20,1,-6825.00,-0.78,33180.00,-2.84,1382.50,0.16,7175.00,0.82
20,Exit Short,SELL_SL_HIT,2021-02-23 12:50,2521.70,1,-6825.00,-0.78,33180.00,-2.84,1382.50,0.16,7175.00,0.82
21,Entry Long,BUY,2021-02-23 12:55,2525.20,1,5197.50,0.59,38377.50,2.23,7630.00,0.86,630.00,0.07
21,Exit Long,BUY_TG_HIT,2021-02-23 13:10,2540.05,1,5197.50,0.59,38377.50,2.23,7630.00,0.86,630.00,0.07
22,Entry Short,SELL,2021-02-23 14:45,2529.00,1,7350.00,0.83,45727.50,3.08,7665.00,0.87,927.50,0.1
22,Exit Short,SELL_TG_HIT,2021-02-23 15:00,2508.00,1,7350.00,0.83,45727.50,3.08,7665.00,0.87,927.50,0.1
23,Entry Long,BUY,2021-02-24 09:35,2563.50,1,-7875.00,-0.88,37852.50,-3.2,647.50,0.07,7875.00,0.88
23,Exit Long,BUY_SL_HIT,2021-02-24 10:00,2541.00,1,-7875.00,-0.88,37852.50,-3.2,647.50,0.07,7875.00,0.88
24,Entry Short,SELL,2021-02-24 10:10,2540.05,1,5967.50,0.67,43820.00,2.51,5967.50,0.67,822.50,0.09
24,Exit Short,SELL_TG_HIT,2021-02-24 10:35,2523.00,1,5967.50,0.67,43820.00,2.51,5967.50,0.67,822.50,0.09
25,Entry Long,BUY,2021-02-25 09:35,2551.00,1,-6562.50,-0.74,37257.50,-2.69,0,0,6842.50,0.77
25,Exit Long,BUY_SL_HIT,2021-02-25 10:25,2532.25,1,-6562.50,-0.74,37257.50,-2.69,0,0,6842.50,0.77
26,Entry Short,SELL,2021-02-25 10:30,2535.20,1,-4970.00,-0.56,32287.50,-2.09,2135.00,0.24,5197.50,0.59
26,Exit Short,SELL_SL_HIT,2021-02-25 11:25,2549.40,1,-4970.00,-0.56,32287.50,-2.09,2135.00,0.24,5197.50,0.59
27,Entry Long,BUY,2021-02-25 11:30,2555.15,1,-3080.00,-0.34,29207.50,-1.33,3377.50,0.38,3080.00,0.34
27,Exit Long,SELL,2021-02-25 11:45,2546.35,1,-3080.00,-0.34,29207.50,-1.33,3377.50,0.38,3080.00,0.34
