Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-02-01 04:15,2732.25,100,-2175.00,-0.8,-2175.00,-2.17,725.00,0.27,2545.00,0.93
1,Exit Short,BUY,2021-02-01 04:30,2754.00,100,-2175.00,-0.8,-2175.00,-2.17,725.00,0.27,2545.00,0.93
2,Entry Long,BUY,2021-02-01 04:30,2754.00,100,-2005.00,-0.73,-4180.00,-2.05,870.00,0.32,2295.00,0.83
2,Exit Long,SELL,2021-02-01 04:50,2733.95,100,-2005.00,-0.73,-4180.00,-2.05,870.00,0.32,2295.00,0.83
3,Entry Short,SELL,2021-02-01 04:50,2733.95,100,2095.00,0.77,-2085.00,2.19,2395.00,0.88,290.00,0.11
3,Exit Short,SELL_TG_HIT,2021-02-01 05:05,2713.00,100,2095.00,0.77,-2085.00,2.19,2395.00,0.88,290.00,0.11
4,Entry Long,BUY,2021-02-01 05:55,2740.50,100,2550.00,0.93,465.00,2.6,2620.00,0.96,415.00,0.15
4,Exit Long,BUY_TG_HIT,2021-02-01 06:20,2766.00,100,2550.00,0.93,465.00,2.6,2620.00,0.96,415.00,0.15
5,Entry Short,SELL,2021-02-01 07:10,2766.80,100,-3970.00,-1.43,-3505.00,-3.95,655.00,0.24,3970.00,1.43
5,Exit Short,BUY,2021-02-01 07:25,2806.50,100,-3970.00,-1.43,-3505.00,-3.95,655.00,0.24,3970.00,1.43
6,Entry Long,BUY,2021-02-01 07:25,2806.50,100,2245.00,0.8,-1260.00,2.33,2750.00,0.98,1145.00,0.41
6,Exit Long,BUY_TG_HIT,2021-02-01 07:50,2828.95,100,2245.00,0.8,-1260.00,2.33,2750.00,0.98,1145.00,0.41
7,Entry Short,SELL,2021-02-01 08:50,2838.00,100,665.00,0.23,-595.00,0.67,1865.00,0.66,1200.00,0.42
7,Exit Short,INTRADAY_SExit,2021-02-01 09:35,2831.35,100,665.00,0.23,-595.00,0.67,1865.00,0.66,1200.00,0.42
8,Entry Long,BUY,2021-02-02 04:05,2862.75,100,3125.00,1.09,2530.00,3.14,3725.00,1.3,1005.00,0.35
8,Exit Long,BUY_TG_HIT,2021-02-02 04:40,2894.00,100,3125.00,1.09,2530.00,3.14,3725.00,1.3,1005.00,0.35
9,Entry Short,SELL,2021-02-02 05:00,2863.05,100,2105.00,0.74,4635.00,2.05,2305.00,0.81,625.00,0.22
9,Exit Short,SELL_TG_HIT,2021-02-02 05:15,2842.00,100,2105.00,0.74,4635.00,2.05,2305.00,0.81,625.00,0.22
10,Entry Long,BUY,2021-02-02 05:55,2872.00,100,1805.00,0.63,6440.00,1.73,2320.00,0.81,1510.00,0.53
10,Exit Long,BUY_TG_HIT,2021-02-02 06:50,2890.05,100,1805.00,0.63,6440.00,1.73,2320.00,0.81,1510.00,0.53
11,Entry Short,SELL,2021-02-02 07:05,2874.00,100,-1200.00,-0.42,5240.00,-1.13,0,0,1515.00,0.53
11,Exit Short,BUY,2021-02-02 08:10,2886.00,100,-1200.00,-0.42,5240.00,-1.13,0,0,1515.00,0.53
12,Entry Long,BUY,2021-02-02 08:10,2886.00,100,210.00,0.07,5450.00,0.2,2000.00,0.69,500.00,0.17
