Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-12 12:20,2891.00,100,1860.00,0.64,1860.00,1.86,2400.00,0.83,300.00,0.1
1,Exit Short,SELL_TG_HIT,2021-01-12 13:00,2872.40,100,1860.00,0.64,1860.00,1.86,2400.00,0.83,300.00,0.1
2,Entry Long,BUY,2021-01-12 13:30,2908.00,100,-1000.00,-0.34,860.00,-0.98,1200.00,0.41,2245.00,0.77
2,Exit Long,INTRADAY_BExit,2021-01-12 15:05,2898.00,100,-1000.00,-0.34,860.00,-0.98,1200.00,0.41,2245.00,0.77
3,Entry Short,SELL,2021-01-13 09:35,2885.50,100,-1220.00,-0.42,-360.00,-1.21,150.00,0.05,1950.00,0.68
3,Exit Short,BUY,2021-01-13 09:45,2897.70,100,-1220.00,-0.42,-360.00,-1.21,150.00,0.05,1950.00,0.68
4,Entry Long,BUY,2021-01-13 09:45,2897.70,100,-3025.00,-1.04,-3385.00,-3.04,1270.00,0.44,3765.00,1.3
4,Exit Long,BUY_SL_HIT,2021-01-13 10:20,2867.45,100,-3025.00,-1.04,-3385.00,-3.04,1270.00,0.44,3765.00,1.3
5,Entry Short,SELL,2021-01-13 11:30,2866.55,100,2850.00,0.99,-535.00,2.95,2990.00,1.04,1540.00,0.54
5,Exit Short,SELL_TG_HIT,2021-01-13 13:35,2838.05,100,2850.00,0.99,-535.00,2.95,2990.00,1.04,1540.00,0.54
6,Entry Long,BUY,2021-01-13 14:20,2867.95,100,2370.00,0.83,1835.00,2.38,2880.00,1,220.00,0.08
6,Exit Long,BUY_TG_HIT,2021-01-13 14:35,2891.65,100,2370.00,0.83,1835.00,2.38,2880.00,1,220.00,0.08
7,Entry Short,SELL,2021-01-14 09:45,2853.20,100,-2520.00,-0.88,-685.00,-2.47,1220.00,0.43,2660.00,0.93
7,Exit Short,SELL_SL_HIT,2021-01-14 13:10,2878.40,100,-2520.00,-0.88,-685.00,-2.47,1220.00,0.43,2660.00,0.93
8,Entry Long,BUY,2021-01-14 13:15,2889.65,100,-1920.00,-0.66,-2605.00,-1.93,0,0,2365.00,0.82
8,Exit Long,BUY_SL_HIT,2021-01-14 14:10,2870.45,100,-1920.00,-0.66,-2605.00,-1.93,0,0,2365.00,0.82
9,Entry Short,SELL,2021-01-15 09:55,2874.30,100,2985.00,1.04,380.00,3.06,3225.00,1.12,1570.00,0.55
9,Exit Short,SELL_TG_HIT,2021-01-15 14:20,2844.45,100,2985.00,1.04,380.00,3.06,3225.00,1.12,1570.00,0.55
10,Entry Long,BUY,2021-01-18 11:25,2907.45,100,-1625.00,-0.56,-1245.00,-1.62,145.00,0.05,2405.00,0.83
10,Exit Long,BUY_SL_HIT,2021-01-18 11:50,2891.20,100,-1625.00,-0.56,-1245.00,-1.62,145.00,0.05,2405.00,0.83
11,Entry Short,SELL,2021-01-18 13:35,2864.05,100,-2395.00,-0.84,-3640.00,-2.43,25.00,0.01,2395.00,0.84
11,Exit Short,SELL_SL_HIT,2021-01-18 13:50,2888.00,100,-2395.00,-0.84,-3640.00,-2.43,25.00,0.01,2395.00,0.84
12,Entry Long,BUY,2021-01-18 13:55,2881.00,100,5.00,0,-3635.00,0.01,690.00,0.24,1900.00,0.66
12,Exit Long,INTRADAY_BExit,2021-01-18 15:05,2881.05,100,5.00,0,-3635.00,0.01,690.00,0.24,1900.00,0.66
13,Entry Short,SELL,2021-01-19 14:10,2879.00,100,-375.00,-0.13,-4010.00,-0.39,380.00,0.13,1725.00,0.6
13,Exit Short,INTRADAY_SExit,2021-01-19 15:05,2882.75,100,-375.00,-0.13,-4010.00,-0.39,380.00,0.13,1725.00,0.6
14,Entry Long,BUY,2021-01-20 09:35,2899.85,100,3505.00,1.21,-505.00,3.65,3515.00,1.21,350.00,0.12
14,Exit Long,BUY_TG_HIT,2021-01-20 09:55,2934.90,100,3505.00,1.21,-505.00,3.65,3515.00,1.21,350.00,0.12
15,Entry Short,SELL,2021-01-20 11:35,2910.00,100,1705.00,0.59,1200.00,1.71,2400.00,0.82,200.00,0.07
15,Exit Short,SELL_TG_HIT,2021-01-20 12:50,2892.95,100,1705.00,0.59,1200.00,1.71,2400.00,0.82,200.00,0.07
16,Entry Long,BUY,2021-01-20 13:35,2918.85,100,-1890.00,-0.65,-690.00,-1.87,55.00,0.02,2070.00,0.71
