Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 05:00,49100,1,-157500.00,-3.21,-157500.00,-52.5,17000.00,0.35,190000.00,3.87
1,Exit Long,SELL,2021-02-01 08:00,47525,1,-157500.00,-3.21,-157500.00,-52.5,17000.00,0.35,190000.00,3.87
2,Entry Short,SELL,2021-02-01 08:00,47525,1,-32300.00,-0.68,-189800.00,-22.67,4800.00,0.1,36500.00,0.77
2,Exit Short,SELL_SL_HIT,2021-02-01 08:45,47848,1,-32300.00,-0.68,-189800.00,-22.67,4800.00,0.1,36500.00,0.77
3,Entry Short,SELL,2021-02-02 07:15,48268,1,16800.00,0.35,-173000.00,15.25,25700.00,0.53,2800.00,0.06
3,Exit Short,SELL_TG_HIT,2021-02-02 12:30,48100,1,16800.00,0.35,-173000.00,15.25,25700.00,0.53,2800.00,0.06
4,Entry Long,BUY,2021-02-03 12:30,47940,1,-15800.00,-0.33,-188800.00,-12.44,7800.00,0.16,21500.00,0.45
4,Exit Long,SELL,2021-02-03 15:30,47782,1,-15800.00,-0.33,-188800.00,-12.44,7800.00,0.16,21500.00,0.45
5,Entry Short,SELL,2021-02-03 15:30,47782,1,29600.00,0.62,-159200.00,26.62,29600.00,0.62,10700.00,0.22
5,Exit Short,INTRADAY_SExit,2021-02-04 03:30,47486,1,29600.00,0.62,-159200.00,26.62,29600.00,0.62,10700.00,0.22
6,Entry Short,SELL,2021-02-04 05:45,47430,1,-15000.00,-0.32,-174200.00,-10.65,8000.00,0.17,24300.00,0.51
6,Exit Short,SELL_SL_HIT,2021-02-04 08:00,47580,1,-15000.00,-0.32,-174200.00,-10.65,8000.00,0.17,24300.00,0.51
7,Entry Short,SELL,2021-02-04 09:30,47365,1,-5900.00,-0.12,-180100.00,-4.69,8300.00,0.18,7300.00,0.15
7,Exit Short,BUY,2021-02-04 13:15,47424,1,-5900.00,-0.12,-180100.00,-4.69,8300.00,0.18,7300.00,0.15
8,Entry Long,BUY,2021-02-04 13:15,47424,1,-23500.00,-0.5,-203600.00,-19.6,1500.00,0.03,26800.00,0.57
8,Exit Long,BUY_SL_HIT,2021-02-04 14:00,47189,1,-23500.00,-0.5,-203600.00,-19.6,1500.00,0.03,26800.00,0.57
9,Entry Short,SELL,2021-02-04 14:45,46684,1,-16600.00,-0.36,-220200.00,-17.22,7300.00,0.16,20300.00,0.43
9,Exit Short,INTRADAY_SExit,2021-02-05 03:30,46850,1,-16600.00,-0.36,-220200.00,-17.22,7300.00,0.16,20300.00,0.43
10,Entry Long,BUY,2021-02-05 05:45,46910,1,27500.00,0.59,-192700.00,34.46,34000.00,0.72,5800.00,0.12
10,Exit Long,BUY_TG_HIT,2021-02-05 08:45,47185,1,27500.00,0.59,-192700.00,34.46,34000.00,0.72,5800.00,0.12
11,Entry Long,BUY,2021-02-08 10:15,47331,1,22400.00,0.47,-170300.00,20.88,24900.00,0.53,2400.00,0.05
11,Exit Long,BUY_TG_HIT,2021-02-08 11:45,47555,1,22400.00,0.47,-170300.00,20.88,24900.00,0.53,2400.00,0.05
12,Entry Long,BUY,2021-02-09 10:15,48174,1,-11000.00,-0.23,-181300.00,-8.48,2900.00,0.06,14100.00,0.29
12,Exit Long,SELL,2021-02-09 13:15,48064,1,-11000.00,-0.23,-181300.00,-8.48,2900.00,0.06,14100.00,0.29
13,Entry Short,SELL,2021-02-09 13:15,48064,1,18400.00,0.38,-162900.00,15.5,28500.00,0.59,14600.00,0.3
13,Exit Short,SELL_TG_HIT,2021-02-09 14:45,47880,1,18400.00,0.38,-162900.00,15.5,28500.00,0.59,14600.00,0.3
14,Entry Short,SELL,2021-02-10 15:30,47981,1,14400.00,0.3,-148500.00,10.5,15900.00,0.33,5900.00,0.12
14,Exit Short,INTRADAY_SExit,2021-02-11 03:30,47837,1,14400.00,0.3,-148500.00,10.5,15900.00,0.33,5900.00,0.12
15,Entry Long,BUY,2021-02-11 09:30,48027,1,-11400.00,-0.24,-159900.00,-7.52,7300.00,0.15,16700.00,0.35
15,Exit Long,SELL,2021-02-11 14:45,47913,1,-11400.00,-0.24,-159900.00,-7.52,7300.00,0.15,16700.00,0.35
16,Entry Short,SELL,2021-02-11 14:45,47913,1,30300.00,0.63,-129600.00,21.63,33500.00,0.7,5100.00,0.11
16,Exit Short,SELL_TG_HIT,2021-02-11 17:00,47610,1,30300.00,0.63,-129600.00,21.63,33500.00,0.7,5100.00,0.11
17,Entry Long,BUY,2021-02-12 16:15,47488,1,-5200.00,-0.11,-134800.00,-3.05,6200.00,0.13,19800.00,0.42
17,Exit Long,INTRADAY_BExit,2021-02-15 03:30,47436,1,-5200.00,-0.11,-134800.00,-3.05,6200.00,0.13,19800.00,0.42
