Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 04:30,49102,1,230.00,0.05,230.00,0.08,670.00,0.14,210.00,0.04
1,Exit Long,SELL,2021-02-01 05:00,49125,1,230.00,0.05,230.00,0.08,670.00,0.14,210.00,0.04
2,Entry Short,SELL,2021-02-01 05:00,49125,1,7650.00,1.56,7880.00,2.55,9780.00,1.99,1540.00,0.31
2,Exit Short,SELL_TG_HIT,2021-02-01 07:30,48360,1,7650.00,1.56,7880.00,2.55,9780.00,1.99,1540.00,0.31
3,Entry Long,BUY,2021-02-01 14:30,48487,1,-750.00,-0.15,7130.00,-0.24,1030.00,0.21,2970.00,0.61
3,Exit Long,INTRADAY_BExit,2021-02-01 18:00,48412,1,-750.00,-0.15,7130.00,-0.24,1030.00,0.21,2970.00,0.61
4,Entry Short,SELL,2021-02-02 07:00,48345,1,4790.00,0.99,11920.00,1.56,4860.00,1.01,0,0
4,Exit Short,SELL_TG_HIT,2021-02-02 13:30,47866,1,4790.00,0.99,11920.00,1.56,4860.00,1.01,0,0
5,Entry Long,BUY,2021-02-03 13:30,47920,1,-1500.00,-0.31,10420.00,-0.48,150.00,0.03,2680.00,0.56
5,Exit Long,INTRADAY_BExit,2021-02-03 18:00,47770,1,-1500.00,-0.31,10420.00,-0.48,150.00,0.03,2680.00,0.56
6,Entry Short,SELL,2021-02-04 04:30,47502,1,1520.00,0.32,11940.00,0.49,3020.00,0.64,930.00,0.2
6,Exit Short,BUY,2021-02-04 13:00,47350,1,1520.00,0.32,11940.00,0.49,3020.00,0.64,930.00,0.2
7,Entry Long,BUY,2021-02-04 13:00,47350,1,-5000.00,-1.06,6940.00,-1.6,380.00,0.08,5680.00,1.2
7,Exit Long,SELL,2021-02-04 14:30,46850,1,-5000.00,-1.06,6940.00,-1.6,380.00,0.08,5680.00,1.2
8,Entry Short,SELL,2021-02-04 14:30,46850,1,1710.00,0.36,8650.00,0.56,2370.00,0.51,0,0
8,Exit Short,INTRADAY_SExit,2021-02-04 18:00,46679,1,1710.00,0.36,8650.00,0.56,2370.00,0.51,0,0
9,Entry Long,BUY,2021-02-05 04:30,46805,1,3560.00,0.76,12210.00,1.15,3820.00,0.82,410.00,0.09
9,Exit Long,BUY_TG_HIT,2021-02-05 08:30,47161,1,3560.00,0.76,12210.00,1.15,3820.00,0.82,410.00,0.09
10,Entry Long,BUY,2021-02-05 17:00,47160,1,60.00,0.01,12270.00,0.02,620.00,0.13,180.00,0.04
10,Exit Long,INTRADAY_BExit,2021-02-05 18:00,47166,1,60.00,0.01,12270.00,0.02,620.00,0.13,180.00,0.04
11,Entry Short,SELL,2021-02-08 09:00,47125,1,-1760.00,-0.37,10510.00,-0.56,50.00,0.01,1850.00,0.39
11,Exit Short,BUY,2021-02-08 11:00,47301,1,-1760.00,-0.37,10510.00,-0.56,50.00,0.01,1850.00,0.39
