Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 06:00,50225,1,-200.00,-0.04,-200.00,-0.07,30.00,0.01,230.00,0.05
1,Exit Long,SELL,2021-01-01 07:00,50205,1,-200.00,-0.04,-200.00,-0.07,30.00,0.01,230.00,0.05
2,Entry Short,SELL,2021-01-01 07:00,50205,1,-150.00,-0.03,-350.00,-0.05,20.00,0,220.00,0.04
2,Exit Short,BUY,2021-01-01 08:30,50220,1,-150.00,-0.03,-350.00,-0.05,20.00,0,220.00,0.04
3,Entry Long,BUY,2021-01-01 08:30,50220,1,6000.00,1.19,5650.00,2,6670.00,1.33,50.00,0.01
3,Exit Long,INTRADAY_BExit,2021-01-04 03:45,50820,1,6000.00,1.19,5650.00,2,6670.00,1.33,50.00,0.01
4,Entry Long,BUY,2021-01-04 04:00,50805,1,4950.00,0.97,10600.00,1.62,5230.00,1.03,450.00,0.09
4,Exit Long,BUY_TG_HIT,2021-01-04 13:45,51300,1,4950.00,0.97,10600.00,1.62,5230.00,1.03,450.00,0.09
5,Entry Long,BUY,2021-01-04 14:00,51263,1,470.00,0.09,11070.00,0.15,1250.00,0.24,1740.00,0.34
5,Exit Long,INTRADAY_BExit,2021-01-04 17:45,51310,1,470.00,0.09,11070.00,0.15,1250.00,0.24,1740.00,0.34
6,Entry Short,SELL,2021-01-05 05:45,51350,1,-500.00,-0.1,10570.00,-0.16,190.00,0.04,750.00,0.15
6,Exit Short,BUY,2021-01-05 06:45,51400,1,-500.00,-0.1,10570.00,-0.16,190.00,0.04,750.00,0.15
7,Entry Long,BUY,2021-01-05 06:45,51400,1,2810.00,0.55,13380.00,0.9,3400.00,0.66,270.00,0.05
7,Exit Long,INTRADAY_BExit,2021-01-05 17:45,51681,1,2810.00,0.55,13380.00,0.9,3400.00,0.66,270.00,0.05
8,Entry Short,SELL,2021-01-06 04:00,51525,1,-850.00,-0.16,12530.00,-0.27,380.00,0.07,980.00,0.19
8,Exit Short,BUY,2021-01-06 07:15,51610,1,-850.00,-0.16,12530.00,-0.27,380.00,0.07,980.00,0.19
9,Entry Long,BUY,2021-01-06 07:15,51610,1,-4430.00,-0.86,8100.00,-1.42,2470.00,0.48,5640.00,1.09
9,Exit Long,SELL,2021-01-06 12:45,51167,1,-4430.00,-0.86,8100.00,-1.42,2470.00,0.48,5640.00,1.09
10,Entry Short,SELL,2021-01-06 12:45,51167,1,4580.00,0.9,12680.00,1.49,5980.00,1.17,2900.00,0.57
10,Exit Short,SELL_TG_HIT,2021-01-06 16:00,50709,1,4580.00,0.9,12680.00,1.49,5980.00,1.17,2900.00,0.57
11,Entry Long,BUY,2021-01-07 05:00,50811,1,230.00,0.05,12910.00,0.07,2340.00,0.46,360.00,0.07
11,Exit Long,SELL,2021-01-07 08:15,50834,1,230.00,0.05,12910.00,0.07,2340.00,0.46,360.00,0.07
12,Entry Short,SELL,2021-01-07 08:15,50834,1,-1100.00,-0.22,11810.00,-0.35,0,0,1390.00,0.27
12,Exit Short,BUY,2021-01-07 09:30,50944,1,-1100.00,-0.22,11810.00,-0.35,0,0,1390.00,0.27
13,Entry Long,BUY,2021-01-07 09:30,50944,1,-900.00,-0.18,10910.00,-0.29,600.00,0.12,1040.00,0.2
13,Exit Long,SELL,2021-01-07 10:00,50854,1,-900.00,-0.18,10910.00,-0.29,600.00,0.12,1040.00,0.2
14,Entry Short,SELL,2021-01-07 10:00,50854,1,-1520.00,-0.3,9390.00,-0.49,1330.00,0.26,1630.00,0.32
14,Exit Short,BUY,2021-01-07 11:30,51006,1,-1520.00,-0.3,9390.00,-0.49,1330.00,0.26,1630.00,0.32
15,Entry Long,BUY,2021-01-07 11:30,51006,1,-1650.00,-0.32,7740.00,-0.53,10.00,0,2340.00,0.46
15,Exit Long,SELL,2021-01-07 14:00,50841,1,-1650.00,-0.32,7740.00,-0.53,10.00,0,2340.00,0.46
16,Entry Short,SELL,2021-01-07 14:00,50841,1,-1140.00,-0.22,6600.00,-0.37,1250.00,0.25,1310.00,0.26
16,Exit Short,BUY,2021-01-07 16:15,50955,1,-1140.00,-0.22,6600.00,-0.37,1250.00,0.25,1310.00,0.26
17,Entry Long,BUY,2021-01-07 16:15,50955,1,-1000.00,-0.2,5600.00,-0.33,10.00,0,1360.00,0.27
17,Exit Long,SELL,2021-01-07 17:30,50855,1,-1000.00,-0.2,5600.00,-0.33,10.00,0,1360.00,0.27
18,Entry Short,SELL,2021-01-07 17:30,50855,1,-370.00,-0.07,5230.00,-0.12,0,0,670.00,0.13
18,Exit Short,INTRADAY_SExit,2021-01-07 17:45,50892,1,-370.00,-0.07,5230.00,-0.12,0,0,670.00,0.13
19,Entry Short,SELL,2021-01-08 04:00,50799,1,5830.00,1.15,11060.00,1.91,7800.00,1.54,200.00,0.04
19,Exit Short,SELL_TG_HIT,2021-01-08 08:15,50216,1,5830.00,1.15,11060.00,1.91,7800.00,1.54,200.00,0.04
20,Entry Short,SELL,2021-01-08 13:15,50098,1,4710.00,0.94,15770.00,1.51,6200.00,1.24,1360.00,0.27
20,Exit Short,SELL_TG_HIT,2021-01-08 15:00,49627,1,4710.00,0.94,15770.00,1.51,6200.00,1.24,1360.00,0.27
21,Entry Long,BUY,2021-01-11 05:00,48835,1,5980.00,1.22,21750.00,1.89,6000.00,1.23,150.00,0.03
21,Exit Long,BUY_TG_HIT,2021-01-11 08:15,49433,1,5980.00,1.22,21750.00,1.89,6000.00,1.23,150.00,0.03
22,Entry Short,SELL,2021-01-11 13:15,49057,1,-2630.00,-0.54,19120.00,-0.82,1670.00,0.34,2720.00,0.55
22,Exit Short,BUY,2021-01-11 15:15,49320,1,-2630.00,-0.54,19120.00,-0.82,1670.00,0.34,2720.00,0.55
23,Entry Long,BUY,2021-01-11 15:15,49320,1,50.00,0.01,19170.00,0.02,700.00,0.14,980.00,0.2
23,Exit Long,INTRADAY_BExit,2021-01-11 17:45,49325,1,50.00,0.01,19170.00,0.02,700.00,0.14,980.00,0.2
24,Entry Long,BUY,2021-01-12 04:00,49358,1,1230.00,0.25,20400.00,0.39,2620.00,0.53,170.00,0.03
24,Exit Long,SELL,2021-01-12 12:15,49481,1,1230.00,0.25,20400.00,0.39,2620.00,0.53,170.00,0.03
25,Entry Short,SELL,2021-01-12 12:15,49481,1,4510.00,0.91,24910.00,1.41,4810.00,0.97,510.00,0.1
25,Exit Short,SELL_TG_HIT,2021-01-12 14:15,49030,1,4510.00,0.91,24910.00,1.41,4810.00,0.97,510.00,0.1
26,Entry Short,SELL,2021-01-12 14:45,49128,1,710.00,0.14,25620.00,0.22,1120.00,0.23,1020.00,0.21
26,Exit Short,INTRADAY_SExit,2021-01-12 17:45,49057,1,710.00,0.14,25620.00,0.22,1120.00,0.23,1020.00,0.21
