Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,927.15,1,-2992.50,-0.68,-2992.50,-1.5,1710.00,0.39,3348.75,0.76
1,Exit Short,SELL_SL_HIT,2021-01-01 13:00,933.45,1,-2992.50,-0.68,-2992.50,-1.5,1710.00,0.39,3348.75,0.76
2,Entry Long,BUY,2021-01-01 13:15,936.00,1,2850.00,0.64,-142.50,1.45,3301.25,0.74,593.75,0.13
2,Exit Long,BUY_TG_HIT,2021-01-01 14:15,942.00,1,2850.00,0.64,-142.50,1.45,3301.25,0.74,593.75,0.13
3,Entry Short,SELL,2021-01-04 11:30,951.70,1,-4773.75,-1.06,-4916.25,-2.39,308.75,0.07,5486.25,1.21
3,Exit Short,SELL_SL_HIT,2021-01-04 12:15,961.75,1,-4773.75,-1.06,-4916.25,-2.39,308.75,0.07,5486.25,1.21
4,Entry Long,BUY,2021-01-04 12:30,961.00,1,2850.00,0.62,-2066.25,1.46,3800.00,0.83,1781.25,0.39
4,Exit Long,INTRADAY_BExit,2021-01-04 15:15,967.00,1,2850.00,0.62,-2066.25,1.46,3800.00,0.83,1781.25,0.39
5,Entry Short,SELL,2021-01-05 09:45,964.50,1,3776.25,0.82,1710.00,1.91,4251.25,0.93,427.50,0.09
5,Exit Short,SELL_TG_HIT,2021-01-05 10:15,956.55,1,3776.25,0.82,1710.00,1.91,4251.25,0.93,427.50,0.09
6,Entry Long,BUY,2021-01-05 13:00,969.00,1,-4868.75,-1.06,-3158.75,-2.41,142.50,0.03,5510.00,1.2
6,Exit Long,BUY_SL_HIT,2021-01-05 13:30,958.75,1,-4868.75,-1.06,-3158.75,-2.41,142.50,0.03,5510.00,1.2
7,Entry Short,SELL,2021-01-05 13:45,958.90,1,-1757.50,-0.39,-4916.25,-0.89,1591.25,0.35,2778.75,0.61
7,Exit Short,INTRADAY_SExit,2021-01-05 15:15,962.60,1,-1757.50,-0.39,-4916.25,-0.89,1591.25,0.35,2778.75,0.61
