Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 09:45,924.30,100,5.00,0.01,5.00,0.01,405.00,0.44,350.00,0.38
1,Exit Short,BUY,2021-01-01 12:00,924.25,100,5.00,0.01,5.00,0.01,405.00,0.44,350.00,0.38
2,Entry Long,BUY,2021-01-01 12:00,924.25,100,800.00,0.87,805.00,0.8,975.00,1.05,105.00,0.11
2,Exit Long,BUY_TG_HIT,2021-01-01 13:15,932.25,100,800.00,0.87,805.00,0.8,975.00,1.05,105.00,0.11
3,Entry Long,BUY,2021-01-04 09:45,952.05,100,-610.00,-0.64,195.00,-0.61,295.00,0.31,980.00,1.03
3,Exit Long,SELL,2021-01-04 11:15,945.95,100,-610.00,-0.64,195.00,-0.61,295.00,0.31,980.00,1.03
4,Entry Short,SELL,2021-01-04 11:15,945.95,100,-750.00,-0.79,-555.00,-0.75,145.00,0.15,790.00,0.84
4,Exit Short,SELL_SL_HIT,2021-01-04 11:45,953.45,100,-750.00,-0.79,-555.00,-0.75,145.00,0.15,790.00,0.84
5,Entry Long,BUY,2021-01-04 12:00,952.20,100,745.00,0.78,190.00,0.75,810.00,0.85,20.00,0.02
5,Exit Long,BUY_TG_HIT,2021-01-04 12:45,959.65,100,745.00,0.78,190.00,0.75,810.00,0.85,20.00,0.02
6,Entry Short,SELL,2021-01-05 10:15,953.05,100,-765.00,-0.8,-575.00,-0.76,195.00,0.2,905.00,0.95
6,Exit Short,SELL_SL_HIT,2021-01-05 12:00,960.70,100,-765.00,-0.8,-575.00,-0.76,195.00,0.2,905.00,0.95
7,Entry Long,BUY,2021-01-05 12:15,964.00,100,-785.00,-0.81,-1360.00,-0.79,795.00,0.82,880.00,0.91
7,Exit Long,SELL,2021-01-05 13:30,956.15,100,-785.00,-0.81,-1360.00,-0.79,795.00,0.82,880.00,0.91
8,Entry Short,SELL,2021-01-05 13:30,956.15,100,-565.00,-0.59,-1925.00,-0.57,250.00,0.26,740.00,0.77
8,Exit Short,INTRADAY_SExit,2021-01-05 15:15,961.80,100,-565.00,-0.59,-1925.00,-0.57,250.00,0.26,740.00,0.77
9,Entry Long,BUY,2021-01-06 09:45,967.50,100,900.00,0.93,-1025.00,0.92,900.00,0.93,635.00,0.66
9,Exit Long,BUY_TG_HIT,2021-01-06 12:45,976.50,100,900.00,0.93,-1025.00,0.92,900.00,0.93,635.00,0.66
10,Entry Short,SELL,2021-01-06 14:15,968.00,100,-1220.00,-1.26,-2245.00,-1.23,250.00,0.26,1395.00,1.44
10,Exit Short,SELL_SL_HIT,2021-01-06 15:00,980.20,100,-1220.00,-1.26,-2245.00,-1.23,250.00,0.26,1395.00,1.44
